#wls	flux	flux_err
3644.8900	7.4208e+00	4.3326e-01
3649.8200	7.3595e+00	4.3326e-01
3654.7700	7.4041e+00	4.3326e-01
3659.7200	7.4385e+00	4.3326e-01
3664.6800	7.5821e+00	4.3339e-01
3669.6400	7.8226e+00	3.9338e-01
3674.6100	8.0867e+00	3.2898e-01
3679.5900	8.3360e+00	2.3662e-01
3684.5800	8.5171e+00	2.3829e-01
3689.5700	8.6415e+00	2.1382e-01
3694.5700	8.6938e+00	2.8765e-01
3699.5700	8.6698e+00	3.1929e-01
3704.5800	8.7402e+00	4.0786e-01
3709.6000	8.9177e+00	4.2701e-01
3714.6300	9.3057e+00	4.0867e-01
3719.6600	9.8119e+00	4.2011e-01
3724.7000	1.0374e+01	2.6234e-01
3729.7400	1.0870e+01	3.2354e-01
3734.8000	1.1308e+01	2.9169e-01
3739.8600	1.1595e+01	2.3582e-01
3744.9200	1.1681e+01	1.3427e-01
3750.0000	1.1480e+01	2.6187e-01
3755.0800	1.1042e+01	3.3920e-01
3760.1600	1.0329e+01	3.6393e-01
3765.2600	9.5484e+00	3.0673e-01
3770.3600	8.7519e+00	2.2643e-01
3775.4700	7.9176e+00	1.8100e-01
3780.5800	7.1477e+00	1.7821e-01
3785.7000	6.4434e+00	2.1747e-01
3790.8300	5.8065e+00	1.6019e-01
3795.9700	5.2970e+00	1.9557e-01
3801.1100	4.8331e+00	2.4964e-01
3806.2600	4.4296e+00	2.7040e-01
3811.4200	4.0579e+00	2.7509e-01
3816.5800	3.7914e+00	2.1750e-01
3821.7500	3.6409e+00	1.6829e-01
3826.9300	3.5320e+00	2.4313e-01
3832.1100	3.4375e+00	2.0894e-01
3837.3000	3.3730e+00	1.7574e-01
3842.5000	3.3593e+00	1.9060e-01
3847.7100	3.4352e+00	1.8067e-01
3852.9200	3.4905e+00	2.1008e-01
3858.1400	3.5145e+00	1.4791e-01
3863.3700	3.5566e+00	2.4447e-01
3868.6000	3.6412e+00	3.2929e-01
3873.8400	3.7436e+00	3.4076e-01
3879.0900	3.8816e+00	3.5232e-01
3884.3400	4.3388e+00	4.4154e-01
3889.6100	5.0751e+00	4.7582e-01
3894.8700	5.9011e+00	4.5624e-01
3900.1500	6.9968e+00	3.3580e-01
3905.4300	8.2715e+00	3.0353e-01
3910.7300	9.6818e+00	5.1075e-01
3916.0200	1.1192e+01	4.7057e-01
3921.3300	1.2766e+01	6.0888e-01
3926.6400	1.4165e+01	6.2286e-01
3931.9600	1.5205e+01	7.1085e-01
3937.2900	1.5823e+01	7.2027e-01
3942.6200	1.5948e+01	6.8785e-01
3947.9600	1.5563e+01	7.0120e-01
3953.3100	1.4871e+01	5.2681e-01
3958.6700	1.3989e+01	6.5192e-01
3964.0300	1.3124e+01	5.8662e-01
3969.4000	1.2402e+01	5.6498e-01
3974.7800	1.1916e+01	4.5578e-01
3980.1600	1.1662e+01	2.9406e-01
3985.5500	1.1684e+01	5.0307e-01
