#wls	flux	fluxerr
1.590410E+03	6.538684E-04	7.282823E-06
1.630170E+03	6.695307E-04	7.450056E-06
1.669930E+03	6.856937E-04	7.622340E-06
1.709691E+03	7.032769E-04	7.809856E-06
1.749451E+03	7.217523E-04	8.006678E-06
1.789211E+03	7.411697E-04	8.213311E-06
1.828971E+03	7.622030E-04	8.437164E-06
1.868732E+03	7.843092E-04	8.672151E-06
1.908492E+03	8.081921E-04	8.925984E-06
1.948252E+03	8.332961E-04	9.192445E-06
1.988012E+03	8.603568E-04	9.479565E-06
2.027773E+03	8.891460E-04	9.784729E-06
2.067533E+03	9.201056E-04	1.011269E-05
2.107293E+03	9.530080E-04	1.046084E-05
2.147053E+03	9.886760E-04	1.083808E-05
2.186814E+03	1.026537E-03	1.123797E-05
2.226574E+03	1.067454E-03	1.166983E-05
2.266334E+03	1.111215E-03	1.213116E-05
2.306094E+03	1.158748E-03	1.263190E-05
2.345854E+03	1.209467E-03	1.316544E-05
2.385615E+03	1.263933E-03	1.373768E-05
2.425375E+03	1.322335E-03	1.435043E-05
2.465135E+03	1.384858E-03	1.500545E-05
2.504895E+03	1.451687E-03	1.570445E-05
2.544656E+03	1.523000E-03	1.644909E-05
2.584416E+03	1.598964E-03	1.724083E-05
2.624176E+03	1.680194E-03	1.808598E-05
2.663936E+03	1.766381E-03	1.898086E-05
2.703697E+03	1.858114E-03	1.993142E-05
2.743457E+03	1.955496E-03	2.093836E-05
2.783217E+03	2.058587E-03	2.200190E-05
2.822977E+03	2.167396E-03	2.312171E-05
2.862738E+03	2.282395E-03	2.430238E-05
2.902498E+03	2.403487E-03	2.554240E-05
2.942258E+03	2.530484E-03	2.683929E-05
2.982018E+03	2.664223E-03	2.820142E-05
2.991958E+03	2.698957E-03	2.855469E-05
3.001899E+03	2.733803E-03	2.890872E-05
3.011839E+03	2.769322E-03	2.926944E-05
3.021779E+03	2.804934E-03	2.963071E-05
3.031719E+03	2.840627E-03	2.999240E-05
3.041659E+03	2.877550E-03	3.036663E-05
3.051599E+03	2.914538E-03	3.074108E-05
3.061539E+03	2.951577E-03	3.111562E-05
3.071479E+03	2.989240E-03	3.149628E-05
3.081419E+03	3.027519E-03	3.188296E-05
3.091359E+03	3.066405E-03	3.227555E-05
3.101299E+03	3.105295E-03	3.266769E-05
3.111239E+03	3.144767E-03	3.306547E-05
3.121179E+03	3.184811E-03	3.346877E-05
3.131119E+03	3.225414E-03	3.387744E-05
3.141059E+03	3.265958E-03	3.428497E-05
3.150999E+03	3.307639E-03	3.470392E-05
3.160940E+03	3.349228E-03	3.512138E-05
3.170880E+03	3.391313E-03	3.554352E-05
3.180820E+03	3.434494E-03	3.597660E-05
3.190760E+03	3.477526E-03	3.640757E-05
3.200700E+03	3.521001E-03	3.684264E-05
3.210640E+03	3.565520E-03	3.728806E-05
3.220580E+03	3.609824E-03	3.773067E-05
3.230520E+03	3.655131E-03	3.818319E-05
3.240460E+03	3.700799E-03	3.863889E-05
3.250400E+03	3.746802E-03	3.909751E-05
3.260340E+03	3.793742E-03	3.956531E-05
3.270280E+03	3.840967E-03	4.003548E-05
3.280220E+03	3.888450E-03	4.050772E-05
3.290160E+03	3.936790E-03	4.098828E-05
3.300100E+03	3.985961E-03	4.147686E-05
3.310040E+03	4.035299E-03	4.196654E-05
3.319981E+03	4.084771E-03	4.245697E-05
3.329921E+03	4.135611E-03	4.296098E-05
3.339861E+03	4.186517E-03	4.346500E-05
3.349801E+03	4.238720E-03	4.398183E-05
3.359741E+03	4.290913E-03	4.449788E-05
3.369681E+03	4.343691E-03	4.501930E-05
3.379621E+03	4.397010E-03	4.554565E-05
3.389561E+03	4.450828E-03	4.607646E-05
3.399501E+03	4.505737E-03	4.661786E-05
3.409441E+03	4.561051E-03	4.716274E-05
3.419381E+03	4.616720E-03	4.771056E-05
3.429321E+03	4.673330E-03	4.826737E-05
3.439261E+03	4.730826E-03	4.883259E-05
3.449201E+03	4.788513E-03	4.939903E-05
3.459141E+03	4.846334E-03	4.996610E-05
3.469081E+03	4.905498E-03	5.054625E-05
3.479022E+03	4.965304E-03	5.113224E-05
3.488962E+03	5.025052E-03	5.171685E-05
3.498902E+03	5.085939E-03	5.231239E-05
3.508842E+03	5.147257E-03	5.291157E-05
3.518782E+03	5.208934E-03	5.351364E-05
3.528722E+03	5.271517E-03	5.412420E-05
3.538662E+03	5.334923E-03	5.474239E-05
3.548602E+03	5.398440E-03	5.536090E-05
3.558542E+03	5.461984E-03	5.597885E-05
3.568482E+03	5.526706E-03	5.660804E-05
3.578422E+03	5.591886E-03	5.724107E-05
3.588362E+03	5.657426E-03	5.787694E-05
3.598302E+03	5.723225E-03	5.851461E-05
3.608242E+03	5.789180E-03	5.915301E-05
3.618182E+03	5.855789E-03	5.979724E-05
3.628122E+03	5.922335E-03	6.043995E-05
3.638062E+03	5.989303E-03	6.108611E-05
3.648003E+03	6.056572E-03	6.173448E-05
3.657943E+03	6.124018E-03	6.238378E-05
3.667883E+03	6.191514E-03	6.303271E-05
3.677823E+03	6.258932E-03	6.367998E-05
3.687763E+03	6.326719E-03	6.433014E-05
3.697703E+03	6.393583E-03	6.497006E-05
3.707643E+03	6.461113E-03	6.561588E-05
3.717583E+03	6.528017E-03	6.625448E-05
3.727523E+03	6.594727E-03	6.689026E-05
3.737463E+03	6.661082E-03	6.752160E-05
3.747403E+03	6.727490E-03	6.815263E-05
3.757343E+03	6.792694E-03	6.877063E-05
3.767283E+03	6.857634E-03	6.938514E-05
3.777223E+03	6.922154E-03	6.999460E-05
3.787163E+03	6.985555E-03	7.059193E-05
3.797103E+03	7.048213E-03	7.118096E-05
3.807044E+03	7.110476E-03	7.176525E-05
3.816984E+03	7.171155E-03	7.233277E-05
3.826924E+03	7.231109E-03	7.289226E-05
3.836864E+03	7.290171E-03	7.344202E-05
3.846804E+03	7.347668E-03	7.397530E-05
3.856744E+03	7.403948E-03	7.449566E-05
