#wls	flux	fluxerr
1.600000E+03	9.130553E-15	1.249077E-15
1.640000E+03	9.613506E-15	1.201774E-15
1.680000E+03	1.010053E-14	1.143853E-15
1.720000E+03	1.058762E-14	1.075249E-15
1.760000E+03	1.106994E-14	9.961832E-16
1.800000E+03	1.154196E-14	9.072658E-16
1.840000E+03	1.199735E-14	8.096020E-16
1.880000E+03	1.242882E-14	7.049464E-16
1.920000E+03	1.282829E-14	5.959782E-16
1.960000E+03	1.318672E-14	4.867967E-16
2.000000E+03	1.349405E-14	3.839773E-16
2.040000E+03	1.373893E-14	2.986529E-16
2.080000E+03	1.390701E-14	2.477949E-16
2.120000E+03	1.398237E-14	2.402898E-16
2.160000E+03	1.395881E-14	2.562164E-16
2.200000E+03	1.382831E-14	2.749983E-16
2.240000E+03	1.358421E-14	2.904604E-16
2.280000E+03	1.323466E-14	3.037891E-16
2.320000E+03	1.280095E-14	3.135779E-16
2.360000E+03	1.230860E-14	3.153796E-16
2.400000E+03	1.178430E-14	3.060131E-16
2.440000E+03	1.125229E-14	2.846165E-16
2.480000E+03	1.073266E-14	2.525008E-16
2.520000E+03	1.024111E-14	2.131919E-16
2.560000E+03	9.788500E-15	1.736747E-16
2.600000E+03	9.380606E-15	1.475523E-16
2.640000E+03	9.017840E-15	1.518046E-16
2.680000E+03	8.695216E-15	1.826929E-16
2.720000E+03	8.406190E-15	2.234030E-16
2.760000E+03	8.145399E-15	2.640267E-16
2.800000E+03	7.908534E-15	3.003074E-16
2.840000E+03	7.691884E-15	3.304247E-16
2.880000E+03	7.492123E-15	3.535869E-16
2.920000E+03	7.306256E-15	3.694880E-16
2.960000E+03	7.131429E-15	3.780785E-16
3.000000E+03	6.965030E-15	3.794781E-16
3.010000E+03	6.924453E-15	3.787305E-16
3.020000E+03	6.884192E-15	3.775523E-16
3.030000E+03	6.844241E-15	3.759505E-16
3.040000E+03	6.804558E-15	3.739306E-16
3.050000E+03	6.765084E-15	3.714977E-16
3.060000E+03	6.725797E-15	3.686590E-16
3.070000E+03	6.686673E-15	3.654227E-16
3.080000E+03	6.647673E-15	3.617959E-16
3.090000E+03	6.608759E-15	3.577865E-16
3.100000E+03	6.569909E-15	3.534039E-16
3.110000E+03	6.531086E-15	3.486569E-16
3.120000E+03	6.492254E-15	3.435549E-16
3.130000E+03	6.453392E-15	3.381087E-16
3.140000E+03	6.414466E-15	3.323289E-16
3.150000E+03	6.375456E-15	3.262274E-16
3.160000E+03	6.336347E-15	3.198167E-16
3.170000E+03	6.297087E-15	3.131081E-16
3.180000E+03	6.257659E-15	3.061153E-16
3.190000E+03	6.218048E-15	2.988528E-16
3.200000E+03	6.178238E-15	2.913356E-16
3.210000E+03	6.138181E-15	2.835776E-16
3.220000E+03	6.097897E-15	2.755968E-16
3.230000E+03	6.057322E-15	2.674081E-16
3.240000E+03	6.016475E-15	2.590309E-16
3.250000E+03	5.975311E-15	2.504825E-16
3.260000E+03	5.933833E-15	2.417831E-16
3.270000E+03	5.892014E-15	2.329526E-16
3.280000E+03	5.849859E-15	2.240134E-16
3.290000E+03	5.807339E-15	2.149872E-16
3.300000E+03	5.764443E-15	2.058981E-16
3.310000E+03	5.721144E-15	1.967707E-16
3.320000E+03	5.677465E-15	1.876328E-16
3.330000E+03	5.633378E-15	1.785123E-16
3.340000E+03	5.588873E-15	1.694395E-16
3.350000E+03	5.543939E-15	1.604470E-16
3.360000E+03	5.498581E-15	1.515702E-16
3.370000E+03	5.452756E-15	1.428461E-16
3.380000E+03	5.406484E-15	1.343167E-16
3.390000E+03	5.359738E-15	1.260264E-16
3.400000E+03	5.312504E-15	1.180240E-16
3.410000E+03	5.264784E-15	1.103631E-16
3.420000E+03	5.216533E-15	1.031003E-16
3.430000E+03	5.167766E-15	9.629732E-17
3.440000E+03	5.118435E-15	9.001649E-17
3.450000E+03	5.068541E-15	8.432018E-17
3.460000E+03	5.018040E-15	7.926350E-17
3.470000E+03	4.966950E-15	7.488726E-17
3.480000E+03	4.915294E-15	7.119976E-17
3.490000E+03	4.863226E-15	6.815425E-17
3.500000E+03	4.810998E-15	6.567139E-17
3.510000E+03	4.758820E-15	6.365779E-17
3.520000E+03	4.706899E-15	6.201762E-17
3.530000E+03	4.655406E-15	6.065938E-17
3.540000E+03	4.604506E-15	5.950234E-17
3.550000E+03	4.554338E-15	5.847899E-17
3.560000E+03	4.505001E-15	5.753469E-17
3.570000E+03	4.456597E-15	5.662866E-17
3.580000E+03	4.409186E-15	5.573191E-17
3.590000E+03	4.362771E-15	5.482439E-17
3.600000E+03	4.317392E-15	5.389525E-17
3.610000E+03	4.273020E-15	5.293959E-17
3.620000E+03	4.229640E-15	5.195665E-17
3.630000E+03	4.187202E-15	5.094938E-17
3.640000E+03	4.145629E-15	4.992327E-17
3.650000E+03	4.104872E-15	4.888490E-17
3.660000E+03	4.064843E-15	4.784193E-17
3.670000E+03	4.025447E-15	4.680270E-17
3.680000E+03	3.986604E-15	4.577392E-17
3.690000E+03	3.948194E-15	4.476178E-17
3.700000E+03	3.910132E-15	4.377201E-17
3.710000E+03	3.872351E-15	4.280609E-17
3.720000E+03	3.834786E-15	4.186443E-17
3.730000E+03	3.797362E-15	4.094675E-17
3.740000E+03	3.760087E-15	4.005085E-17
3.750000E+03	3.722945E-15	3.917410E-17
3.760000E+03	3.685972E-15	3.831461E-17
3.770000E+03	3.649195E-15	3.746917E-17
3.780000E+03	3.612685E-15	3.663611E-17
3.790000E+03	3.576503E-15	3.581507E-17
3.800000E+03	3.540718E-15	3.500557E-17
3.810000E+03	3.505411E-15	3.420909E-17
3.820000E+03	3.470642E-15	3.342854E-17
3.830000E+03	3.436481E-15	3.266600E-17
3.840000E+03	3.402961E-15	3.192447E-17
3.850000E+03	3.370151E-15	3.120792E-17
3.860000E+03	3.338076E-15	3.051796E-17
3.870000E+03	3.306802E-15	2.985677E-17
3.880000E+03	3.276349E-15	2.922643E-17
3.890000E+03	3.246780E-15	2.862755E-17
3.900000E+03	3.218121E-15	2.806071E-17
3.910000E+03	3.190432E-15	2.752713E-17
3.920000E+03	3.163734E-15	2.702601E-17
3.930000E+03	3.138072E-15	2.655676E-17
3.940000E+03	3.113498E-15	2.611806E-17
3.950000E+03	3.090023E-15	2.570476E-17
3.960000E+03	3.067681E-15	2.531168E-17
3.970000E+03	3.046502E-15	2.493419E-17
3.980000E+03	3.026529E-15	2.456656E-17
3.990000E+03	3.007812E-15	2.420498E-17
4.000000E+03	2.990393E-15	2.384764E-17
4.010000E+03	2.974269E-15	2.349169E-17
4.020000E+03	2.959439E-15	2.313652E-17
4.030000E+03	2.945854E-15	2.278316E-17
4.040000E+03	2.933397E-15	2.243090E-17
4.050000E+03	2.921878E-15	2.208036E-17
4.060000E+03	2.911039E-15	2.173328E-17
4.070000E+03	2.900565E-15	2.138897E-17
4.080000E+03	2.890094E-15	2.104808E-17
4.090000E+03	2.879237E-15	2.071241E-17
4.100000E+03	2.867614E-15	2.038111E-17
4.110000E+03	2.854895E-15	2.005480E-17
4.120000E+03	2.840803E-15	1.973539E-17
4.130000E+03	2.825183E-15	1.942268E-17
4.140000E+03	2.807982E-15	1.911810E-17
4.150000E+03	2.789219E-15	1.882439E-17
4.160000E+03	2.769088E-15	1.854222E-17
4.170000E+03	2.747869E-15	1.827372E-17
4.180000E+03	2.725888E-15	1.802142E-17
4.190000E+03	2.703581E-15	1.778333E-17
4.200000E+03	2.681417E-15	1.755761E-17
4.210000E+03	2.659886E-15	1.734238E-17
4.220000E+03	2.639454E-15	1.713057E-17
4.230000E+03	2.620556E-15	1.691516E-17
4.240000E+03	2.603584E-15	1.668997E-17
4.250000E+03	2.588775E-15	1.644545E-17
4.260000E+03	2.576266E-15	1.617405E-17
4.270000E+03	2.566044E-15	1.587136E-17
4.280000E+03	2.557930E-15	1.553382E-17
4.290000E+03	2.551612E-15	1.516268E-17
4.300000E+03	2.546624E-15	1.476430E-17
4.310000E+03	2.542399E-15	1.434767E-17
4.320000E+03	2.538312E-15	1.392678E-17
4.330000E+03	2.533732E-15	1.351805E-17
4.340000E+03	2.528123E-15	1.313448E-17
4.350000E+03	2.521038E-15	1.279049E-17
4.360000E+03	2.512197E-15	1.250224E-17
4.370000E+03	2.501440E-15	1.228163E-17
4.380000E+03	2.488811E-15	1.213887E-17
4.390000E+03	2.474426E-15	1.207935E-17
4.400000E+03	2.458530E-15	1.209753E-17
4.410000E+03	2.441429E-15	1.218168E-17
4.420000E+03	2.423447E-15	1.231586E-17
4.430000E+03	2.404925E-15	1.247856E-17
4.440000E+03	2.386155E-15	1.264989E-17
4.450000E+03	2.367457E-15	1.281455E-17
