#wls	flux	fluxerr
1.588988E+03	2.282303E-17	2.242038E-18
1.628713E+03	2.363005E-17	2.313908E-18
1.668438E+03	2.442954E-17	2.384429E-18
1.708162E+03	2.521850E-17	2.453308E-18
1.747887E+03	2.598551E-17	2.519440E-18
1.787612E+03	2.673265E-17	2.583040E-18
1.827337E+03	2.743279E-17	2.641511E-18
1.867061E+03	2.806081E-17	2.692484E-18
1.906786E+03	2.858769E-17	2.733256E-18
1.946511E+03	2.898680E-17	2.761393E-18
1.986235E+03	2.925691E-17	2.776909E-18
2.025960E+03	2.941865E-17	2.781897E-18
2.065685E+03	2.959989E-17	2.788519E-18
2.105410E+03	2.999148E-17	2.814672E-18
2.145134E+03	3.082891E-17	2.882149E-18
2.184859E+03	3.228650E-17	3.006704E-18
2.224584E+03	3.441050E-17	3.191952E-18
2.264308E+03	3.709650E-17	3.427513E-18
2.304033E+03	4.021411E-17	3.700766E-18
2.343758E+03	4.360677E-17	3.996876E-18
2.383482E+03	4.719116E-17	4.307927E-18
2.423207E+03	5.089411E-17	4.627047E-18
2.462932E+03	5.466613E-17	4.949623E-18
2.502657E+03	5.850455E-17	5.275336E-18
2.542381E+03	6.236717E-17	5.600331E-18
2.582106E+03	6.624634E-17	5.923906E-18
2.621831E+03	7.012106E-17	6.244190E-18
2.661555E+03	7.395399E-17	6.557897E-18
2.701280E+03	7.773195E-17	6.863937E-18
2.741005E+03	8.142712E-17	7.159963E-18
2.780730E+03	8.499570E-17	7.442271E-18
2.820454E+03	8.840811E-17	7.708472E-18
2.860179E+03	9.166658E-17	7.958982E-18
2.899904E+03	9.471493E-17	8.189154E-18
2.939628E+03	9.756142E-17	8.399965E-18
2.979353E+03	1.002032E-16	8.591429E-18
2.989284E+03	1.008199E-16	8.635300E-18
2.999215E+03	1.014347E-16	8.678909E-18
3.009147E+03	1.020314E-16	8.720885E-18
3.019078E+03	1.026100E-16	8.761224E-18
3.029009E+03	1.031860E-16	8.801272E-18
3.038940E+03	1.037606E-16	8.841110E-18
3.048871E+03	1.043046E-16	8.878260E-18
3.058802E+03	1.048545E-16	8.915842E-18
3.068734E+03	1.054092E-16	8.953755E-18
3.078665E+03	1.059515E-16	8.990540E-18
3.088596E+03	1.064963E-16	9.027467E-18
3.098527E+03	1.070267E-16	9.063108E-18
3.108458E+03	1.075578E-16	9.098737E-18
3.118390E+03	1.080729E-16	9.132948E-18
3.128321E+03	1.085872E-16	9.167036E-18
3.138252E+03	1.091003E-16	9.200953E-18
3.148183E+03	1.096115E-16	9.234646E-18
3.158114E+03	1.101203E-16	9.268087E-18
3.168045E+03	1.106106E-16	9.299912E-18
3.177977E+03	1.110980E-16	9.331432E-18
3.187908E+03	1.115820E-16	9.362625E-18
3.197839E+03	1.120626E-16	9.393475E-18
3.207770E+03	1.125553E-16	9.425293E-18
3.217701E+03	1.130285E-16	9.455436E-18
3.227633E+03	1.134980E-16	9.485218E-18
3.237564E+03	1.139793E-16	9.515947E-18
3.247495E+03	1.144414E-16	9.545023E-18
3.257426E+03	1.149154E-16	9.575055E-18
3.267357E+03	1.154012E-16	9.606036E-18
3.277288E+03	1.158683E-16	9.635409E-18
3.287220E+03	1.163629E-16	9.667039E-18
3.297151E+03	1.168391E-16	9.697104E-18
3.307082E+03	1.173280E-16	9.728175E-18
3.317013E+03	1.178295E-16	9.760265E-18
3.326944E+03	1.183289E-16	9.792142E-18
3.336875E+03	1.188415E-16	9.825081E-18
3.346807E+03	1.193678E-16	9.859106E-18
3.356738E+03	1.199079E-16	9.894241E-18
3.366669E+03	1.204621E-16	9.930506E-18
3.376600E+03	1.210160E-16	9.966708E-18
3.386531E+03	1.215998E-16	1.000533E-17
3.396463E+03	1.221990E-16	1.004518E-17
3.406394E+03	1.227992E-16	1.008508E-17
3.416325E+03	1.234452E-16	1.012870E-17
3.426256E+03	1.240932E-16	1.017245E-17
