#wls	flux	fluxerr
1.600000E+03	6.371344E-17	1.554629E-17
1.640000E+03	6.491163E-17	1.480789E-17
1.680000E+03	6.620858E-17	1.406002E-17
1.720000E+03	6.757880E-17	1.329758E-17
1.760000E+03	6.905491E-17	1.252886E-17
1.800000E+03	7.061157E-17	1.175215E-17
1.840000E+03	7.231324E-17	1.098307E-17
1.880000E+03	7.410567E-17	1.022005E-17
1.920000E+03	7.605661E-17	9.483553E-18
1.960000E+03	7.814426E-17	8.785259E-18
2.000000E+03	8.037945E-17	8.147003E-18
2.040000E+03	8.280964E-17	7.599150E-18
2.080000E+03	8.542686E-17	7.168915E-18
2.120000E+03	8.833835E-17	6.888173E-18
2.160000E+03	9.158227E-17	6.765975E-18
2.200000E+03	9.524904E-17	6.802721E-18
2.240000E+03	9.947194E-17	6.994088E-18
2.280000E+03	1.043043E-16	7.324101E-18
2.320000E+03	1.098653E-16	7.772006E-18
2.360000E+03	1.161176E-16	8.301038E-18
2.400000E+03	1.230616E-16	8.882762E-18
2.440000E+03	1.305870E-16	9.493928E-18
2.480000E+03	1.386302E-16	1.013350E-17
2.520000E+03	1.470103E-16	1.081484E-17
2.560000E+03	1.555550E-16	1.157517E-17
2.600000E+03	1.641653E-16	1.247248E-17
2.640000E+03	1.725573E-16	1.354525E-17
2.680000E+03	1.806052E-16	1.480216E-17
2.720000E+03	1.882199E-16	1.620726E-17
2.760000E+03	1.952471E-16	1.769083E-17
2.800000E+03	2.017087E-16	1.918578E-17
2.840000E+03	2.074507E-16	2.060705E-17
2.880000E+03	2.125398E-16	2.189506E-17
2.920000E+03	2.169609E-16	2.299115E-17
2.960000E+03	2.207153E-16	2.384847E-17
3.000000E+03	2.238661E-16	2.443797E-17
3.010000E+03	2.245973E-16	2.454453E-17
3.020000E+03	2.252690E-16	2.463014E-17
3.030000E+03	2.258820E-16	2.469466E-17
3.040000E+03	2.264836E-16	2.474305E-17
3.050000E+03	2.270738E-16	2.477520E-17
3.060000E+03	2.276072E-16	2.478604E-17
3.070000E+03	2.281302E-16	2.478058E-17
3.080000E+03	2.286429E-16	2.475880E-17
3.090000E+03	2.291009E-16	2.471592E-17
3.100000E+03	2.295497E-16	2.465694E-17
3.110000E+03	2.299894E-16	2.458195E-17
3.120000E+03	2.303768E-16	2.448647E-17
3.130000E+03	2.307562E-16	2.437545E-17
3.140000E+03	2.311280E-16	2.424912E-17
3.150000E+03	2.314498E-16	2.410330E-17
3.160000E+03	2.318076E-16	2.394727E-17
3.170000E+03	2.321166E-16	2.377253E-17
3.180000E+03	2.324614E-16	2.358818E-17
3.190000E+03	2.327588E-16	2.338609E-17
3.200000E+03	2.330509E-16	2.317104E-17
3.210000E+03	2.333383E-16	2.294354E-17
3.220000E+03	2.336615E-16	2.270808E-17
3.230000E+03	2.339399E-16	2.245731E-17
3.240000E+03	2.342542E-16	2.219966E-17
3.250000E+03	2.345645E-16	2.193187E-17
3.260000E+03	2.348712E-16	2.165468E-17
3.270000E+03	2.351748E-16	2.136887E-17
3.280000E+03	2.355140E-16	2.107870E-17
3.290000E+03	2.358883E-16	2.078480E-17
3.300000E+03	2.362221E-16	2.048133E-17
3.310000E+03	2.366287E-16	2.017905E-17
3.320000E+03	2.370330E-16	1.987230E-17
3.330000E+03	2.374356E-16	1.956218E-17
3.340000E+03	2.379099E-16	1.925568E-17
3.350000E+03	2.383829E-16	1.894781E-17
3.360000E+03	2.388911E-16	1.864257E-17
3.370000E+03	2.394346E-16	1.834100E-17
3.380000E+03	2.400137E-16	1.804420E-17
3.390000E+03	2.406287E-16	1.775328E-17
3.400000E+03	2.413145E-16	1.747188E-17
3.410000E+03	2.420030E-16	1.719613E-17
3.420000E+03	2.427634E-16	1.693208E-17
3.430000E+03	2.435961E-16	1.668070E-17
3.440000E+03	2.444688E-16	1.644070E-17
3.450000E+03	2.453834E-16	1.621316E-17
3.460000E+03	2.464072E-16	1.600326E-17
3.470000E+03	2.474771E-16	1.580744E-17
3.480000E+03	2.486290E-16	1.562828E-17
3.490000E+03	2.498363E-16	1.546365E-17
3.500000E+03	2.511686E-16	1.531694E-17
3.510000E+03	2.526319E-16	1.518733E-17
3.520000E+03	2.541717E-16	1.507026E-17
3.530000E+03	2.558577E-16	1.496854E-17
3.540000E+03	2.576677E-16	1.487941E-17
3.550000E+03	2.596412E-16	1.480363E-17
3.560000E+03	2.617875E-16	1.474017E-17
3.570000E+03	2.641165E-16	1.468806E-17
3.580000E+03	2.666096E-16	1.464473E-17
3.590000E+03	2.693373E-16	1.461261E-17
3.600000E+03	2.722821E-16	1.458928E-17
3.610000E+03	2.754571E-16	1.457411E-17
3.620000E+03	2.788762E-16	1.456658E-17
3.630000E+03	2.825829E-16	1.456777E-17
3.640000E+03	2.865927E-16	1.457738E-17
3.650000E+03	2.909224E-16	1.459522E-17
3.660000E+03	2.955610E-16	1.461984E-17
3.670000E+03	3.005560E-16	1.465269E-17
3.680000E+03	3.059554E-16	1.469499E-17
3.690000E+03	3.117514E-16	1.474521E-17
3.700000E+03	3.179655E-16	1.480319E-17
3.710000E+03	3.246492E-16	1.487008E-17
3.720000E+03	3.318265E-16	1.494565E-17
3.730000E+03	3.395229E-16	1.502960E-17
3.740000E+03	3.477359E-16	1.512016E-17
3.750000E+03	3.565516E-16	1.521930E-17
3.760000E+03	3.659704E-16	1.532518E-17
3.770000E+03	3.760232E-16	1.543723E-17
3.780000E+03	3.867721E-16	1.555619E-17
3.790000E+03	3.982513E-16	1.568165E-17
3.800000E+03	4.104649E-16	1.581215E-17
3.810000E+03	4.235093E-16	1.594996E-17
3.820000E+03	4.373583E-16	1.609291E-17
3.830000E+03	4.521083E-16	1.624370E-17
3.840000E+03	4.677935E-16	1.640303E-17
3.850000E+03	4.844133E-16	1.657096E-17
3.860000E+03	5.019939E-16	1.674904E-17
3.870000E+03	5.206231E-16	1.694142E-17
3.880000E+03	5.402762E-16	1.714873E-17
3.890000E+03	5.609365E-16	1.737166E-17
3.900000E+03	5.825653E-16	1.761042E-17
3.910000E+03	6.051379E-16	1.786597E-17
3.920000E+03	6.285655E-16	1.813738E-17
3.930000E+03	6.527318E-16	1.842338E-17
3.940000E+03	6.774548E-16	1.872132E-17
3.950000E+03	7.026336E-16	1.903080E-17
3.960000E+03	7.280261E-16	1.934778E-17
3.970000E+03	7.534088E-16	1.966871E-17
3.980000E+03	7.785882E-16	1.998979E-17
3.984915E+03	1.041560E-15	3.660016E-16
3.986651E+03	1.059741E-15	3.546164E-16
3.988388E+03	1.071965E-15	3.535082E-16
3.990124E+03	1.080585E-15	3.540258E-16
3.991860E+03	1.090256E-15	3.486631E-16
3.993597E+03	1.102086E-15	3.547003E-16
3.995333E+03	1.111518E-15	3.605601E-16
3.997070E+03	1.121306E-15	3.632260E-16
3.998806E+03	1.133749E-15	3.466631E-16
4.000542E+03	1.141808E-15	3.478729E-16
4.002279E+03	1.149697E-15	3.432975E-16
4.004015E+03	1.151653E-15	3.364041E-16
4.005751E+03	1.148910E-15	3.328294E-16
4.007488E+03	1.147630E-15	3.243616E-16
4.009224E+03	1.149700E-15	3.064319E-16
4.010960E+03	1.153148E-15	3.048255E-16
4.012697E+03	1.153912E-15	3.128434E-16
4.014433E+03	1.155430E-15	3.047043E-16
4.016169E+03	1.149577E-15	2.540846E-16
4.017906E+03	1.137859E-15	2.357397E-16
4.019642E+03	1.135656E-15	2.402669E-16
4.021378E+03	1.134432E-15	2.541417E-16
4.023115E+03	1.132129E-15	2.593894E-16
4.024851E+03	1.130067E-15	2.572232E-16
4.026588E+03	1.121968E-15	2.612850E-16
