#wls	flux	fluxerr
1.600000E+03	2.080927E-10	1.646108E-10
1.640000E+03	2.151702E-10	1.643857E-10
1.680000E+03	2.219221E-10	1.631721E-10
1.720000E+03	2.282470E-10	1.608840E-10
1.760000E+03	2.340350E-10	1.574472E-10
1.800000E+03	2.391634E-10	1.528009E-10
1.840000E+03	2.434998E-10	1.469058E-10
1.880000E+03	2.469004E-10	1.397481E-10
1.920000E+03	2.492108E-10	1.313469E-10
1.960000E+03	2.502650E-10	1.217603E-10
2.000000E+03	2.498896E-10	1.110943E-10
2.040000E+03	2.479070E-10	9.951127E-11
2.080000E+03	2.441557E-10	8.724269E-11
2.120000E+03	2.385183E-10	7.459969E-11
2.160000E+03	2.309302E-10	6.197036E-11
2.200000E+03	2.213849E-10	4.981536E-11
2.240000E+03	2.099881E-10	3.867408E-11
2.280000E+03	1.970436E-10	2.916264E-11
2.320000E+03	1.830026E-10	2.186103E-11
2.360000E+03	1.682992E-10	1.687673E-11
2.400000E+03	1.537102E-10	1.369530E-11
2.440000E+03	1.403892E-10	1.166363E-11
2.480000E+03	1.297545E-10	1.033292E-11
2.520000E+03	1.232948E-10	9.510150E-12
2.560000E+03	1.223220E-10	9.142032E-12
2.600000E+03	1.281370E-10	9.232359E-12
2.640000E+03	1.418562E-10	9.805745E-12
2.680000E+03	1.629844E-10	1.082363E-11
2.720000E+03	1.880395E-10	1.206836E-11
2.760000E+03	2.111758E-10	1.317494E-11
2.800000E+03	2.269162E-10	1.383006E-11
2.840000E+03	2.327117E-10	1.389637E-11
2.880000E+03	2.293138E-10	1.338238E-11
2.920000E+03	2.193666E-10	1.242906E-11
2.960000E+03	2.060693E-10	1.128496E-11
3.000000E+03	1.924375E-10	1.018409E-11
3.010000E+03	1.892395E-10	9.934114E-12
3.020000E+03	1.861733E-10	9.697631E-12
3.030000E+03	1.832560E-10	9.476619E-12
3.040000E+03	1.805023E-10	9.274064E-12
3.050000E+03	1.779220E-10	9.091386E-12
3.060000E+03	1.755232E-10	8.931018E-12
3.070000E+03	1.733116E-10	8.795930E-12
3.080000E+03	1.712910E-10	8.686770E-12
3.090000E+03	1.694621E-10	8.604492E-12
3.100000E+03	1.678243E-10	8.550062E-12
3.110000E+03	1.663706E-10	8.521145E-12
3.120000E+03	1.650923E-10	8.515332E-12
3.130000E+03	1.639778E-10	8.530223E-12
3.140000E+03	1.630080E-10	8.560561E-12
3.150000E+03	1.621625E-10	8.601152E-12
3.160000E+03	1.614190E-10	8.646956E-12
3.170000E+03	1.607542E-10	8.690739E-12
3.180000E+03	1.601438E-10	8.725653E-12
3.190000E+03	1.595644E-10	8.746268E-12
3.200000E+03	1.589938E-10	8.747367E-12
3.210000E+03	1.584109E-10	8.725040E-12
3.220000E+03	1.577986E-10	8.676061E-12
3.230000E+03	1.571466E-10	8.595888E-12
3.240000E+03	1.564474E-10	8.480488E-12
3.250000E+03	1.556971E-10	8.326816E-12
3.260000E+03	1.548968E-10	8.131589E-12
3.270000E+03	1.540500E-10	7.892950E-12
3.280000E+03	1.531589E-10	7.611190E-12
3.290000E+03	1.522236E-10	7.288345E-12
3.300000E+03	1.512434E-10	6.929222E-12
3.310000E+03	1.502150E-10	6.541498E-12
3.320000E+03	1.491338E-10	6.135187E-12
3.330000E+03	1.479934E-10	5.723212E-12
3.340000E+03	1.467931E-10	5.319302E-12
3.350000E+03	1.455408E-10	4.934322E-12
3.360000E+03	1.442490E-10	4.579277E-12
3.370000E+03	1.429275E-10	4.262266E-12
3.380000E+03	1.415810E-10	3.982161E-12
3.390000E+03	1.402111E-10	3.736649E-12
3.400000E+03	1.388194E-10	3.522966E-12
3.410000E+03	1.374045E-10	3.332160E-12
3.420000E+03	1.359667E-10	3.158322E-12
3.430000E+03	1.345135E-10	2.998718E-12
3.440000E+03	1.330675E-10	2.846390E-12
3.450000E+03	1.316597E-10	2.699448E-12
3.460000E+03	1.303362E-10	2.560165E-12
3.470000E+03	1.291702E-10	2.425698E-12
3.480000E+03	1.282493E-10	2.298669E-12
3.490000E+03	1.276796E-10	2.184871E-12
3.500000E+03	1.276073E-10	2.080841E-12
3.510000E+03	1.281969E-10	1.988090E-12
3.520000E+03	1.296191E-10	1.910570E-12
3.530000E+03	1.320553E-10	1.836817E-12
3.540000E+03	1.356769E-10	1.758271E-12
3.550000E+03	1.405458E-10	1.668395E-12
3.560000E+03	1.464502E-10	1.540153E-12
3.570000E+03	1.528525E-10	1.356924E-12
3.580000E+03	1.585132E-10	1.143549E-12
3.590000E+03	1.611515E-10	1.002546E-12
3.600000E+03	1.591401E-10	1.099217E-12
3.610000E+03	1.534855E-10	1.330612E-12
3.620000E+03	1.461098E-10	1.529329E-12
3.630000E+03	1.385221E-10	1.661109E-12
3.640000E+03	1.316453E-10	1.746976E-12
3.650000E+03	1.257948E-10	1.799213E-12
3.660000E+03	1.210023E-10	1.832782E-12
3.670000E+03	1.172082E-10	1.863289E-12
3.680000E+03	1.142946E-10	1.891117E-12
3.690000E+03	1.121250E-10	1.917965E-12
3.700000E+03	1.105735E-10	1.948454E-12
3.710000E+03	1.095322E-10	1.978311E-12
3.720000E+03	1.089038E-10	2.005912E-12
3.730000E+03	1.086098E-10	2.033282E-12
3.740000E+03	1.086057E-10	2.056284E-12
3.750000E+03	1.088632E-10	2.073858E-12
3.760000E+03	1.093724E-10	2.088989E-12
3.770000E+03	1.101603E-10	2.100248E-12
3.780000E+03	1.112678E-10	2.109534E-12
3.790000E+03	1.127324E-10	2.121720E-12
3.800000E+03	1.145873E-10	2.135566E-12
3.810000E+03	1.168456E-10	2.151902E-12
3.820000E+03	1.194845E-10	2.174161E-12
3.830000E+03	1.224355E-10	2.199491E-12
3.840000E+03	1.255775E-10	2.227154E-12
3.850000E+03	1.287506E-10	2.259078E-12
3.860000E+03	1.317739E-10	2.290404E-12
3.870000E+03	1.344615E-10	2.318941E-12
