#wls	flux	fluxerr
1.600160E+03	4.301762E-05	1.624531E-06
1.640164E+03	4.331390E-05	1.624118E-06
1.680168E+03	4.362598E-05	1.623895E-06
1.720172E+03	4.396111E-05	1.624107E-06
1.760176E+03	4.433337E-05	1.625243E-06
1.800180E+03	4.473652E-05	1.627034E-06
1.840184E+03	4.518484E-05	1.629960E-06
1.880188E+03	4.567905E-05	1.633993E-06
1.920192E+03	4.622686E-05	1.639355E-06
1.960196E+03	4.683609E-05	1.646258E-06
2.000200E+03	4.752158E-05	1.655146E-06
2.040204E+03	4.829158E-05	1.666217E-06
2.080208E+03	4.916139E-05	1.679892E-06
2.120212E+03	5.014666E-05	1.696584E-06
2.160216E+03	5.125648E-05	1.716457E-06
2.200220E+03	5.250027E-05	1.739673E-06
2.240224E+03	5.388788E-05	1.766385E-06
2.280228E+03	5.543655E-05	1.796971E-06
2.320232E+03	5.715017E-05	1.831347E-06
2.360236E+03	5.904005E-05	1.869653E-06
2.400240E+03	6.111104E-05	1.911802E-06
2.440244E+03	6.336849E-05	1.957709E-06
2.480248E+03	6.582529E-05	2.007506E-06
2.520252E+03	6.849486E-05	2.061309E-06
2.560256E+03	7.136946E-05	2.118578E-06
2.600260E+03	7.446998E-05	2.179618E-06
2.640264E+03	7.780277E-05	2.244271E-06
2.680268E+03	8.137350E-05	2.312338E-06
2.720272E+03	8.520845E-05	2.384184E-06
2.760276E+03	8.929516E-05	2.459051E-06
2.800280E+03	9.365459E-05	2.537098E-06
2.840284E+03	9.827300E-05	2.617519E-06
2.880288E+03	1.031294E-04	2.699334E-06
2.920292E+03	1.082006E-04	2.781540E-06
2.960296E+03	1.134589E-04	2.863061E-06
3.000300E+03	1.188700E-04	2.942703E-06
3.010301E+03	1.202402E-04	2.962128E-06
3.020302E+03	1.216167E-04	2.981334E-06
3.030303E+03	1.230059E-04	3.000475E-06
3.040304E+03	1.243988E-04	3.019327E-06
3.050305E+03	1.257940E-04	3.037854E-06
3.060306E+03	1.271902E-04	3.056021E-06
3.070307E+03	1.285937E-04	3.073979E-06
3.080308E+03	1.300030E-04	3.091688E-06
3.090309E+03	1.314089E-04	3.108928E-06
