#wls	flux	fluxerr
1.600160E+03	3.309756E-06	4.243804E-08
1.640164E+03	3.305452E-06	4.230008E-08
1.680168E+03	3.301317E-06	4.216261E-08
1.720172E+03	3.298515E-06	4.204044E-08
1.760176E+03	3.295937E-06	4.191934E-08
1.800180E+03	3.294196E-06	4.180705E-08
1.840184E+03	3.293336E-06	4.170404E-08
1.880188E+03	3.293969E-06	4.161795E-08
1.920192E+03	3.295605E-06	4.154245E-08
1.960196E+03	3.298876E-06	4.148537E-08
2.000200E+03	3.303328E-06	4.144085E-08
2.040204E+03	3.310161E-06	4.142378E-08
2.080208E+03	3.318419E-06	4.142196E-08
2.120212E+03	3.329336E-06	4.145061E-08
2.160216E+03	3.342553E-06	4.150495E-08
2.200220E+03	3.358280E-06	4.158735E-08
2.240224E+03	3.377830E-06	4.171371E-08
2.280228E+03	3.400955E-06	4.188053E-08
2.320232E+03	3.427995E-06	4.209159E-08
2.360236E+03	3.459350E-06	4.235128E-08
2.400240E+03	3.496540E-06	4.267764E-08
2.440244E+03	3.539065E-06	4.306387E-08
2.480248E+03	3.589159E-06	4.353639E-08
2.520252E+03	3.646554E-06	4.409100E-08
2.560256E+03	3.712713E-06	4.474439E-08
2.600260E+03	3.788757E-06	4.550887E-08
2.640264E+03	3.877111E-06	4.641217E-08
2.680268E+03	3.978912E-06	4.746621E-08
2.720272E+03	4.096200E-06	4.869339E-08
2.760276E+03	4.232602E-06	5.013457E-08
2.800280E+03	4.391326E-06	5.182498E-08
2.840284E+03	4.576441E-06	5.380931E-08
2.880288E+03	4.793156E-06	5.614489E-08
2.920292E+03	5.049471E-06	5.892058E-08
2.960296E+03	5.354478E-06	6.223639E-08
3.000300E+03	5.720400E-06	6.622683E-08
3.010301E+03	5.823420E-06	6.735220E-08
3.020302E+03	5.931792E-06	6.853685E-08
3.030303E+03	6.045868E-06	6.978464E-08
3.040304E+03	6.165343E-06	7.109186E-08
3.050305E+03	6.291301E-06	7.247079E-08
3.060306E+03	6.424202E-06	7.392648E-08
3.070307E+03	6.564541E-06	7.546440E-08
3.080308E+03	6.712862E-06	7.709049E-08
3.090309E+03	6.869014E-06	7.880274E-08
3.100310E+03	7.034372E-06	8.061664E-08
3.110311E+03	7.210421E-06	8.254882E-08
3.120312E+03	7.396419E-06	8.459044E-08
3.130313E+03	7.593987E-06	8.675962E-08
3.140314E+03	7.804077E-06	8.906683E-08
3.150315E+03	8.026902E-06	9.151401E-08
3.160316E+03	8.265271E-06	9.413271E-08
3.170317E+03	8.519643E-06	9.692757E-08
3.180318E+03	8.791428E-06	9.991402E-08
3.190319E+03	9.081256E-06	1.030986E-07
3.200320E+03	9.392664E-06	1.065207E-07
3.210321E+03	9.726647E-06	1.101908E-07
3.220322E+03	1.008429E-05	1.141205E-07
3.230323E+03	1.046986E-05	1.183569E-07
3.240324E+03	1.088491E-05	1.229167E-07
3.250325E+03	1.133109E-05	1.278173E-07
3.260326E+03	1.181355E-05	1.331158E-07
3.270327E+03	1.233447E-05	1.388351E-07
3.280328E+03	1.289732E-05	1.450129E-07
3.290329E+03	1.350573E-05	1.516885E-07
3.300330E+03	1.416350E-05	1.589028E-07
3.310331E+03	1.487445E-05	1.666967E-07
3.320332E+03	1.564371E-05	1.751257E-07
3.330333E+03	1.647184E-05	1.841939E-07
3.340334E+03	1.736459E-05	1.939634E-07
3.350335E+03	1.832240E-05	2.044366E-07
3.360336E+03	1.934588E-05	2.156179E-07
3.370337E+03	2.043399E-05	2.274933E-07
3.380338E+03	2.158375E-05	2.400272E-07
3.390339E+03	2.279152E-05	2.531769E-07
3.400340E+03	2.404543E-05	2.668086E-07
3.410341E+03	2.532843E-05	2.807316E-07
3.420342E+03	2.661892E-05	2.947055E-07
3.430343E+03	2.788072E-05	3.083299E-07
3.440344E+03	2.907749E-05	3.212047E-07
3.450345E+03	3.016063E-05	3.327958E-07
3.460346E+03	3.108753E-05	3.426381E-07
3.470347E+03	3.181798E-05	3.502945E-07
3.480348E+03	3.232713E-05	3.554990E-07
3.490349E+03	3.261114E-05	3.582179E-07
3.500350E+03	3.268263E-05	3.585980E-07
3.510351E+03	3.257762E-05	3.570419E-07
3.520352E+03	3.235161E-05	3.541639E-07
3.530353E+03	3.206636E-05	3.506438E-07
3.540354E+03	3.178922E-05	3.472195E-07
3.550355E+03	3.158175E-05	3.445623E-07
3.560356E+03	3.148372E-05	3.431031E-07
3.570357E+03	3.152511E-05	3.431643E-07
3.580358E+03	3.171676E-05	3.448583E-07
3.590359E+03	3.205586E-05	3.481495E-07
3.600360E+03	3.253199E-05	3.529191E-07
3.610361E+03	3.312828E-05	3.589795E-07
3.620362E+03	3.382347E-05	3.660959E-07
3.630363E+03	3.459863E-05	3.740603E-07
3.640364E+03	3.543783E-05	3.826978E-07
3.650365E+03	3.631845E-05	3.917621E-07
3.660366E+03	3.721673E-05	4.009956E-07
3.670367E+03	3.808875E-05	4.099252E-07
3.680368E+03	3.887247E-05	4.178850E-07
3.690369E+03	3.948227E-05	4.239589E-07
3.700370E+03	3.981088E-05	4.270028E-07
3.710371E+03	3.975568E-05	4.259277E-07
3.720372E+03	3.921172E-05	4.196244E-07
3.730373E+03	3.811490E-05	4.074256E-07
3.740374E+03	3.645907E-05	3.892856E-07
3.750375E+03	3.430351E-05	3.658568E-07
3.760376E+03	3.178891E-05	3.386560E-07
3.770377E+03	2.911139E-05	3.097827E-07
3.780378E+03	2.647412E-05	2.814024E-07
3.790379E+03	2.405014E-05	2.553505E-07
3.800380E+03	2.196545E-05	2.329555E-07
3.810381E+03	2.029578E-05	2.150073E-07
3.820382E+03	1.908172E-05	2.019206E-07
3.830383E+03	1.833904E-05	1.938458E-07
3.840384E+03	1.807567E-05	1.908500E-07
3.850385E+03	1.830354E-05	1.930422E-07
3.860386E+03	1.904207E-05	2.006095E-07
3.870387E+03	2.031726E-05	2.138083E-07
3.880388E+03	2.215920E-05	2.329360E-07
3.890389E+03	2.458054E-05	2.581063E-07
3.900390E+03	2.756353E-05	2.891135E-07
3.910391E+03	3.104160E-05	3.252412E-07
3.920392E+03	3.487736E-05	3.650351E-07
3.930393E+03	3.886354E-05	4.063167E-07
