#wls	flux	fluxerr
1.600160E+03	5.157009E-06	1.272339E-07
1.640164E+03	5.183764E-06	1.275272E-07
1.680168E+03	5.198861E-06	1.275212E-07
1.720172E+03	5.202871E-06	1.272322E-07
1.760176E+03	5.194906E-06	1.266407E-07
1.800180E+03	5.173084E-06	1.257036E-07
1.840184E+03	5.132735E-06	1.243110E-07
1.880188E+03	5.070629E-06	1.223896E-07
1.920192E+03	4.983659E-06	1.198700E-07
1.960196E+03	4.869627E-06	1.167064E-07
2.000200E+03	4.731487E-06	1.129767E-07
2.040204E+03	4.582696E-06	1.090083E-07
2.080208E+03	4.448349E-06	1.053994E-07
2.120212E+03	4.363877E-06	1.029829E-07
2.160216E+03	4.357194E-06	1.024010E-07
2.200220E+03	4.439972E-06	1.039041E-07
2.240224E+03	4.601512E-06	1.072153E-07
2.280228E+03	4.816357E-06	1.117189E-07
2.320232E+03	5.060116E-06	1.168334E-07
2.360236E+03	5.313486E-06	1.221041E-07
2.400240E+03	5.567004E-06	1.273094E-07
2.440244E+03	5.815572E-06	1.323313E-07
2.480248E+03	6.058809E-06	1.371609E-07
2.520252E+03	6.298370E-06	1.418356E-07
2.560256E+03	6.536851E-06	1.464127E-07
2.600260E+03	6.777217E-06	1.509568E-07
2.640264E+03	7.022552E-06	1.555338E-07
2.680268E+03	7.275978E-06	1.602084E-07
2.720272E+03	7.539540E-06	1.650205E-07
2.760276E+03	7.817576E-06	1.700582E-07
2.800280E+03	8.113482E-06	1.753871E-07
2.840284E+03	8.429669E-06	1.810496E-07
2.880288E+03	8.771094E-06	1.871405E-07
2.920292E+03	9.141801E-06	1.937324E-07
2.960296E+03	9.547255E-06	2.009252E-07
3.000300E+03	9.994294E-06	2.088436E-07
3.010301E+03	1.011349E-05	2.109537E-07
3.020302E+03	1.023617E-05	2.131258E-07
3.030303E+03	1.036110E-05	2.153338E-07
3.040304E+03	1.049105E-05	2.176349E-07
3.050305E+03	1.062386E-05	2.199838E-07
3.060306E+03	1.076133E-05	2.224171E-07
3.070307E+03	1.090336E-05	2.249325E-07
3.080308E+03	1.104986E-05	2.275274E-07
3.090309E+03	1.120075E-05	2.301994E-07
3.100310E+03	1.135727E-05	2.329737E-07
3.110311E+03	1.151658E-05	2.357910E-07
3.120312E+03	1.168127E-05	2.387044E-07
3.130313E+03	1.184981E-05	2.416817E-07
3.140314E+03	1.202200E-05	2.447181E-07
3.150315E+03	1.219901E-05	2.478373E-07
3.160316E+03	1.237916E-05	2.510044E-07
