#wls	flux	fluxerr
1.600160E+03	2.698006E-07	4.436746E-09
1.640164E+03	2.737019E-07	4.500159E-09
1.680168E+03	2.772536E-07	4.557789E-09
1.720172E+03	2.804484E-07	4.609515E-09
1.760176E+03	2.832516E-07	4.654775E-09
1.800180E+03	2.855179E-07	4.691179E-09
1.840184E+03	2.870481E-07	4.715462E-09
1.880188E+03	2.875997E-07	4.723647E-09
1.920192E+03	2.869229E-07	4.711640E-09
1.960196E+03	2.848577E-07	4.676825E-09
2.000200E+03	2.815337E-07	4.621344E-09
2.040204E+03	2.776649E-07	4.556927E-09
2.080208E+03	2.748390E-07	4.509632E-09
2.120212E+03	2.751687E-07	4.514109E-09
2.160216E+03	2.808425E-07	4.606216E-09
2.200220E+03	2.929859E-07	4.804357E-09
2.240224E+03	3.114161E-07	5.105463E-09
2.280228E+03	3.348918E-07	5.489120E-09
2.320232E+03	3.622020E-07	5.935421E-09
2.360236E+03	3.925333E-07	6.430994E-09
2.400240E+03	4.253856E-07	6.967612E-09
2.440244E+03	4.609085E-07	7.547688E-09
2.480248E+03	4.996046E-07	8.179415E-09
2.520252E+03	5.419518E-07	8.870573E-09
2.560256E+03	5.889742E-07	9.637870E-09
2.600260E+03	6.414766E-07	1.049441E-08
2.640264E+03	7.008708E-07	1.146321E-08
2.680268E+03	7.683136E-07	1.256310E-08
2.720272E+03	8.457161E-07	1.382520E-08
2.760276E+03	9.347301E-07	1.527637E-08
2.800280E+03	1.037969E-06	1.695917E-08
2.840284E+03	1.157986E-06	1.891511E-08
2.880288E+03	1.297717E-06	2.119187E-08
2.920292E+03	1.461252E-06	2.385599E-08
2.960296E+03	1.652507E-06	2.697105E-08
3.000300E+03	1.875562E-06	3.060323E-08
3.010301E+03	1.937103E-06	3.160521E-08
3.020302E+03	2.000632E-06	3.263948E-08
3.030303E+03	2.066904E-06	3.371836E-08
3.040304E+03	2.135258E-06	3.483105E-08
3.050305E+03	2.206561E-06	3.599170E-08
3.060306E+03	2.280152E-06	3.718947E-08
3.070307E+03	2.356392E-06	3.843029E-08
3.080308E+03	2.435673E-06	3.972053E-08
3.090309E+03	2.517067E-06	4.104504E-08
3.100310E+03	2.601350E-06	4.241647E-08
3.110311E+03	2.687460E-06	4.381750E-08
3.120312E+03	2.776149E-06	4.526037E-08
3.130313E+03	2.866198E-06	4.672521E-08
3.140314E+03	2.957798E-06	4.821511E-08
3.150315E+03	3.051153E-06	4.973343E-08
3.160316E+03	3.144810E-06	5.125644E-08
3.170317E+03	3.239464E-06	5.279548E-08
3.180318E+03	3.333544E-06	5.432495E-08
3.190319E+03	3.427790E-06	5.585691E-08
3.200320E+03	3.520582E-06	5.736497E-08
3.210321E+03	3.612787E-06	5.886324E-08
3.220322E+03	3.702813E-06	6.032580E-08
3.230323E+03	3.791723E-06	6.176997E-08
3.240324E+03	3.878022E-06	6.317140E-08
3.250325E+03	3.962302E-06	6.453975E-08
3.260326E+03	4.045308E-06	6.588715E-08
3.270327E+03	4.125712E-06	6.719198E-08
3.280328E+03	4.205135E-06	6.848066E-08
3.290329E+03	4.282306E-06	6.973248E-08
3.300330E+03	4.358970E-06	7.097588E-08
3.310331E+03	4.433821E-06	7.218956E-08
3.320332E+03	4.508633E-06	7.340245E-08
3.330333E+03	4.581966E-06	7.459110E-08
3.340334E+03	4.654698E-06	7.576979E-08
3.350335E+03	4.727673E-06	7.695228E-08
3.360336E+03	4.799117E-06	7.810967E-08
3.370337E+03	4.870525E-06	7.926632E-08
3.380338E+03	4.939859E-06	8.038905E-08
3.390339E+03	5.008458E-06	8.149967E-08
3.400340E+03	5.074051E-06	8.256123E-08
3.410341E+03	5.137872E-06	8.359383E-08
3.420342E+03	5.197500E-06	8.455805E-08
3.430343E+03	5.254172E-06	8.547405E-08
3.440344E+03	5.305451E-06	8.630221E-08
3.450345E+03	5.352712E-06	8.706491E-08
3.460346E+03	5.393656E-06	8.772475E-08
3.470347E+03	5.428960E-06	8.829278E-08
3.480348E+03	5.459477E-06	8.878291E-08
3.490349E+03	5.483307E-06	8.916422E-08
3.500350E+03	5.502584E-06	8.947147E-08
3.510351E+03	5.515665E-06	8.967794E-08
3.520352E+03	5.524908E-06	8.982199E-08
3.530353E+03	5.528785E-06	8.987880E-08
3.540354E+03	5.529690E-06	8.988730E-08
3.550355E+03	5.526006E-06	8.982122E-08
3.560356E+03	5.519930E-06	8.971628E-08
3.570357E+03	5.509557E-06	8.954153E-08
3.580358E+03	5.496714E-06	8.932668E-08
3.590359E+03	5.479089E-06	8.903417E-08
3.600360E+03	5.457096E-06	8.867073E-08
3.610361E+03	5.430939E-06	8.823970E-08
3.620362E+03	5.397760E-06	8.769467E-08
3.630363E+03	5.358465E-06	8.705036E-08
3.640364E+03	5.310087E-06	8.625862E-08
3.650365E+03	5.253533E-06	8.533418E-08
3.660366E+03	5.186085E-06	8.423295E-08
3.670367E+03	5.109013E-06	8.297557E-08
3.680368E+03	5.020248E-06	8.152849E-08
3.690369E+03	4.921789E-06	7.992420E-08
3.700370E+03	4.812557E-06	7.814521E-08
3.710371E+03	4.695506E-06	7.623952E-08
3.720372E+03	4.570699E-06	7.420817E-08
3.730373E+03	4.442028E-06	7.211439E-08
3.740374E+03	4.310557E-06	6.997543E-08
3.750375E+03	4.180074E-06	6.785281E-08
3.760376E+03	4.054468E-06	6.580966E-08
3.770377E+03	3.935496E-06	6.387445E-08
3.780378E+03	3.827739E-06	6.212151E-08
3.790379E+03	3.732803E-06	6.057688E-08
3.800380E+03	3.654783E-06	5.930698E-08
3.810381E+03	3.594833E-06	5.833045E-08
3.820382E+03	3.556418E-06	5.770348E-08
3.830383E+03	3.540163E-06	5.743613E-08
3.840384E+03	3.548967E-06	5.757537E-08
3.850385E+03	3.582957E-06	5.812318E-08
3.860386E+03	3.644551E-06	5.911870E-08
3.870387E+03	3.733336E-06	6.055518E-08
3.880388E+03	3.850495E-06	6.245169E-08
3.890389E+03	3.996856E-06	6.482159E-08
3.900390E+03	4.170615E-06	6.763556E-08
3.910391E+03	4.372141E-06	7.089949E-08
3.920392E+03	4.598019E-06	7.455794E-08
3.930393E+03	4.847034E-06	7.859111E-08
3.940394E+03	5.113728E-06	8.291049E-08
3.950395E+03	5.395159E-06	8.746831E-08
3.960396E+03	5.683949E-06	9.214493E-08
3.970397E+03	5.975990E-06	9.687377E-08
3.980398E+03	6.262912E-06	1.015191E-07
3.990399E+03	6.539594E-06	1.059980E-07
4.000400E+03	6.801695E-06	1.102401E-07
4.010401E+03	7.042262E-06	1.141328E-07
4.020402E+03	7.260418E-06	1.176619E-07
4.030403E+03	7.451732E-06	1.207558E-07
4.040404E+03	7.618394E-06	1.234498E-07
4.050405E+03	7.758710E-06	1.257168E-07
4.060406E+03	7.877564E-06	1.276358E-07
4.070407E+03	7.975265E-06	1.292120E-07
4.080408E+03	8.056869E-06	1.305273E-07
4.090409E+03	8.127788E-06	1.316695E-07
4.100410E+03	8.189124E-06	1.326563E-07
4.110411E+03	8.247514E-06	1.335955E-07
4.120412E+03	8.303389E-06	1.344938E-07
4.130413E+03	8.362520E-06	1.354449E-07
4.140414E+03	8.424213E-06	1.364375E-07
4.150415E+03	8.493120E-06	1.375469E-07
4.160416E+03	8.567343E-06	1.387424E-07
4.170417E+03	8.648917E-06	1.400568E-07
4.180418E+03	8.739419E-06	1.415159E-07
4.190419E+03	8.835315E-06	1.430622E-07
4.200420E+03	8.938810E-06	1.447315E-07
4.210421E+03	9.045423E-06	1.464512E-07
4.220422E+03	9.156634E-06	1.482453E-07
4.230423E+03	9.267175E-06	1.500285E-07
4.240424E+03	9.376342E-06	1.517895E-07
4.250425E+03	9.483327E-06	1.535150E-07
4.260426E+03	9.582230E-06	1.551097E-07
4.270427E+03	9.673932E-06	1.565879E-07
4.280428E+03	9.752780E-06	1.578579E-07
4.290429E+03	9.820425E-06	1.589467E-07
4.300430E+03	9.872299E-06	1.597803E-07
4.310431E+03	9.909943E-06	1.603836E-07
4.320432E+03	9.936032E-06	1.608000E-07
4.330433E+03	9.949184E-06	1.610071E-07
4.340434E+03	9.956294E-06	1.611166E-07
4.350435E+03	9.958368E-06	1.611447E-07
4.360436E+03	9.962647E-06	1.612087E-07
4.370437E+03	9.977016E-06	1.614360E-07
4.380438E+03	1.000423E-05	1.618713E-07
4.390439E+03	1.005369E-05	1.626665E-07
4.400440E+03	1.012658E-05	1.638411E-07
4.410441E+03	1.022815E-05	1.654796E-07
4.420442E+03	1.036260E-05	1.676503E-07
