#wls	flux	fluxerr
1.600000E+03	1.634842E-15	5.762687E-17
1.640000E+03	1.632386E-15	5.734036E-17
1.680000E+03	1.629848E-15	5.704669E-17
1.720000E+03	1.628093E-15	5.677603E-17
1.760000E+03	1.626591E-15	5.650954E-17
1.800000E+03	1.625653E-15	5.625783E-17
1.840000E+03	1.625041E-15	5.601243E-17
1.880000E+03	1.625077E-15	5.578414E-17
1.920000E+03	1.626081E-15	5.558357E-17
1.960000E+03	1.627569E-15	5.539372E-17
2.000000E+03	1.630148E-15	5.523489E-17
2.040000E+03	1.633626E-15	5.509998E-17
2.080000E+03	1.638093E-15	5.499147E-17
2.120000E+03	1.643916E-15	5.492107E-17
2.160000E+03	1.651211E-15	5.489182E-17
2.200000E+03	1.660111E-15	5.490726E-17
2.240000E+03	1.670508E-15	5.496281E-17
2.280000E+03	1.683106E-15	5.508067E-17
2.320000E+03	1.697848E-15	5.525753E-17
2.360000E+03	1.714973E-15	5.549976E-17
2.400000E+03	1.735287E-15	5.583178E-17
2.440000E+03	1.758587E-15	5.624504E-17
2.480000E+03	1.785521E-15	5.675804E-17
2.520000E+03	1.816540E-15	5.738265E-17
2.560000E+03	1.852447E-15	5.814122E-17
2.600000E+03	1.893887E-15	5.905045E-17
2.640000E+03	1.941363E-15	6.012201E-17
2.680000E+03	1.996362E-15	6.139730E-17
2.720000E+03	2.059766E-15	6.289775E-17
2.760000E+03	2.133284E-15	6.466902E-17
2.800000E+03	2.218714E-15	6.675763E-17
2.840000E+03	2.318323E-15	6.922231E-17
2.880000E+03	2.435006E-15	7.213805E-17
2.920000E+03	2.572834E-15	7.561132E-17
2.960000E+03	2.737081E-15	7.977948E-17
3.000000E+03	2.933979E-15	8.480191E-17
3.010000E+03	2.989055E-15	8.620963E-17
3.020000E+03	3.047068E-15	8.769445E-17
3.030000E+03	3.108203E-15	8.926106E-17
3.040000E+03	3.172278E-15	9.090368E-17
3.050000E+03	3.239878E-15	9.263840E-17
3.060000E+03	3.310842E-15	9.445996E-17
3.070000E+03	3.385799E-15	9.638560E-17
3.080000E+03	3.464615E-15	9.841072E-17
3.090000E+03	3.547558E-15	1.005421E-16
3.100000E+03	3.635768E-15	1.028112E-16
3.110000E+03	3.728316E-15	1.051907E-16
3.120000E+03	3.826838E-15	1.077259E-16
3.130000E+03	3.930411E-15	1.103895E-16
3.140000E+03	4.040789E-15	1.132298E-16
3.150000E+03	4.157525E-15	1.162328E-16
3.160000E+03	4.281089E-15	1.194104E-16
3.170000E+03	4.412478E-15	1.227889E-16
3.180000E+03	4.552278E-15	1.263830E-16
3.190000E+03	4.700591E-15	1.301939E-16
3.200000E+03	4.858585E-15	1.342520E-16
3.210000E+03	5.026425E-15	1.385600E-16
3.220000E+03	5.205398E-15	1.431512E-16
3.230000E+03	5.395733E-15	1.480296E-16
3.240000E+03	5.598840E-15	1.532315E-16
3.250000E+03	5.815622E-15	1.587789E-16
3.260000E+03	6.046378E-15	1.646771E-16
3.270000E+03	6.292685E-15	1.709661E-16
3.280000E+03	6.555536E-15	1.776697E-16
3.290000E+03	6.835215E-15	1.847920E-16
3.300000E+03	7.133368E-15	1.923739E-16
3.310000E+03	7.450156E-15	2.004161E-16
3.320000E+03	7.787145E-15	2.089565E-16
3.330000E+03	8.145040E-15	2.180099E-16
3.340000E+03	8.523474E-15	2.275620E-16
3.350000E+03	8.923437E-15	2.376351E-16
3.360000E+03	9.343742E-15	2.481930E-16
3.370000E+03	9.785372E-15	2.592574E-16
3.380000E+03	1.024368E-14	2.707013E-16
3.390000E+03	1.071881E-14	2.825245E-16
3.400000E+03	1.120446E-14	2.945582E-16
3.410000E+03	1.169586E-14	3.066745E-16
3.420000E+03	1.218428E-14	3.186443E-16
3.430000E+03	1.266295E-14	3.302914E-16
3.440000E+03	1.311787E-14	3.412536E-16
3.450000E+03	1.354198E-14	3.513522E-16
3.460000E+03	1.392249E-14	3.602627E-16
3.470000E+03	1.425222E-14	3.678091E-16
3.480000E+03	1.452436E-14	3.738263E-16
3.490000E+03	1.474022E-14	3.783598E-16
3.500000E+03	1.490029E-14	3.814345E-16
3.510000E+03	1.501258E-14	3.832658E-16
3.520000E+03	1.509204E-14	3.842448E-16
3.530000E+03	1.515118E-14	3.846961E-16
3.540000E+03	1.520685E-14	3.850503E-16
3.550000E+03	1.527859E-14	3.858018E-16
3.560000E+03	1.537888E-14	3.872615E-16
3.570000E+03	1.552037E-14	3.897415E-16
3.580000E+03	1.571511E-14	3.935346E-16
3.590000E+03	1.596604E-14	3.987035E-16
3.600000E+03	1.627658E-14	4.053213E-16
3.610000E+03	1.664374E-14	4.133015E-16
3.620000E+03	1.706525E-14	4.225763E-16
3.630000E+03	1.752926E-14	4.328414E-16
3.640000E+03	1.802234E-14	4.437579E-16
3.650000E+03	1.852901E-14	4.549393E-16
3.660000E+03	1.902162E-14	4.657059E-16
3.670000E+03	1.946885E-14	4.752968E-16
3.680000E+03	1.983635E-14	4.828847E-16
3.690000E+03	2.007867E-14	4.873838E-16
3.700000E+03	2.015268E-14	4.877765E-16
3.710000E+03	2.002333E-14	4.832518E-16
3.720000E+03	1.966082E-14	4.731355E-16
3.730000E+03	1.905907E-14	4.573306E-16
3.740000E+03	1.823265E-14	4.362351E-16
3.750000E+03	1.722370E-14	4.109015E-16
3.760000E+03	1.609302E-14	3.828136E-16
3.770000E+03	1.491279E-14	3.537084E-16
3.780000E+03	1.375484E-14	3.252950E-16
3.790000E+03	1.268365E-14	2.990886E-16
3.800000E+03	1.175112E-14	2.762913E-16
3.810000E+03	1.098966E-14	2.576344E-16
3.820000E+03	1.042036E-14	2.435751E-16
3.830000E+03	1.005637E-14	2.343804E-16
3.840000E+03	9.902712E-15	2.301247E-16
3.850000E+03	9.964550E-15	2.308850E-16
3.860000E+03	1.024843E-14	2.367687E-16
3.870000E+03	1.076135E-14	2.478919E-16
3.880000E+03	1.150940E-14	2.643489E-16
3.890000E+03	1.249726E-14	2.861997E-16
3.900000E+03	1.372075E-14	3.133013E-16
3.910000E+03	1.516563E-14	3.452834E-16
3.920000E+03	1.680027E-14	3.813850E-16
3.930000E+03	1.857866E-14	4.205284E-16
3.940000E+03	2.044027E-14	4.613204E-16
3.950000E+03	2.231608E-14	5.021931E-16
3.960000E+03	2.414006E-14	5.416643E-16
3.970000E+03	2.585796E-14	5.785319E-16
3.980000E+03	2.742930E-14	6.119158E-16
3.990000E+03	2.882594E-14	6.412200E-16
4.000000E+03	3.004276E-14	6.663663E-16
4.010000E+03	3.107233E-14	6.872271E-16
4.020000E+03	3.192463E-14	7.040592E-16
4.030000E+03	3.260036E-14	7.169129E-16
4.040000E+03	3.311264E-14	7.261108E-16
4.050000E+03	3.347031E-14	7.318776E-16
4.060000E+03	3.368851E-14	7.345732E-16
4.070000E+03	3.377983E-14	7.344977E-16
4.080000E+03	3.375974E-14	7.320102E-16
4.090000E+03	3.364514E-14	7.274974E-16
4.100000E+03	3.344656E-14	7.212032E-16
4.110000E+03	3.317367E-14	7.133512E-16
4.120000E+03	3.283323E-14	7.040995E-16
4.130000E+03	3.243251E-14	6.936152E-16
4.140000E+03	3.197576E-14	6.819996E-16
4.150000E+03	3.147317E-14	6.694788E-16
4.160000E+03	3.094112E-14	6.564078E-16
4.170000E+03	3.040293E-14	6.432846E-16
4.180000E+03	2.988975E-14	6.307671E-16
4.190000E+03	2.943081E-14	6.194657E-16
4.200000E+03	2.906222E-14	6.101296E-16
4.210000E+03	2.881081E-14	6.033053E-16
4.220000E+03	2.869647E-14	5.993893E-16
4.230000E+03	2.873488E-14	5.986868E-16
4.240000E+03	2.892630E-14	6.011799E-16
4.250000E+03	2.926133E-14	6.066505E-16
4.260000E+03	2.971845E-14	6.146331E-16
4.270000E+03	3.026414E-14	6.244187E-16
4.280000E+03	3.085241E-14	6.350493E-16
4.290000E+03	3.143520E-14	6.455336E-16
