#wls	flux	fluxerr
1.600000E+03	7.693282E-15	1.109568E-14
1.640000E+03	7.691348E-15	1.103398E-14
1.680000E+03	7.692125E-15	1.097138E-14
1.720000E+03	7.694263E-15	1.090553E-14
1.760000E+03	7.700548E-15	1.083996E-14
1.800000E+03	7.711016E-15	1.077420E-14
1.840000E+03	7.724341E-15	1.070585E-14
1.880000E+03	7.744694E-15	1.064009E-14
1.920000E+03	7.770766E-15	1.057438E-14
1.960000E+03	7.804005E-15	1.050989E-14
2.000000E+03	7.845869E-15	1.044768E-14
2.040000E+03	7.896468E-15	1.038684E-14
2.080000E+03	7.958669E-15	1.032997E-14
2.120000E+03	8.033995E-15	1.027762E-14
2.160000E+03	8.122640E-15	1.022843E-14
2.200000E+03	8.226203E-15	1.018261E-14
2.240000E+03	8.344970E-15	1.013848E-14
2.280000E+03	8.479287E-15	1.009425E-14
2.320000E+03	8.629569E-15	1.004797E-14
2.360000E+03	8.796311E-15	9.997529E-15
2.400000E+03	8.978730E-15	9.939171E-15
2.440000E+03	9.176138E-15	9.869119E-15
2.480000E+03	9.390695E-15	9.786460E-15
2.520000E+03	9.621944E-15	9.687160E-15
2.560000E+03	9.869546E-15	9.567176E-15
2.600000E+03	1.013744E-14	9.426335E-15
2.640000E+03	1.042420E-14	9.258903E-15
2.680000E+03	1.073269E-14	9.062894E-15
2.720000E+03	1.106454E-14	8.834761E-15
2.760000E+03	1.142295E-14	8.571805E-15
2.800000E+03	1.180841E-14	8.268886E-15
2.840000E+03	1.222145E-14	7.920990E-15
2.880000E+03	1.266399E-14	7.524242E-15
2.920000E+03	1.313636E-14	7.074194E-15
2.960000E+03	1.363856E-14	6.567260E-15
3.000000E+03	1.417302E-14	6.002568E-15
3.010000E+03	1.431257E-14	5.852686E-15
3.020000E+03	1.445510E-14	5.699574E-15
3.030000E+03	1.459757E-14	5.542082E-15
3.040000E+03	1.474452E-14	5.382027E-15
3.050000E+03	1.489289E-14	5.218311E-15
3.060000E+03	1.504264E-14	5.051055E-15
3.070000E+03	1.519528E-14	4.880899E-15
3.080000E+03	1.535077E-14	4.707950E-15
3.090000E+03	1.550906E-14	4.532342E-15
3.100000E+03	1.567012E-14	4.354244E-15
3.110000E+03	1.583232E-14	4.173445E-15
3.120000E+03	1.599870E-14	3.991035E-15
3.130000E+03	1.616606E-14	3.806496E-15
3.140000E+03	1.633745E-14	3.620929E-15
3.150000E+03	1.650959E-14	3.434006E-15
3.160000E+03	1.668556E-14	3.246863E-15
3.170000E+03	1.686361E-14	3.059673E-15
3.180000E+03	1.704522E-14	2.873307E-15
3.190000E+03	1.722862E-14	2.688139E-15
3.200000E+03	1.741361E-14	2.504949E-15
3.210000E+03	1.760326E-14	2.325047E-15
3.220000E+03	1.779410E-14	2.148935E-15
3.230000E+03	1.798755E-14	1.977927E-15
3.240000E+03	1.818336E-14	1.813267E-15
3.250000E+03	1.838129E-14	1.656382E-15
3.260000E+03	1.858272E-14	1.509061E-15
3.270000E+03	1.878575E-14	1.373061E-15
3.280000E+03	1.899010E-14	1.250581E-15
3.290000E+03	1.919886E-14	1.144227E-15
3.300000E+03	1.941044E-14	1.056109E-15
3.310000E+03	1.962423E-14	9.873072E-16
3.320000E+03	1.984620E-14	9.373134E-16
3.330000E+03	2.008003E-14	9.040391E-16
3.340000E+03	2.032806E-14	8.845004E-16
3.350000E+03	2.059776E-14	8.754450E-16
3.360000E+03	2.089136E-14	8.737830E-16
3.370000E+03	2.121215E-14	8.772147E-16
3.380000E+03	2.156432E-14	8.839656E-16
3.390000E+03	2.195097E-14	8.929270E-16
3.400000E+03	2.236822E-14	9.032613E-16
3.410000E+03	2.281850E-14	9.144348E-16
3.420000E+03	2.329379E-14	9.257519E-16
3.430000E+03	2.379228E-14	9.369647E-16
3.440000E+03	2.430855E-14	9.474843E-16
3.450000E+03	2.483600E-14	9.568032E-16
3.460000E+03	2.537758E-14	9.649030E-16
3.470000E+03	2.592905E-14	9.712354E-16
3.480000E+03	2.649994E-14	9.759298E-16
3.490000E+03	2.709531E-14	9.791329E-16
3.500000E+03	2.771814E-14	9.807045E-16
3.510000E+03	2.837640E-14	9.809227E-16
3.520000E+03	2.906993E-14	9.800983E-16
3.530000E+03	2.979759E-14	9.784173E-16
3.540000E+03	3.055176E-14	9.761972E-16
3.550000E+03	3.131958E-14	9.739934E-16
3.560000E+03	3.208397E-14	9.722257E-16
3.570000E+03	3.282108E-14	9.716609E-16
3.580000E+03	3.351484E-14	9.737535E-16
3.590000E+03	3.414900E-14	9.793635E-16
3.600000E+03	3.472908E-14	9.891541E-16
3.610000E+03	3.528665E-14	1.003238E-15
3.620000E+03	3.586434E-14	1.020514E-15
3.630000E+03	3.651527E-14	1.040118E-15
3.640000E+03	3.729680E-14	1.061936E-15
3.650000E+03	3.825334E-14	1.085772E-15
3.660000E+03	3.941350E-14	1.111898E-15
3.670000E+03	4.077903E-14	1.140626E-15
3.680000E+03	4.231953E-14	1.171289E-15
3.690000E+03	4.396795E-14	1.202583E-15
3.700000E+03	4.562473E-14	1.232515E-15
3.710000E+03	4.716681E-14	1.257796E-15
3.720000E+03	4.846228E-14	1.275210E-15
3.730000E+03	4.939333E-14	1.282594E-15
3.740000E+03	4.988026E-14	1.278735E-15
3.750000E+03	4.989012E-14	1.264201E-15
3.760000E+03	4.945397E-14	1.241112E-15
3.770000E+03	4.866044E-14	1.211581E-15
3.780000E+03	4.764044E-14	1.178486E-15
3.790000E+03	4.655926E-14	1.145578E-15
3.800000E+03	4.559640E-14	1.116317E-15
3.810000E+03	4.492736E-14	1.094598E-15
3.820000E+03	4.471356E-14	1.084467E-15
3.830000E+03	4.509510E-14	1.088941E-15
3.840000E+03	4.618799E-14	1.110875E-15
3.850000E+03	4.808189E-14	1.152823E-15
3.860000E+03	5.083828E-14	1.215926E-15
3.870000E+03	5.446268E-14	1.300290E-15
3.880000E+03	5.889805E-14	1.404890E-15
3.890000E+03	6.398282E-14	1.525207E-15
3.900000E+03	6.945834E-14	1.654506E-15
3.910000E+03	7.499884E-14	1.784634E-15
3.920000E+03	8.028923E-14	1.906201E-15
3.930000E+03	8.507747E-14	2.011655E-15
3.940000E+03	8.924301E-14	2.097971E-15
3.950000E+03	9.283128E-14	2.166271E-15
3.960000E+03	9.603462E-14	2.222725E-15
3.970000E+03	9.910118E-14	2.275182E-15
3.980000E+03	1.022693E-13	2.328601E-15
3.990000E+03	1.056966E-13	2.386138E-15
4.000000E+03	1.093931E-13	2.448463E-15
4.010000E+03	1.131687E-13	2.510519E-15
4.020000E+03	1.166738E-13	2.565268E-15
4.030000E+03	1.194957E-13	2.605514E-15
4.040000E+03	1.212746E-13	2.623055E-15
4.050000E+03	1.217428E-13	2.612733E-15
4.060000E+03	1.208198E-13	2.574456E-15
4.070000E+03	1.186157E-13	2.509788E-15
4.080000E+03	1.153555E-13	2.423873E-15
4.090000E+03	1.113092E-13	2.323632E-15
4.100000E+03	1.067161E-13	2.212851E-15
4.110000E+03	1.017789E-13	2.095878E-15
4.120000E+03	9.663095E-14	1.976856E-15
4.130000E+03	9.135833E-14	1.857187E-15
4.140000E+03	8.604514E-14	1.739516E-15
4.150000E+03	8.080385E-14	1.627529E-15
