#wls	flux	fluxerr	mangling_mask
3.639960E+03	4.733744E-15	1.277992E-15	3.875671E+00
3.644890E+03	4.450165E-15	1.213899E-15	3.878477E+00
3.649820E+03	4.293466E-15	1.177610E-15	3.881274E+00
3.654770E+03	4.162561E-15	1.147225E-15	3.884073E+00
3.659720E+03	4.045835E-15	1.155136E-15	3.886862E+00
3.664680E+03	3.681551E-15	1.086152E-15	3.889647E+00
3.669640E+03	3.716173E-15	1.107625E-15	3.892421E+00
3.674610E+03	3.640485E-15	1.099440E-15	3.895191E+00
3.679590E+03	3.706839E-15	1.213703E-15	3.897956E+00
3.684580E+03	3.723193E-15	1.210365E-15	3.900715E+00
3.689570E+03	3.966698E-15	1.194298E-15	3.903462E+00
3.694570E+03	4.105030E-15	1.331793E-15	3.906204E+00
3.699570E+03	4.258784E-15	1.546479E-15	3.908935E+00
3.704580E+03	4.605195E-15	1.660560E-15	3.911658E+00
3.709600E+03	5.014706E-15	1.709455E-15	3.914375E+00
3.714630E+03	5.352697E-15	1.684508E-15	3.917085E+00
3.719660E+03	5.742873E-15	1.848909E-15	3.919783E+00
3.724700E+03	6.268111E-15	1.944186E-15	3.922472E+00
3.729740E+03	6.743405E-15	1.933262E-15	3.925149E+00
3.734800E+03	7.142352E-15	1.883345E-15	3.927822E+00
3.739860E+03	7.227763E-15	1.822298E-15	3.930482E+00
3.744920E+03	7.507553E-15	1.870171E-15	3.933127E+00
3.750000E+03	7.916012E-15	1.936595E-15	3.935769E+00
3.755080E+03	8.308440E-15	1.915512E-15	3.938396E+00
3.760160E+03	8.306068E-15	1.897463E-15	3.941008E+00
3.765260E+03	7.954271E-15	1.797241E-15	3.943615E+00
3.770360E+03	7.978835E-15	1.777822E-15	3.946206E+00
3.775470E+03	7.721853E-15	1.885511E-15	3.948787E+00
3.780580E+03	7.440395E-15	1.866582E-15	3.951352E+00
3.785700E+03	7.168824E-15	1.807508E-15	3.953905E+00
3.790830E+03	6.981544E-15	1.944048E-15	3.956446E+00
3.795970E+03	6.735008E-15	1.892752E-15	3.958975E+00
3.801110E+03	6.522587E-15	1.866236E-15	3.961486E+00
3.806260E+03	6.498953E-15	1.788619E-15	3.963985E+00
3.811420E+03	6.550625E-15	1.659683E-15	3.966470E+00
3.816580E+03	6.492783E-15	1.616594E-15	3.968936E+00
3.821750E+03	6.436033E-15	1.624898E-15	3.971389E+00
3.826930E+03	6.446740E-15	1.435556E-15	3.973827E+00
3.832110E+03	6.469749E-15	1.433175E-15	3.976246E+00
3.837300E+03	6.347138E-15	1.375555E-15	3.978649E+00
3.842500E+03	6.076654E-15	1.342251E-15	3.981036E+00
3.847710E+03	5.944838E-15	1.351974E-15	3.983408E+00
3.852920E+03	6.072302E-15	1.332356E-15	3.985758E+00
3.858140E+03	6.272071E-15	1.334148E-15	3.988091E+00
3.863370E+03	6.331579E-15	1.354871E-15	3.990407E+00
3.868600E+03	6.209448E-15	1.321805E-15	3.992701E+00
3.873840E+03	6.528590E-15	1.386305E-15	3.994976E+00
3.879090E+03	7.137059E-15	1.458890E-15	3.997233E+00
3.884340E+03	7.988933E-15	1.751848E-15	3.999466E+00
3.889610E+03	9.495195E-15	1.983859E-15	4.001684E+00
3.894870E+03	1.136259E-14	2.302365E-15	4.003873E+00
3.900150E+03	1.347554E-14	2.851754E-15	4.006045E+00
3.905430E+03	1.574218E-14	3.213784E-15	4.008193E+00
3.910730E+03	1.799913E-14	3.611455E-15	4.010323E+00
3.916020E+03	2.006251E-14	3.970385E-15	4.012422E+00
3.921330E+03	2.154624E-14	4.126755E-15	4.014503E+00
3.926640E+03	2.219831E-14	4.240045E-15	4.016557E+00
3.931960E+03	2.245948E-14	4.257828E-15	4.018588E+00
3.937290E+03	2.219207E-14	4.091984E-15	4.020594E+00
3.942620E+03	2.139847E-14	3.939920E-15	4.022571E+00
3.947960E+03	2.026066E-14	3.686476E-15	4.024524E+00
3.953310E+03	1.883453E-14	3.375302E-15	4.026450E+00
3.958670E+03	1.765908E-14	3.274155E-15	4.028350E+00
3.964030E+03	1.661579E-14	3.057905E-15	4.030219E+00
3.969400E+03	1.601696E-14	2.981817E-15	4.032061E+00
3.974780E+03	1.541949E-14	2.871466E-15	4.033875E+00
3.980160E+03	1.540007E-14	2.834169E-15	4.035657E+00
3.985550E+03	1.571723E-14	2.866603E-15	4.037409E+00
3.990950E+03	1.635525E-14	2.941030E-15	4.039131E+00
3.996360E+03	1.744059E-14	2.964577E-15	4.040823E+00
4.001770E+03	1.888808E-14	3.172234E-15	4.042480E+00
4.007190E+03	2.048946E-14	3.390616E-15	4.044105E+00
4.012620E+03	2.226671E-14	3.648251E-15	4.045698E+00
4.018060E+03	2.422931E-14	3.937307E-15	4.047258E+00
4.023500E+03	2.636566E-14	4.257369E-15	4.048781E+00
4.028950E+03	2.820041E-14	4.514298E-15	4.050269E+00
4.034410E+03	2.963187E-14	4.697184E-15	4.051722E+00
4.039880E+03	3.094491E-14	4.867497E-15	4.053140E+00
4.045350E+03	3.200150E-14	4.990288E-15	4.054518E+00
4.050830E+03	3.267278E-14	5.051771E-15	4.055858E+00
4.056320E+03	3.304314E-14	5.093341E-15	4.057161E+00
4.061810E+03	3.329164E-14	5.083207E-15	4.058422E+00
4.067320E+03	3.352984E-14	5.095494E-15	4.059646E+00
4.072830E+03	3.375076E-14	5.080422E-15	4.060828E+00
4.078340E+03	3.379515E-14	5.054652E-15	4.061966E+00
4.083870E+03	3.351215E-14	5.007307E-15	4.063064E+00
4.089400E+03	3.298194E-14	4.909982E-15	4.064118E+00
4.094940E+03	3.248647E-14	4.764112E-15	4.065128E+00
4.100490E+03	3.208311E-14	4.724133E-15	4.066094E+00
4.106040E+03	3.168732E-14	4.691516E-15	4.067014E+00
4.111610E+03	3.145251E-14	4.619949E-15	4.067888E+00
4.117180E+03	3.145645E-14	4.568301E-15	4.068715E+00
4.122750E+03	3.154304E-14	4.518682E-15	4.069492E+00
4.128340E+03	3.179494E-14	4.472536E-15	4.070222E+00
4.133930E+03	3.218780E-14	4.499313E-15	4.070901E+00
4.139530E+03	3.245661E-14	4.455991E-15	4.071530E+00
4.145140E+03	3.260781E-14	4.317140E-15	4.072108E+00
4.150750E+03	3.250856E-14	4.297926E-15	4.072632E+00
4.156380E+03	3.213516E-14	4.222722E-15	4.073104E+00
4.162010E+03	3.162112E-14	4.106216E-15	4.073522E+00
4.167650E+03	3.088208E-14	3.968857E-15	4.073884E+00
4.173290E+03	2.983610E-14	3.778813E-15	4.074189E+00
4.178950E+03	2.854918E-14	3.691287E-15	4.074438E+00
4.184610E+03	2.726497E-14	3.609595E-15	4.074629E+00
4.190280E+03	2.565591E-14	3.352204E-15	4.074760E+00
4.195950E+03	2.399261E-14	3.272715E-15	4.074832E+00
4.201640E+03	2.235703E-14	3.175652E-15	4.074842E+00
4.207330E+03	2.091956E-14	3.018936E-15	4.074790E+00
4.213030E+03	1.965827E-14	2.881439E-15	4.074674E+00
4.218740E+03	1.869582E-14	2.613659E-15	4.074495E+00
4.224450E+03	1.822249E-14	2.431697E-15	4.074250E+00
4.230180E+03	1.831235E-14	2.406051E-15	4.073937E+00
4.235910E+03	1.896934E-14	2.317488E-15	4.073558E+00
4.241640E+03	2.031464E-14	2.259222E-15	4.073111E+00
4.247390E+03	2.206693E-14	2.394853E-15	4.072592E+00
4.253150E+03	2.425977E-14	2.595437E-15	4.072002E+00
4.258910E+03	2.640713E-14	2.777987E-15	4.071341E+00
4.264680E+03	2.836073E-14	2.882260E-15	4.070606E+00
4.270450E+03	3.028743E-14	3.026891E-15	4.069797E+00
