#wls	flux	fluxerr
1.597604E+03	2.618138E-03	9.586056E-06
1.637544E+03	2.659150E-03	9.736201E-06
1.677484E+03	2.702464E-03	9.894775E-06
1.717424E+03	2.748027E-03	1.006159E-05
1.757364E+03	2.796463E-03	1.023891E-05
1.797304E+03	2.847707E-03	1.042652E-05
1.837244E+03	2.902028E-03	1.062540E-05
1.877184E+03	2.959686E-03	1.083649E-05
1.917124E+03	3.020595E-03	1.105948E-05
1.957064E+03	3.086013E-03	1.129899E-05
1.997004E+03	3.155158E-03	1.155214E-05
2.036945E+03	3.229597E-03	1.182466E-05
2.076885E+03	3.309529E-03	1.211731E-05
2.116825E+03	3.395809E-03	1.243319E-05
2.156765E+03	3.489600E-03	1.277658E-05
2.196705E+03	3.592362E-03	1.315281E-05
2.236645E+03	3.705516E-03	1.356708E-05
2.276585E+03	3.830434E-03	1.402443E-05
2.316525E+03	3.968764E-03	1.453088E-05
2.356465E+03	4.120459E-03	1.508626E-05
2.396405E+03	4.286401E-03	1.569381E-05
2.436345E+03	4.465792E-03	1.635059E-05
2.476286E+03	4.659065E-03	1.705820E-05
2.516226E+03	4.866255E-03	1.781676E-05
2.556166E+03	5.087281E-03	1.862598E-05
2.596106E+03	5.322260E-03	1.948628E-05
2.636046E+03	5.570519E-03	2.039520E-05
2.675986E+03	5.832412E-03	2.135404E-05
2.715926E+03	6.106460E-03	2.235738E-05
2.755866E+03	6.392080E-03	2.340309E-05
2.795806E+03	6.687888E-03	2.448609E-05
2.835746E+03	6.991614E-03	2.559808E-05
2.875686E+03	7.301681E-03	2.673329E-05
2.915627E+03	7.616013E-03	2.788410E-05
2.955567E+03	7.932256E-03	2.904192E-05
2.995507E+03	8.246941E-03	3.019403E-05
3.005492E+03	8.325072E-03	3.048007E-05
3.015477E+03	8.402354E-03	3.076301E-05
3.025462E+03	8.478843E-03	3.104305E-05
3.035447E+03	8.554835E-03	3.132126E-05
3.045432E+03	8.629787E-03	3.159568E-05
3.055417E+03	8.703392E-03	3.186515E-05
3.065402E+03	8.775843E-03	3.213040E-05
3.075387E+03	8.846213E-03	3.238804E-05
3.085372E+03	8.914846E-03	3.263931E-05
3.095357E+03	8.980973E-03	3.288140E-05
3.105342E+03	9.044030E-03	3.311226E-05
3.115327E+03	9.103904E-03	3.333147E-05
3.125312E+03	9.159681E-03	3.353567E-05
3.135297E+03	9.211204E-03	3.372430E-05
3.145282E+03	9.257589E-03	3.389412E-05
3.155267E+03	9.298345E-03	3.404333E-05
3.165252E+03	9.333880E-03	3.417342E-05
3.175237E+03	9.363658E-03	3.428244E-05
3.185222E+03	9.388454E-03	3.437321E-05
3.195207E+03	9.408970E-03	3.444831E-05
3.205192E+03	9.426374E-03	3.451203E-05
3.215177E+03	9.442560E-03	3.457128E-05
3.225162E+03	9.459735E-03	3.463415E-05
3.235147E+03	9.481174E-03	3.471264E-05
3.245132E+03	9.509940E-03	3.481795E-05
3.255117E+03	9.550607E-03	3.496683E-05
3.265102E+03	9.607710E-03	3.517589E-05
3.275087E+03	9.686095E-03	3.546286E-05
3.285072E+03	9.789972E-03	3.584317E-05
3.295057E+03	9.923441E-03	3.633182E-05
3.303045E+03	6.828740E-03	2.500146E-05
3.305042E+03	6.867959E-03	2.514505E-05
3.307039E+03	6.860231E-03	2.511675E-05
3.309036E+03	6.978472E-03	2.554966E-05
3.311033E+03	7.109117E-03	2.602797E-05
3.313030E+03	7.267723E-03	2.660866E-05
3.315027E+03	7.348595E-03	2.690475E-05
3.317024E+03	7.457100E-03	2.730201E-05
3.319021E+03	7.526262E-03	2.755522E-05
3.321018E+03	7.594164E-03	2.780383E-05
3.323015E+03	7.601105E-03	2.782924E-05
3.325012E+03	7.711270E-03	2.823258E-05
3.327009E+03	7.748401E-03	2.836852E-05
3.329006E+03	7.738196E-03	2.833115E-05
3.331003E+03	7.654588E-03	2.802505E-05
3.333000E+03	7.620533E-03	2.790036E-05
3.334998E+03	7.713907E-03	2.824222E-05
3.336995E+03	7.863563E-03	2.879014E-05
3.338992E+03	7.830143E-03	2.866778E-05
3.340989E+03	7.772552E-03	2.845693E-05
3.342986E+03	7.820507E-03	2.863250E-05
3.344983E+03	7.895500E-03	2.890706E-05
3.346980E+03	8.022982E-03	2.937380E-05
3.348977E+03	8.144124E-03	2.981732E-05
3.350974E+03	8.303146E-03	3.039954E-05
3.352971E+03	8.573234E-03	3.138838E-05
