#wls	flux	fluxerr
1.597604E+03	3.468736E-05	1.112597E-06
1.637544E+03	3.519953E-05	1.128122E-06
1.677484E+03	3.575203E-05	1.144888E-06
1.717424E+03	3.634858E-05	1.163010E-06
1.757364E+03	3.699328E-05	1.182614E-06
1.797304E+03	3.769727E-05	1.204048E-06
1.837244E+03	3.846592E-05	1.227479E-06
1.877184E+03	3.929146E-05	1.252649E-06
1.917124E+03	4.019367E-05	1.280182E-06
1.957064E+03	4.117982E-05	1.310299E-06
1.997004E+03	4.225070E-05	1.343014E-06
2.036945E+03	4.341473E-05	1.378583E-06
2.076885E+03	4.468907E-05	1.417539E-06
2.116825E+03	4.607677E-05	1.459962E-06
2.156765E+03	4.758940E-05	1.506204E-06
2.196705E+03	4.925677E-05	1.557188E-06
2.236645E+03	5.106841E-05	1.612561E-06
2.276585E+03	5.305743E-05	1.673348E-06
2.316525E+03	5.523263E-05	1.739798E-06
2.356465E+03	5.762303E-05	1.812796E-06
2.396405E+03	6.025059E-05	1.892998E-06
2.436345E+03	6.312878E-05	1.980791E-06
2.476286E+03	6.628211E-05	2.076901E-06
2.516226E+03	6.974855E-05	2.182470E-06
2.556166E+03	7.354483E-05	2.297971E-06
2.596106E+03	7.771214E-05	2.424630E-06
2.636046E+03	8.228077E-05	2.563328E-06
2.675986E+03	8.725061E-05	2.713989E-06
2.715926E+03	9.268878E-05	2.878624E-06
2.755866E+03	9.858555E-05	3.056844E-06
2.795806E+03	1.049490E-04	3.248811E-06
2.835746E+03	1.117910E-04	3.454798E-06
2.875686E+03	1.190878E-04	3.673974E-06
2.915627E+03	1.267664E-04	3.903993E-06
2.955567E+03	1.347324E-04	4.141865E-06
2.995507E+03	1.428644E-04	4.383789E-06
3.005492E+03	1.449032E-04	4.444280E-06
3.015477E+03	1.469347E-04	4.504477E-06
3.025462E+03	1.489547E-04	4.564252E-06
3.035447E+03	1.509585E-04	4.623463E-06
3.045432E+03	1.529413E-04	4.681963E-06
3.055417E+03	1.548979E-04	4.739590E-06
3.065402E+03	1.568227E-04	4.796177E-06
3.075387E+03	1.587097E-04	4.851541E-06
3.085372E+03	1.605528E-04	4.905495E-06
3.095357E+03	1.623454E-04	4.957841E-06
3.105342E+03	1.640806E-04	5.008369E-06
3.115327E+03	1.657514E-04	5.056869E-06
3.125312E+03	1.673772E-04	5.103935E-06
3.135297E+03	1.688973E-04	5.147717E-06
3.145282E+03	1.703309E-04	5.188802E-06
3.155267E+03	1.716704E-04	5.226969E-06
3.165252E+03	1.729363E-04	5.262844E-06
3.175237E+03	1.740671E-04	5.294553E-06
3.185222E+03	1.750838E-04	5.322749E-06
3.195207E+03	1.760093E-04	5.348129E-06
3.205192E+03	1.767835E-04	5.368872E-06
3.215177E+03	1.774596E-04	5.386598E-06
3.225162E+03	1.779799E-04	5.399564E-06
3.235147E+03	1.783729E-04	5.408641E-06
3.245132E+03	1.786690E-04	5.414756E-06
3.255117E+03	1.788443E-04	5.417187E-06
3.265102E+03	1.788766E-04	5.415272E-06
3.275087E+03	1.788303E-04	5.410966E-06
3.285072E+03	1.786589E-04	5.402863E-06
3.295057E+03	1.784301E-04	5.393015E-06
3.305042E+03	1.781281E-04	5.380954E-06
3.315027E+03	1.777387E-04	5.366251E-06
3.325012E+03	1.773320E-04	5.351026E-06
3.334998E+03	1.768945E-04	5.334870E-06
3.344983E+03	1.764407E-04	5.318226E-06
3.354968E+03	1.759573E-04	5.300691E-06
3.364953E+03	1.755127E-04	5.284330E-06
3.374938E+03	1.750922E-04	5.268693E-06
3.384923E+03	1.747073E-04	5.254130E-06
3.394908E+03	1.743686E-04	5.240956E-06
3.404893E+03	1.740855E-04	5.229451E-06
3.414878E+03	1.738662E-04	5.219857E-06
3.424863E+03	1.736908E-04	5.211576E-06
3.434848E+03	1.736192E-04	5.206400E-06
3.444833E+03	1.736294E-04	5.203668E-06
3.454818E+03	1.737260E-04	5.203507E-06
3.464803E+03	1.739125E-04	5.206025E-06
3.474788E+03	1.741924E-04	5.211314E-06
3.484773E+03	1.745955E-04	5.220267E-06
3.494758E+03	1.750713E-04	5.231363E-06
3.504743E+03	1.756497E-04	5.245494E-06
3.514728E+03	1.763340E-04	5.262752E-06
3.524713E+03	1.771280E-04	5.283244E-06
3.534698E+03	1.780358E-04	5.307085E-06
3.544683E+03	1.790619E-04	5.334408E-06
3.554668E+03	1.802115E-04	5.365355E-06
3.564653E+03	1.815179E-04	5.400912E-06
3.574638E+03	1.829320E-04	5.439610E-06
3.584623E+03	1.844878E-04	5.482453E-06
3.594608E+03	1.861921E-04	5.529636E-06
3.604593E+03	1.880522E-04	5.581364E-06
3.614578E+03	1.901040E-04	5.638699E-06
3.624563E+03	1.922979E-04	5.700151E-06
3.634548E+03	1.946694E-04	5.766770E-06
3.644533E+03	1.972557E-04	5.839644E-06
3.654518E+03	2.000044E-04	5.917209E-06
3.664503E+03	2.029512E-04	6.000513E-06
3.674488E+03	2.061331E-04	6.090636E-06
3.684473E+03	2.094936E-04	6.185896E-06
3.694458E+03	2.130678E-04	6.287318E-06
3.704443E+03	2.168920E-04	6.395957E-06
3.714428E+03	2.209045E-04	6.509982E-06
3.724413E+03	2.251394E-04	6.630387E-06
3.734398E+03	2.296326E-04	6.758211E-06
3.744383E+03	2.343168E-04	6.891458E-06
3.754368E+03	2.392616E-04	7.032164E-06
3.764353E+03	2.443959E-04	7.178225E-06
3.774338E+03	2.497540E-04	7.330634E-06
3.784324E+03	2.553728E-04	7.490457E-06
3.794309E+03	2.611753E-04	7.655426E-06
3.804294E+03	2.672365E-04	7.827719E-06
3.814279E+03	2.734751E-04	8.004942E-06
3.824264E+03	2.799263E-04	8.188116E-06
3.834249E+03	2.866281E-04	8.378334E-06
3.844234E+03	2.934907E-04	8.572958E-06
3.854219E+03	3.005925E-04	8.774264E-06
3.864204E+03	3.078362E-04	8.979398E-06
