#wls	flux	fluxerr
1.597604E+03	9.365250E-07	2.691751E-08
1.637544E+03	9.862380E-07	2.833592E-08
1.677484E+03	1.029943E-06	2.958046E-08
1.717424E+03	1.066070E-06	3.060616E-08
1.757364E+03	1.093228E-06	3.137337E-08
1.797304E+03	1.108148E-06	3.178856E-08
1.837244E+03	1.106907E-06	3.173965E-08
1.877184E+03	1.085681E-06	3.111763E-08
1.917124E+03	1.041075E-06	2.982599E-08
1.957064E+03	9.734945E-07	2.787725E-08
1.997004E+03	8.882490E-07	2.542435E-08
2.036945E+03	7.986254E-07	2.284818E-08
2.076885E+03	7.238953E-07	2.070010E-08
2.116825E+03	6.839717E-07	1.954869E-08
2.156765E+03	6.953041E-07	1.986241E-08
2.196705E+03	7.683803E-07	2.193841E-08
2.236645E+03	9.095677E-07	2.595555E-08
2.276585E+03	1.120522E-06	3.195774E-08
2.316525E+03	1.398652E-06	3.986760E-08
2.356465E+03	1.739496E-06	4.955443E-08
2.396405E+03	2.137842E-06	6.086635E-08
2.436345E+03	2.590588E-06	7.371171E-08
2.476286E+03	3.097499E-06	8.808043E-08
2.516226E+03	3.660634E-06	1.040275E-07
2.556166E+03	4.286497E-06	1.217339E-07
2.596106E+03	4.981979E-06	1.413909E-07
2.636046E+03	5.756173E-06	1.632516E-07
2.675986E+03	6.619395E-06	1.876026E-07
2.715926E+03	7.582710E-06	2.147509E-07
2.755866E+03	8.657388E-06	2.450082E-07
2.795806E+03	9.854198E-06	2.786704E-07
2.835746E+03	1.118249E-05	3.159925E-07
2.875686E+03	1.264901E-05	3.571545E-07
2.915627E+03	1.425904E-05	4.022942E-07
2.955567E+03	1.600487E-05	4.511820E-07
2.995507E+03	1.787847E-05	5.035804E-07
3.005492E+03	1.836318E-05	5.171240E-07
3.015477E+03	1.885761E-05	5.309353E-07
3.025462E+03	1.935816E-05	5.449122E-07
3.035447E+03	1.986175E-05	5.589679E-07
3.045432E+03	2.037823E-05	5.733798E-07
