#wls	flux	fluxerr
1.597604E+03	2.693862E-16	1.330804E-18
1.637544E+03	2.839569E-16	1.402785E-18
1.677484E+03	2.963145E-16	1.463833E-18
1.717424E+03	3.060052E-16	1.511707E-18
1.757364E+03	3.125887E-16	1.544230E-18
1.797304E+03	3.149452E-16	1.555871E-18
1.837244E+03	3.119862E-16	1.541254E-18
1.877184E+03	3.025703E-16	1.494738E-18
1.917124E+03	2.860441E-16	1.413096E-18
1.957064E+03	2.627096E-16	1.297820E-18
1.997004E+03	2.346398E-16	1.159152E-18
2.036945E+03	2.059158E-16	1.017251E-18
2.076885E+03	1.819253E-16	8.987352E-19
2.116825E+03	1.678504E-16	8.292034E-19
2.156765E+03	1.673399E-16	8.266813E-19
2.196705E+03	1.824102E-16	9.011309E-19
2.236645E+03	2.139452E-16	1.056918E-18
2.276585E+03	2.618436E-16	1.293542E-18
2.316525E+03	3.248348E-16	1.604727E-18
2.356465E+03	4.008921E-16	1.980460E-18
2.396405E+03	4.877147E-16	2.409376E-18
2.436345E+03	5.833281E-16	2.881719E-18
2.476286E+03	6.863085E-16	3.390455E-18
2.516226E+03	7.957896E-16	3.931307E-18
2.556166E+03	9.114587E-16	4.502728E-18
2.596106E+03	1.033340E-15	5.104839E-18
2.636046E+03	1.161491E-15	5.737918E-18
2.675986E+03	1.296329E-15	6.404037E-18
2.715926E+03	1.438047E-15	7.104145E-18
2.755866E+03	1.586812E-15	7.839065E-18
2.795806E+03	1.742494E-15	8.608152E-18
2.835746E+03	1.904999E-15	9.410948E-18
2.875686E+03	2.073923E-15	1.024546E-17
2.915627E+03	2.248897E-15	1.110985E-17
2.955567E+03	2.429400E-15	1.200156E-17
2.995507E+03	2.614433E-15	1.291565E-17
3.005492E+03	2.661203E-15	1.314670E-17
3.015477E+03	2.708075E-15	1.337825E-17
3.025462E+03	2.755052E-15	1.361032E-17
3.035447E+03	2.802198E-15	1.384323E-17
3.045432E+03	2.849956E-15	1.407916E-17
3.055417E+03	2.898821E-15	1.432056E-17
3.065402E+03	2.948549E-15	1.456622E-17
3.075387E+03	2.998954E-15	1.481523E-17
3.085372E+03	3.049756E-15	1.506620E-17
3.095357E+03	3.100805E-15	1.531839E-17
3.105342E+03	3.151598E-15	1.556931E-17
3.115327E+03	3.201988E-15	1.581825E-17
3.125312E+03	3.251393E-15	1.606232E-17
3.135297E+03	3.299594E-15	1.630043E-17
3.145282E+03	3.345965E-15	1.652951E-17
3.155267E+03	3.390226E-15	1.674817E-17
3.165252E+03	3.432088E-15	1.695497E-17
3.175237E+03	3.471232E-15	1.714835E-17
3.185222E+03	3.507756E-15	1.732878E-17
3.195207E+03	3.541766E-15	1.749679E-17
3.205192E+03	3.573809E-15	1.765510E-17
3.215177E+03	3.604754E-15	1.780797E-17
3.225162E+03	3.635729E-15	1.796099E-17
3.235147E+03	3.668267E-15	1.812173E-17
3.245132E+03	3.704117E-15	1.829883E-17
3.255117E+03	3.745253E-15	1.850205E-17
3.265102E+03	3.793838E-15	1.874207E-17
3.275087E+03	3.851953E-15	1.902916E-17
3.285072E+03	3.921545E-15	1.937296E-17
3.295057E+03	4.004370E-15	1.978212E-17
3.305042E+03	4.101735E-15	2.026312E-17
3.315027E+03	4.214550E-15	2.082044E-17
3.325012E+03	4.342891E-15	2.145446E-17
3.334998E+03	4.486297E-15	2.216290E-17
3.344983E+03	4.642988E-15	2.293698E-17
3.354968E+03	4.810592E-15	2.376497E-17
3.364953E+03	4.985304E-15	2.462807E-17
3.374938E+03	5.162601E-15	2.550393E-17
3.384923E+03	5.337641E-15	2.636866E-17
3.394908E+03	5.505226E-15	2.719655E-17
3.404893E+03	5.660930E-15	2.796575E-17
3.414878E+03	5.801524E-15	2.866030E-17
3.424863E+03	5.925452E-15	2.927252E-17
3.434848E+03	6.033173E-15	2.980468E-17
3.444833E+03	6.127051E-15	3.026845E-17
3.454818E+03	6.211097E-15	3.068365E-17
3.464803E+03	6.289880E-15	3.107285E-17
3.474788E+03	6.368846E-15	3.146295E-17
3.484773E+03	6.452933E-15	3.187835E-17
3.494758E+03	6.546906E-15	3.234259E-17
3.504743E+03	6.654444E-15	3.287384E-17
3.514728E+03	6.778515E-15	3.348677E-17
3.524713E+03	6.920667E-15	3.418901E-17
3.534698E+03	7.081317E-15	3.498265E-17
3.544683E+03	7.258698E-15	3.585893E-17
3.554668E+03	7.448276E-15	3.679548E-17
3.564653E+03	7.641615E-15	3.775059E-17
3.574638E+03	7.824587E-15	3.865450E-17
3.584623E+03	7.976139E-15	3.940319E-17
3.594608E+03	8.076804E-15	3.990049E-17
3.604593E+03	8.124230E-15	4.013478E-17
3.614578E+03	8.122088E-15	4.012420E-17
3.624563E+03	8.069963E-15	3.986669E-17
3.634548E+03	7.963320E-15	3.933986E-17
3.644533E+03	7.795244E-15	3.850954E-17
3.654518E+03	7.561217E-15	3.735342E-17
3.664503E+03	7.264417E-15	3.588719E-17
3.674488E+03	6.917953E-15	3.417561E-17
3.684473E+03	6.541730E-15	3.231702E-17
3.694458E+03	6.160574E-15	3.043406E-17
3.699451E+03	4.492136E-15	2.219175E-17
3.700919E+03	4.495301E-15	2.220738E-17
3.702386E+03	4.488080E-15	2.217171E-17
3.703854E+03	4.474236E-15	2.210332E-17
3.705322E+03	4.452815E-15	2.199750E-17
3.706790E+03	4.435844E-15	2.191366E-17
3.708258E+03	4.435287E-15	2.191091E-17
3.709725E+03	4.431202E-15	2.189073E-17
3.711193E+03	4.409199E-15	2.178203E-17
3.712661E+03	4.396996E-15	2.172174E-17
3.714129E+03	4.398229E-15	2.172784E-17
3.715597E+03	4.404292E-15	2.175779E-17
3.717064E+03	4.411312E-15	2.179247E-17
3.718532E+03	4.411775E-15	2.179476E-17
3.720000E+03	4.410512E-15	2.178852E-17
3.721468E+03	4.415471E-15	2.181301E-17
3.722936E+03	4.414035E-15	2.180592E-17
3.724403E+03	4.393826E-15	2.170609E-17
3.725871E+03	4.378791E-15	2.163181E-17
3.727339E+03	4.382617E-15	2.165071E-17
3.728807E+03	4.387226E-15	2.167348E-17
3.730275E+03	4.384560E-15	2.166031E-17
3.731742E+03	4.385359E-15	2.166426E-17
3.733210E+03	4.378437E-15	2.163006E-17
3.734678E+03	4.358227E-15	2.153022E-17
3.736146E+03	4.346509E-15	2.147233E-17
3.737614E+03	4.347204E-15	2.147577E-17
3.739081E+03	4.350160E-15	2.149037E-17
3.740549E+03	4.356165E-15	2.152004E-17
3.742017E+03	4.353299E-15	2.150588E-17
3.743485E+03	4.340765E-15	2.144396E-17
3.744953E+03	4.337453E-15	2.142760E-17
3.746420E+03	4.337712E-15	2.142888E-17
3.747888E+03	4.336488E-15	2.142283E-17
3.749356E+03	4.326800E-15	2.137497E-17
3.750824E+03	4.322254E-15	2.135251E-17
3.752292E+03	4.335693E-15	2.141890E-17
3.753759E+03	4.350807E-15	2.149357E-17
3.755227E+03	4.362351E-15	2.155060E-17
3.756695E+03	4.363063E-15	2.155411E-17
3.758163E+03	4.385301E-15	2.166397E-17
3.759631E+03	4.424374E-15	2.185700E-17
3.761098E+03	4.452886E-15	2.199785E-17
3.762566E+03	4.473102E-15	2.209772E-17
3.764034E+03	4.490007E-15	2.218123E-17
3.765502E+03	4.506491E-15	2.226266E-17
3.766970E+03	4.545813E-15	2.245692E-17
3.768437E+03	4.597910E-15	2.271429E-17
3.769905E+03	4.631608E-15	2.288076E-17
3.771373E+03	4.662527E-15	2.303351E-17
3.772841E+03	4.694446E-15	2.319119E-17
3.774309E+03	4.723583E-15	2.333513E-17
3.775776E+03	4.750899E-15	2.347008E-17
3.777244E+03	4.784499E-15	2.363606E-17
3.778712E+03	4.832235E-15	2.387188E-17
3.780180E+03	4.879579E-15	2.410577E-17
3.781648E+03	4.953086E-15	2.446891E-17
3.783115E+03	5.022961E-15	2.481410E-17
3.784583E+03	5.073126E-15	2.506192E-17
3.786051E+03	5.146139E-15	2.542261E-17
3.787519E+03	5.234787E-15	2.586054E-17
3.788987E+03	5.327063E-15	2.631640E-17
3.790454E+03	5.422444E-15	2.678759E-17
3.791922E+03	5.515001E-15	2.724484E-17
3.793390E+03	5.598441E-15	2.765705E-17
3.794858E+03	5.683386E-15	2.807668E-17
3.796326E+03	5.771080E-15	2.850990E-17
3.797793E+03	5.863656E-15	2.896724E-17
3.799261E+03	5.953931E-15	2.941321E-17
3.800729E+03	6.050338E-15	2.988947E-17
3.802197E+03	6.166128E-15	3.046149E-17
3.803665E+03	6.263992E-15	3.094495E-17
3.805132E+03	6.352262E-15	3.138102E-17
3.806600E+03	6.436707E-15	3.179819E-17
3.808068E+03	6.523559E-15	3.222725E-17
3.809536E+03	6.630099E-15	3.275357E-17
3.811003E+03	6.765807E-15	3.342399E-17
3.812471E+03	6.914766E-15	3.415986E-17
3.813939E+03	7.061026E-15	3.488241E-17
3.815407E+03	7.216100E-15	3.564849E-17
3.816875E+03	7.364546E-15	3.638184E-17
3.818342E+03	7.511452E-15	3.710757E-17
3.819810E+03	7.663965E-15	3.786101E-17
3.821278E+03	7.801788E-15	3.854187E-17
3.822746E+03	7.933044E-15	3.919029E-17
3.824214E+03	8.107154E-15	4.005042E-17
3.825681E+03	8.292109E-15	4.096412E-17
3.827149E+03	8.457627E-15	4.178181E-17
3.828617E+03	8.612019E-15	4.254452E-17
3.830085E+03	8.781649E-15	4.338252E-17
3.831553E+03	8.963670E-15	4.428172E-17
3.833020E+03	9.120730E-15	4.505762E-17
3.834488E+03	9.274722E-15	4.581836E-17
3.835956E+03	9.448661E-15	4.667764E-17
3.837424E+03	9.652476E-15	4.768452E-17
3.838892E+03	9.855607E-15	4.868801E-17
3.840359E+03	1.004454E-14	4.962138E-17
3.841827E+03	1.022917E-14	5.053348E-17
3.843295E+03	1.041580E-14	5.145546E-17
3.844763E+03	1.061526E-14	5.244082E-17
3.846231E+03	1.079508E-14	5.332913E-17
3.847698E+03	1.097599E-14	5.422285E-17
3.849166E+03	1.117788E-14	5.522020E-17
3.850634E+03	1.137455E-14	5.619181E-17
3.852102E+03	1.155697E-14	5.709297E-17
3.853570E+03	1.173958E-14	5.799510E-17
3.855037E+03	1.191243E-14	5.884899E-17
3.856505E+03	1.208637E-14	5.970828E-17
3.857973E+03	1.227953E-14	6.066252E-17
3.859441E+03	1.246565E-14	6.158196E-17
3.860909E+03	1.265196E-14	6.250238E-17
3.862376E+03	1.288115E-14	6.363460E-17
3.863844E+03	1.311331E-14	6.478150E-17
3.865312E+03	1.333754E-14	6.588922E-17
3.866780E+03	1.356292E-14	6.700265E-17
3.868248E+03	1.376853E-14	6.801838E-17
3.869715E+03	1.395889E-14	6.895877E-17
3.871183E+03	1.415492E-14	6.992717E-17
3.872651E+03	1.433840E-14	7.083361E-17
3.874119E+03	1.451023E-14	7.168247E-17
3.875587E+03	1.470140E-14	7.262689E-17
3.877054E+03	1.489735E-14	7.359490E-17
3.878522E+03	1.506702E-14	7.443308E-17
3.879990E+03	1.522866E-14	7.523163E-17
3.881458E+03	1.538042E-14	7.598131E-17
3.882926E+03	1.551588E-14	7.665049E-17
3.884393E+03	1.567162E-14	7.741991E-17
3.885861E+03	1.583211E-14	7.821274E-17
3.887329E+03	1.596805E-14	7.888427E-17
3.888797E+03	1.608945E-14	7.948404E-17
3.890265E+03	1.618531E-14	7.995760E-17
3.891732E+03	1.627303E-14	8.039095E-17
3.893200E+03	1.636636E-14	8.085197E-17
3.894668E+03	1.645794E-14	8.130442E-17
3.896136E+03	1.653951E-14	8.170736E-17
3.897604E+03	1.662854E-14	8.214722E-17
3.899071E+03	1.671582E-14	8.257839E-17
3.900539E+03	1.681242E-14	8.305557E-17
3.902007E+03	1.691095E-14	8.354237E-17
3.903475E+03	1.698932E-14	8.392951E-17
3.904943E+03	1.706409E-14	8.429886E-17
3.906410E+03	1.713433E-14	8.464586E-17
3.907878E+03	1.720557E-14	8.499780E-17
3.909346E+03	1.726582E-14	8.529543E-17
3.910814E+03	1.730209E-14	8.547464E-17
3.912282E+03	1.732639E-14	8.559467E-17
3.913749E+03	1.737199E-14	8.581996E-17
3.915217E+03	1.743154E-14	8.611414E-17
3.916685E+03	1.748282E-14	8.636744E-17
3.918153E+03	1.750820E-14	8.649284E-17
3.919621E+03	1.752064E-14	8.655427E-17
3.921088E+03	1.754701E-14	8.668456E-17
3.922556E+03	1.756969E-14	8.679663E-17
3.924024E+03	1.757939E-14	8.684454E-17
3.925492E+03	1.759562E-14	8.692473E-17
3.926960E+03	1.762861E-14	8.708768E-17
3.928427E+03	1.767931E-14	8.733813E-17
3.929895E+03	1.771516E-14	8.751526E-17
3.931363E+03	1.774083E-14	8.764207E-17
3.932831E+03	1.775720E-14	8.772294E-17
3.934299E+03	1.779502E-14	8.790979E-17
3.935766E+03	1.784410E-14	8.815225E-17
3.937234E+03	1.789045E-14	8.838119E-17
3.938702E+03	1.791814E-14	8.851799E-17
3.940170E+03	1.793560E-14	8.860427E-17
3.941638E+03	1.795215E-14	8.868600E-17
3.943105E+03	1.796122E-14	8.873080E-17
3.944573E+03	1.798530E-14	8.884978E-17
3.946041E+03	1.800096E-14	8.892713E-17
3.947509E+03	1.800071E-14	8.892590E-17
3.948977E+03	1.800610E-14	8.895252E-17
3.950444E+03	1.800866E-14	8.896519E-17
3.951912E+03	1.803096E-14	8.907533E-17
