#wls	flux	fluxerr
1.597604E+03	1.681701E-18	4.238214E-20
1.637544E+03	1.775069E-18	4.471976E-20
1.677484E+03	1.856044E-18	4.674320E-20
1.717424E+03	1.922133E-18	4.838998E-20
1.757364E+03	1.970191E-18	4.958131E-20
1.797304E+03	1.993816E-18	5.015661E-20
1.837244E+03	1.985459E-18	4.992671E-20
1.877184E+03	1.937611E-18	4.870383E-20
1.917124E+03	1.845083E-18	4.635882E-20
1.957064E+03	1.708890E-18	4.291864E-20
1.997004E+03	1.541011E-18	3.868548E-20
2.036945E+03	1.367022E-18	3.430229E-20
2.076885E+03	1.222443E-18	3.066033E-20
2.116825E+03	1.142909E-18	2.865202E-20
2.156765E+03	1.155738E-18	2.895966E-20
2.196705E+03	1.278987E-18	3.203207E-20
2.236645E+03	1.523963E-18	3.814810E-20
2.276585E+03	1.895396E-18	4.742119E-20
2.316525E+03	2.391013E-18	5.978920E-20
2.356465E+03	3.001682E-18	7.501848E-20
2.396405E+03	3.717823E-18	9.286434E-20
2.436345E+03	4.531873E-18	1.131329E-19
2.476286E+03	5.441725E-18	1.357665E-19
2.516226E+03	6.447390E-18	1.607602E-19
2.556166E+03	7.555785E-18	1.882810E-19
2.596106E+03	8.778002E-18	2.185992E-19
2.636046E+03	1.012312E-17	2.519340E-19
2.675986E+03	1.160605E-17	2.886487E-19
2.715926E+03	1.324340E-17	3.291477E-19
2.755866E+03	1.504470E-17	3.736581E-19
2.795806E+03	1.702773E-17	4.226100E-19
2.835746E+03	1.919673E-17	4.760974E-19
2.875686E+03	2.156421E-17	5.344171E-19
2.915627E+03	2.412315E-17	5.973814E-19
2.955567E+03	2.687472E-17	6.650054E-19
2.995507E+03	2.979396E-17	7.366578E-19
3.005492E+03	3.055198E-17	7.552481E-19
3.015477E+03	3.131328E-17	7.739117E-19
3.025462E+03	3.208843E-17	7.929086E-19
3.035447E+03	3.286719E-17	8.119862E-19
3.045432E+03	3.365995E-17	8.314010E-19
3.055417E+03	3.447955E-17	8.514696E-19
3.065402E+03	3.531187E-17	8.718431E-19
3.075387E+03	3.616097E-17	8.926214E-19
3.085372E+03	3.703158E-17	9.139205E-19
3.095357E+03	3.790864E-17	9.353691E-19
3.105342E+03	3.880364E-17	9.572500E-19
3.115327E+03	3.970096E-17	9.791775E-19
3.125312E+03	4.060545E-17	1.001272E-18
3.135297E+03	4.152266E-17	1.023669E-18
3.145282E+03	4.243604E-17	1.045960E-18
3.155267E+03	4.335877E-17	1.068471E-18
3.165252E+03	4.427370E-17	1.090779E-18
3.175237E+03	4.518667E-17	1.113028E-18
3.185222E+03	4.610422E-17	1.135378E-18
3.195207E+03	4.700837E-17	1.157387E-18
3.205192E+03	4.791420E-17	1.179427E-18
3.215177E+03	4.880322E-17	1.201041E-18
3.225162E+03	4.969125E-17	1.222620E-18
3.235147E+03	5.055937E-17	1.243697E-18
3.245132E+03	5.141501E-17	1.264457E-18
3.255117E+03	5.226634E-17	1.285100E-18
3.265102E+03	5.309376E-17	1.305144E-18
3.275087E+03	5.391510E-17	1.325028E-18
3.285072E+03	5.471034E-17	1.344260E-18
3.295057E+03	5.548822E-17	1.363054E-18
3.305042E+03	5.625810E-17	1.381642E-18
3.315027E+03	5.699943E-17	1.399518E-18
3.325012E+03	5.773200E-17	1.417169E-18
3.334998E+03	5.843491E-17	1.434082E-18
3.344983E+03	5.911810E-17	1.450501E-18
3.354968E+03	5.979205E-17	1.466684E-18
3.364953E+03	6.043547E-17	1.482109E-18
3.374938E+03	6.106981E-17	1.497301E-18
3.384923E+03	6.167349E-17	1.511733E-18
3.394908E+03	6.226859E-17	1.525946E-18
3.404893E+03	6.283322E-17	1.539403E-18
3.414878E+03	6.337875E-17	1.552384E-18
3.424863E+03	6.391695E-17	1.565177E-18
3.434848E+03	6.442557E-17	1.577237E-18
3.444833E+03	6.492800E-17	1.589138E-18
3.454818E+03	6.540173E-17	1.600328E-18
3.464803E+03	6.585886E-17	1.611105E-18
3.474788E+03	6.631186E-17	1.621773E-18
3.484773E+03	6.673782E-17	1.631773E-18
3.494758E+03	6.716121E-17	1.641702E-18
3.504743E+03	6.755884E-17	1.650995E-18
3.514728E+03	6.795550E-17	1.660257E-18
3.524713E+03	6.832780E-17	1.668917E-18
3.534698E+03	6.868856E-17	1.677288E-18
3.544683E+03	6.905090E-17	1.685692E-18
3.554668E+03	6.939102E-17	1.693547E-18
3.564653E+03	6.973441E-17	1.701475E-18
3.574638E+03	7.005704E-17	1.708890E-18
3.584623E+03	7.037208E-17	1.716114E-18
3.594608E+03	7.069289E-17	1.723473E-18
3.604593E+03	7.099506E-17	1.730371E-18
3.614578E+03	7.130462E-17	1.737443E-18
3.624563E+03	7.159692E-17	1.744089E-18
3.634548E+03	7.189809E-17	1.750945E-18
3.644533E+03	7.218328E-17	1.757405E-18
3.654518E+03	7.246588E-17	1.763797E-18
3.664503E+03	7.275950E-17	1.770451E-18
3.674488E+03	7.303884E-17	1.776751E-18
3.684473E+03	7.333046E-17	1.783345E-18
3.694458E+03	7.360881E-17	1.789609E-18
3.704443E+03	7.388744E-17	1.795875E-18
3.714428E+03	7.418000E-17	1.802473E-18
3.724413E+03	7.446057E-17	1.808774E-18
3.734398E+03	7.475606E-17	1.815431E-18
3.744383E+03	7.504024E-17	1.821807E-18
3.754368E+03	7.534014E-17	1.828559E-18
3.764353E+03	7.562931E-17	1.835044E-18
3.774338E+03	7.592139E-17	1.841594E-18
3.784324E+03	7.623019E-17	1.848542E-18
3.794309E+03	7.652884E-17	1.855239E-18
3.804294E+03	7.684473E-17	1.862346E-18
3.814279E+03	7.715073E-17	1.869207E-18
3.824264E+03	7.746057E-17	1.876155E-18
3.834249E+03	7.778825E-17	1.883528E-18
3.844234E+03	7.810617E-17	1.890658E-18
3.854219E+03	7.844221E-17	1.898220E-18
3.864204E+03	7.876850E-17	1.905539E-18
3.874189E+03	7.911308E-17	1.913293E-18
3.884174E+03	7.944787E-17	1.920803E-18
3.894159E+03	7.978689E-17	1.928409E-18
3.904144E+03	8.014441E-17	1.936454E-18
3.914129E+03	8.049195E-17	1.944251E-18
3.924114E+03	8.085807E-17	1.952489E-18
3.934099E+03	8.121408E-17	1.960475E-18
3.944084E+03	8.157427E-17	1.968555E-18
3.954069E+03	8.195322E-17	1.977079E-18
3.964054E+03	8.232183E-17	1.985347E-18
3.974039E+03	8.270932E-17	1.994061E-18
3.984024E+03	8.308636E-17	2.002516E-18
3.994009E+03	8.346761E-17	2.011064E-18
4.003994E+03	8.386802E-17	2.020066E-18
4.013979E+03	8.425788E-17	2.028805E-18
4.023964E+03	8.466714E-17	2.038004E-18
4.033949E+03	8.506584E-17	2.046939E-18
4.043934E+03	8.546905E-17	2.055974E-18
4.053919E+03	8.589211E-17	2.065479E-18
4.063904E+03	8.630468E-17	2.074722E-18
4.073889E+03	8.673745E-17	2.084442E-18
4.083874E+03	8.715980E-17	2.093903E-18
4.093859E+03	8.758717E-17	2.103475E-18
4.103844E+03	8.803530E-17	2.113537E-18
4.113829E+03	8.847310E-17	2.123342E-18
4.123814E+03	8.893201E-17	2.133644E-18
4.133799E+03	8.938059E-17	2.143689E-18
4.143784E+03	8.983460E-17	2.153854E-18
4.153769E+03	9.031009E-17	2.164525E-18
4.163754E+03	9.077504E-17	2.174933E-18
4.173739E+03	9.126155E-17	2.185848E-18
4.183724E+03	9.173717E-17	2.196493E-18
4.193709E+03	9.221783E-17	2.207247E-18
4.203694E+03	9.271970E-17	2.218500E-18
4.213679E+03	9.320964E-17	2.229457E-18
4.223665E+03	9.372019E-17	2.240896E-18
4.233650E+03	9.421764E-17	2.252012E-18
4.243635E+03	9.471783E-17	2.263182E-18
4.253620E+03	9.523689E-17	2.274793E-18
4.263605E+03	9.574014E-17	2.286016E-18
4.273590E+03	9.624327E-17	2.297225E-18
4.283575E+03	9.676217E-17	2.308800E-18
4.293560E+03	9.726115E-17	2.319889E-18
4.303545E+03	9.777293E-17	2.331273E-18
4.313530E+03	9.826110E-17	2.342084E-18
4.323515E+03	9.874080E-17	2.352682E-18
4.333500E+03	9.922740E-17	2.363434E-18
4.343485E+03	9.968331E-17	2.373446E-18
4.353470E+03	1.001234E-16	2.383071E-18
4.363455E+03	1.005629E-16	2.392673E-18
4.373440E+03	1.009637E-16	2.401344E-18
4.383425E+03	1.013597E-16	2.409892E-18
4.393410E+03	1.017146E-16	2.417455E-18
4.403395E+03	1.020471E-16	2.424478E-18
4.413380E+03	1.023771E-16	2.431434E-18
4.423365E+03	1.026702E-16	2.437507E-18
4.433350E+03	1.029464E-16	2.443170E-18
4.443335E+03	1.032259E-16	2.448904E-18
4.453320E+03	1.034738E-16	2.453883E-18
4.463305E+03	1.037100E-16	2.458578E-18
4.473290E+03	1.039544E-16	2.463462E-18
4.483275E+03	1.041716E-16	2.467695E-18
4.493260E+03	1.043813E-16	2.471745E-18
4.503245E+03	1.046032E-16	2.476078E-18
4.513230E+03	1.048013E-16	2.479843E-18
4.523215E+03	1.050139E-16	2.483943E-18
4.533200E+03	1.052045E-16	2.487520E-18
4.543185E+03	1.053927E-16	2.491034E-18
4.553170E+03	1.055980E-16	2.494947E-18
4.563155E+03	1.057838E-16	2.498393E-18
4.573140E+03	1.059696E-16	2.501834E-18
4.583125E+03	1.061748E-16	2.505728E-18
4.593110E+03	1.063626E-16	2.509207E-18
4.603095E+03	1.065525E-16	2.512729E-18
4.613080E+03	1.067641E-16	2.516758E-18
4.623065E+03	1.069603E-16	2.520418E-18
4.633050E+03	1.071606E-16	2.524172E-18
4.643035E+03	1.073849E-16	2.528482E-18
4.653020E+03	1.075957E-16	2.532471E-18
4.663005E+03	1.078128E-16	2.536602E-18
4.672991E+03	1.080561E-16	2.541343E-18
4.682976E+03	1.082880E-16	2.545810E-18
4.692961E+03	1.085283E-16	2.550471E-18
4.702946E+03	1.087779E-16	2.555340E-18
4.712931E+03	1.090565E-16	2.560889E-18
4.722916E+03	1.093266E-16	2.566229E-18
4.732901E+03	1.096080E-16	2.571828E-18
4.742886E+03	1.099209E-16	2.578159E-18
4.752871E+03	1.102272E-16	2.584328E-18
4.762856E+03	1.105470E-16	2.590806E-18
4.772841E+03	1.109004E-16	2.598066E-18
4.782826E+03	1.112492E-16	2.605208E-18
4.792811E+03	1.116134E-16	2.612704E-18
4.802796E+03	1.120135E-16	2.621033E-18
4.812781E+03	1.124106E-16	2.629282E-18
4.822766E+03	1.128251E-16	2.637927E-18
4.832751E+03	1.132574E-16	2.646982E-18
4.842736E+03	1.137283E-16	2.656929E-18
4.852721E+03	1.141981E-16	2.666841E-18
4.862706E+03	1.146875E-16	2.677199E-18
4.872691E+03	1.152172E-16	2.688488E-18
4.882676E+03	1.157470E-16	2.699770E-18
4.892661E+03	1.162977E-16	2.711528E-18
4.902646E+03	1.168697E-16	2.723770E-18
4.912631E+03	1.174842E-16	2.736989E-18
4.922616E+03	1.180999E-16	2.750227E-18
4.932601E+03	1.187380E-16	2.763972E-18
4.942586E+03	1.194198E-16	2.778721E-18
4.952571E+03	1.201034E-16	2.793500E-18
4.962556E+03	1.208102E-16	2.808803E-18
4.972541E+03	1.215402E-16	2.824634E-18
4.982526E+03	1.223153E-16	2.841495E-18
4.992511E+03	1.230925E-16	2.858391E-18
5.002496E+03	1.238933E-16	2.875820E-18
5.012481E+03	1.247177E-16	2.893782E-18
5.022466E+03	1.255881E-16	2.912793E-18
5.032451E+03	1.264600E-16	2.931824E-18
5.042436E+03	1.273555E-16	2.951384E-18
5.052421E+03	1.282744E-16	2.971470E-18
5.062406E+03	1.292394E-16	2.992605E-18
5.072391E+03	1.302047E-16	3.013729E-18
5.082376E+03	1.311926E-16	3.035360E-18
5.092361E+03	1.322030E-16	3.057489E-18
5.102346E+03	1.332587E-16	3.080649E-18
5.112332E+03	1.343125E-16	3.103745E-18
5.122317E+03	1.353872E-16	3.127304E-18
5.132302E+03	1.364821E-16	3.151309E-18
5.142287E+03	1.376208E-16	3.176306E-18
5.152272E+03	1.387541E-16	3.201158E-18
5.162257E+03	1.399053E-16	3.226401E-18
5.172242E+03	1.410734E-16	3.252012E-18
5.182227E+03	1.422572E-16	3.277965E-18
5.192212E+03	1.434811E-16	3.304819E-18
5.202197E+03	1.446931E-16	3.331380E-18
5.212182E+03	1.459172E-16	3.358195E-18
5.222167E+03	1.471519E-16	3.385232E-18
5.232152E+03	1.484216E-16	3.413054E-18
5.242137E+03	1.496726E-16	3.440422E-18
5.252122E+03	1.509289E-16	3.467892E-18
5.262107E+03	1.521886E-16	3.495419E-18
5.272092E+03	1.534497E-16	3.522952E-18
5.282077E+03	1.547370E-16	3.551070E-18
5.292062E+03	1.559939E-16	3.578466E-18
5.302047E+03	1.572450E-16	3.605708E-18
5.312032E+03	1.584874E-16	3.632731E-18
5.322017E+03	1.597184E-16	3.659470E-18
5.332002E+03	1.609632E-16	3.686508E-18
5.341987E+03	1.621622E-16	3.712474E-18
5.351972E+03	1.633399E-16	3.737936E-18
5.361957E+03	1.644928E-16	3.762812E-18
5.371942E+03	1.656171E-16	3.787013E-18
5.381927E+03	1.667379E-16	3.811119E-18
5.391912E+03	1.677923E-16	3.833692E-18
5.401897E+03	1.688049E-16	3.855293E-18
5.411882E+03	1.697707E-16	3.875811E-18
5.421867E+03	1.706843E-16	3.895127E-18
5.431852E+03	1.715404E-16	3.913114E-18
5.441837E+03	1.723632E-16	3.930334E-18
5.451822E+03	1.730859E-16	3.945261E-18
5.461807E+03	1.737323E-16	3.958443E-18
5.471792E+03	1.742964E-16	3.969742E-18
5.481777E+03	1.747733E-16	3.979051E-18
5.491762E+03	1.751615E-16	3.986337E-18
5.501747E+03	1.754943E-16	3.992363E-18
5.511732E+03	1.757154E-16	3.995846E-18
5.521717E+03	1.758619E-16	3.997636E-18
5.531702E+03	1.759406E-16	3.997887E-18
5.541687E+03	1.759580E-16	3.996751E-18
5.551672E+03	1.759204E-16	3.994371E-18
5.561658E+03	1.758338E-16	3.990885E-18
5.571643E+03	1.757350E-16	3.987128E-18
5.581628E+03	1.755673E-16	3.981815E-18
5.591613E+03	1.753668E-16	3.975768E-18
5.601598E+03	1.751384E-16	3.969097E-18
5.611583E+03	1.748866E-16	3.961907E-18
5.621568E+03	1.746157E-16	3.954293E-18
5.631553E+03	1.743298E-16	3.946349E-18
5.641538E+03	1.740326E-16	3.938161E-18
5.651523E+03	1.737584E-16	3.930502E-18
5.661508E+03	1.734491E-16	3.922062E-18
5.671493E+03	1.731386E-16	3.913604E-18
5.681478E+03	1.728297E-16	3.905194E-18
5.691463E+03	1.725253E-16	3.896896E-18
5.701448E+03	1.722277E-16	3.888764E-18
5.711433E+03	1.719395E-16	3.880854E-18
5.721418E+03	1.716628E-16	3.873212E-18
5.731403E+03	1.713995E-16	3.865886E-18
5.741388E+03	1.711818E-16	3.859597E-18
5.751373E+03	1.709510E-16	3.853023E-18
5.761358E+03	1.707390E-16	3.846881E-18
5.771343E+03	1.705471E-16	3.841203E-18
5.781328E+03	1.703769E-16	3.836021E-18
5.791313E+03	1.702295E-16	3.831364E-18
5.801298E+03	1.701062E-16	3.827256E-18
5.811283E+03	1.700080E-16	3.823722E-18
5.821268E+03	1.699360E-16	3.820785E-18
