#wls	flux	fluxerr
1.600000E+03	7.499787E-15	3.704995E-17
1.640000E+03	7.643901E-15	3.776189E-17
1.680000E+03	7.796724E-15	3.851686E-17
1.720000E+03	7.958164E-15	3.931440E-17
1.760000E+03	8.130925E-15	4.016786E-17
1.800000E+03	8.313026E-15	4.106746E-17
1.840000E+03	8.507150E-15	4.202646E-17
1.880000E+03	8.713162E-15	4.304418E-17
1.920000E+03	8.932782E-15	4.412913E-17
1.960000E+03	9.165849E-15	4.528052E-17
2.000000E+03	9.414056E-15	4.650669E-17
2.040000E+03	9.679073E-15	4.781592E-17
2.080000E+03	9.961622E-15	4.921174E-17
2.120000E+03	1.026519E-14	5.071139E-17
2.160000E+03	1.059414E-14	5.233646E-17
2.200000E+03	1.095189E-14	5.410378E-17
2.240000E+03	1.134362E-14	5.603898E-17
2.280000E+03	1.177721E-14	5.818097E-17
2.320000E+03	1.225492E-14	6.054096E-17
2.360000E+03	1.277986E-14	6.313420E-17
2.400000E+03	1.335223E-14	6.596179E-17
2.440000E+03	1.397306E-14	6.902880E-17
2.480000E+03	1.464327E-14	7.233968E-17
2.520000E+03	1.536349E-14	7.589769E-17
2.560000E+03	1.613597E-14	7.971384E-17
2.600000E+03	1.696250E-14	8.379702E-17
2.640000E+03	1.784171E-14	8.814042E-17
2.680000E+03	1.877600E-14	9.275593E-17
2.720000E+03	1.976322E-14	9.763294E-17
2.760000E+03	2.080091E-14	1.027593E-16
2.800000E+03	2.188316E-14	1.081057E-16
2.840000E+03	2.300543E-14	1.136499E-16
2.880000E+03	2.416025E-14	1.193548E-16
2.920000E+03	2.534155E-14	1.251906E-16
2.960000E+03	2.654237E-14	1.311229E-16
3.000000E+03	2.775151E-14	1.370962E-16
3.010000E+03	2.805306E-14	1.385859E-16
3.020000E+03	2.835328E-14	1.400690E-16
3.030000E+03	2.865225E-14	1.415459E-16
3.040000E+03	2.894915E-14	1.430127E-16
3.050000E+03	2.924393E-14	1.444689E-16
3.060000E+03	2.953555E-14	1.459095E-16
3.070000E+03	2.982288E-14	1.473290E-16
3.080000E+03	3.010542E-14	1.487248E-16
3.090000E+03	3.038161E-14	1.500892E-16
3.100000E+03	3.065121E-14	1.514211E-16
3.110000E+03	3.091045E-14	1.527017E-16
3.120000E+03	3.115908E-14	1.539300E-16
3.130000E+03	3.139263E-14	1.550838E-16
3.140000E+03	3.161015E-14	1.561584E-16
3.150000E+03	3.180684E-14	1.571300E-16
3.160000E+03	3.198125E-14	1.579916E-16
3.170000E+03	3.213180E-14	1.587354E-16
3.180000E+03	3.225665E-14	1.593521E-16
3.190000E+03	3.235779E-14	1.598518E-16
3.200000E+03	3.243716E-14	1.602439E-16
3.210000E+03	3.250061E-14	1.605573E-16
3.220000E+03	3.255664E-14	1.608342E-16
3.230000E+03	3.261585E-14	1.611266E-16
3.240000E+03	3.269206E-14	1.615031E-16
3.250000E+03	3.280065E-14	1.620396E-16
3.260000E+03	3.295858E-14	1.628198E-16
3.270000E+03	3.318402E-14	1.639335E-16
3.280000E+03	3.349400E-14	1.654648E-16
3.290000E+03	3.390407E-14	1.674906E-16
3.300000E+03	3.442777E-14	1.700778E-16
3.310000E+03	3.507463E-14	1.732733E-16
3.320000E+03	3.585061E-14	1.771068E-16
3.330000E+03	3.675458E-14	1.815725E-16
3.340000E+03	3.778101E-14	1.866432E-16
3.350000E+03	3.891344E-14	1.922376E-16
3.360000E+03	4.013087E-14	1.982519E-16
3.370000E+03	4.140082E-14	2.045256E-16
3.380000E+03	4.268545E-14	2.108718E-16
3.390000E+03	4.394496E-14	2.170940E-16
3.400000E+03	4.513727E-14	2.229841E-16
3.410000E+03	4.622721E-14	2.283686E-16
3.420000E+03	4.718983E-14	2.331241E-16
3.430000E+03	4.801407E-14	2.371959E-16
3.440000E+03	4.870519E-14	2.406101E-16
3.450000E+03	4.928359E-14	2.434675E-16
3.460000E+03	4.978253E-14	2.459323E-16
3.470000E+03	5.023922E-14	2.481884E-16
3.480000E+03	5.069726E-14	2.504512E-16
3.490000E+03	5.119564E-14	2.529133E-16
3.500000E+03	5.177148E-14	2.557580E-16
3.510000E+03	5.245285E-14	2.591241E-16
3.520000E+03	5.326188E-14	2.631208E-16
3.530000E+03	5.420934E-14	2.678014E-16
3.540000E+03	5.529704E-14	2.731747E-16
3.550000E+03	5.650976E-14	2.791657E-16
3.560000E+03	5.781101E-14	2.855941E-16
3.570000E+03	5.913453E-14	2.921325E-16
3.580000E+03	6.037095E-14	2.982405E-16
3.590000E+03	6.135886E-14	3.031209E-16
3.600000E+03	6.195091E-14	3.060458E-16
3.610000E+03	6.213237E-14	3.069422E-16
3.620000E+03	6.193460E-14	3.059652E-16
3.630000E+03	6.135753E-14	3.031143E-16
3.640000E+03	6.036990E-14	2.982354E-16
3.650000E+03	5.892287E-14	2.910868E-16
3.660000E+03	5.698628E-14	2.815198E-16
3.670000E+03	5.458824E-14	2.696732E-16
3.680000E+03	5.183103E-14	2.560522E-16
3.690000E+03	4.886655E-14	2.414072E-16
3.700000E+03	4.588165E-14	2.266614E-16
3.705000E+03	3.340540E-14	1.650271E-16
3.706470E+03	3.341411E-14	1.650701E-16
3.707940E+03	3.334562E-14	1.647318E-16
3.709410E+03	3.322798E-14	1.641507E-16
3.710880E+03	3.305418E-14	1.632921E-16
3.712350E+03	3.291353E-14	1.625972E-16
3.713820E+03	3.289472E-14	1.625043E-16
3.715290E+03	3.284974E-14	1.622821E-16
3.716760E+03	3.267201E-14	1.614041E-16
3.718230E+03	3.256700E-14	1.608853E-16
3.719700E+03	3.256153E-14	1.608583E-16
3.721170E+03	3.259180E-14	1.610078E-16
3.722640E+03	3.262907E-14	1.611920E-16
3.724110E+03	3.261782E-14	1.611364E-16
3.725580E+03	3.259380E-14	1.610177E-16
3.727050E+03	3.261573E-14	1.611260E-16
3.728520E+03	3.259040E-14	1.610009E-16
3.729990E+03	3.242653E-14	1.601914E-16
3.731460E+03	3.230094E-14	1.595709E-16
3.732930E+03	3.231451E-14	1.596380E-16
3.734400E+03	3.233382E-14	1.597334E-16
3.735870E+03	3.229948E-14	1.595637E-16
3.737340E+03	3.229067E-14	1.595202E-16
3.738810E+03	3.222501E-14	1.591959E-16
3.740280E+03	3.206164E-14	1.583887E-16
3.741750E+03	3.196082E-14	1.578907E-16
3.743220E+03	3.195131E-14	1.578437E-16
3.744690E+03	3.195839E-14	1.578787E-16
3.746160E+03	3.198783E-14	1.580241E-16
3.747630E+03	3.195210E-14	1.578476E-16
3.749100E+03	3.184545E-14	1.573207E-16
3.750570E+03	3.180649E-14	1.571283E-16
3.752040E+03	3.179372E-14	1.570652E-16
3.753510E+03	3.177006E-14	1.569483E-16
3.754980E+03	3.168442E-14	1.565253E-16
3.756450E+03	3.163647E-14	1.562884E-16
3.757920E+03	3.172011E-14	1.567016E-16
3.759390E+03	3.181590E-14	1.571748E-16
3.760860E+03	3.188548E-14	1.575185E-16
3.762330E+03	3.187582E-14	1.574708E-16
3.763800E+03	3.202334E-14	1.581996E-16
3.765270E+03	3.229356E-14	1.595345E-16
3.766740E+03	3.248646E-14	1.604875E-16
3.768210E+03	3.261866E-14	1.611405E-16
