#wls	flux	fluxerr	mangling_mask
3.705000E+03	4.303636E-14	4.731243E-15	4.926887E-15
3.706470E+03	4.310268E-14	4.730886E-15	4.927204E-15
3.707940E+03	4.316507E-14	4.730271E-15	4.927519E-15
3.709410E+03	4.328955E-14	4.733394E-15	4.927834E-15
3.710880E+03	4.333764E-14	4.731874E-15	4.928148E-15
3.712350E+03	4.339461E-14	4.730875E-15	4.928462E-15
3.713820E+03	4.362261E-14	4.740152E-15	4.928774E-15
3.715290E+03	4.382006E-14	4.747551E-15	4.929085E-15
3.716760E+03	4.391598E-14	4.748806E-15	4.929395E-15
3.718230E+03	4.395522E-14	4.746634E-15	4.929705E-15
3.719700E+03	4.403093E-14	4.746635E-15	4.930013E-15
3.721170E+03	4.409925E-14	4.746172E-15	4.930321E-15
3.722640E+03	4.417398E-14	4.746073E-15	4.930627E-15
3.724110E+03	4.435078E-14	4.752033E-15	4.930933E-15
3.725580E+03	4.452266E-14	4.757662E-15	4.931238E-15
3.727050E+03	4.469160E-14	4.763080E-15	4.931541E-15
3.728520E+03	4.479692E-14	4.764682E-15	4.931844E-15
3.729990E+03	4.483419E-14	4.762222E-15	4.932146E-15
3.731460E+03	4.486603E-14	4.751496E-15	4.932446E-15
3.732930E+03	4.495754E-14	4.743090E-15	4.932746E-15
3.734400E+03	4.506731E-14	4.859484E-15	4.933045E-15
3.735870E+03	4.515785E-14	4.858782E-15	4.933343E-15
3.737340E+03	4.530364E-14	4.863691E-15	4.933640E-15
3.738810E+03	4.552197E-14	4.888908E-15	4.933936E-15
3.740280E+03	4.572502E-14	4.815449E-15	4.934231E-15
3.741750E+03	4.586344E-14	4.807689E-15	4.934525E-15
3.743220E+03	4.598411E-14	4.729222E-15	4.934817E-15
3.744690E+03	4.615857E-14	4.734446E-15	4.935109E-15
3.746160E+03	4.641991E-14	4.744991E-15	4.935400E-15
3.747630E+03	4.667435E-14	4.877332E-15	4.935690E-15
3.749100E+03	4.688143E-14	4.890525E-15	4.935979E-15
3.750570E+03	4.702781E-14	4.842796E-15	4.936267E-15
3.752040E+03	4.719987E-14	4.846357E-15	4.936554E-15
3.753510E+03	4.739316E-14	4.880391E-15	4.936839E-15
3.754980E+03	4.757808E-14	4.965442E-15	4.937124E-15
3.756450E+03	4.781238E-14	5.027087E-15	4.937408E-15
3.757920E+03	4.798003E-14	5.035925E-15	4.937691E-15
3.759390E+03	4.822572E-14	5.046309E-15	4.937972E-15
3.760860E+03	4.848673E-14	5.052854E-15	4.938253E-15
3.762330E+03	4.869936E-14	5.060559E-15	4.938532E-15
