#wls	flux	fluxerr	mangling_mask
3.301668E+03	7.837119E-15	1.600022E-15	1.383745E+00
3.304622E+03	7.814174E-15	1.599333E-15	1.383627E+00
3.307576E+03	7.788321E-15	1.598607E-15	1.383508E+00
3.310530E+03	7.794147E-15	1.598310E-15	1.383388E+00
3.313484E+03	7.825281E-15	1.598351E-15	1.383267E+00
3.316438E+03	7.852115E-15	1.598332E-15	1.383145E+00
3.319392E+03	7.890557E-15	1.598465E-15	1.383022E+00
3.322346E+03	7.936730E-15	1.598700E-15	1.382898E+00
3.325300E+03	7.952191E-15	1.598522E-15	1.382773E+00
3.328255E+03	7.978014E-15	1.614380E-15	1.382647E+00
3.331209E+03	8.091616E-15	1.639551E-15	1.382521E+00
3.334163E+03	8.232978E-15	1.649170E-15	1.382393E+00
3.337117E+03	8.335604E-15	1.535502E-15	1.382264E+00
3.340071E+03	8.442351E-15	1.323911E-15	1.382134E+00
3.343025E+03	8.594401E-15	1.322708E-15	1.382003E+00
3.345979E+03	8.752220E-15	1.229270E-15	1.381871E+00
3.348933E+03	8.886650E-15	1.158268E-15	1.381738E+00
3.351887E+03	9.044950E-15	1.040768E-15	1.381604E+00
3.354841E+03	9.208876E-15	1.032136E-15	1.381470E+00
3.357795E+03	9.381466E-15	1.037295E-15	1.381334E+00
3.360749E+03	9.556224E-15	1.021447E-15	1.381197E+00
3.363704E+03	9.711744E-15	1.004674E-15	1.381059E+00
3.366658E+03	9.854935E-15	1.011832E-15	1.380920E+00
3.369612E+03	9.991047E-15	1.014623E-15	1.380780E+00
3.372566E+03	1.010103E-14	9.882545E-16	1.380639E+00
3.375520E+03	1.018641E-14	9.696807E-16	1.380497E+00
3.378474E+03	1.026942E-14	9.485301E-16	1.380354E+00
3.381428E+03	1.034357E-14	9.712203E-16	1.380210E+00
3.384382E+03	1.045730E-14	8.900988E-16	1.380065E+00
3.387336E+03	1.063738E-14	8.829766E-16	1.379918E+00
3.390290E+03	1.086404E-14	8.982358E-16	1.379771E+00
3.393244E+03	1.100801E-14	9.018556E-16	1.379623E+00
3.396198E+03	1.107635E-14	8.980405E-16	1.379474E+00
3.399153E+03	1.113348E-14	8.347950E-16	1.379323E+00
3.402107E+03	1.111530E-14	8.402811E-16	1.379172E+00
3.405061E+03	1.114206E-14	8.405696E-16	1.379019E+00
3.408015E+03	1.116992E-14	8.389079E-16	1.378866E+00
3.410969E+03	1.113254E-14	8.350289E-16	1.378711E+00
3.413923E+03	1.108772E-14	8.147571E-16	1.378555E+00
3.416877E+03	1.103904E-14	8.047560E-16	1.378399E+00
3.419831E+03	1.102882E-14	7.905741E-16	1.378241E+00
3.422785E+03	1.103403E-14	7.759357E-16	1.378082E+00
3.425739E+03	1.102200E-14	7.501826E-16	1.377922E+00
3.428693E+03	1.101974E-14	6.436509E-16	1.377761E+00
3.431648E+03	1.106721E-14	6.442128E-16	1.377599E+00
3.434602E+03	1.117472E-14	6.036674E-16	1.377435E+00
3.437556E+03	1.127517E-14	6.189882E-16	1.377271E+00
3.440510E+03	1.135010E-14	5.984326E-16	1.377105E+00
3.443464E+03	1.142570E-14	6.089601E-16	1.376939E+00
3.446418E+03	1.152977E-14	6.054836E-16	1.376771E+00
3.449372E+03	1.159430E-14	5.922332E-16	1.376602E+00
3.452326E+03	1.168619E-14	5.932120E-16	1.376432E+00
3.455280E+03	1.180213E-14	5.966455E-16	1.376261E+00
3.458234E+03	1.195684E-14	6.070676E-16	1.376089E+00
3.461188E+03	1.210215E-14	6.083928E-16	1.375916E+00
3.464142E+03	1.220242E-14	6.283399E-16	1.375742E+00
3.467097E+03	1.229068E-14	6.349925E-16	1.375566E+00
3.470051E+03	1.236338E-14	6.372835E-16	1.375390E+00
3.473005E+03	1.242408E-14	6.581371E-16	1.375212E+00
3.475959E+03	1.251569E-14	6.776666E-16	1.375033E+00
3.478913E+03	1.263380E-14	6.841544E-16	1.374853E+00
3.481867E+03	1.267654E-14	6.914655E-16	1.374672E+00
3.484821E+03	1.268269E-14	6.834110E-16	1.374489E+00
3.487775E+03	1.272594E-14	6.892523E-16	1.374306E+00
3.490729E+03	1.276779E-14	6.776311E-16	1.374121E+00
3.493683E+03	1.276386E-14	6.899199E-16	1.373936E+00
3.496637E+03	1.274578E-14	6.907800E-16	1.373749E+00
3.499591E+03	1.275818E-14	6.905045E-16	1.373560E+00
3.502546E+03	1.277070E-14	6.909184E-16	1.373371E+00
3.505500E+03	1.278500E-14	6.933848E-16	1.373181E+00
3.508454E+03	1.276592E-14	6.930500E-16	1.372989E+00
3.511408E+03	1.271896E-14	6.778922E-16	1.372796E+00
3.514362E+03	1.268051E-14	6.778299E-16	1.372602E+00
3.517316E+03	1.266938E-14	6.752713E-16	1.372407E+00
3.520270E+03	1.264506E-14	6.567684E-16	1.372211E+00
3.523224E+03	1.260949E-14	6.228396E-16	1.372013E+00
3.526178E+03	1.257721E-14	6.229733E-16	1.371815E+00
3.529132E+03	1.253958E-14	6.254126E-16	1.371615E+00
3.532086E+03	1.251621E-14	6.225927E-16	1.371414E+00
3.535041E+03	1.246856E-14	6.188610E-16	1.371211E+00
3.537995E+03	1.241626E-14	6.162063E-16	1.371008E+00
3.540949E+03	1.239439E-14	6.046840E-16	1.370803E+00
3.543903E+03	1.239390E-14	6.011407E-16	1.370597E+00
3.546857E+03	1.241052E-14	6.072366E-16	1.370390E+00
3.549811E+03	1.242193E-14	6.097926E-16	1.370181E+00
3.552765E+03	1.244743E-14	6.030076E-16	1.369972E+00
3.555719E+03	1.245729E-14	6.008468E-16	1.369761E+00
3.558673E+03	1.246687E-14	6.126489E-16	1.369549E+00
3.561627E+03	1.249368E-14	6.041092E-16	1.369336E+00
3.564581E+03	1.252171E-14	6.090516E-16	1.369121E+00
3.567535E+03	1.253958E-14	6.127720E-16	1.368905E+00
3.570490E+03	1.254006E-14	6.231819E-16	1.368688E+00
3.573444E+03	1.252752E-14	6.348548E-16	1.368470E+00
3.576398E+03	1.251703E-14	6.307339E-16	1.368250E+00
3.579352E+03	1.252595E-14	6.295070E-16	1.368030E+00
3.582306E+03	1.253856E-14	6.204643E-16	1.367808E+00
3.585260E+03	1.253008E-14	6.177226E-16	1.367584E+00
3.588214E+03	1.252994E-14	6.151368E-16	1.367360E+00
3.591168E+03	1.255439E-14	6.296126E-16	1.367134E+00
3.594122E+03	1.257349E-14	6.518895E-16	1.366907E+00
3.597076E+03	1.258957E-14	6.535837E-16	1.366678E+00
3.600030E+03	1.258718E-14	6.501392E-16	1.366449E+00
3.602984E+03	1.262221E-14	6.480682E-16	1.366218E+00
3.605939E+03	1.266924E-14	6.335448E-16	1.365985E+00
3.608893E+03	1.269944E-14	6.421264E-16	1.365752E+00
3.611847E+03	1.271911E-14	6.450616E-16	1.365517E+00
3.614801E+03	1.275650E-14	6.393336E-16	1.365281E+00
3.617755E+03	1.280643E-14	6.302874E-16	1.365043E+00
3.620709E+03	1.286001E-14	6.089888E-16	1.364805E+00
3.623663E+03	1.289937E-14	6.038114E-16	1.364565E+00
3.626617E+03	1.293160E-14	6.041820E-16	1.364323E+00
3.629571E+03	1.296831E-14	6.042509E-16	1.364081E+00
3.632525E+03	1.301005E-14	6.027802E-16	1.363837E+00
3.635479E+03	1.305339E-14	6.032972E-16	1.363591E+00
3.638434E+03	1.309220E-14	5.913330E-16	1.363345E+00
3.641387E+03	1.313494E-14	5.591692E-16	1.363097E+00
3.644342E+03	1.319209E-14	5.493165E-16	1.362847E+00
3.647296E+03	1.326365E-14	5.513229E-16	1.362597E+00
3.650250E+03	1.332918E-14	5.546807E-16	1.362345E+00
3.653204E+03	1.338118E-14	5.744409E-16	1.362091E+00
3.656158E+03	1.341913E-14	5.685559E-16	1.361837E+00
3.659112E+03	1.346685E-14	5.617326E-16	1.361580E+00
3.662066E+03	1.352025E-14	5.620518E-16	1.361323E+00
3.665020E+03	1.357376E-14	5.630401E-16	1.361064E+00
3.667974E+03	1.359770E-14	5.627176E-16	1.360804E+00
3.670928E+03	1.360080E-14	5.615695E-16	1.360543E+00
