#wls	flux	fluxerr
1.585257E+03	4.445209E-18	1.208704E-19
1.624889E+03	4.481277E-18	1.216341E-19
1.664520E+03	4.507993E-18	1.221361E-19
1.704151E+03	4.525028E-18	1.223686E-19
1.743783E+03	4.531813E-18	1.223176E-19
1.783414E+03	4.526165E-18	1.219258E-19
1.823046E+03	4.505025E-18	1.211130E-19
1.862677E+03	4.464056E-18	1.197653E-19
1.902309E+03	4.401186E-18	1.178306E-19
1.941940E+03	4.313285E-18	1.152292E-19
1.981571E+03	4.201763E-18	1.120033E-19
2.021203E+03	4.076205E-18	1.084123E-19
2.060834E+03	3.954715E-18	1.049396E-19
2.100466E+03	3.867021E-18	1.023718E-19
2.140097E+03	3.840188E-18	1.014178E-19
2.179729E+03	3.889052E-18	1.024568E-19
2.219360E+03	4.007040E-18	1.053013E-19
2.258991E+03	4.176811E-18	1.094826E-19
2.298623E+03	4.374538E-18	1.143668E-19
2.338254E+03	4.582279E-18	1.194797E-19
2.377886E+03	4.790646E-18	1.245744E-19
2.417517E+03	4.992468E-18	1.294641E-19
2.457149E+03	5.189045E-18	1.341832E-19
2.496780E+03	5.379902E-18	1.387199E-19
2.536411E+03	5.568828E-18	1.431725E-19
2.576043E+03	5.756611E-18	1.475609E-19
2.615674E+03	5.946649E-18	1.519719E-19
2.655306E+03	6.141439E-18	1.564681E-19
2.694937E+03	6.343380E-18	1.611087E-19
2.734569E+03	6.554791E-18	1.659506E-19
2.774200E+03	6.777944E-18	1.710482E-19
2.813831E+03	7.016126E-18	1.764811E-19
2.853463E+03	7.270638E-18	1.822779E-19
2.893094E+03	7.543820E-18	1.884925E-19
2.932726E+03	7.838096E-18	1.951806E-19
2.972357E+03	8.156017E-18	2.023997E-19
2.982265E+03	8.240308E-18	2.043144E-19
2.992173E+03	8.326147E-18	2.062635E-19
3.002081E+03	8.412406E-18	2.082190E-19
3.011989E+03	8.501517E-18	2.102409E-19
3.021896E+03	8.593719E-18	2.123351E-19
3.031804E+03	8.687006E-18	2.144518E-19
3.041712E+03	8.782103E-18	2.166088E-19
3.051620E+03	8.880991E-18	2.188548E-19
