#wls	flux	fluxerr
1.600000E+03	8.119048E-18	5.735569E-18
1.640000E+03	8.134121E-18	5.744256E-18
1.680000E+03	8.149443E-18	5.752883E-18
1.720000E+03	8.167938E-18	5.763487E-18
1.760000E+03	8.188333E-18	5.775141E-18
1.800000E+03	8.209381E-18	5.786935E-18
1.840000E+03	8.235451E-18	5.801914E-18
1.880000E+03	8.262542E-18	5.817223E-18
1.920000E+03	8.293671E-18	5.834943E-18
1.960000E+03	8.327689E-18	5.854222E-18
2.000000E+03	8.364878E-18	5.875211E-18
2.040000E+03	8.406948E-18	5.899056E-18
2.080000E+03	8.454251E-18	5.925946E-18
2.120000E+03	8.507184E-18	5.956092E-18
2.160000E+03	8.564792E-18	5.988755E-18
2.200000E+03	8.628964E-18	6.025180E-18
2.240000E+03	8.698847E-18	6.064687E-18
2.280000E+03	8.777855E-18	6.109561E-18
2.320000E+03	8.865266E-18	6.159191E-18
2.360000E+03	8.960417E-18	6.213003E-18
2.400000E+03	9.066962E-18	6.273403E-18
2.440000E+03	9.185840E-18	6.340889E-18
2.480000E+03	9.315212E-18	6.414031E-18
2.520000E+03	9.459063E-18	6.495394E-18
2.560000E+03	9.618650E-18	6.585631E-18
2.600000E+03	9.793889E-18	6.684452E-18
2.640000E+03	9.987751E-18	6.793625E-18
2.680000E+03	1.020191E-17	6.913988E-18
2.720000E+03	1.043667E-17	7.045417E-18
2.760000E+03	1.069708E-17	7.190937E-18
2.800000E+03	1.098226E-17	7.349523E-18
2.840000E+03	1.129772E-17	7.524383E-18
2.880000E+03	1.164454E-17	7.715671E-18
2.920000E+03	1.202556E-17	7.924652E-18
2.960000E+03	1.244558E-17	8.153777E-18
3.000000E+03	1.290633E-17	8.403377E-18
3.010000E+03	1.302836E-17	8.469184E-18
3.020000E+03	1.315288E-17	8.536172E-18
3.030000E+03	1.328174E-17	8.605512E-18
3.040000E+03	1.341324E-17	8.676087E-18
3.050000E+03	1.354743E-17	8.747916E-18
3.060000E+03	1.368436E-17	8.821022E-18
3.070000E+03	1.382411E-17	8.895425E-18
3.080000E+03	1.396856E-17	8.972329E-18
3.090000E+03	1.411597E-17	9.050586E-18
3.100000E+03	1.426639E-17	9.130217E-18
3.110000E+03	1.441989E-17	9.211245E-18
3.120000E+03	1.457844E-17	9.294898E-18
