#wls	flux	fluxerr	mangling_mask
3.797128E+03	9.186479E-17	3.096186E-17	6.220530E+01
3.799126E+03	9.094322E-17	3.014698E-17	6.220466E+01
3.801135E+03	9.040731E-17	2.768270E-17	6.220401E+01
3.803133E+03	8.959150E-17	2.766517E-17	6.220336E+01
3.805132E+03	8.863885E-17	2.828920E-17	6.220270E+01
3.807130E+03	8.815272E-17	2.721000E-17	6.220203E+01
3.809128E+03	8.851876E-17	2.717837E-17	6.220136E+01
3.811137E+03	8.852401E-17	2.716397E-17	6.220068E+01
3.813135E+03	8.581734E-17	2.716887E-17	6.220000E+01
3.815134E+03	8.517573E-17	2.632641E-17	6.219931E+01
3.817132E+03	8.398678E-17	2.311405E-17	6.219861E+01
3.819131E+03	8.420975E-17	2.356748E-17	6.219791E+01
3.821139E+03	8.415903E-17	2.376828E-17	6.219720E+01
3.823138E+03	8.394659E-17	2.278696E-17	6.219648E+01
3.825136E+03	8.453026E-17	2.553633E-17	6.219576E+01
3.827134E+03	8.561147E-17	2.449801E-17	6.219503E+01
3.829143E+03	8.729592E-17	2.431934E-17	6.219430E+01
3.831141E+03	9.009981E-17	2.456463E-17	6.219356E+01
3.833140E+03	9.180281E-17	2.314451E-17	6.219281E+01
3.835138E+03	9.168354E-17	2.205319E-17	6.219206E+01
3.837137E+03	9.298844E-17	2.267848E-17	6.219130E+01
3.839145E+03	9.214150E-17	2.501498E-17	6.219054E+01
3.841144E+03	9.153090E-17	2.538906E-17	6.218977E+01
3.843142E+03	9.276110E-17	2.589794E-17	6.218899E+01
3.845140E+03	9.414051E-17	2.626294E-17	6.218821E+01
3.847149E+03	9.767155E-17	2.759969E-17	6.218741E+01
3.849147E+03	1.005122E-16	2.999337E-17	6.218662E+01
3.851146E+03	1.004798E-16	3.008773E-17	6.218582E+01
3.853144E+03	1.021264E-16	2.953624E-17	6.218501E+01
3.855142E+03	1.039595E-16	2.955603E-17	6.218419E+01
3.857151E+03	1.063647E-16	2.954703E-17	6.218337E+01
3.859149E+03	1.086640E-16	2.961338E-17	6.218254E+01
3.861148E+03	1.098937E-16	3.008988E-17	6.218171E+01
3.863146E+03	1.114841E-16	3.062376E-17	6.218087E+01
3.865145E+03	1.127946E-16	3.092092E-17	6.218002E+01
3.867153E+03	1.130355E-16	3.107739E-17	6.217916E+01
3.869152E+03	1.150983E-16	3.062485E-17	6.217830E+01
3.871150E+03	1.173164E-16	3.064419E-17	6.217744E+01
3.873148E+03	1.197645E-16	2.812244E-17	6.217657E+01
3.875157E+03	1.229835E-16	2.819751E-17	6.217568E+01
3.877155E+03	1.265630E-16	2.784244E-17	6.217480E+01
3.879154E+03	1.309134E-16	2.809702E-17	6.217391E+01
3.881152E+03	1.361900E-16	2.894964E-17	6.217301E+01
3.883151E+03	1.427036E-16	2.897344E-17	6.217210E+01
3.885159E+03	1.512625E-16	2.866938E-17	6.217119E+01
3.887157E+03	1.584596E-16	2.596628E-17	6.217027E+01
3.889156E+03	1.647301E-16	2.450271E-17	6.216935E+01
3.891154E+03	1.721319E-16	2.560390E-17	6.216842E+01
3.893153E+03	1.792972E-16	2.428382E-17	6.216748E+01
3.895161E+03	1.864499E-16	2.387360E-17	6.216653E+01
3.897160E+03	1.945285E-16	2.260445E-17	6.216558E+01
3.899158E+03	2.032908E-16	2.637694E-17	6.216462E+01
3.901156E+03	2.118289E-16	2.748728E-17	6.216366E+01
3.903165E+03	2.195897E-16	2.788482E-17	6.216269E+01
3.905163E+03	2.280402E-16	2.989395E-17	6.216171E+01
3.907162E+03	2.359000E-16	3.119563E-17	6.216073E+01
3.909160E+03	2.429575E-16	3.123329E-17	6.215974E+01
3.911159E+03	2.508602E-16	3.098809E-17	6.215874E+01
3.913167E+03	2.578054E-16	3.048118E-17	6.215773E+01
3.915166E+03	2.640728E-16	3.068947E-17	6.215672E+01
3.917164E+03	2.716204E-16	3.078521E-17	6.215570E+01
3.919162E+03	2.786519E-16	3.123736E-17	6.215468E+01
3.921161E+03	2.862238E-16	3.161867E-17	6.215365E+01
3.923169E+03	2.956910E-16	3.172984E-17	6.215261E+01
3.925168E+03	3.041511E-16	3.171326E-17	6.215157E+01
3.927166E+03	3.133443E-16	3.134620E-17	6.215052E+01
