#wls	flux	fluxerr
1.596185E+03	2.477904E-04	1.789179E-05
1.636090E+03	2.501426E-04	1.797500E-05
1.675994E+03	2.527524E-04	1.807302E-05
1.715899E+03	2.557306E-04	1.819336E-05
1.755804E+03	2.588637E-04	1.832040E-05
1.795708E+03	2.623712E-04	1.846932E-05
1.835613E+03	2.662571E-04	1.863985E-05
1.875518E+03	2.704148E-04	1.882401E-05
1.915422E+03	2.749574E-04	1.902916E-05
1.955327E+03	2.800005E-04	1.926264E-05
1.995231E+03	2.853238E-04	1.950861E-05
2.035136E+03	2.911552E-04	1.978202E-05
2.075041E+03	2.974991E-04	2.008233E-05
2.114945E+03	3.043597E-04	2.040894E-05
2.154850E+03	3.116253E-04	2.075350E-05
2.194755E+03	3.195286E-04	2.113062E-05
2.234659E+03	3.278411E-04	2.152414E-05
2.274564E+03	3.369137E-04	2.195609E-05
2.314468E+03	3.465157E-04	2.241016E-05
2.354373E+03	3.566468E-04	2.288524E-05
2.394278E+03	3.674252E-04	2.338773E-05
2.434182E+03	3.788508E-04	2.391630E-05
2.474087E+03	3.909226E-04	2.446951E-05
2.513992E+03	4.036386E-04	2.504583E-05
2.553896E+03	4.171176E-04	2.565114E-05
2.593801E+03	4.313581E-04	2.628366E-05
2.633705E+03	4.464807E-04	2.694896E-05
2.673610E+03	4.624852E-04	2.764506E-05
2.713515E+03	4.794957E-04	2.837729E-05
2.753419E+03	4.975160E-04	2.914361E-05
2.793324E+03	5.168012E-04	2.995645E-05
2.833229E+03	5.373653E-04	3.081377E-05
2.873133E+03	5.593543E-04	3.172089E-05
2.913038E+03	5.829255E-04	3.268335E-05
2.952942E+03	6.083779E-04	3.371406E-05
2.992847E+03	6.357805E-04	3.481250E-05
3.002823E+03	6.429543E-04	3.509817E-05
3.012799E+03	6.502734E-04	3.538898E-05
3.022776E+03	6.578661E-04	3.569182E-05
3.032752E+03	6.654821E-04	3.599299E-05
3.042728E+03	6.733763E-04	3.630623E-05
3.052704E+03	6.812982E-04	3.661790E-05
3.062680E+03	6.895040E-04	3.694172E-05
3.072656E+03	6.978696E-04	3.727090E-05
3.082633E+03	7.063984E-04	3.760552E-05
3.092609E+03	7.152208E-04	3.795242E-05
3.102585E+03	7.242134E-04	3.830490E-05
3.112561E+03	7.333800E-04	3.866306E-05
3.122537E+03	7.428523E-04	3.903372E-05
3.132513E+03	7.525075E-04	3.941028E-05
3.142489E+03	7.624778E-04	3.979954E-05
3.152466E+03	7.726409E-04	4.019494E-05
3.162442E+03	7.831300E-04	4.060328E-05
3.172418E+03	7.938231E-04	4.101808E-05
3.182394E+03	8.048544E-04	4.144613E-05
3.192370E+03	8.162309E-04	4.188759E-05
3.202346E+03	8.278309E-04	4.233604E-05
3.212323E+03	8.397903E-04	4.279828E-05
3.222299E+03	8.522464E-04	4.328107E-05
3.232275E+03	8.649490E-04	4.377147E-05
3.242251E+03	8.780360E-04	4.427629E-05
3.252227E+03	8.915163E-04	4.479576E-05
3.262203E+03	9.053991E-04	4.533011E-05
3.272179E+03	9.196941E-04	4.587959E-05
3.282156E+03	9.345421E-04	4.645096E-05
3.292132E+03	9.498228E-04	4.703796E-05
3.302108E+03	9.655468E-04	4.764085E-05
3.312084E+03	9.818553E-04	4.826630E-05
3.322060E+03	9.986281E-04	4.890812E-05
3.332036E+03	1.016009E-03	4.957305E-05
3.342013E+03	1.034008E-03	5.026120E-05
3.351989E+03	1.052504E-03	5.096639E-05
3.361965E+03	1.071775E-03	5.170166E-05
3.371941E+03	1.091562E-03	5.245423E-05
3.381917E+03	1.112012E-03	5.323075E-05
3.391893E+03	1.133269E-03	5.403774E-05
3.401870E+03	1.155207E-03	5.486877E-05
3.411846E+03	1.177837E-03	5.572390E-05
3.421822E+03	1.201303E-03	5.660955E-05
3.431798E+03	1.225477E-03	5.751926E-05
3.441774E+03	1.250505E-03	5.845937E-05
3.451750E+03	1.276394E-03	5.942980E-05
3.461726E+03	1.303015E-03	6.042396E-05
3.471703E+03	1.330651E-03	6.145460E-05
3.481679E+03	1.359175E-03	6.251519E-05
3.491655E+03	1.388733E-03	6.361200E-05
