#wls	flux	fluxerr
1.600000E+03	7.989373E-18	3.511155E-19
1.640000E+03	7.986655E-18	3.498233E-19
1.680000E+03	7.991183E-18	3.488199E-19
1.720000E+03	8.000559E-18	3.479971E-19
1.760000E+03	8.012534E-18	3.472545E-19
1.800000E+03	8.032458E-18	3.468213E-19
1.840000E+03	8.058115E-18	3.465975E-19
1.880000E+03	8.089866E-18	3.465949E-19
1.920000E+03	8.128111E-18	3.468265E-19
1.960000E+03	8.175687E-18	3.474085E-19
2.000000E+03	8.230647E-18	3.482525E-19
2.040000E+03	8.293549E-18	3.493766E-19
2.080000E+03	8.364973E-18	3.507995E-19
2.120000E+03	8.447949E-18	3.526412E-19
2.160000E+03	8.543168E-18	3.549222E-19
2.200000E+03	8.649124E-18	3.575709E-19
2.240000E+03	8.766732E-18	3.606167E-19
2.280000E+03	8.899342E-18	3.641870E-19
2.320000E+03	9.048081E-18	3.683159E-19
2.360000E+03	9.214235E-18	3.730423E-19
2.400000E+03	9.396925E-18	3.783163E-19
2.440000E+03	9.602433E-18	3.843749E-19
2.480000E+03	9.827906E-18	3.910853E-19
2.520000E+03	1.007772E-17	3.986026E-19
2.560000E+03	1.035419E-17	4.069956E-19
2.600000E+03	1.066233E-17	4.164363E-19
2.640000E+03	1.100271E-17	4.269171E-19
2.680000E+03	1.137862E-17	4.385347E-19
2.720000E+03	1.179632E-17	4.514942E-19
2.760000E+03	1.225752E-17	4.658204E-19
2.800000E+03	1.276960E-17	4.817481E-19
2.840000E+03	1.333529E-17	4.993289E-19
2.880000E+03	1.396334E-17	5.188327E-19
2.920000E+03	1.466354E-17	5.405564E-19
2.960000E+03	1.543798E-17	5.645007E-19
3.000000E+03	1.629816E-17	5.910035E-19
3.010000E+03	1.652860E-17	5.980904E-19
3.020000E+03	1.676459E-17	6.053365E-19
3.030000E+03	1.700629E-17	6.127459E-19
3.040000E+03	1.725705E-17	6.204378E-19
3.050000E+03	1.751389E-17	6.283031E-19
3.060000E+03	1.777698E-17	6.363455E-19
3.070000E+03	1.804649E-17	6.445695E-19
3.080000E+03	1.832259E-17	6.529799E-19
3.090000E+03	1.860546E-17	6.615805E-19
3.100000E+03	1.889870E-17	6.704977E-19
3.110000E+03	1.919916E-17	6.796169E-19
3.120000E+03	1.950702E-17	6.889425E-19
3.130000E+03	1.982603E-17	6.986045E-19
3.140000E+03	2.014937E-17	7.083602E-19
3.150000E+03	2.048434E-17	7.184642E-19
