#wls	flux	fluxerr
1.600000E+03	3.296370E-18	2.817637E-18
1.640000E+03	3.254244E-18	2.753857E-18
1.680000E+03	3.213897E-18	2.691540E-18
1.720000E+03	3.176873E-18	2.631937E-18
1.760000E+03	3.140312E-18	2.572630E-18
1.800000E+03	3.107209E-18	2.516046E-18
1.840000E+03	3.076200E-18	2.461011E-18
1.880000E+03	3.047393E-18	2.407561E-18
1.920000E+03	3.020900E-18	2.355732E-18
1.960000E+03	2.996842E-18	2.305558E-18
2.000000E+03	2.976668E-18	2.258073E-18
2.040000E+03	2.957865E-18	2.211283E-18
2.080000E+03	2.943212E-18	2.167199E-18
2.120000E+03	2.931560E-18	2.124856E-18
2.160000E+03	2.923098E-18	2.084291E-18
2.200000E+03	2.919288E-18	2.046424E-18
2.240000E+03	2.917838E-18	2.009510E-18
2.280000E+03	2.921510E-18	1.975334E-18
2.320000E+03	2.929335E-18	1.943062E-18
2.360000E+03	2.941636E-18	1.912744E-18
2.400000E+03	2.958772E-18	1.884433E-18
2.440000E+03	2.982391E-18	1.858961E-18
2.480000E+03	3.010477E-18	1.834833E-18
2.520000E+03	3.046040E-18	1.813653E-18
2.560000E+03	3.088440E-18	1.794732E-18
2.600000E+03	3.138364E-18	1.778164E-18
2.640000E+03	3.197886E-18	1.764765E-18
2.680000E+03	3.265350E-18	1.753223E-18
2.720000E+03	3.344400E-18	1.745090E-18
2.760000E+03	3.434963E-18	1.739815E-18
2.800000E+03	3.538449E-18	1.737584E-18
2.840000E+03	3.656503E-18	1.738609E-18
2.880000E+03	3.791043E-18	1.743140E-18
2.920000E+03	3.945844E-18	1.752145E-18
2.960000E+03	4.122150E-18	1.765295E-18
3.000000E+03	4.323121E-18	1.783005E-18
3.010000E+03	4.377225E-18	1.788031E-18
3.020000E+03	4.433158E-18	1.793380E-18
3.030000E+03	4.490986E-18	1.799063E-18
3.040000E+03	4.552502E-18	1.805770E-18
3.050000E+03	4.614355E-18	1.812148E-18
3.060000E+03	4.678326E-18	1.818889E-18
3.070000E+03	4.744495E-18	1.826003E-18
3.080000E+03	4.814754E-18	1.834191E-18
3.090000E+03	4.885599E-18	1.842088E-18
3.100000E+03	4.958906E-18	1.850396E-18
3.110000E+03	5.036657E-18	1.859822E-18
3.120000E+03	5.115212E-18	1.868992E-18
3.130000E+03	5.196535E-18	1.878614E-18
3.140000E+03	5.282702E-18	1.889407E-18
3.150000E+03	5.369929E-18	1.899984E-18
3.160000E+03	5.462300E-18	1.911772E-18
3.170000E+03	5.555923E-18	1.923374E-18
3.180000E+03	5.652927E-18	1.935516E-18
3.190000E+03	5.755579E-18	1.948937E-18
3.200000E+03	5.859811E-18	1.962224E-18
3.210000E+03	5.970066E-18	1.976843E-18
3.220000E+03	6.082151E-18	1.991368E-18
3.230000E+03	6.200671E-18	2.007283E-18
3.240000E+03	6.321299E-18	2.023149E-18
3.250000E+03	6.446458E-18	2.039725E-18
3.260000E+03	6.578745E-18	2.057793E-18
3.270000E+03	6.713615E-18	2.075889E-18
3.280000E+03	6.856135E-18	2.095554E-18
3.290000E+03	7.001599E-18	2.115307E-18
3.300000E+03	7.155287E-18	2.136716E-18
3.310000E+03	7.312320E-18	2.158280E-18
3.320000E+03	7.478211E-18	2.181598E-18
3.330000E+03	7.650654E-18	2.205942E-18
3.340000E+03	7.827132E-18	2.230559E-18
3.350000E+03	8.013543E-18	2.257100E-18
3.360000E+03	8.204516E-18	2.284005E-18
3.370000E+03	8.406230E-18	2.312963E-18
3.380000E+03	8.613093E-18	2.342388E-18
3.390000E+03	8.831592E-18	2.374013E-18
3.400000E+03	9.055896E-18	2.406221E-18
3.410000E+03	9.292823E-18	2.440792E-18
3.420000E+03	9.539676E-18	2.476957E-18
3.430000E+03	9.793465E-18	2.513908E-18
3.440000E+03	1.006156E-17	2.553506E-18
3.450000E+03	1.034111E-17	2.594962E-18
3.460000E+03	1.062893E-17	2.637445E-18
3.470000E+03	1.093302E-17	2.682908E-18
3.480000E+03	1.125034E-17	2.730543E-18
3.490000E+03	1.157751E-17	2.779488E-18
3.500000E+03	1.192323E-17	2.831805E-18
3.510000E+03	1.228429E-17	2.886659E-18
3.520000E+03	1.265703E-17	2.943156E-18
3.530000E+03	1.305099E-17	3.003477E-18
3.540000E+03	1.346273E-17	3.066758E-18
3.550000E+03	1.388831E-17	3.132064E-18
3.560000E+03	1.433822E-17	3.201713E-18
3.570000E+03	1.480876E-17	3.274804E-18
3.580000E+03	1.529569E-17	3.350349E-18
3.590000E+03	1.581053E-17	3.430823E-18
3.600000E+03	1.634932E-17	3.515273E-18
3.610000E+03	1.691323E-17	3.603870E-18
3.620000E+03	1.749746E-17	3.695507E-18
3.630000E+03	1.811514E-17	3.792866E-18
3.640000E+03	1.876177E-17	3.894875E-18
3.650000E+03	1.943877E-17	4.001704E-18
3.660000E+03	2.014071E-17	4.112120E-18
3.670000E+03	2.088265E-17	4.229070E-18
3.680000E+03	2.165954E-17	4.351355E-18
3.690000E+03	2.247306E-17	4.479148E-18
3.700000E+03	2.331705E-17	4.611053E-18
3.710000E+03	2.420888E-17	4.750327E-18
3.720000E+03	2.514283E-17	4.895613E-18
3.730000E+03	2.612090E-17	5.047076E-18
3.740000E+03	2.714519E-17	5.204874E-18
3.750000E+03	2.820837E-17	5.367355E-18
3.760000E+03	2.933138E-17	5.538232E-18
3.770000E+03	3.050744E-17	5.715890E-18
3.780000E+03	3.173904E-17	5.900466E-18
3.790000E+03	3.302878E-17	6.092085E-18
3.800000E+03	3.437937E-17	6.290864E-18
3.810000E+03	3.578170E-17	6.494739E-18
3.820000E+03	3.726211E-17	6.708068E-18
3.830000E+03	3.881220E-17	6.928825E-18
3.840000E+03	4.043517E-17	7.157069E-18
3.850000E+03	4.213435E-17	7.392839E-18
3.860000E+03	4.391320E-17	7.636157E-18
3.870000E+03	4.576023E-17	7.884412E-18
3.880000E+03	4.770881E-17	8.142706E-18
3.890000E+03	4.974832E-17	8.408456E-18
3.900000E+03	5.188282E-17	8.681575E-18
3.910000E+03	5.411651E-17	8.961945E-18
3.920000E+03	5.645379E-17	9.249409E-18
3.930000E+03	5.889918E-17	9.543774E-18
3.940000E+03	6.145740E-17	9.844805E-18
3.950000E+03	6.411240E-17	1.014891E-17
3.960000E+03	6.691019E-17	1.046228E-17
3.970000E+03	6.983592E-17	1.078133E-17
3.980000E+03	7.289499E-17	1.110563E-17
3.990000E+03	7.609298E-17	1.143466E-17
4.000000E+03	7.943566E-17	1.176790E-17
4.010000E+03	8.292895E-17	1.210471E-17
4.020000E+03	8.657900E-17	1.244441E-17
4.030000E+03	9.036297E-17	1.278212E-17
4.040000E+03	9.434435E-17	1.312516E-17
4.050000E+03	9.850187E-17	1.346861E-17
4.060000E+03	1.028423E-16	1.381148E-17
4.070000E+03	1.073727E-16	1.415272E-17
4.080000E+03	1.121003E-16	1.449119E-17
4.090000E+03	1.170322E-16	1.482570E-17
4.100000E+03	1.221760E-16	1.515496E-17
4.110000E+03	1.275393E-16	1.547761E-17
4.120000E+03	1.330874E-16	1.578724E-17
4.130000E+03	1.389111E-16	1.609233E-17
4.140000E+03	1.449776E-16	1.638643E-17
4.150000E+03	1.512950E-16	1.666804E-17
4.160000E+03	1.578713E-16	1.693562E-17
4.170000E+03	1.647146E-16	1.718766E-17
4.180000E+03	1.718330E-16	1.742271E-17
4.190000E+03	1.792346E-16	1.763942E-17
4.200000E+03	1.868686E-16	1.783101E-17
4.210000E+03	1.948580E-16	1.800762E-17
4.220000E+03	2.031542E-16	1.816304E-17
4.230000E+03	2.117647E-16	1.829699E-17
4.240000E+03	2.206970E-16	1.840966E-17
4.250000E+03	2.299581E-16	1.850196E-17
4.260000E+03	2.395547E-16	1.857557E-17
4.270000E+03	2.494931E-16	1.863321E-17
4.280000E+03	2.596986E-16	1.867307E-17
4.290000E+03	2.703342E-16	1.871221E-17
4.300000E+03	2.813270E-16	1.875209E-17
4.310000E+03	2.926806E-16	1.880203E-17
4.320000E+03	3.043980E-16	1.887367E-17
