#wls	flux	fluxerr
1.596488E+03	1.706852E-05	2.058385E-06
1.636400E+03	1.625888E-05	1.955157E-06
1.676312E+03	1.551101E-05	1.859759E-06
1.716224E+03	1.482649E-05	1.772331E-06
1.756136E+03	1.420570E-05	1.692866E-06
1.796049E+03	1.365193E-05	1.621700E-06
1.835961E+03	1.316629E-05	1.558897E-06
1.875873E+03	1.275279E-05	1.504865E-06
1.915785E+03	1.241504E-05	1.459952E-06
1.955697E+03	1.215689E-05	1.424524E-06
1.995610E+03	1.198625E-05	1.399409E-06
2.035522E+03	1.191128E-05	1.385446E-06
2.075434E+03	1.194412E-05	1.383921E-06
2.115346E+03	1.210031E-05	1.396476E-06
2.155258E+03	1.240301E-05	1.425596E-06
2.195171E+03	1.288205E-05	1.474478E-06
2.235083E+03	1.358015E-05	1.547721E-06
2.274995E+03	1.455807E-05	1.651870E-06
2.314907E+03	1.590190E-05	1.796192E-06
2.354819E+03	1.773897E-05	1.994391E-06
2.394732E+03	2.025714E-05	2.266645E-06
2.434644E+03	2.374179E-05	2.643540E-06
2.474556E+03	2.861126E-05	3.169705E-06
2.514468E+03	3.547770E-05	3.910099E-06
2.554380E+03	4.536283E-05	4.973043E-06
2.594293E+03	5.972255E-05	6.511605E-06
2.634205E+03	7.997226E-05	8.670678E-06
2.674117E+03	1.069598E-04	1.153010E-05
2.714029E+03	1.407117E-04	1.507908E-05
2.753941E+03	1.798962E-04	1.916151E-05
2.793854E+03	2.214157E-04	2.343740E-05
2.833766E+03	2.624377E-04	2.760252E-05
2.873678E+03	3.031891E-04	3.167990E-05
2.913590E+03	3.485791E-04	3.617795E-05
2.953502E+03	4.034433E-04	4.158343E-05
2.993414E+03	4.668826E-04	4.778171E-05
3.003393E+03	4.835798E-04	4.940133E-05
3.013371E+03	5.005111E-04	5.103823E-05
3.023349E+03	5.176296E-04	5.268747E-05
3.033327E+03	5.349099E-04	5.434631E-05
3.043305E+03	5.523416E-04	5.601355E-05
3.053283E+03	5.698698E-04	5.768353E-05
3.063261E+03	5.874368E-04	5.935030E-05
3.073239E+03	6.049696E-04	6.100643E-05
3.083217E+03	6.223559E-04	6.264059E-05
3.093195E+03	6.394817E-04	6.424138E-05
3.103173E+03	6.562412E-04	6.579828E-05
3.113151E+03	6.725030E-04	6.729833E-05
3.123129E+03	6.881861E-04	6.873366E-05
3.133107E+03	7.031807E-04	7.009365E-05
3.143085E+03	7.174166E-04	7.137166E-05
3.153063E+03	7.308128E-04	7.256007E-05
3.163041E+03	7.432825E-04	7.365073E-05
3.173019E+03	7.547206E-04	7.463378E-05
3.182997E+03	7.650270E-04	7.549992E-05
3.192975E+03	7.741100E-04	7.624076E-05
3.202954E+03	7.818496E-04	7.684524E-05
3.212932E+03	7.881832E-04	7.730800E-05
3.222910E+03	7.930400E-04	7.762296E-05
3.232888E+03	7.963851E-04	7.778758E-05
