#wls	flux	fluxerr
1.600000E+03	5.560087E-19	3.864817E-20
1.640000E+03	5.305936E-19	3.682052E-20
1.680000E+03	5.070353E-19	3.512590E-20
1.720000E+03	4.854726E-19	3.357344E-20
1.760000E+03	4.659068E-19	3.216268E-20
1.800000E+03	4.484381E-19	3.089993E-20
1.840000E+03	4.331724E-19	2.979182E-20
1.880000E+03	4.201965E-19	2.884356E-20
1.920000E+03	4.096445E-19	2.806353E-20
1.960000E+03	4.017039E-19	2.746364E-20
2.000000E+03	3.965990E-19	2.705817E-20
2.040000E+03	3.946145E-19	2.686531E-20
2.080000E+03	3.961938E-19	2.691383E-20
2.120000E+03	4.018650E-19	2.723790E-20
2.160000E+03	4.123689E-19	2.788568E-20
2.200000E+03	4.287546E-19	2.892555E-20
2.240000E+03	4.524468E-19	3.045044E-20
2.280000E+03	4.854742E-19	3.259270E-20
2.320000E+03	5.307585E-19	3.554300E-20
2.360000E+03	5.925277E-19	3.957701E-20
2.400000E+03	6.771122E-19	4.510724E-20
2.440000E+03	7.940406E-19	5.275374E-20
2.480000E+03	9.572748E-19	6.342282E-20
2.520000E+03	1.187438E-18	7.844971E-20
2.560000E+03	1.518381E-18	1.000243E-19
2.600000E+03	1.998081E-18	1.312365E-19
2.640000E+03	2.673328E-18	1.750583E-19
2.680000E+03	3.572329E-18	2.332079E-19
2.720000E+03	4.695393E-18	3.055603E-19
2.760000E+03	5.997473E-18	3.890435E-19
2.800000E+03	7.376981E-18	4.769633E-19
2.840000E+03	8.740722E-18	5.632506E-19
2.880000E+03	1.009624E-17	6.483857E-19
2.920000E+03	1.160002E-17	7.423757E-19
2.960000E+03	1.340570E-17	8.549033E-19
3.000000E+03	1.548597E-17	9.840110E-19
3.010000E+03	1.603314E-17	1.017851E-18
3.020000E+03	1.658760E-17	1.052087E-18
3.030000E+03	1.714794E-17	1.086627E-18
3.040000E+03	1.771320E-17	1.121410E-18
3.050000E+03	1.828232E-17	1.156367E-18
3.060000E+03	1.885391E-17	1.191410E-18
3.070000E+03	1.942602E-17	1.226414E-18
3.080000E+03	1.999625E-17	1.261228E-18
3.090000E+03	2.056070E-17	1.295606E-18
3.100000E+03	2.111569E-17	1.329318E-18
3.110000E+03	2.165811E-17	1.362168E-18
3.120000E+03	2.218370E-17	1.393892E-18
3.130000E+03	2.268912E-17	1.424282E-18
3.140000E+03	2.317170E-17	1.453174E-18
3.150000E+03	2.362867E-17	1.480398E-18
3.160000E+03	2.405662E-17	1.505747E-18
3.170000E+03	2.445331E-17	1.529085E-18
3.180000E+03	2.481534E-17	1.550203E-18
3.190000E+03	2.513945E-17	1.568907E-18
3.200000E+03	2.542203E-17	1.584977E-18
3.210000E+03	2.566034E-17	1.598251E-18
3.220000E+03	2.585177E-17	1.608573E-18
3.230000E+03	2.599420E-17	1.615821E-18
3.240000E+03	2.608739E-17	1.619989E-18
3.250000E+03	2.613172E-17	1.621110E-18
3.260000E+03	2.613099E-17	1.619429E-18
3.270000E+03	2.609023E-17	1.615264E-18
3.280000E+03	2.601689E-17	1.609086E-18
3.290000E+03	2.592146E-17	1.601549E-18
