#wls	flux	fluxerr
1.574958E+03	1.275739E-03	2.452929E-07
1.614332E+03	1.273083E-03	2.447821E-07
1.653706E+03	1.271122E-03	2.444051E-07
1.693080E+03	1.269141E-03	2.440241E-07
1.732454E+03	1.267862E-03	2.437780E-07
1.771828E+03	1.267286E-03	2.436673E-07
1.811202E+03	1.267180E-03	2.436468E-07
1.850576E+03	1.267787E-03	2.437634E-07
1.889950E+03	1.269350E-03	2.440640E-07
1.929324E+03	1.271876E-03	2.445496E-07
1.968698E+03	1.275610E-03	2.452674E-07
2.008072E+03	1.280560E-03	2.462191E-07
2.047446E+03	1.286738E-03	2.474069E-07
2.086820E+03	1.294630E-03	2.489243E-07
2.126194E+03	1.304016E-03	2.507288E-07
2.165567E+03	1.315151E-03	2.528698E-07
2.204941E+03	1.327823E-03	2.553062E-07
2.244315E+03	1.342533E-03	2.581344E-07
2.283689E+03	1.358843E-03	2.612705E-07
2.323063E+03	1.377033E-03	2.647678E-07
2.362437E+03	1.397152E-03	2.686361E-07
2.401811E+03	1.419025E-03	2.728415E-07
2.441185E+03	1.442958E-03	2.774431E-07
2.480559E+03	1.468800E-03	2.824118E-07
2.519933E+03	1.496650E-03	2.877666E-07
2.559307E+03	1.526625E-03	2.935299E-07
2.598681E+03	1.558861E-03	2.997278E-07
2.638055E+03	1.593517E-03	3.063912E-07
2.677429E+03	1.630783E-03	3.135562E-07
2.716803E+03	1.670875E-03	3.212648E-07
2.756177E+03	1.713810E-03	3.295198E-07
2.795551E+03	1.760123E-03	3.384245E-07
2.834925E+03	1.809674E-03	3.479517E-07
2.874299E+03	1.863341E-03	3.582703E-07
2.913673E+03	1.921831E-03	3.695162E-07
2.953047E+03	1.985923E-03	3.818392E-07
2.962890E+03	2.002766E-03	3.850776E-07
2.972734E+03	2.020383E-03	3.884647E-07
2.982577E+03	2.038283E-03	3.919064E-07
2.992421E+03	2.056729E-03	3.954530E-07
3.002264E+03	2.075733E-03	3.991069E-07
3.012107E+03	2.095053E-03	4.028216E-07
