#wls	flux	fluxerr
1.574958E+03	3.763384E-05	1.676459E-06
1.614332E+03	3.878988E-05	1.725634E-06
1.653706E+03	3.966880E-05	1.762302E-06
1.693080E+03	4.024213E-05	1.785244E-06
1.732454E+03	4.047274E-05	1.792872E-06
1.771828E+03	4.028227E-05	1.781782E-06
1.811202E+03	3.956515E-05	1.747396E-06
1.850576E+03	3.824056E-05	1.686257E-06
1.889950E+03	3.623404E-05	1.595221E-06
1.929324E+03	3.357933E-05	1.475921E-06
1.968698E+03	3.046441E-05	1.336761E-06
2.008072E+03	2.727255E-05	1.194645E-06
2.047446E+03	2.454498E-05	1.073272E-06
2.086820E+03	2.284734E-05	9.972372E-07
2.126194E+03	2.257538E-05	9.835464E-07
2.165567E+03	2.388527E-05	1.038647E-06
2.204941E+03	2.672807E-05	1.160017E-06
2.244315E+03	3.087977E-05	1.337550E-06
2.283689E+03	3.603128E-05	1.557525E-06
2.323063E+03	4.186412E-05	1.805913E-06
2.362437E+03	4.810178E-05	2.070594E-06
2.401811E+03	5.457975E-05	2.344358E-06
2.441185E+03	6.117784E-05	2.621948E-06
2.480559E+03	6.787076E-05	2.902213E-06
2.519933E+03	7.467127E-05	3.185630E-06
2.559307E+03	8.159827E-05	3.472934E-06
2.598681E+03	8.873180E-05	3.767444E-06
2.638055E+03	9.613014E-05	4.071526E-06
2.677429E+03	1.038557E-04	4.387690E-06
2.716803E+03	1.120163E-04	4.720335E-06
2.756177E+03	1.206688E-04	5.071657E-06
2.795551E+03	1.299308E-04	5.446382E-06
2.834925E+03	1.398953E-04	5.848137E-06
2.874299E+03	1.506570E-04	6.280577E-06
2.913673E+03	1.623475E-04	6.748842E-06
2.953047E+03	1.750470E-04	7.255860E-06
2.962890E+03	1.783990E-04	7.389428E-06
2.972734E+03	1.818127E-04	7.525325E-06
2.982577E+03	1.853083E-04	7.664384E-06
2.992421E+03	1.888944E-04	7.806952E-06
3.002264E+03	1.925791E-04	7.953348E-06
3.012107E+03	1.964320E-04	8.106438E-06
3.021951E+03	2.003875E-04	8.263503E-06
3.031794E+03	2.045016E-04	8.426838E-06
3.041638E+03	2.087496E-04	8.595408E-06
3.051481E+03	2.131065E-04	8.768169E-06
3.061325E+03	2.176099E-04	8.946663E-06
3.071168E+03	2.222139E-04	9.128979E-06
3.081012E+03	2.269356E-04	9.315820E-06
3.090855E+03	2.317938E-04	9.507934E-06
3.100699E+03	2.367410E-04	9.703364E-06
3.110542E+03	2.418182E-04	9.903780E-06
3.120386E+03	2.470000E-04	1.010813E-05
3.130229E+03	2.522832E-04	1.031626E-05
3.140073E+03	2.576645E-04	1.052805E-05
3.149916E+03	2.631641E-04	1.074429E-05
3.159760E+03	2.687558E-04	1.096390E-05
3.169603E+03	2.744364E-04	1.118675E-05
3.179447E+03	2.802269E-04	1.141368E-05
3.189290E+03	2.861248E-04	1.164457E-05
3.199134E+03	2.921027E-04	1.187830E-05
3.208977E+03	2.981822E-04	1.211574E-05
3.218821E+03	3.043356E-04	1.235576E-05
3.228664E+03	3.105850E-04	1.259923E-05
3.238508E+03	3.169277E-04	1.284604E-05
3.248351E+03	3.233611E-04	1.309607E-05
3.258195E+03	3.298825E-04	1.334921E-05
3.268038E+03	3.364894E-04	1.360533E-05
3.277882E+03	3.431790E-04	1.386433E-05
3.287725E+03	3.499491E-04	1.412609E-05
3.297569E+03	3.568241E-04	1.439160E-05
3.307412E+03	3.637480E-04	1.465858E-05
3.317256E+03	3.707731E-04	1.492914E-05
3.327099E+03	3.778982E-04	1.520321E-05
3.336943E+03	3.850944E-04	1.547962E-05
