#wls	flux	fluxerr
1.600000E+03	1.083403E-16	2.198439E-19
1.640000E+03	1.107205E-16	2.246739E-19
1.680000E+03	1.132781E-16	2.298636E-19
1.720000E+03	1.160109E-16	2.354092E-19
1.760000E+03	1.189417E-16	2.413563E-19
1.800000E+03	1.220681E-16	2.477004E-19
1.840000E+03	1.254244E-16	2.545109E-19
1.880000E+03	1.289960E-16	2.617583E-19
1.920000E+03	1.328290E-16	2.695363E-19
1.960000E+03	1.369203E-16	2.778384E-19
2.000000E+03	1.412793E-16	2.866837E-19
2.040000E+03	1.459272E-16	2.961152E-19
2.080000E+03	1.508850E-16	3.061754E-19
2.120000E+03	1.561616E-16	3.168827E-19
2.160000E+03	1.617537E-16	3.282303E-19
2.200000E+03	1.677184E-16	3.403338E-19
2.240000E+03	1.740881E-16	3.532591E-19
2.280000E+03	1.810134E-16	3.673118E-19
2.320000E+03	1.885022E-16	3.825080E-19
2.360000E+03	1.965629E-16	3.988648E-19
2.400000E+03	2.052399E-16	4.164719E-19
2.440000E+03	2.145658E-16	4.353959E-19
2.480000E+03	2.246328E-16	4.558237E-19
2.520000E+03	2.354868E-16	4.778484E-19
2.560000E+03	2.472096E-16	5.016360E-19
2.600000E+03	2.598501E-16	5.272859E-19
2.640000E+03	2.734822E-16	5.549476E-19
2.680000E+03	2.881595E-16	5.847300E-19
2.720000E+03	3.039503E-16	6.167720E-19
2.760000E+03	3.209046E-16	6.511744E-19
2.800000E+03	3.390429E-16	6.879791E-19
2.840000E+03	3.584149E-16	7.272866E-19
2.880000E+03	3.790202E-16	7.690962E-19
2.920000E+03	4.009465E-16	8.135852E-19
2.960000E+03	4.244833E-16	8.613412E-19
3.000000E+03	4.499437E-16	9.129986E-19
3.010000E+03	4.566553E-16	9.266158E-19
3.020000E+03	4.635140E-16	9.405312E-19
3.030000E+03	4.705211E-16	9.547475E-19
3.040000E+03	4.777008E-16	9.693141E-19
3.050000E+03	4.850437E-16	9.842115E-19
3.060000E+03	4.925627E-16	9.994659E-19
3.070000E+03	5.002598E-16	1.015082E-18
3.080000E+03	5.081482E-16	1.031085E-18
3.090000E+03	5.162302E-16	1.047482E-18
3.100000E+03	5.245194E-16	1.064298E-18
3.110000E+03	5.330184E-16	1.081540E-18
