#wls	flux	fluxerr
1.598322E+03	1.747126E-04	6.303963E-09
1.638280E+03	1.785907E-04	6.443891E-09
1.678238E+03	1.823989E-04	6.581299E-09
1.718196E+03	1.862347E-04	6.719703E-09
1.758154E+03	1.898363E-04	6.849654E-09
1.798112E+03	1.933456E-04	6.976276E-09
1.838070E+03	1.964107E-04	7.086871E-09
1.878028E+03	1.991167E-04	7.184509E-09
1.917986E+03	2.013023E-04	7.263370E-09
1.957944E+03	2.027237E-04	7.314656E-09
1.997902E+03	2.033913E-04	7.338745E-09
2.037860E+03	2.036169E-04	7.346885E-09
2.077818E+03	2.043820E-04	7.374489E-09
2.117776E+03	2.065040E-04	7.451056E-09
2.157734E+03	2.114516E-04	7.629573E-09
2.197692E+03	2.195715E-04	7.922556E-09
2.237650E+03	2.308590E-04	8.329828E-09
2.277609E+03	2.443285E-04	8.815835E-09
2.317567E+03	2.593772E-04	9.358821E-09
2.357525E+03	2.751204E-04	9.926865E-09
2.397483E+03	2.914343E-04	1.051550E-08
2.437441E+03	3.078808E-04	1.110892E-08
2.477399E+03	3.245409E-04	1.171005E-08
2.517357E+03	3.414293E-04	1.231941E-08
2.557315E+03	3.585846E-04	1.293841E-08
2.597273E+03	3.762031E-04	1.357411E-08
2.637231E+03	3.944867E-04	1.423382E-08
2.677189E+03	4.134743E-04	1.491893E-08
2.717147E+03	4.336832E-04	1.564810E-08
2.757105E+03	4.551447E-04	1.642247E-08
2.797063E+03	4.780417E-04	1.724864E-08
2.837021E+03	5.030710E-04	1.815174E-08
2.876979E+03	5.305999E-04	1.914503E-08
2.916937E+03	5.608168E-04	2.023531E-08
2.956895E+03	5.946270E-04	2.145525E-08
2.996853E+03	6.325973E-04	2.282528E-08
3.006843E+03	6.428636E-04	2.319571E-08
3.016832E+03	6.533118E-04	2.357270E-08
3.026822E+03	6.643110E-04	2.396957E-08
3.036811E+03	6.756837E-04	2.437992E-08
3.046801E+03	6.872645E-04	2.479778E-08
3.056790E+03	6.994453E-04	2.523728E-08
3.066780E+03	7.120378E-04	2.569164E-08
3.076769E+03	7.252256E-04	2.616748E-08
3.086759E+03	7.388199E-04	2.665799E-08
3.096748E+03	7.530062E-04	2.716986E-08
3.106738E+03	7.675954E-04	2.769626E-08
3.116727E+03	7.827746E-04	2.824396E-08
3.126717E+03	7.987324E-04	2.881974E-08
3.136706E+03	8.150914E-04	2.941000E-08
3.146696E+03	8.320408E-04	3.002157E-08
3.156685E+03	8.497711E-04	3.066131E-08
3.166675E+03	8.682845E-04	3.132931E-08
3.176665E+03	8.873926E-04	3.201876E-08
3.186654E+03	9.074790E-04	3.274352E-08
3.196644E+03	9.281648E-04	3.348990E-08
3.206633E+03	9.498349E-04	3.427179E-08
3.216623E+03	9.723015E-04	3.508243E-08
3.226612E+03	9.957598E-04	3.592885E-08
3.236602E+03	1.020214E-03	3.681119E-08
3.246591E+03	1.045667E-03	3.772959E-08
3.256581E+03	1.072123E-03	3.868418E-08
3.266570E+03	1.099779E-03	3.968203E-08
3.276560E+03	1.128637E-03	4.072329E-08
3.286549E+03	1.158700E-03	4.180802E-08
3.296539E+03	1.189969E-03	4.293627E-08
3.306528E+03	1.222639E-03	4.411506E-08
3.316518E+03	1.256708E-03	4.534433E-08
3.326507E+03	1.292173E-03	4.662396E-08
3.336497E+03	1.329221E-03	4.796073E-08
3.346486E+03	1.367648E-03	4.934726E-08
3.356476E+03	1.407829E-03	5.079705E-08
3.366465E+03	1.449546E-03	5.230227E-08
3.376455E+03	1.492968E-03	5.386902E-08
3.386444E+03	1.538056E-03	5.549589E-08
3.396434E+03	1.584765E-03	5.718124E-08
3.406423E+03	1.633042E-03	5.892315E-08
3.416413E+03	1.683220E-03	6.073366E-08
3.426402E+03	1.735049E-03	6.260376E-08
3.436392E+03	1.788498E-03	6.453227E-08
3.446381E+03	1.843773E-03	6.652669E-08
3.456371E+03	1.901166E-03	6.859755E-08
3.466360E+03	1.960500E-03	7.073841E-08
3.476350E+03	2.022729E-03	7.298375E-08
3.486339E+03	2.088013E-03	7.533932E-08
3.496329E+03	2.157481E-03	7.784585E-08
3.506318E+03	2.232030E-03	8.053572E-08
3.516308E+03	2.312465E-03	8.343794E-08
3.526297E+03	2.399993E-03	8.659611E-08
3.536287E+03	2.495512E-03	9.004263E-08
3.546276E+03	2.599830E-03	9.380659E-08
3.556266E+03	2.712843E-03	9.788432E-08
3.566255E+03	2.834104E-03	1.022596E-07
3.576245E+03	2.961847E-03	1.068688E-07
3.586234E+03	3.094008E-03	1.116374E-07
3.596224E+03	3.228535E-03	1.164914E-07
3.597305E+03	9.216811E-03	3.325593E-07
3.598569E+03	9.202351E-03	3.320375E-07
3.599832E+03	9.191490E-03	3.316457E-07
3.601095E+03	9.164012E-03	3.306542E-07
3.602359E+03	9.131815E-03	3.294925E-07
3.603622E+03	9.106195E-03	3.285681E-07
3.604886E+03	9.072888E-03	3.273663E-07
3.606150E+03	9.036650E-03	3.260588E-07
3.607413E+03	9.002236E-03	3.248170E-07
3.608676E+03	8.972021E-03	3.237268E-07
3.609940E+03	8.935906E-03	3.224237E-07
3.611203E+03	8.900426E-03	3.211435E-07
3.612467E+03	8.862613E-03	3.197792E-07
3.613731E+03	8.808820E-03	3.178382E-07
3.614994E+03	8.754481E-03	3.158776E-07
3.616258E+03	8.696037E-03	3.137688E-07
3.617521E+03	8.629340E-03	3.113623E-07
3.618784E+03	8.560914E-03	3.088933E-07
3.620048E+03	8.495504E-03	3.065332E-07
3.621312E+03	8.427774E-03	3.040894E-07
3.622575E+03	8.348832E-03	3.012410E-07
3.623839E+03	8.260462E-03	2.980525E-07
3.625102E+03	8.174519E-03	2.949515E-07
3.626365E+03	8.087445E-03	2.918097E-07
3.627629E+03	7.998055E-03	2.885844E-07
3.628893E+03	7.901020E-03	2.850832E-07
3.630156E+03	7.807003E-03	2.816908E-07
3.631420E+03	7.726659E-03	2.787919E-07
3.632683E+03	7.636893E-03	2.755530E-07
3.633946E+03	7.519354E-03	2.713119E-07
3.635210E+03	7.396545E-03	2.668808E-07
3.636474E+03	7.273792E-03	2.624516E-07
3.637737E+03	7.158791E-03	2.583022E-07
3.639001E+03	7.026682E-03	2.535354E-07
3.640264E+03	6.895813E-03	2.488135E-07
3.641527E+03	6.780973E-03	2.446698E-07
3.642791E+03	6.662634E-03	2.403999E-07
3.644055E+03	6.544345E-03	2.361318E-07
3.645318E+03	6.435568E-03	2.322070E-07
3.646582E+03	6.308502E-03	2.276222E-07
3.647845E+03	6.180892E-03	2.230178E-07
3.649108E+03	6.059242E-03	2.186285E-07
3.650372E+03	5.952419E-03	2.147741E-07
3.651636E+03	5.856398E-03	2.113095E-07
3.652899E+03	5.750424E-03	2.074857E-07
3.654163E+03	5.626041E-03	2.029978E-07
3.655426E+03	5.498800E-03	1.984067E-07
3.656689E+03	5.383655E-03	1.942520E-07
3.657953E+03	5.270616E-03	1.901734E-07
3.659217E+03	5.163876E-03	1.863220E-07
3.660480E+03	5.071179E-03	1.829773E-07
3.661744E+03	4.968875E-03	1.792860E-07
3.663008E+03	4.855724E-03	1.752033E-07
3.664271E+03	4.734857E-03	1.708422E-07
3.665534E+03	4.702505E-03	1.696749E-07
3.666798E+03	4.673431E-03	1.686259E-07
3.668062E+03	4.572620E-03	1.649884E-07
3.669325E+03	4.522845E-03	1.631925E-07
3.670589E+03	4.559282E-03	1.645072E-07
3.671852E+03	4.520905E-03	1.631225E-07
