#wls	flux	fluxerr
1.598322E+03	1.330172E-16	2.433383E-21
1.638280E+03	1.400444E-16	2.561938E-21
1.678238E+03	1.462872E-16	2.676141E-21
1.718196E+03	1.515617E-16	2.772631E-21
1.758154E+03	1.556333E-16	2.847116E-21
1.798112E+03	1.580218E-16	2.890812E-21
1.838070E+03	1.582540E-16	2.895059E-21
1.878028E+03	1.556632E-16	2.847664E-21
1.917986E+03	1.498161E-16	2.740697E-21
1.957944E+03	1.406311E-16	2.572670E-21
1.997902E+03	1.288149E-16	2.356506E-21
2.037860E+03	1.162110E-16	2.125935E-21
2.077818E+03	1.054480E-16	1.929039E-21
2.117776E+03	9.941276E-17	1.818631E-21
2.157734E+03	1.004041E-16	1.836767E-21
2.197692E+03	1.099134E-16	2.010727E-21
2.237650E+03	1.285409E-16	2.351494E-21
2.277609E+03	1.561238E-16	2.856089E-21
2.317567E+03	1.916130E-16	3.505319E-21
2.357525E+03	2.334073E-16	4.269892E-21
2.397483E+03	2.797511E-16	5.117694E-21
2.437441E+03	3.289426E-16	6.017590E-21
2.477399E+03	3.799835E-16	6.951318E-21
2.517357E+03	4.320583E-16	7.903961E-21
2.557315E+03	4.850076E-16	8.872600E-21
2.597273E+03	5.386807E-16	9.854482E-21
2.637231E+03	5.932942E-16	1.085357E-20
2.677189E+03	6.492126E-16	1.187652E-20
2.717147E+03	7.067778E-16	1.292961E-20
2.757105E+03	7.666429E-16	1.402476E-20
2.797063E+03	8.292609E-16	1.517028E-20
2.837021E+03	8.955343E-16	1.638266E-20
2.876979E+03	9.661372E-16	1.767425E-20
2.916937E+03	1.042077E-15	1.906348E-20
2.956895E+03	1.124092E-15	2.056383E-20
2.996853E+03	1.213606E-15	2.220138E-20
3.006843E+03	1.237330E-15	2.263538E-20
3.016832E+03	1.261484E-15	2.307724E-20
3.026822E+03	1.286416E-15	2.353335E-20
3.036811E+03	1.311855E-15	2.399872E-20
3.046801E+03	1.338211E-15	2.448087E-20
3.056790E+03	1.365723E-15	2.498416E-20
3.066780E+03	1.394344E-15	2.550775E-20
3.076769E+03	1.424215E-15	2.605421E-20
3.086759E+03	1.455122E-15	2.661960E-20
3.096748E+03	1.487392E-15	2.720994E-20
3.106738E+03	1.520636E-15	2.781809E-20
3.116727E+03	1.555006E-15	2.844685E-20
3.126717E+03	1.590667E-15	2.909922E-20
3.136706E+03	1.627413E-15	2.977144E-20
3.146696E+03	1.665414E-15	3.046664E-20
3.156685E+03	1.704658E-15	3.118455E-20
3.166675E+03	1.745134E-15	3.192501E-20
3.176665E+03	1.787029E-15	3.269141E-20
3.186654E+03	1.830144E-15	3.348015E-20
3.196644E+03	1.874674E-15	3.429477E-20
3.206633E+03	1.920821E-15	3.513897E-20
3.216623E+03	1.968398E-15	3.600932E-20
3.226612E+03	2.017615E-15	3.690970E-20
3.236602E+03	2.068491E-15	3.784041E-20
3.246591E+03	2.121052E-15	3.880195E-20
3.256581E+03	2.175529E-15	3.979852E-20
3.266570E+03	2.232166E-15	4.083463E-20
3.276560E+03	2.290805E-15	4.190736E-20
3.286549E+03	2.351710E-15	4.302153E-20
3.296539E+03	2.414945E-15	4.417834E-20
3.306528E+03	2.480800E-15	4.538307E-20
3.316518E+03	2.549368E-15	4.663743E-20
3.326507E+03	2.620970E-15	4.794730E-20
3.336497E+03	2.695740E-15	4.931511E-20
3.346486E+03	2.773829E-15	5.074366E-20
3.356476E+03	2.855844E-15	5.224402E-20
3.366465E+03	2.941568E-15	5.381223E-20
3.376455E+03	3.031895E-15	5.546464E-20
3.386444E+03	3.127120E-15	5.720666E-20
3.396434E+03	3.227363E-15	5.904048E-20
3.406423E+03	3.333466E-15	6.098150E-20
3.416413E+03	3.446121E-15	6.304237E-20
3.426402E+03	3.565648E-15	6.522897E-20
3.436392E+03	3.692896E-15	6.755681E-20
3.446381E+03	3.829043E-15	7.004745E-20
3.456371E+03	3.974671E-15	7.271153E-20
3.466360E+03	4.131153E-15	7.557417E-20
3.476350E+03	4.299244E-15	7.864917E-20
3.486339E+03	4.480482E-15	8.196469E-20
3.496329E+03	4.675993E-15	8.554131E-20
3.506318E+03	4.887193E-15	8.940495E-20
3.516308E+03	5.115316E-15	9.357815E-20
3.526297E+03	5.361950E-15	9.809001E-20
3.536287E+03	5.628707E-15	1.029700E-19
3.546276E+03	5.918050E-15	1.082631E-19
3.556266E+03	6.233408E-15	1.140322E-19
3.566255E+03	6.580790E-15	1.203871E-19
3.576245E+03	6.969851E-15	1.275045E-19
3.586234E+03	7.415249E-15	1.356525E-19
3.596224E+03	7.931859E-15	1.451032E-19
3.596907E+03	1.461223E-14	2.673121E-19
3.598170E+03	1.467796E-14	2.685144E-19
3.599434E+03	1.473756E-14	2.696048E-19
3.600697E+03	1.479926E-14	2.707335E-19
3.601960E+03	1.485962E-14	2.718378E-19
3.603224E+03	1.491177E-14	2.727916E-19
3.604487E+03	1.493644E-14	2.732431E-19
3.605750E+03	1.495633E-14	2.736069E-19
3.607014E+03	1.499208E-14	2.742610E-19
3.608277E+03	1.503408E-14	2.750292E-19
3.609540E+03	1.508091E-14	2.758859E-19
3.610804E+03	1.512780E-14	2.767437E-19
3.612067E+03	1.518368E-14	2.777661E-19
3.613330E+03	1.522377E-14	2.784993E-19
3.614594E+03	1.525012E-14	2.789814E-19
3.615857E+03	1.526754E-14	2.793002E-19
3.617121E+03	1.528155E-14	2.795564E-19
3.618384E+03	1.528526E-14	2.796242E-19
3.619647E+03	1.525590E-14	2.790871E-19
3.620911E+03	1.520654E-14	2.781841E-19
3.622174E+03	1.516064E-14	2.773445E-19
3.623437E+03	1.510373E-14	2.763034E-19
3.624701E+03	1.503577E-14	2.750601E-19
3.625964E+03	1.495470E-14	2.735771E-19
3.627227E+03	1.485705E-14	2.717907E-19
3.628491E+03	1.474972E-14	2.698273E-19
3.629755E+03	1.463755E-14	2.677753E-19
3.631017E+03	1.451223E-14	2.654826E-19
3.632281E+03	1.437376E-14	2.629495E-19
3.633545E+03	1.422973E-14	2.603147E-19
3.634807E+03	1.409258E-14	2.578056E-19
3.636071E+03	1.396161E-14	2.554098E-19
3.637335E+03	1.381403E-14	2.527100E-19
3.638598E+03	1.363597E-14	2.494526E-19
3.639861E+03	1.344471E-14	2.459537E-19
3.641125E+03	1.325270E-14	2.424411E-19
3.642388E+03	1.306478E-14	2.390035E-19
3.643651E+03	1.286019E-14	2.352606E-19
3.644915E+03	1.265760E-14	2.315546E-19
3.646179E+03	1.247019E-14	2.281262E-19
3.647441E+03	1.227163E-14	2.244938E-19
3.648705E+03	1.205637E-14	2.205559E-19
3.649969E+03	1.184380E-14	2.166672E-19
3.651232E+03	1.161590E-14	2.124981E-19
3.652495E+03	1.139832E-14	2.085176E-19
3.653759E+03	1.117510E-14	2.044341E-19
3.655022E+03	1.096221E-14	2.005395E-19
3.656285E+03	1.077630E-14	1.971387E-19
