#wls	flux	fluxerr
1.598322E+03	2.694349E-17	2.913204E-18
1.638280E+03	2.814282E-17	3.016178E-18
1.678238E+03	2.912769E-17	3.093464E-18
1.718196E+03	2.986508E-17	3.142142E-18
1.758154E+03	3.031551E-17	3.158781E-18
1.798112E+03	3.041168E-17	3.137276E-18
1.838070E+03	3.004206E-17	3.067331E-18
1.878028E+03	2.911467E-17	2.941155E-18
1.917986E+03	2.758406E-17	2.756076E-18
1.957944E+03	2.545830E-17	2.514994E-18
1.997902E+03	2.291436E-17	2.237341E-18
2.037860E+03	2.029220E-17	1.957528E-18
2.077818E+03	1.806402E-17	1.720999E-18
2.117776E+03	1.669348E-17	1.570103E-18
2.157734E+03	1.653454E-17	1.534655E-18
2.197692E+03	1.775688E-17	1.625702E-18
2.237650E+03	2.038300E-17	1.839967E-18
2.277609E+03	2.432151E-17	2.163753E-18
2.317567E+03	2.940405E-17	2.576926E-18
2.357525E+03	3.538504E-17	3.053444E-18
2.397483E+03	4.203509E-17	3.569856E-18
2.437441E+03	4.917388E-17	4.107999E-18
2.477399E+03	5.670445E-17	4.657521E-18
2.517357E+03	6.459617E-17	5.213960E-18
2.557315E+03	7.282212E-17	5.773324E-18
2.597273E+03	8.140423E-17	6.335601E-18
2.637231E+03	9.044272E-17	6.906661E-18
2.677189E+03	9.994280E-17	7.484719E-18
2.717147E+03	1.100661E-16	8.079503E-18
2.757105E+03	1.208615E-16	8.691756E-18
2.797063E+03	1.324069E-16	9.324075E-18
2.837021E+03	1.448560E-16	9.983966E-18
2.876979E+03	1.582456E-16	1.067033E-17
2.916937E+03	1.726777E-16	1.138640E-17
2.956895E+03	1.881923E-16	1.213111E-17
2.996853E+03	2.048888E-16	1.290732E-17
3.006843E+03	2.092537E-16	1.310627E-17
3.016832E+03	2.137078E-16	1.330789E-17
3.026822E+03	2.181997E-16	1.350892E-17
3.036811E+03	2.227376E-16	1.370988E-17
3.046801E+03	2.274310E-16	1.391745E-17
3.056790E+03	2.322437E-16	1.412931E-17
3.066780E+03	2.372155E-16	1.434779E-17
3.076769E+03	2.422817E-16	1.456887E-17
3.086759E+03	2.474829E-16	1.479494E-17
3.096748E+03	2.528072E-16	1.502522E-17
3.106738E+03	2.582426E-16	1.525890E-17
3.116727E+03	2.637202E-16	1.549191E-17
3.126717E+03	2.692815E-16	1.572668E-17
3.136706E+03	2.749125E-16	1.596241E-17
3.146696E+03	2.805989E-16	1.619824E-17
3.156685E+03	2.863252E-16	1.643333E-17
3.166675E+03	2.920162E-16	1.666344E-17
3.176665E+03	2.977129E-16	1.689099E-17
3.186654E+03	3.033969E-16	1.711504E-17
3.196644E+03	3.090492E-16	1.733463E-17
3.206633E+03	3.146498E-16	1.754878E-17
3.216623E+03	3.201161E-16	1.775304E-17
3.226612E+03	3.255475E-16	1.795313E-17
3.236602E+03	3.307978E-16	1.814118E-17
3.246591E+03	3.359033E-16	1.831943E-17
3.256581E+03	3.409004E-16	1.849010E-17
3.266570E+03	3.456374E-16	1.864522E-17
3.276560E+03	3.501481E-16	1.878695E-17
3.286549E+03	3.544032E-16	1.891402E-17
