#wls	flux	fluxerr
1.600000E+03	8.887738E-17	1.405291E-16
1.640000E+03	8.995554E-17	1.417949E-16
1.680000E+03	9.105289E-17	1.430426E-16
1.720000E+03	9.217112E-17	1.442703E-16
1.760000E+03	9.337104E-17	1.455679E-16
1.800000E+03	9.459605E-17	1.468410E-16
1.840000E+03	9.584838E-17	1.480872E-16
1.880000E+03	9.719007E-17	1.493954E-16
1.920000E+03	9.856471E-17	1.506711E-16
1.960000E+03	1.000353E-16	1.520023E-16
2.000000E+03	1.014856E-16	1.532032E-16
2.040000E+03	1.030999E-16	1.545432E-16
2.080000E+03	1.047018E-16	1.557457E-16
2.120000E+03	1.064171E-16	1.569878E-16
2.160000E+03	1.082521E-16	1.582644E-16
2.200000E+03	1.101517E-16	1.594802E-16
2.240000E+03	1.121224E-16	1.606302E-16
2.280000E+03	1.142341E-16	1.617980E-16
2.320000E+03	1.164332E-16	1.628880E-16
2.360000E+03	1.187287E-16	1.638942E-16
2.400000E+03	1.212597E-16	1.649849E-16
2.440000E+03	1.238465E-16	1.658891E-16
2.480000E+03	1.266320E-16	1.667735E-16
2.520000E+03	1.296332E-16	1.676281E-16
2.560000E+03	1.327358E-16	1.682719E-16
2.600000E+03	1.361612E-16	1.689503E-16
2.640000E+03	1.398000E-16	1.694811E-16
2.680000E+03	1.436792E-16	1.698528E-16
2.720000E+03	1.479011E-16	1.701343E-16
2.760000E+03	1.525058E-16	1.703085E-16
2.800000E+03	1.574667E-16	1.702763E-16
2.840000E+03	1.628347E-16	1.700189E-16
2.880000E+03	1.687469E-16	1.695919E-16
2.920000E+03	1.752011E-16	1.688892E-16
2.960000E+03	1.823633E-16	1.679535E-16
3.000000E+03	1.903409E-16	1.667402E-16
3.010000E+03	1.924218E-16	1.663393E-16
3.020000E+03	1.946423E-16	1.659850E-16
3.030000E+03	1.968355E-16	1.655310E-16
3.040000E+03	1.991741E-16	1.651207E-16
3.050000E+03	2.014882E-16	1.646092E-16
3.060000E+03	2.039540E-16	1.641381E-16
3.070000E+03	2.064873E-16	1.636344E-16
3.080000E+03	2.090012E-16	1.630267E-16
3.090000E+03	2.116764E-16	1.624537E-16
3.100000E+03	2.144271E-16	1.618432E-16
3.110000E+03	2.172557E-16	1.611935E-16
3.120000E+03	2.201652E-16	1.605025E-16
3.130000E+03	2.230644E-16	1.597007E-16
3.140000E+03	2.261429E-16	1.589210E-16
3.150000E+03	2.293106E-16	1.580931E-16
3.160000E+03	2.325702E-16	1.572141E-16
3.170000E+03	2.359246E-16	1.562811E-16
3.180000E+03	2.393763E-16	1.552910E-16
3.190000E+03	2.429279E-16	1.542403E-16
3.200000E+03	2.465819E-16	1.531252E-16
3.210000E+03	2.503403E-16	1.519420E-16
3.220000E+03	2.543090E-16	1.507477E-16
3.230000E+03	2.582832E-16	1.494139E-16
3.240000E+03	2.623665E-16	1.479980E-16
3.250000E+03	2.665600E-16	1.464947E-16
3.260000E+03	2.708635E-16	1.448984E-16
3.270000E+03	2.753875E-16	1.432607E-16
3.280000E+03	2.799105E-16	1.414591E-16
3.290000E+03	2.845398E-16	1.395455E-16
3.300000E+03	2.893873E-16	1.375676E-16
3.310000E+03	2.942196E-16	1.354076E-16
3.320000E+03	2.992630E-16	1.331662E-16
3.330000E+03	3.042753E-16	1.307293E-16
3.340000E+03	3.094857E-16	1.281931E-16
3.350000E+03	3.146422E-16	1.254476E-16
3.360000E+03	3.199767E-16	1.225843E-16
3.370000E+03	3.253532E-16	1.195450E-16
3.380000E+03	3.306268E-16	1.162771E-16
3.390000E+03	3.360331E-16	1.128653E-16
3.400000E+03	3.414246E-16	1.092570E-16
3.410000E+03	3.467784E-16	1.054472E-16
3.420000E+03	3.519353E-16	1.013934E-16
3.430000E+03	3.571370E-16	9.717304E-17
3.440000E+03	3.622241E-16	9.274576E-17
3.450000E+03	3.671702E-16	8.811425E-17
3.460000E+03	3.719505E-16	8.328416E-17
3.470000E+03	3.765426E-16	7.826462E-17
3.480000E+03	3.809287E-16	7.306884E-17
3.490000E+03	3.850975E-16	6.771488E-17
3.500000E+03	3.890465E-16	6.222669E-17
3.510000E+03	3.927848E-16	5.663573E-17
3.520000E+03	3.963361E-16	5.098364E-17
3.530000E+03	3.997417E-16	4.532709E-17
3.540000E+03	4.030635E-16	3.974675E-17
3.550000E+03	4.065352E-16	3.437698E-17
3.560000E+03	4.099692E-16	2.938573E-17
3.570000E+03	4.136448E-16	2.510942E-17
3.580000E+03	4.177077E-16	2.205187E-17
3.590000E+03	4.224494E-16	2.083582E-17
3.600000E+03	4.276515E-16	2.179331E-17
3.610000E+03	4.334468E-16	2.466233E-17
3.620000E+03	4.398925E-16	2.883634E-17
3.630000E+03	4.465450E-16	3.375316E-17
3.640000E+03	4.535873E-16	3.907590E-17
3.650000E+03	4.605770E-16	4.455527E-17
3.660000E+03	4.677328E-16	5.007777E-17
3.670000E+03	4.746414E-16	5.551271E-17
3.680000E+03	4.815692E-16	6.082738E-17
3.690000E+03	4.883055E-16	6.595208E-17
3.700000E+03	4.946505E-16	7.082287E-17
3.710000E+03	5.009359E-16	7.545812E-17
3.720000E+03	5.069949E-16	7.981359E-17
3.730000E+03	5.126674E-16	8.384614E-17
3.740000E+03	5.183324E-16	8.760402E-17
3.750000E+03	5.238507E-16	9.105646E-17
3.760000E+03	5.292653E-16	9.420449E-17
3.770000E+03	5.346246E-16	9.705264E-17
3.780000E+03	5.397974E-16	9.957437E-17
3.790000E+03	5.452021E-16	1.018456E-16
3.800000E+03	5.507115E-16	1.038436E-16
3.810000E+03	5.563792E-16	1.055793E-16
3.820000E+03	5.622568E-16	1.070635E-16
3.830000E+03	5.683929E-16	1.083064E-16
3.840000E+03	5.748315E-16	1.093173E-16
3.850000E+03	5.816116E-16	1.101039E-16
3.860000E+03	5.887659E-16	1.106727E-16
3.870000E+03	5.963202E-16	1.110283E-16
3.880000E+03	6.044901E-16	1.112102E-16
3.890000E+03	6.128915E-16	1.111469E-16
3.900000E+03	6.217207E-16	1.108753E-16
3.910000E+03	6.309687E-16	1.103951E-16
3.920000E+03	6.406170E-16	1.097058E-16
3.930000E+03	6.508462E-16	1.088426E-16
3.940000E+03	6.612013E-16	1.077366E-16
3.950000E+03	6.718408E-16	1.064277E-16
3.960000E+03	6.829245E-16	1.049571E-16
3.970000E+03	6.939524E-16	1.032704E-16
3.980000E+03	7.050639E-16	1.014204E-16
3.990000E+03	7.164020E-16	9.946383E-17
4.000000E+03	7.274263E-16	9.736955E-17
4.010000E+03	7.384949E-16	9.523763E-17
4.020000E+03	7.490434E-16	9.304907E-17
4.030000E+03	7.594278E-16	9.090429E-17
4.040000E+03	7.690612E-16	8.878377E-17
4.050000E+03	7.782980E-16	8.677534E-17
4.060000E+03	7.865334E-16	8.484891E-17
4.070000E+03	7.941241E-16	8.307408E-17
4.080000E+03	8.004569E-16	8.140875E-17
4.090000E+03	8.058992E-16	7.990814E-17
4.100000E+03	8.098487E-16	7.852409E-17
4.110000E+03	8.127100E-16	7.730392E-17
4.120000E+03	8.141835E-16	7.622022E-17
4.130000E+03	8.140189E-16	7.524542E-17
4.140000E+03	8.127605E-16	7.441878E-17
4.150000E+03	8.102746E-16	7.370946E-17
4.160000E+03	8.067314E-16	7.310829E-17
4.170000E+03	8.021077E-16	7.258277E-17
4.180000E+03	7.971274E-16	7.216321E-17
4.190000E+03	7.918053E-16	7.181204E-17
4.200000E+03	7.863972E-16	7.151157E-17
4.210000E+03	7.811493E-16	7.124312E-17
4.220000E+03	7.760648E-16	7.096752E-17
4.230000E+03	7.718135E-16	7.071029E-17
4.240000E+03	7.683585E-16	7.043812E-17
4.250000E+03	7.658726E-16	7.014353E-17
4.260000E+03	7.645083E-16	6.982415E-17
4.270000E+03	7.643974E-16	6.948221E-17
4.280000E+03	7.656511E-16	6.912368E-17
4.290000E+03	7.683599E-16	6.875719E-17
4.300000E+03	7.725943E-16	6.839299E-17
4.310000E+03	7.784056E-16	6.804223E-17
4.320000E+03	7.858291E-16	6.771712E-17
4.330000E+03	7.948883E-16	6.743127E-17
4.340000E+03	8.055992E-16	6.720020E-17
4.350000E+03	8.179754E-16	6.704174E-17
4.360000E+03	8.320342E-16	6.697618E-17
4.370000E+03	8.478030E-16	6.702583E-17
4.380000E+03	8.653271E-16	6.721428E-17
4.390000E+03	8.846793E-16	6.756511E-17
4.400000E+03	9.059702E-16	6.810014E-17
4.410000E+03	9.293565E-16	6.883811E-17
4.420000E+03	9.550489E-16	6.979329E-17
4.430000E+03	9.833178E-16	7.097448E-17
4.440000E+03	1.014497E-15	7.238515E-17
4.450000E+03	1.048982E-15	7.402404E-17
4.460000E+03	1.087229E-15	7.588588E-17
4.470000E+03	1.129741E-15	7.796288E-17
4.480000E+03	1.177051E-15	8.024597E-17
4.490000E+03	1.230019E-15	8.274789E-17
4.500000E+03	1.288482E-15	8.541536E-17
4.510000E+03	1.353134E-15	8.826074E-17
4.520000E+03	1.424162E-15	9.127315E-17
4.530000E+03	1.501475E-15	9.443779E-17
4.540000E+03	1.584612E-15	9.773171E-17
4.550000E+03	1.672657E-15	1.011197E-16
4.560000E+03	1.764683E-15	1.045798E-16
4.570000E+03	1.857939E-15	1.079938E-16
4.580000E+03	1.950668E-15	1.113099E-16
4.590000E+03	2.040448E-15	1.144403E-16
4.600000E+03	2.124828E-15	1.172938E-16
4.610000E+03	2.201509E-15	1.197838E-16
4.620000E+03	2.268497E-15	1.218373E-16
4.630000E+03	2.324809E-15	1.234353E-16
4.640000E+03	2.368141E-15	1.244911E-16
4.650000E+03	2.398503E-15	1.250462E-16
4.660000E+03	2.415868E-15	1.251435E-16
4.670000E+03	2.420775E-15	1.248545E-16
4.680000E+03	2.414323E-15	1.242741E-16
4.690000E+03	2.398143E-15	1.235129E-16
4.700000E+03	2.374931E-15	1.227207E-16
4.710000E+03	2.345924E-15	1.219599E-16
4.720000E+03	2.314409E-15	1.213900E-16
4.730000E+03	2.283165E-15	1.211369E-16
4.740000E+03	2.254968E-15	1.213173E-16
4.750000E+03	2.232499E-15	1.220283E-16
4.760000E+03	2.218241E-15	1.233366E-16
4.770000E+03	2.214371E-15	1.252698E-16
4.780000E+03	2.222634E-15	1.278093E-16
