#wls	flux	fluxerr
1.571709E+03	4.007849E-04	5.025270E-06
1.611002E+03	4.019112E-04	5.035453E-06
1.650295E+03	4.033732E-04	5.049715E-06
1.689587E+03	4.050246E-04	5.066212E-06
1.728880E+03	4.069513E-04	5.086005E-06
1.768173E+03	4.091623E-04	5.109199E-06
1.807466E+03	4.117463E-04	5.136885E-06
1.846758E+03	4.147150E-04	5.169190E-06
1.886051E+03	4.180806E-04	5.206251E-06
1.925344E+03	4.219367E-04	5.249212E-06
1.964637E+03	4.262986E-04	5.298240E-06
2.003929E+03	4.311826E-04	5.353512E-06
2.043222E+03	4.366881E-04	5.416235E-06
2.082515E+03	4.428348E-04	5.486622E-06
2.121807E+03	4.497274E-04	5.565934E-06
2.161100E+03	4.573056E-04	5.653386E-06
2.200393E+03	4.656769E-04	5.750269E-06
2.239686E+03	4.748673E-04	5.856856E-06
2.278978E+03	4.849030E-04	5.973424E-06
2.318271E+03	4.958106E-04	6.100250E-06
2.357564E+03	5.075280E-04	6.236518E-06
2.396857E+03	5.201679E-04	6.383555E-06
2.436149E+03	5.338455E-04	6.542714E-06
2.475442E+03	5.484034E-04	6.712002E-06
2.514735E+03	5.638585E-04	6.891562E-06
2.554028E+03	5.804115E-04	7.083775E-06
2.593320E+03	5.978872E-04	7.286431E-06
2.632613E+03	6.163837E-04	7.500649E-06
2.671906E+03	6.358993E-04	7.726331E-06
2.711198E+03	6.564239E-04	7.963270E-06
2.750491E+03	6.779378E-04	8.211145E-06
2.789784E+03	7.004115E-04	8.469511E-06
2.829077E+03	7.239073E-04	8.739036E-06
2.868369E+03	7.483802E-04	9.019084E-06
2.907662E+03	7.740906E-04	9.312697E-06
2.946955E+03	8.009928E-04	9.619212E-06
2.956778E+03	8.079722E-04	9.698654E-06
2.966601E+03	8.149553E-04	9.778046E-06
2.976424E+03	8.221566E-04	9.859957E-06
2.986248E+03	8.293603E-04	9.941796E-06
2.996071E+03	8.366743E-04	1.002486E-05
3.005894E+03	8.442051E-04	1.011041E-05
3.015717E+03	8.517377E-04	1.019588E-05
3.025540E+03	8.594883E-04	1.028385E-05
3.035363E+03	8.672394E-04	1.037172E-05
3.045187E+03	8.752085E-04	1.046208E-05
3.055010E+03	8.833964E-04	1.055495E-05
3.064833E+03	8.915859E-04	1.064771E-05
3.074656E+03	8.999948E-04	1.074298E-05
3.084479E+03	9.086250E-04	1.084077E-05
3.094303E+03	9.173667E-04	1.093977E-05
3.104126E+03	9.262218E-04	1.103999E-05
3.113949E+03	9.354106E-04	1.114406E-05
3.123772E+03	9.447147E-04	1.124937E-05
3.133595E+03	9.542448E-04	1.135724E-05
3.143418E+03	9.638921E-04	1.146636E-05
3.153242E+03	9.738796E-04	1.157939E-05
3.163065E+03	9.840982E-04	1.169502E-05
3.172888E+03	9.945484E-04	1.181326E-05
3.182711E+03	1.005345E-03	1.193545E-05
3.192534E+03	1.016375E-03	1.206025E-05
3.202358E+03	1.027640E-03	1.218769E-05
3.212181E+03	1.039253E-03	1.231909E-05
3.222004E+03	1.051102E-03	1.245311E-05
3.231827E+03	1.063411E-03	1.259241E-05
3.241650E+03	1.075955E-03	1.273430E-05
3.251473E+03	1.088843E-03	1.288009E-05
3.261297E+03	1.102187E-03	1.303107E-05
3.271120E+03	1.115754E-03	1.318449E-05
3.280943E+03	1.129881E-03	1.334434E-05
3.290766E+03	1.144218E-03	1.350645E-05
3.300589E+03	1.159100E-03	1.367478E-05
3.310413E+03	1.174284E-03	1.384646E-05
3.320236E+03	1.189873E-03	1.402268E-05
3.330059E+03	1.205850E-03	1.420324E-05
3.339882E+03	1.222310E-03	1.438925E-05
3.349705E+03	1.239115E-03	1.457908E-05
3.359528E+03	1.256240E-03	1.477243E-05
3.369352E+03	1.273769E-03	1.497026E-05
3.379175E+03	1.291669E-03	1.517219E-05
3.388998E+03	1.309903E-03	1.537777E-05
3.398821E+03	1.328429E-03	1.558650E-05
3.408644E+03	1.347318E-03	1.579922E-05
3.418468E+03	1.366405E-03	1.601397E-05
3.428291E+03	1.385755E-03	1.623151E-05
3.438114E+03	1.405197E-03	1.644984E-05
3.447937E+03	1.424908E-03	1.667100E-05
3.457760E+03	1.444597E-03	1.689163E-05
3.467583E+03	1.464438E-03	1.711372E-05
3.477407E+03	1.484375E-03	1.733663E-05
3.487230E+03	1.504237E-03	1.755835E-05
3.497053E+03	1.524089E-03	1.777965E-05
3.506876E+03	1.543771E-03	1.799866E-05
3.516699E+03	1.563470E-03	1.821754E-05
3.526523E+03	1.583152E-03	1.843593E-05
3.536346E+03	1.602568E-03	1.865092E-05
3.546169E+03	1.622041E-03	1.886625E-05
3.555992E+03	1.641342E-03	1.907927E-05
3.565815E+03	1.660587E-03	1.929133E-05
3.575639E+03	1.679789E-03	1.950259E-05
3.585462E+03	1.698971E-03	1.971330E-05
3.595285E+03	1.718273E-03	1.992508E-05
3.605108E+03	1.737621E-03	2.013710E-05
3.614931E+03	1.757167E-03	2.035109E-05
3.624754E+03	1.776959E-03	2.056759E-05
3.634578E+03	1.796943E-03	2.078601E-05
3.644401E+03	1.817383E-03	2.100936E-05
3.654224E+03	1.838129E-03	2.123591E-05
3.664047E+03	1.859445E-03	2.146869E-05
3.673870E+03	1.881285E-03	2.170718E-05
3.683694E+03	1.903708E-03	2.195202E-05
3.693517E+03	1.926867E-03	2.220498E-05
3.703340E+03	1.950813E-03	2.246661E-05
3.713163E+03	1.975497E-03	2.273636E-05
3.722986E+03	2.001061E-03	2.301581E-05
3.732809E+03	2.027545E-03	2.330541E-05
3.742633E+03	2.054981E-03	2.360552E-05
3.752456E+03	2.083400E-03	2.391645E-05
3.762279E+03	2.112822E-03	2.423843E-05
3.772102E+03	2.143171E-03	2.457054E-05
3.781925E+03	2.174642E-03	2.491502E-05
3.791749E+03	2.207145E-03	2.527079E-05
3.801572E+03	2.240675E-03	2.563778E-05
3.811395E+03	2.275221E-03	2.601583E-05
3.821218E+03	2.310764E-03	2.640471E-05
3.831041E+03	2.347282E-03	2.680413E-05
3.840864E+03	2.384743E-03	2.721371E-05
3.850688E+03	2.423112E-03	2.763303E-05
3.860511E+03	2.462438E-03	2.806263E-05
3.870334E+03	2.502498E-03	2.849994E-05
3.880157E+03	2.543247E-03	2.894441E-05
3.889980E+03	2.584813E-03	2.939751E-05
3.899804E+03	2.626968E-03	2.985663E-05
3.909627E+03	2.669753E-03	3.032218E-05
3.919450E+03	2.713032E-03	3.079264E-05
3.929273E+03	2.756847E-03	3.126845E-05
3.939096E+03	2.801069E-03	3.174815E-05
3.948919E+03	2.845662E-03	3.223131E-05
3.958743E+03	2.890510E-03	3.271661E-05
3.968566E+03	2.935761E-03	3.320572E-05
3.978389E+03	2.981139E-03	3.369551E-05
3.988212E+03	3.026893E-03	3.418878E-05
3.998035E+03	3.072765E-03	3.468262E-05
4.007859E+03	3.118846E-03	3.517804E-05
4.017682E+03	3.165148E-03	3.567518E-05
4.027505E+03	3.211691E-03	3.617426E-05
4.037328E+03	3.258334E-03	3.667367E-05
4.047151E+03	3.305188E-03	3.717467E-05
4.056974E+03	3.352284E-03	3.767760E-05
4.066798E+03	3.399654E-03	3.818281E-05
4.076621E+03	3.447163E-03	3.868879E-05
4.086444E+03	3.494922E-03	3.919675E-05
4.096267E+03	3.542868E-03	3.970601E-05
4.106090E+03	3.591012E-03	4.021668E-05
4.115914E+03	3.639276E-03	4.072787E-05
4.125737E+03	3.687725E-03	4.124031E-05
4.135560E+03	3.736251E-03	4.175280E-05
4.145383E+03	3.784726E-03	4.226390E-05
4.155206E+03	3.833086E-03	4.277288E-05
4.165029E+03	3.881244E-03	4.327881E-05
4.174853E+03	3.929016E-03	4.377962E-05
4.184676E+03	3.976198E-03	4.427305E-05
4.194499E+03	4.022725E-03	4.475840E-05
4.204322E+03	4.068281E-03	4.523216E-05
4.214145E+03	4.112774E-03	4.569334E-05
4.223969E+03	4.155870E-03	4.613827E-05
4.233792E+03	4.197468E-03	4.656585E-05
4.243615E+03	4.237244E-03	4.697253E-05
4.253438E+03	4.275120E-03	4.735749E-05
4.263261E+03	4.310816E-03	4.771769E-05
4.273084E+03	4.344322E-03	4.805306E-05
4.282908E+03	4.375453E-03	4.836162E-05
4.292731E+03	4.404324E-03	4.864469E-05
4.302554E+03	4.431017E-03	4.890324E-05
4.312377E+03	4.455788E-03	4.914016E-05
4.322200E+03	4.479198E-03	4.936166E-05
4.332024E+03	4.502024E-03	4.957634E-05
4.341847E+03	4.525109E-03	4.979351E-05
4.351670E+03	4.549352E-03	5.002302E-05
4.361493E+03	4.575789E-03	5.027624E-05
4.371316E+03	4.605266E-03	5.056243E-05
4.381139E+03	4.638559E-03	5.089001E-05
4.390963E+03	4.676413E-03	5.126704E-05
4.400786E+03	4.719520E-03	5.170103E-05
4.410609E+03	4.768217E-03	5.219551E-05
4.420432E+03	4.822889E-03	5.275458E-05
4.430255E+03	4.883674E-03	5.337959E-05
4.440079E+03	4.950446E-03	5.406902E-05
4.449902E+03	5.023017E-03	5.482070E-05
4.459725E+03	5.100776E-03	5.562780E-05
4.469548E+03	5.183172E-03	5.648419E-05
4.479371E+03	5.269215E-03	5.737900E-05
4.489194E+03	5.357695E-03	5.829898E-05
4.499018E+03	5.447414E-03	5.923103E-05
4.508841E+03	5.536697E-03	6.015694E-05
4.518664E+03	5.623953E-03	6.105947E-05
4.528487E+03	5.707443E-03	6.191977E-05
4.538310E+03	5.785351E-03	6.271829E-05
4.548134E+03	5.856033E-03	6.343734E-05
4.557957E+03	5.918191E-03	6.406305E-05
4.567780E+03	5.970435E-03	6.458060E-05
4.577603E+03	6.012057E-03	6.498259E-05
4.587426E+03	6.042792E-03	6.526641E-05
4.597250E+03	6.062630E-03	6.543223E-05
4.607073E+03	6.072280E-03	6.548795E-05
4.616896E+03	6.072739E-03	6.544457E-05
