#wls	flux	fluxerr
1.571709E+03	4.594309E-17	5.751083E-19
1.611002E+03	4.718053E-17	5.889470E-19
1.650295E+03	4.847661E-17	6.033887E-19
1.689587E+03	4.984225E-17	6.185586E-19
1.728880E+03	5.127646E-17	6.344327E-19
1.768173E+03	5.278125E-17	6.510235E-19
1.807466E+03	5.435930E-17	6.683513E-19
1.846758E+03	5.599881E-17	6.862577E-19
1.886051E+03	5.769575E-17	7.046809E-19
1.925344E+03	5.943255E-17	7.233947E-19
1.964637E+03	6.121088E-17	7.424084E-19
2.003929E+03	6.302868E-17	7.616860E-19
2.043222E+03	6.492687E-17	7.817090E-19
2.082515E+03	6.699738E-17	8.035629E-19
2.121807E+03	6.939832E-17	8.291059E-19
2.161100E+03	7.228289E-17	8.601066E-19
2.200393E+03	7.578386E-17	8.980591E-19
2.239686E+03	7.992736E-17	9.431702E-19
2.278978E+03	8.466699E-17	9.947847E-19
2.318271E+03	8.992845E-17	1.051927E-18
2.357564E+03	9.565284E-17	1.113812E-18
2.396857E+03	1.018147E-16	1.180053E-18
2.436149E+03	1.084164E-16	1.250584E-18
2.475442E+03	1.154846E-16	1.325619E-18
2.514735E+03	1.230521E-16	1.405429E-18
2.554028E+03	1.311397E-16	1.490138E-18
2.593320E+03	1.397841E-16	1.580045E-18
2.632613E+03	1.489983E-16	1.675169E-18
2.671906E+03	1.587948E-16	1.775512E-18
2.711198E+03	1.691707E-16	1.880906E-18
2.750491E+03	1.801060E-16	1.990986E-18
2.789784E+03	1.915749E-16	2.105324E-18
2.829077E+03	2.035237E-16	2.223197E-18
2.868369E+03	2.159357E-16	2.344288E-18
2.907662E+03	2.288223E-16	2.468591E-18
2.946955E+03	2.422272E-16	2.596438E-18
2.956778E+03	2.456594E-16	2.628936E-18
2.966601E+03	2.491247E-16	2.661652E-18
2.976424E+03	2.526271E-16	2.694625E-18
2.986248E+03	2.561639E-16	2.727826E-18
2.996071E+03	2.597325E-16	2.761223E-18
3.005894E+03	2.633432E-16	2.794923E-18
3.015717E+03	2.669798E-16	2.828752E-18
3.025540E+03	2.706525E-16	2.862817E-18
3.035363E+03	2.743592E-16	2.897091E-18
3.045187E+03	2.781018E-16	2.931593E-18
3.055010E+03	2.818835E-16	2.966353E-18
3.064833E+03	2.857066E-16	3.001394E-18
3.074656E+03	2.895667E-16	3.036667E-18
3.084479E+03	2.934598E-16	3.072126E-18
3.094303E+03	2.973880E-16	3.107791E-18
3.104126E+03	3.013533E-16	3.143681E-18
3.113949E+03	3.053515E-16	3.179749E-18
3.123772E+03	3.093780E-16	3.215946E-18
3.133595E+03	3.134351E-16	3.252291E-18
3.143418E+03	3.175245E-16	3.288802E-18
3.153242E+03	3.216422E-16	3.325434E-18
3.163065E+03	3.257837E-16	3.362139E-18
3.172888E+03	3.299451E-16	3.398873E-18
3.182711E+03	3.341348E-16	3.435723E-18
3.192534E+03	3.383489E-16	3.472647E-18
3.202358E+03	3.425838E-16	3.509605E-18
3.212181E+03	3.468361E-16	3.546560E-18
3.222004E+03	3.511087E-16	3.583541E-18
3.231827E+03	3.553929E-16	3.620457E-18
3.241650E+03	3.597043E-16	3.657467E-18
3.251473E+03	3.640288E-16	3.694424E-18
3.261297E+03	3.683651E-16	3.731315E-18
3.271120E+03	3.727240E-16	3.768247E-18
3.280943E+03	3.770993E-16	3.805155E-18
3.290766E+03	3.814912E-16	3.842042E-18
3.300589E+03	3.859005E-16	3.878913E-18
3.310413E+03	3.903288E-16	3.915783E-18
3.320236E+03	3.947783E-16	3.952673E-18
3.330059E+03	3.992462E-16	3.989551E-18
3.339882E+03	4.037467E-16	4.026561E-18
3.349705E+03	4.082663E-16	4.063563E-18
3.359528E+03	4.128084E-16	4.100591E-18
3.369352E+03	4.173812E-16	4.137725E-18
3.379175E+03	4.219753E-16	4.174868E-18
3.388998E+03	4.265798E-16	4.211913E-18
3.398821E+03	4.311983E-16	4.248892E-18
3.408644E+03	4.358171E-16	4.285672E-18
3.418468E+03	4.404250E-16	4.322142E-18
3.428291E+03	4.450254E-16	4.358334E-18
3.438114E+03	4.496308E-16	4.394372E-18
3.447937E+03	4.542630E-16	4.430469E-18
3.457760E+03	4.589840E-16	4.467225E-18
3.467583E+03	4.638651E-16	4.505327E-18
3.477407E+03	4.690017E-16	4.545692E-18
3.487230E+03	4.744806E-16	4.589141E-18
3.497053E+03	4.803970E-16	4.636573E-18
3.506876E+03	4.868094E-16	4.688526E-18
3.516699E+03	4.937228E-16	4.745014E-18
3.526523E+03	5.010844E-16	4.805504E-18
3.536346E+03	5.087380E-16	4.868470E-18
3.546169E+03	5.164236E-16	4.931413E-18
3.555992E+03	5.237982E-16	4.991063E-18
3.565815E+03	5.304385E-16	5.043412E-18
3.575639E+03	5.358790E-16	5.084091E-18
3.585462E+03	5.396206E-16	5.108449E-18
3.595285E+03	5.411968E-16	5.112183E-18
3.605108E+03	5.401908E-16	5.091503E-18
3.614931E+03	5.362983E-16	5.043703E-18
3.624754E+03	5.293281E-16	4.967173E-18
3.634578E+03	5.192970E-16	4.862261E-18
3.644401E+03	5.064061E-16	4.731038E-18
3.654224E+03	4.910884E-16	4.577719E-18
