#wls	flux	fluxerr
1.600000E+03	3.436265E-18	1.651402E-19
1.640000E+03	3.456774E-18	1.658366E-19
1.680000E+03	3.479027E-18	1.666055E-19
1.720000E+03	3.504426E-18	1.675132E-19
1.760000E+03	3.531752E-18	1.685002E-19
1.800000E+03	3.562439E-18	1.696340E-19
1.840000E+03	3.595939E-18	1.708872E-19
1.880000E+03	3.633052E-18	1.722966E-19
1.920000E+03	3.673925E-18	1.738676E-19
1.960000E+03	3.718030E-18	1.755737E-19
2.000000E+03	3.766903E-18	1.774856E-19
2.040000E+03	3.820742E-18	1.796108E-19
2.080000E+03	3.879061E-18	1.819242E-19
2.120000E+03	3.942780E-18	1.844666E-19
2.160000E+03	4.012148E-18	1.872471E-19
2.200000E+03	4.088156E-18	1.903092E-19
2.240000E+03	4.171113E-18	1.936639E-19
2.280000E+03	4.261353E-18	1.973234E-19
2.320000E+03	4.359983E-18	2.013350E-19
2.360000E+03	4.467416E-18	2.057134E-19
2.400000E+03	4.584862E-18	2.105096E-19
2.440000E+03	4.712047E-18	2.157057E-19
2.480000E+03	4.851057E-18	2.213915E-19
2.520000E+03	5.002502E-18	2.275884E-19
2.560000E+03	5.168658E-18	2.343924E-19
2.600000E+03	5.348643E-18	2.417555E-19
2.640000E+03	5.546545E-18	2.498537E-19
2.680000E+03	5.761598E-18	2.586421E-19
2.720000E+03	5.997309E-18	2.682672E-19
2.760000E+03	6.255634E-18	2.788037E-19
2.800000E+03	6.537730E-18	2.902891E-19
2.840000E+03	6.847532E-18	3.028823E-19
2.880000E+03	7.187317E-18	3.166661E-19
2.920000E+03	7.559408E-18	3.317231E-19
2.960000E+03	7.968091E-18	3.482193E-19
3.000000E+03	8.416767E-18	3.662783E-19
3.010000E+03	8.536348E-18	3.710847E-19
3.020000E+03	8.658036E-18	3.759694E-19
3.030000E+03	8.781840E-18	3.809326E-19
3.040000E+03	8.909805E-18	3.860624E-19
3.050000E+03	9.039921E-18	3.912711E-19
3.060000E+03	9.173217E-18	3.966030E-19
3.070000E+03	9.309715E-18	4.020582E-19
3.080000E+03	9.449428E-18	4.076370E-19
3.090000E+03	9.592369E-18	4.133392E-19
3.100000E+03	9.739600E-18	4.192099E-19
3.110000E+03	9.889032E-18	4.251588E-19
3.120000E+03	1.004171E-17	4.312303E-19
3.130000E+03	1.019872E-17	4.374699E-19
3.140000E+03	1.035898E-17	4.438315E-19
3.150000E+03	1.052250E-17	4.503137E-19
3.160000E+03	1.069036E-17	4.569630E-19
3.170000E+03	1.086144E-17	4.637307E-19
3.180000E+03	1.103576E-17	4.706168E-19
3.190000E+03	1.121438E-17	4.776660E-19
3.200000E+03	1.139729E-17	4.848767E-19
3.210000E+03	1.158447E-17	4.922478E-19
3.220000E+03	1.177479E-17	4.997300E-19
3.230000E+03	1.196931E-17	5.073684E-19
3.240000E+03	1.216914E-17	5.152085E-19
3.250000E+03	1.237197E-17	5.231522E-19
3.260000E+03	1.257889E-17	5.312444E-19
3.270000E+03	1.278983E-17	5.394818E-19
3.280000E+03	1.300589E-17	5.479098E-19
