#wls	flux	fluxerr
1.589715E+03	3.416376E-04	0.000000E+00
1.629457E+03	3.532778E-04	0.000000E+00
1.669200E+03	3.658656E-04	0.000000E+00
1.708943E+03	3.795304E-04	0.000000E+00
1.748686E+03	3.942986E-04	0.000000E+00
1.788429E+03	4.103067E-04	0.000000E+00
1.828172E+03	4.276238E-04	0.000000E+00
1.867915E+03	4.463955E-04	0.000000E+00
1.907657E+03	4.667368E-04	0.000000E+00
1.947400E+03	4.887682E-04	0.000000E+00
1.987143E+03	5.125429E-04	0.000000E+00
2.026886E+03	5.381929E-04	0.000000E+00
2.066629E+03	5.658207E-04	0.000000E+00
2.106372E+03	5.954227E-04	0.000000E+00
2.146115E+03	6.269996E-04	0.000000E+00
2.185858E+03	6.604422E-04	0.000000E+00
2.225600E+03	6.956034E-04	0.000000E+00
2.265343E+03	7.324920E-04	0.000000E+00
2.305086E+03	7.712011E-04	0.000000E+00
2.344829E+03	8.122310E-04	0.000000E+00
2.384572E+03	8.560676E-04	0.000000E+00
2.424315E+03	9.031870E-04	0.000000E+00
2.464058E+03	9.541777E-04	0.000000E+00
2.503800E+03	1.009544E-03	0.000000E+00
2.543543E+03	1.069750E-03	0.000000E+00
2.583286E+03	1.135424E-03	0.000000E+00
2.623029E+03	1.207040E-03	0.000000E+00
2.662772E+03	1.285211E-03	0.000000E+00
2.702515E+03	1.370443E-03	0.000000E+00
2.742258E+03	1.463446E-03	0.000000E+00
2.782000E+03	1.564839E-03	0.000000E+00
2.821743E+03	1.675432E-03	0.000000E+00
2.861486E+03	1.796206E-03	0.000000E+00
2.901229E+03	1.928395E-03	0.000000E+00
2.940972E+03	2.073571E-03	0.000000E+00
2.980715E+03	2.233704E-03	0.000000E+00
2.990650E+03	2.276322E-03	0.000000E+00
3.000586E+03	2.320085E-03	0.000000E+00
3.010522E+03	2.364971E-03	0.000000E+00
3.020458E+03	2.411117E-03	0.000000E+00
3.030393E+03	2.458506E-03	0.000000E+00
3.040329E+03	2.507173E-03	0.000000E+00
3.050265E+03	2.557157E-03	0.000000E+00
3.060201E+03	2.608603E-03	0.000000E+00
3.070136E+03	2.661445E-03	0.000000E+00
3.080072E+03	2.715834E-03	0.000000E+00
3.090008E+03	2.771762E-03	0.000000E+00
3.099943E+03	2.829328E-03	0.000000E+00
3.109879E+03	2.888584E-03	0.000000E+00
3.119815E+03	2.949581E-03	0.000000E+00
3.129751E+03	3.012373E-03	0.000000E+00
3.139686E+03	3.077074E-03	0.000000E+00
3.149622E+03	3.143689E-03	0.000000E+00
3.159558E+03	3.212343E-03	0.000000E+00
3.169493E+03	3.283108E-03	0.000000E+00
3.179429E+03	3.356063E-03	0.000000E+00
3.189365E+03	3.431354E-03	0.000000E+00
3.199301E+03	3.508950E-03	0.000000E+00
3.209236E+03	3.589116E-03	0.000000E+00
3.219172E+03	3.671742E-03	0.000000E+00
3.229108E+03	3.757051E-03	0.000000E+00
3.239043E+03	3.844911E-03	0.000000E+00
3.248979E+03	3.935302E-03	0.000000E+00
3.258915E+03	4.028050E-03	0.000000E+00
3.268851E+03	4.122800E-03	0.000000E+00
3.278786E+03	4.219259E-03	0.000000E+00
3.288722E+03	4.316733E-03	0.000000E+00
3.298658E+03	4.414517E-03	0.000000E+00
3.308593E+03	4.511902E-03	0.000000E+00
3.318529E+03	4.607799E-03	0.000000E+00
3.328465E+03	4.701171E-03	0.000000E+00
3.338401E+03	4.790926E-03	0.000000E+00
3.348336E+03	4.876043E-03	0.000000E+00
3.358272E+03	4.955332E-03	0.000000E+00
3.368208E+03	5.027825E-03	0.000000E+00
3.378143E+03	5.092745E-03	0.000000E+00
3.388079E+03	5.149327E-03	0.000000E+00
3.398015E+03	5.197046E-03	0.000000E+00
3.407951E+03	5.235419E-03	0.000000E+00
3.417886E+03	5.264336E-03	0.000000E+00
3.427822E+03	5.283772E-03	0.000000E+00
3.437758E+03	5.293690E-03	0.000000E+00
3.447693E+03	5.294276E-03	0.000000E+00
3.457629E+03	5.285689E-03	0.000000E+00
