#wls	flux	fluxerr
1.589715E+03	2.095678E-03	7.948521E-08
1.629457E+03	2.152826E-03	8.165272E-08
1.669200E+03	2.214348E-03	8.398612E-08
1.708943E+03	2.280350E-03	8.648947E-08
1.748686E+03	2.351449E-03	8.918610E-08
1.788429E+03	2.428026E-03	9.209052E-08
1.828172E+03	2.510480E-03	9.521786E-08
1.867915E+03	2.599479E-03	9.859343E-08
1.907657E+03	2.695208E-03	1.022242E-07
1.947400E+03	2.798374E-03	1.061372E-07
1.987143E+03	2.909717E-03	1.103602E-07
2.026886E+03	3.029225E-03	1.148929E-07
2.066629E+03	3.158205E-03	1.197849E-07
2.106372E+03	3.296960E-03	1.250476E-07
2.146115E+03	3.446878E-03	1.307337E-07
2.185858E+03	3.609134E-03	1.368878E-07
2.225600E+03	3.786304E-03	1.436075E-07
2.265343E+03	3.981615E-03	1.510153E-07
2.305086E+03	4.196783E-03	1.591762E-07
2.344829E+03	4.432785E-03	1.681273E-07
2.384572E+03	4.690384E-03	1.778976E-07
2.424315E+03	4.971533E-03	1.885610E-07
2.464058E+03	5.278583E-03	2.002069E-07
2.503800E+03	5.614022E-03	2.129294E-07
2.543543E+03	5.980491E-03	2.268289E-07
2.583286E+03	6.380809E-03	2.420122E-07
2.623029E+03	6.817987E-03	2.585936E-07
2.662772E+03	7.295265E-03	2.766958E-07
2.702515E+03	7.815225E-03	2.964170E-07
2.742258E+03	8.381625E-03	3.178994E-07
2.782000E+03	8.997657E-03	3.412643E-07
2.821743E+03	9.665908E-03	3.666099E-07
2.861486E+03	1.039033E-02	3.940857E-07
2.901229E+03	1.117643E-02	4.239009E-07
2.940972E+03	1.203510E-02	4.564689E-07
2.980715E+03	1.297954E-02	4.922897E-07
2.990650E+03	1.323107E-02	5.018296E-07
3.000586E+03	1.348915E-02	5.116183E-07
3.010522E+03	1.375428E-02	5.216740E-07
3.020458E+03	1.402660E-02	5.320027E-07
3.030393E+03	1.430628E-02	5.426104E-07
3.040329E+03	1.459381E-02	5.535160E-07
3.050265E+03	1.488975E-02	5.647404E-07
3.060201E+03	1.519392E-02	5.762769E-07
3.070136E+03	1.550724E-02	5.881603E-07
3.080072E+03	1.582955E-02	6.003851E-07
3.090008E+03	1.616181E-02	6.129872E-07
3.099943E+03	1.650390E-02	6.259617E-07
3.109879E+03	1.685679E-02	6.393463E-07
3.119815E+03	1.722040E-02	6.531374E-07
3.129751E+03	1.759540E-02	6.673602E-07
3.139686E+03	1.798246E-02	6.820407E-07
3.149622E+03	1.838155E-02	6.971774E-07
3.159558E+03	1.879380E-02	7.128133E-07
3.169493E+03	1.921965E-02	7.289648E-07
3.179429E+03	1.965961E-02	7.456518E-07
3.189365E+03	2.011476E-02	7.629148E-07
3.199301E+03	2.058603E-02	7.807890E-07
3.209236E+03	2.107502E-02	7.993357E-07
3.219172E+03	2.158315E-02	8.186080E-07
3.229108E+03	2.211189E-02	8.386620E-07
3.239043E+03	2.266289E-02	8.595604E-07
3.248979E+03	2.323749E-02	8.813541E-07
3.258915E+03	2.383560E-02	9.040391E-07
3.268851E+03	2.445667E-02	9.275951E-07
3.278786E+03	2.509995E-02	9.519934E-07
3.288722E+03	2.576235E-02	9.771169E-07
3.298658E+03	2.644038E-02	1.002833E-06
3.308593E+03	2.712904E-02	1.028953E-06
3.318529E+03	2.782202E-02	1.055236E-06
3.328465E+03	2.851326E-02	1.081454E-06
3.338401E+03	2.919649E-02	1.107367E-06
3.348336E+03	2.986440E-02	1.132700E-06
3.358272E+03	3.051156E-02	1.157245E-06
3.368208E+03	3.113287E-02	1.180810E-06
3.378143E+03	3.172410E-02	1.203234E-06
3.388079E+03	3.228110E-02	1.224360E-06
3.398015E+03	3.280242E-02	1.244133E-06
3.407951E+03	3.328601E-02	1.262475E-06
3.417886E+03	3.373148E-02	1.279371E-06
3.427822E+03	3.414058E-02	1.294887E-06
3.437758E+03	3.451464E-02	1.309074E-06
3.447693E+03	3.485759E-02	1.322081E-06
3.457629E+03	3.517415E-02	1.334088E-06
3.462597E+03	3.382458E-02	1.282901E-06
3.464058E+03	3.391938E-02	1.286497E-06
3.465518E+03	3.401418E-02	1.290092E-06
3.466979E+03	3.408312E-02	1.292707E-06
3.468439E+03	3.412006E-02	1.294108E-06
3.469900E+03	3.418652E-02	1.296629E-06
3.471360E+03	3.423944E-02	1.298636E-06
3.472821E+03	3.430957E-02	1.301296E-06
3.474281E+03	3.439939E-02	1.304703E-06
3.475742E+03	3.447567E-02	1.307596E-06
3.477202E+03	3.454578E-02	1.310255E-06
3.478663E+03	3.460850E-02	1.312634E-06
3.480124E+03	3.466136E-02	1.314639E-06
3.481584E+03	3.475236E-02	1.318090E-06
3.483045E+03	3.483598E-02	1.321262E-06
3.484505E+03	3.492943E-02	1.324806E-06
3.485966E+03	3.500686E-02	1.327743E-06
3.487426E+03	3.509537E-02	1.331100E-06
3.488887E+03	3.519865E-02	1.335017E-06
3.490347E+03	3.527851E-02	1.338046E-06
3.491808E+03	3.532389E-02	1.339767E-06
3.493269E+03	3.539757E-02	1.342562E-06
3.494729E+03	3.549095E-02	1.346103E-06
3.496190E+03	3.556338E-02	1.348850E-06
3.497650E+03	3.563457E-02	1.351550E-06
3.499111E+03	3.572914E-02	1.355137E-06
3.500571E+03	3.581507E-02	1.358397E-06
3.502032E+03	3.586897E-02	1.360441E-06
3.503492E+03	3.591669E-02	1.362251E-06
3.504953E+03	3.598658E-02	1.364902E-06
3.506414E+03	3.602319E-02	1.366290E-06
3.507874E+03	3.606347E-02	1.367818E-06
3.509335E+03	3.610867E-02	1.369532E-06
3.510795E+03	3.614522E-02	1.370919E-06
3.512256E+03	3.619778E-02	1.372912E-06
3.513716E+03	3.625401E-02	1.375044E-06
3.515177E+03	3.628188E-02	1.376102E-06
3.516637E+03	3.628511E-02	1.376224E-06
3.518098E+03	3.633635E-02	1.378168E-06
3.519558E+03	3.637772E-02	1.379737E-06
3.521019E+03	3.639321E-02	1.380324E-06
3.522480E+03	3.644316E-02	1.382219E-06
3.523940E+03	3.650541E-02	1.384580E-06
3.525401E+03	3.653069E-02	1.385538E-06
3.526861E+03	3.655594E-02	1.386496E-06
3.528322E+03	3.658487E-02	1.387593E-06
3.529782E+03	3.661377E-02	1.388690E-06
3.531243E+03	3.668085E-02	1.391234E-06
3.532703E+03	3.673189E-02	1.393170E-06
3.534164E+03	3.678538E-02	1.395198E-06
3.535625E+03	3.684130E-02	1.397319E-06
3.537085E+03	3.689474E-02	1.399346E-06
3.538546E+03	3.694322E-02	1.401185E-06
3.540006E+03	3.697936E-02	1.402556E-06
3.541467E+03	3.705244E-02	1.405328E-06
3.542927E+03	3.712796E-02	1.408192E-06
3.544388E+03	3.718867E-02	1.410494E-06
3.545848E+03	3.724074E-02	1.412469E-06
3.547309E+03	3.728045E-02	1.413975E-06
3.548769E+03	3.732999E-02	1.415854E-06
3.550230E+03	3.737827E-02	1.417685E-06
3.551691E+03	3.741544E-02	1.419095E-06
3.553151E+03	3.743532E-02	1.419849E-06
3.554612E+03	3.744655E-02	1.420275E-06
3.556072E+03	3.747871E-02	1.421495E-06
3.557533E+03	3.750467E-02	1.422479E-06
3.558993E+03	3.752445E-02	1.423230E-06
3.560454E+03	3.753187E-02	1.423511E-06
3.561914E+03	3.755527E-02	1.424399E-06
3.563375E+03	3.759591E-02	1.425940E-06
3.564836E+03	3.761680E-02	1.426732E-06
3.566296E+03	3.762163E-02	1.426915E-06
3.567757E+03	3.763013E-02	1.427238E-06
3.569217E+03	3.762505E-02	1.427045E-06
3.570678E+03	3.761992E-02	1.426851E-06
3.572138E+03	3.762463E-02	1.427029E-06
3.573599E+03	3.760713E-02	1.426365E-06
3.575059E+03	3.758959E-02	1.425700E-06
3.576520E+03	3.757079E-02	1.424987E-06
3.577980E+03	3.754579E-02	1.424039E-06
3.579441E+03	3.750720E-02	1.422575E-06
3.580902E+03	3.746981E-02	1.421157E-06
3.582362E+03	3.743486E-02	1.419832E-06
3.583823E+03	3.737153E-02	1.417430E-06
3.585283E+03	3.730077E-02	1.414746E-06
3.586744E+03	3.723738E-02	1.412342E-06
3.588204E+03	3.718874E-02	1.410497E-06
3.589665E+03	3.706984E-02	1.405987E-06
3.591125E+03	3.691149E-02	1.399981E-06
3.592586E+03	3.679499E-02	1.395563E-06
3.594047E+03	3.669695E-02	1.391844E-06
3.595507E+03	3.659026E-02	1.387797E-06
3.596968E+03	3.644904E-02	1.382441E-06
3.598428E+03	3.630164E-02	1.376851E-06
3.599889E+03	3.615669E-02	1.371353E-06
3.601349E+03	3.600555E-02	1.365621E-06
3.602810E+03	3.584084E-02	1.359373E-06
3.604270E+03	3.564654E-02	1.352004E-06
3.605731E+03	3.547685E-02	1.345568E-06
3.607191E+03	3.526897E-02	1.337683E-06
3.608652E+03	3.505245E-02	1.329471E-06
3.610113E+03	3.481250E-02	1.320370E-06
3.611573E+03	3.454051E-02	1.310054E-06
3.613034E+03	3.429316E-02	1.300673E-06
3.614494E+03	3.403101E-02	1.290730E-06
3.615955E+03	3.374422E-02	1.279853E-06
3.617415E+03	3.346851E-02	1.269395E-06
3.618876E+03	3.316939E-02	1.258050E-06
3.620336E+03	3.288627E-02	1.247312E-06
3.621797E+03	3.258099E-02	1.235733E-06
3.623258E+03	3.227939E-02	1.224295E-06
3.624718E+03	3.198519E-02	1.213136E-06
3.626179E+03	3.167004E-02	1.201183E-06
3.627639E+03	3.132782E-02	1.188203E-06
3.629100E+03	3.100529E-02	1.175970E-06
3.630560E+03	3.067662E-02	1.163504E-06
3.632021E+03	3.033932E-02	1.150711E-06
3.633481E+03	2.999465E-02	1.137639E-06
3.634942E+03	2.962291E-02	1.123539E-06
3.636402E+03	2.931272E-02	1.111774E-06
3.637863E+03	2.895946E-02	1.098376E-06
3.639324E+03	2.860620E-02	1.084978E-06
3.640784E+03	2.829604E-02	1.073214E-06
3.642245E+03	2.795881E-02	1.060423E-06
3.643705E+03	2.761544E-02	1.047400E-06
3.645166E+03	2.733115E-02	1.036617E-06
3.646626E+03	2.703579E-02	1.025415E-06
3.648087E+03	2.672445E-02	1.013606E-06
3.649547E+03	2.640451E-02	1.001471E-06
3.651008E+03	2.609319E-02	9.896639E-07
3.652469E+03	2.576958E-02	9.773899E-07
3.653929E+03	2.540908E-02	9.637168E-07
3.655390E+03	2.510397E-02	9.521444E-07
3.656850E+03	2.480378E-02	9.407591E-07
3.658311E+03	2.449377E-02	9.290009E-07
3.659771E+03	2.421084E-02	9.182700E-07
3.661232E+03	2.393654E-02	9.078661E-07
3.662692E+03	2.365364E-02	8.971362E-07
3.664153E+03	2.341749E-02	8.881795E-07
3.665613E+03	2.319980E-02	8.799229E-07
3.667074E+03	2.296121E-02	8.708738E-07
3.668535E+03	2.274108E-02	8.625247E-07
3.669995E+03	2.251113E-02	8.538029E-07
3.671456E+03	2.227873E-02	8.449887E-07
3.672916E+03	2.209429E-02	8.379933E-07
3.674377E+03	2.190003E-02	8.306253E-07
3.675837E+03	2.171684E-02	8.236772E-07
3.677298E+03	2.154472E-02	8.171491E-07
3.678758E+03	2.136893E-02	8.104816E-07
3.680219E+03	2.122756E-02	8.051196E-07
3.681680E+03	2.106653E-02	7.990124E-07
3.683140E+03	2.092886E-02	7.937907E-07
3.684601E+03	2.079489E-02	7.887094E-07
