#wls	flux	fluxerr
1.589715E+03	1.767965E-04	6.646507E-06
1.629457E+03	1.787792E-04	6.690636E-06
1.669200E+03	1.805939E-04	6.727093E-06
1.708943E+03	1.822653E-04	6.756844E-06
1.748686E+03	1.837706E-04	6.779088E-06
1.788429E+03	1.850372E-04	6.791221E-06
1.828172E+03	1.859676E-04	6.789788E-06
1.867915E+03	1.864799E-04	6.771975E-06
1.907657E+03	1.864497E-04	6.733521E-06
1.947400E+03	1.857523E-04	6.670255E-06
1.987143E+03	1.844925E-04	6.586328E-06
2.026886E+03	1.829237E-04	6.491090E-06
2.066629E+03	1.817401E-04	6.409225E-06
2.106372E+03	1.818719E-04	6.373089E-06
2.146115E+03	1.842689E-04	6.414835E-06
2.185858E+03	1.893722E-04	6.548117E-06
2.225600E+03	1.968851E-04	6.760751E-06
2.265343E+03	2.061658E-04	7.028987E-06
2.305086E+03	2.164635E-04	7.325967E-06
2.344829E+03	2.273752E-04	7.637206E-06
2.384572E+03	2.384903E-04	7.948363E-06
2.424315E+03	2.498138E-04	8.259248E-06
2.464058E+03	2.612894E-04	8.567647E-06
2.503800E+03	2.729973E-04	8.875835E-06
2.543543E+03	2.849929E-04	9.185195E-06
2.583286E+03	2.973815E-04	9.498623E-06
2.623029E+03	3.102651E-04	9.818786E-06
2.662772E+03	3.236358E-04	1.014476E-05
2.702515E+03	3.376246E-04	1.047992E-05
2.742258E+03	3.523559E-04	1.082728E-05
2.782000E+03	3.677813E-04	1.118439E-05
2.821743E+03	3.839968E-04	1.155320E-05
2.861486E+03	4.010852E-04	1.193511E-05
2.901229E+03	4.190545E-04	1.232919E-05
2.940972E+03	4.378880E-04	1.273373E-05
2.980715E+03	4.577175E-04	1.315131E-05
2.990650E+03	4.628286E-04	1.325753E-05
3.000586E+03	4.680326E-04	1.336532E-05
3.010522E+03	4.732666E-04	1.347288E-05
3.020458E+03	4.785312E-04	1.358021E-05
3.030393E+03	4.838965E-04	1.368926E-05
3.040329E+03	4.893118E-04	1.379859E-05
3.050265E+03	4.948916E-04	1.391139E-05
3.060201E+03	5.005075E-04	1.402402E-05
3.070136E+03	5.061525E-04	1.413625E-05
3.080072E+03	5.119412E-04	1.425127E-05
3.090008E+03	5.177448E-04	1.436546E-05
3.099943E+03	5.236786E-04	1.448200E-05
3.109879E+03	5.296127E-04	1.459727E-05
3.119815E+03	5.356023E-04	1.471276E-05
3.129751E+03	5.417005E-04	1.482993E-05
3.139686E+03	5.477777E-04	1.494519E-05
3.149622E+03	5.539489E-04	1.506168E-05
3.159558E+03	5.601457E-04	1.517749E-05
3.169493E+03	5.663596E-04	1.529241E-05
3.179429E+03	5.726453E-04	1.540787E-05
3.189365E+03	5.789945E-04	1.552364E-05
3.199301E+03	5.852742E-04	1.563614E-05
3.209236E+03	5.916636E-04	1.575015E-05
3.219172E+03	5.980288E-04	1.586209E-05
3.229108E+03	6.044234E-04	1.597336E-05
3.239043E+03	6.108391E-04	1.608374E-05
3.248979E+03	6.172657E-04	1.619295E-05
3.258915E+03	6.236953E-04	1.630077E-05
3.268851E+03	6.301181E-04	1.640695E-05
3.278786E+03	6.365251E-04	1.651124E-05
3.288722E+03	6.429068E-04	1.661339E-05
3.298658E+03	6.493156E-04	1.671477E-05
3.308593E+03	6.557429E-04	1.681512E-05
3.318529E+03	6.621187E-04	1.691267E-05
3.328465E+03	6.684341E-04	1.700718E-05
3.338401E+03	6.748037E-04	1.710159E-05
3.348336E+03	6.810979E-04	1.719258E-05
3.358272E+03	6.873724E-04	1.728160E-05
3.368208E+03	6.936799E-04	1.736994E-05
3.378143E+03	6.998984E-04	1.745456E-05
3.388079E+03	7.061431E-04	1.753835E-05
3.398015E+03	7.124131E-04	1.762127E-05
