#wls	flux	fluxerr
1.600000E+03	1.703541E-17	6.678870E-19
1.640000E+03	1.720556E-17	6.723989E-19
1.680000E+03	1.738674E-17	6.772422E-19
1.720000E+03	1.757981E-17	6.824425E-19
1.760000E+03	1.779180E-17	6.882643E-19
1.800000E+03	1.801761E-17	6.945001E-19
1.840000E+03	1.825830E-17	7.011807E-19
1.880000E+03	1.852134E-17	7.085820E-19
1.920000E+03	1.880166E-17	7.164971E-19
1.960000E+03	1.910056E-17	7.249628E-19
2.000000E+03	1.942602E-17	7.342676E-19
2.040000E+03	1.977304E-17	7.442058E-19
2.080000E+03	2.014662E-17	7.549484E-19
2.120000E+03	2.054854E-17	7.665432E-19
2.160000E+03	2.097723E-17	7.789111E-19
2.200000E+03	2.144174E-17	7.923652E-19
2.240000E+03	2.193709E-17	8.066971E-19
2.280000E+03	2.247284E-17	8.222306E-19
2.320000E+03	2.304395E-17	8.387517E-19
2.360000E+03	2.365658E-17	8.564539E-19
2.400000E+03	2.431327E-17	8.753942E-19
2.440000E+03	2.501664E-17	8.956294E-19
2.480000E+03	2.577352E-17	9.173627E-19
2.520000E+03	2.657824E-17	9.403466E-19
2.560000E+03	2.743743E-17	9.647707E-19
2.600000E+03	2.835807E-17	9.908284E-19
2.640000E+03	2.933338E-17	1.018227E-18
2.680000E+03	3.037446E-17	1.047297E-18
2.720000E+03	3.147325E-17	1.077696E-18
2.760000E+03	3.264044E-17	1.109727E-18
2.800000E+03	3.387134E-17	1.143163E-18
2.840000E+03	3.516520E-17	1.177907E-18
2.880000E+03	3.652587E-17	1.214018E-18
2.920000E+03	3.793917E-17	1.250950E-18
2.960000E+03	3.941210E-17	1.288864E-18
3.000000E+03	4.093307E-17	1.327310E-18
3.010000E+03	4.132055E-17	1.336987E-18
3.020000E+03	4.171006E-17	1.346662E-18
3.030000E+03	4.210143E-17	1.356326E-18
3.040000E+03	4.249453E-17	1.365976E-18
3.050000E+03	4.288918E-17	1.375604E-18
3.060000E+03	4.329173E-17	1.385413E-18
3.070000E+03	4.368906E-17	1.394981E-18
3.080000E+03	4.408745E-17	1.404511E-18
3.090000E+03	4.449336E-17	1.414205E-18
3.100000E+03	4.490005E-17	1.423849E-18
3.110000E+03	4.530062E-17	1.433223E-18
3.120000E+03	4.570831E-17	1.442746E-18
3.130000E+03	4.611623E-17	1.452199E-18
3.140000E+03	4.652419E-17	1.461576E-18
3.150000E+03	4.693202E-17	1.470871E-18
3.160000E+03	4.733951E-17	1.480077E-18
3.170000E+03	4.774648E-17	1.489187E-18
3.180000E+03	4.815275E-17	1.498196E-18
3.190000E+03	4.855813E-17	1.507097E-18
3.200000E+03	4.896245E-17	1.515885E-18
3.210000E+03	4.937274E-17	1.524778E-18
3.220000E+03	4.977447E-17	1.533324E-18
3.230000E+03	5.018195E-17	1.541966E-18
3.240000E+03	5.058046E-17	1.550251E-18
3.250000E+03	5.098452E-17	1.558623E-18
3.260000E+03	5.138669E-17	1.566856E-18
3.270000E+03	5.177941E-17	1.574717E-18
3.280000E+03	5.217746E-17	1.582658E-18
3.290000E+03	5.257335E-17	1.590451E-18
3.300000E+03	5.296699E-17	1.598092E-18
3.310000E+03	5.335836E-17	1.605580E-18
3.320000E+03	5.374740E-17	1.612915E-18
3.330000E+03	5.414186E-17	1.620328E-18
3.340000E+03	5.452633E-17	1.627358E-18
3.350000E+03	5.490854E-17	1.634237E-18
3.360000E+03	5.529640E-17	1.641199E-18
3.370000E+03	5.567434E-17	1.647781E-18
3.380000E+03	5.605823E-17	1.654455E-18
3.390000E+03	5.643239E-17	1.660757E-18
3.400000E+03	5.681290E-17	1.667160E-18
3.410000E+03	5.718399E-17	1.673201E-18
3.420000E+03	5.756196E-17	1.679358E-18
3.430000E+03	5.793906E-17	1.685403E-18
3.440000E+03	5.831562E-17	1.691345E-18
3.450000E+03	5.869197E-17	1.697193E-18
3.460000E+03	5.906851E-17	1.702959E-18
3.470000E+03	5.944565E-17	1.708655E-18
3.480000E+03	5.982387E-17	1.714292E-18
3.490000E+03	6.020366E-17	1.719884E-18
3.500000E+03	6.058557E-17	1.725447E-18
3.510000E+03	6.097862E-17	1.731235E-18
3.520000E+03	6.136665E-17	1.736787E-18
3.530000E+03	6.175873E-17	1.742360E-18
3.540000E+03	6.216410E-17	1.748213E-18
3.550000E+03	6.256654E-17	1.753887E-18
3.560000E+03	6.298394E-17	1.759881E-18
3.570000E+03	6.340862E-17	1.765978E-18
3.580000E+03	6.383281E-17	1.771959E-18
3.590000E+03	6.427473E-17	1.778329E-18
3.600000E+03	6.472683E-17	1.784872E-18
3.610000E+03	6.518169E-17	1.791383E-18
3.620000E+03	6.565836E-17	1.798382E-18
3.630000E+03	6.614958E-17	1.805663E-18
3.640000E+03	6.665684E-17	1.813263E-18
3.650000E+03	6.718171E-17	1.821220E-18
3.660000E+03	6.772574E-17	1.829569E-18
