#wls	flux	fluxerr
1.600000E+03	2.232515E-17	2.090581E-17
1.640000E+03	2.259445E-17	2.114035E-17
1.680000E+03	2.288738E-17	2.139412E-17
1.720000E+03	2.319745E-17	2.166055E-17
1.760000E+03	2.353401E-17	2.194785E-17
1.800000E+03	2.389876E-17	2.225693E-17
1.840000E+03	2.428943E-17	2.258493E-17
1.880000E+03	2.470787E-17	2.293271E-17
1.920000E+03	2.516447E-17	2.330891E-17
1.960000E+03	2.565321E-17	2.370671E-17
2.000000E+03	2.618074E-17	2.413092E-17
2.040000E+03	2.674977E-17	2.458239E-17
2.080000E+03	2.736322E-17	2.506193E-17
2.120000E+03	2.802423E-17	2.557021E-17
2.160000E+03	2.873618E-17	2.610772E-17
2.200000E+03	2.950739E-17	2.667901E-17
2.240000E+03	3.033717E-17	2.727993E-17
2.280000E+03	3.123452E-17	2.791446E-17
2.320000E+03	3.220409E-17	2.858192E-17
2.360000E+03	3.325074E-17	2.928101E-17
2.400000E+03	3.437428E-17	3.000504E-17
2.440000E+03	3.559040E-17	3.076015E-17
2.480000E+03	3.689926E-17	3.153763E-17
2.520000E+03	3.830622E-17	3.233187E-17
2.560000E+03	3.982236E-17	3.314049E-17
2.600000E+03	4.145309E-17	3.395436E-17
2.640000E+03	4.319714E-17	3.475697E-17
2.680000E+03	4.507097E-17	3.554401E-17
2.720000E+03	4.707165E-17	3.629308E-17
2.760000E+03	4.920073E-17	3.698321E-17
2.800000E+03	5.146475E-17	3.759472E-17
2.840000E+03	5.385385E-17	3.809356E-17
2.880000E+03	5.636885E-17	3.845187E-17
2.920000E+03	5.900717E-17	3.863783E-17
2.960000E+03	6.174588E-17	3.860605E-17
3.000000E+03	6.456297E-17	3.831438E-17
3.010000E+03	6.527388E-17	3.819452E-17
3.020000E+03	6.599305E-17	3.805846E-17
3.030000E+03	6.671161E-17	3.790073E-17
3.040000E+03	6.743736E-17	3.772548E-17
3.050000E+03	6.815276E-17	3.752267E-17
3.060000E+03	6.888257E-17	3.730585E-17
3.070000E+03	6.960051E-17	3.706047E-17
3.080000E+03	7.032293E-17	3.679532E-17
3.090000E+03	7.104915E-17	3.650986E-17
3.100000E+03	7.176087E-17	3.619472E-17
3.110000E+03	7.247466E-17	3.585851E-17
3.120000E+03	7.318970E-17	3.550085E-17
3.130000E+03	7.389618E-17	3.511714E-17
3.140000E+03	7.459306E-17	3.470731E-17
3.150000E+03	7.528824E-17	3.427547E-17
3.160000E+03	7.597168E-17	3.381747E-17
3.170000E+03	7.664219E-17	3.333352E-17
3.180000E+03	7.730768E-17	3.282778E-17
3.190000E+03	7.795787E-17	3.229665E-17
3.200000E+03	7.860065E-17	3.174435E-17
3.210000E+03	7.922558E-17	3.116766E-17
3.220000E+03	7.983130E-17	3.056736E-17
3.230000E+03	8.042571E-17	2.994779E-17
3.240000E+03	8.099819E-17	2.930637E-17
3.250000E+03	8.155662E-17	2.864753E-17
3.260000E+03	8.209029E-17	2.796910E-17
3.270000E+03	8.259774E-17	2.727248E-17
3.280000E+03	8.308688E-17	2.656220E-17
3.290000E+03	8.354691E-17	2.583667E-17
3.300000E+03	8.398579E-17	2.510040E-17
3.310000E+03	8.439274E-17	2.435214E-17
3.320000E+03	8.477577E-17	2.359627E-17
3.330000E+03	8.512417E-17	2.283175E-17
3.340000E+03	8.543673E-17	2.206029E-17
3.350000E+03	8.572164E-17	2.128583E-17
3.360000E+03	8.597785E-17	2.050956E-17
3.370000E+03	8.618583E-17	1.972824E-17
3.380000E+03	8.636353E-17	1.894726E-17
3.390000E+03	8.651041E-17	1.816713E-17
3.400000E+03	8.661698E-17	1.738618E-17
3.410000E+03	8.669252E-17	1.660631E-17
