#wls	flux	fluxerr	mangling_mask
3.992150E+03	5.875828E-16	2.248055E-16	4.985854E-15
3.993620E+03	5.981582E-16	1.954485E-16	4.985898E-15
3.995090E+03	6.038974E-16	1.927424E-16	4.985943E-15
3.996560E+03	5.959252E-16	1.923222E-16	4.985987E-15
3.998030E+03	5.954818E-16	1.955090E-16	4.986032E-15
3.999500E+03	6.004733E-16	1.945692E-16	4.986078E-15
4.000970E+03	6.051657E-16	2.027399E-16	4.986123E-15
4.002440E+03	6.078139E-16	2.109096E-16	4.986168E-15
4.003910E+03	6.093652E-16	2.312659E-16	4.986214E-15
4.005380E+03	6.081242E-16	2.313312E-16	4.986260E-15
4.006850E+03	6.108723E-16	2.314247E-16	4.986306E-15
4.008320E+03	6.176594E-16	2.286629E-16	4.986352E-15
4.009790E+03	6.168175E-16	2.364636E-16	4.986398E-15
4.012730E+03	6.105959E-16	2.351268E-16	4.986492E-15
4.014200E+03	6.119480E-16	2.330226E-16	4.986538E-15
4.015670E+03	6.195833E-16	2.330954E-16	4.986586E-15
4.017140E+03	6.228304E-16	2.330550E-16	4.986633E-15
4.018610E+03	6.227366E-16	2.427351E-16	4.986680E-15
4.020080E+03	6.213961E-16	2.421480E-16	4.986728E-15
4.021550E+03	6.278350E-16	2.411188E-16	4.986776E-15
4.023020E+03	6.309828E-16	2.438032E-16	4.986823E-15
4.024490E+03	6.280466E-16	2.428810E-16	4.986872E-15
4.025960E+03	6.275041E-16	2.440232E-16	4.986920E-15
4.027430E+03	6.283580E-16	2.450470E-16	4.986968E-15
4.030370E+03	6.287194E-16	2.446225E-16	4.987066E-15
4.031840E+03	6.306207E-16	2.479090E-16	4.987115E-15
4.033310E+03	6.282330E-16	2.517454E-16	4.987164E-15
4.034780E+03	6.245986E-16	2.527760E-16	4.987213E-15
4.036250E+03	6.243554E-16	2.495092E-16	4.987263E-15
4.037720E+03	6.225164E-16	2.531271E-16	4.987313E-15
4.039190E+03	6.166375E-16	2.617951E-16	4.987363E-15
4.040660E+03	6.171923E-16	2.661331E-16	4.987413E-15
4.042130E+03	6.154529E-16	2.644596E-16	4.987463E-15
4.043600E+03	6.159080E-16	2.646664E-16	4.987513E-15
4.045070E+03	6.171612E-16	2.603141E-16	4.987564E-15
4.046540E+03	6.175166E-16	2.704031E-16	4.987615E-15
4.048010E+03	6.180217E-16	2.645001E-16	4.987666E-15
4.049480E+03	6.196241E-16	2.688841E-16	4.987717E-15
4.050950E+03	6.188823E-16	2.521762E-16	4.987768E-15
