#wls	flux	fluxerr
1.591280E+03	4.737712E-05	2.126568E-06
1.631062E+03	4.744574E-05	2.127482E-06
1.670844E+03	4.752230E-05	2.128692E-06
1.710626E+03	4.760769E-05	2.130233E-06
1.750408E+03	4.770289E-05	2.132148E-06
1.790190E+03	4.780898E-05	2.134482E-06
1.829972E+03	4.792715E-05	2.137285E-06
1.869754E+03	4.805872E-05	2.140611E-06
1.909536E+03	4.820512E-05	2.144521E-06
1.949318E+03	4.836795E-05	2.149083E-06
1.989100E+03	4.854897E-05	2.154369E-06
2.028882E+03	4.875010E-05	2.160461E-06
2.068664E+03	4.898229E-05	2.167836E-06
2.108446E+03	4.923030E-05	2.175815E-06
2.148228E+03	4.950550E-05	2.184894E-06
2.188010E+03	4.981074E-05	2.195191E-06
2.227792E+03	5.015820E-05	2.207234E-06
2.267574E+03	5.053340E-05	2.220376E-06
2.307356E+03	5.094914E-05	2.235171E-06
2.347138E+03	5.141894E-05	2.252199E-06
2.386920E+03	5.192913E-05	2.270849E-06
2.426702E+03	5.249411E-05	2.291737E-06
2.466484E+03	5.312923E-05	2.315516E-06
2.506266E+03	5.382200E-05	2.341625E-06
2.546048E+03	5.459883E-05	2.371191E-06
2.585830E+03	5.544829E-05	2.403697E-06
2.625612E+03	5.639907E-05	2.440360E-06
2.665394E+03	5.744112E-05	2.480718E-06
2.705176E+03	5.860594E-05	2.526099E-06
2.744958E+03	5.988531E-05	2.576112E-06
2.784740E+03	6.131438E-05	2.632231E-06
2.824522E+03	6.289841E-05	2.694633E-06
2.864304E+03	6.464334E-05	2.763523E-06
2.904086E+03	6.659175E-05	2.840664E-06
2.943868E+03	6.875454E-05	2.926453E-06
2.983650E+03	7.114365E-05	3.021327E-06
2.993595E+03	7.179101E-05	3.047080E-06
3.003541E+03	7.244261E-05	3.072974E-06
3.013486E+03	7.312475E-05	3.100124E-06
3.023432E+03	7.381195E-05	3.127447E-06
3.033377E+03	7.453088E-05	3.156072E-06
3.043323E+03	7.525567E-05	3.184902E-06
3.053268E+03	7.599995E-05	3.214512E-06
3.063214E+03	7.677797E-05	3.245503E-06
3.073159E+03	7.756305E-05	3.276745E-06
3.083105E+03	7.838336E-05	3.309428E-06
3.093050E+03	7.921154E-05	3.342392E-06
3.102996E+03	8.007644E-05	3.376855E-06
3.112941E+03	8.095013E-05	3.411636E-06
3.122887E+03	8.184748E-05	3.447360E-06
3.132832E+03	8.278396E-05	3.484677E-06
3.142778E+03	8.373072E-05	3.522370E-06
3.152723E+03	8.471822E-05	3.561717E-06
3.162669E+03	8.571713E-05	3.601484E-06
3.172614E+03	8.675862E-05	3.642978E-06
3.182560E+03	8.781257E-05	3.684931E-06
3.192505E+03	8.891092E-05	3.728682E-06
3.202451E+03	9.002288E-05	3.772936E-06
3.212396E+03	9.118126E-05	3.819066E-06
3.222342E+03	9.235445E-05	3.865745E-06
3.232287E+03	9.355935E-05	3.913679E-06
3.242233E+03	9.481376E-05	3.963608E-06
3.252178E+03	9.608489E-05	4.014158E-06
3.262124E+03	9.740766E-05	4.066786E-06
3.272069E+03	9.874842E-05	4.120083E-06
3.282015E+03	1.001431E-04	4.175546E-06
3.291960E+03	1.015572E-04	4.231730E-06
3.301906E+03	1.030275E-04	4.290170E-06
3.311851E+03	1.045186E-04	4.349380E-06
3.321797E+03	1.060494E-04	4.410153E-06
3.331742E+03	1.076403E-04	4.473326E-06
3.341688E+03	1.092540E-04	4.537346E-06
3.351633E+03	1.109302E-04	4.603859E-06
3.361579E+03	1.126307E-04	4.671274E-06
3.371524E+03	1.143963E-04	4.741283E-06
3.381470E+03	1.161876E-04	4.812245E-06
3.391415E+03	1.180466E-04	4.885901E-06
3.401361E+03	1.199328E-04	4.960559E-06
3.411306E+03	1.218895E-04	5.038015E-06
3.421252E+03	1.238747E-04	5.116520E-06
3.431197E+03	1.259331E-04	5.197928E-06
3.441143E+03	1.280213E-04	5.280431E-06
3.451088E+03	1.301624E-04	5.364982E-06
3.461034E+03	1.323810E-04	5.452586E-06
3.470979E+03	1.346311E-04	5.541349E-06
3.480925E+03	1.369614E-04	5.633267E-06
3.490870E+03	1.393244E-04	5.726381E-06
3.500816E+03	1.417703E-04	5.822746E-06
3.510761E+03	1.442499E-04	5.920339E-06
3.520707E+03	1.468149E-04	6.021277E-06
3.530652E+03	1.494144E-04	6.123463E-06
3.540598E+03	1.521018E-04	6.229082E-06
3.550543E+03	1.548243E-04	6.335963E-06
3.560489E+03	1.576372E-04	6.446364E-06
3.570434E+03	1.604854E-04	6.558026E-06
3.580380E+03	1.633970E-04	6.672094E-06
3.590325E+03	1.664022E-04	6.789787E-06
3.600271E+03	1.694425E-04	6.908722E-06
3.610216E+03	1.725782E-04	7.031340E-06
3.620162E+03	1.757485E-04	7.155166E-06
3.630107E+03	1.790156E-04	7.282723E-06
3.640053E+03	1.823164E-04	7.411434E-06
3.649998E+03	1.857151E-04	7.543906E-06
3.659944E+03	1.891460E-04	7.677462E-06
3.669889E+03	1.926754E-04	7.814787E-06
3.679835E+03	1.962350E-04	7.953104E-06
3.689780E+03	1.998932E-04	8.095183E-06
3.699726E+03	2.035790E-04	8.238131E-06
3.709671E+03	2.073630E-04	8.384810E-06
3.719617E+03	2.111712E-04	8.532213E-06
3.729562E+03	2.150383E-04	8.681745E-06
3.739507E+03	2.190019E-04	8.834908E-06
3.749453E+03	2.229830E-04	8.988517E-06
3.759398E+03	2.270583E-04	9.145655E-06
3.769344E+03	2.311458E-04	9.303007E-06
3.779289E+03	2.353244E-04	9.463755E-06
3.789235E+03	2.395088E-04	9.624454E-06
3.799180E+03	2.437804E-04	9.788374E-06
3.809126E+03	2.480503E-04	9.951941E-06
3.819071E+03	2.524025E-04	1.011852E-05
3.829017E+03	2.567445E-04	1.028440E-05
3.838962E+03	2.611628E-04	1.045304E-05
3.848908E+03	2.655613E-04	1.062058E-05
3.858853E+03	2.699810E-04	1.078868E-05
3.868799E+03	2.744659E-04	1.095909E-05
3.878744E+03	2.789143E-04	1.112773E-05
3.888690E+03	2.834191E-04	1.129833E-05
3.898635E+03	2.878748E-04	1.146666E-05
3.908581E+03	2.923769E-04	1.163654E-05
3.918526E+03	2.968164E-04	1.180362E-05
3.928472E+03	3.012914E-04	1.197181E-05
3.938417E+03	3.056892E-04	1.213664E-05
3.948363E+03	3.101109E-04	1.230211E-05
3.958308E+03	3.144403E-04	1.246362E-05
3.968254E+03	3.187251E-04	1.262308E-05
3.978199E+03	3.230159E-04	1.278248E-05
3.988145E+03	3.271924E-04	1.293706E-05
3.998090E+03	3.313639E-04	1.309117E-05
4.008036E+03	3.354078E-04	1.323995E-05
4.017981E+03	3.394374E-04	1.338790E-05
4.027927E+03	3.433285E-04	1.353011E-05
4.037872E+03	3.471985E-04	1.367123E-05
4.047818E+03	3.509222E-04	1.380633E-05
4.057763E+03	3.545585E-04	1.393774E-05
4.067709E+03	3.581697E-04	1.406791E-05
4.077654E+03	3.616292E-04	1.419189E-05
4.087600E+03	3.650654E-04	1.431472E-05
4.097545E+03	3.683511E-04	1.443142E-05
4.107491E+03	3.716184E-04	1.454718E-05
4.117436E+03	3.747396E-04	1.465701E-05
4.127382E+03	3.778509E-04	1.476623E-05
4.137327E+03	3.808238E-04	1.486985E-05
4.147273E+03	3.837304E-04	1.497068E-05
4.157218E+03	3.866457E-04	1.507166E-05
4.167164E+03	3.894406E-04	1.516775E-05
4.177109E+03	3.922606E-04	1.526464E-05
4.187055E+03	3.949762E-04	1.535728E-05
4.197000E+03	3.977363E-04	1.545147E-05
4.206946E+03	4.004110E-04	1.554217E-05
4.216891E+03	4.030809E-04	1.563251E-05
4.226837E+03	4.058293E-04	1.572572E-05
4.236782E+03	4.085248E-04	1.581670E-05
4.246728E+03	4.113237E-04	1.591152E-05
4.256673E+03	4.140933E-04	1.600502E-05
4.266619E+03	4.169923E-04	1.610335E-05
4.276564E+03	4.198862E-04	1.620130E-05
4.286510E+03	4.228608E-04	1.630218E-05
4.296455E+03	4.260035E-04	1.640936E-05
4.306401E+03	4.291754E-04	1.651746E-05
4.316346E+03	4.325383E-04	1.663272E-05
4.326292E+03	4.359483E-04	1.674958E-05
4.336237E+03	4.394884E-04	1.687123E-05
4.346183E+03	4.432415E-04	1.700083E-05
4.356128E+03	4.470537E-04	1.713248E-05
4.366074E+03	4.510830E-04	1.727221E-05
4.376019E+03	4.551697E-04	1.741389E-05
4.385965E+03	4.593907E-04	1.756047E-05
4.395910E+03	4.638241E-04	1.771491E-05
4.405856E+03	4.683001E-04	1.787071E-05
4.415801E+03	4.729743E-04	1.803382E-05
4.425747E+03	4.776688E-04	1.819742E-05
4.435692E+03	4.824533E-04	1.836418E-05
4.445638E+03	4.873990E-04	1.853680E-05
4.455583E+03	4.923188E-04	1.870815E-05
4.465529E+03	4.973699E-04	1.888421E-05
4.475474E+03	5.023610E-04	1.905770E-05
4.485420E+03	5.073631E-04	1.923133E-05
4.495365E+03	5.124512E-04	1.940794E-05
4.505311E+03	5.174303E-04	1.958013E-05
4.515256E+03	5.224688E-04	1.975430E-05
4.525202E+03	5.273706E-04	1.992302E-05
4.535147E+03	5.322168E-04	2.008938E-05
4.545093E+03	5.370939E-04	2.025664E-05
4.555038E+03	5.418073E-04	2.041746E-05
4.564984E+03	5.464479E-04	2.057529E-05
4.574929E+03	5.511128E-04	2.073379E-05
4.584875E+03	5.556105E-04	2.088576E-05
4.594820E+03	5.601415E-04	2.103874E-05
4.604766E+03	5.645157E-04	2.118560E-05
4.614711E+03	5.688396E-04	2.133036E-05
4.624657E+03	5.732242E-04	2.147717E-05
4.634602E+03	5.774777E-04	2.161885E-05
4.644548E+03	5.817099E-04	2.175952E-05
4.654493E+03	5.860341E-04	2.190342E-05
4.664439E+03	5.902511E-04	2.204311E-05
4.674384E+03	5.944709E-04	2.218269E-05
4.684330E+03	5.988042E-04	2.232630E-05
4.694275E+03	6.030429E-04	2.246619E-05
4.704221E+03	6.072947E-04	2.260636E-05
4.714166E+03	6.116683E-04	2.275086E-05
4.724112E+03	6.159477E-04	2.289166E-05
4.734057E+03	6.202393E-04	2.303270E-05
4.744003E+03	6.246525E-04	2.317807E-05
4.753948E+03	6.289669E-04	2.331958E-05
4.763894E+03	6.332934E-04	2.346134E-05
4.773839E+03	6.377463E-04	2.360759E-05
4.783785E+03	6.421056E-04	2.375018E-05
4.793730E+03	6.464903E-04	2.389352E-05
4.803676E+03	6.510229E-04	2.404214E-05
4.813621E+03	6.554851E-04	2.418797E-05
4.823567E+03	6.600023E-04	2.433564E-05
4.833512E+03	6.647032E-04	2.448988E-05
4.843458E+03	6.693655E-04	2.464251E-05
4.853403E+03	6.741149E-04	2.479816E-05
4.863349E+03	6.790796E-04	2.496153E-05
4.873294E+03	6.840249E-04	2.512399E-05
4.883240E+03	6.890721E-04	2.528998E-05
