#wls	flux	fluxerr
1.591280E+03	1.985949E-05	7.787114E-07
1.631062E+03	2.017491E-05	7.882630E-07
1.670844E+03	2.038228E-05	7.934531E-07
1.710626E+03	2.047173E-05	7.939429E-07
1.750408E+03	2.043722E-05	7.895482E-07
1.790190E+03	2.024878E-05	7.791708E-07
1.829972E+03	1.987860E-05	7.618174E-07
1.869754E+03	1.929163E-05	7.362375E-07
1.909536E+03	1.846819E-05	7.017934E-07
1.949318E+03	1.741057E-05	6.586957E-07
1.989100E+03	1.616910E-05	6.089673E-07
2.028882E+03	1.487501E-05	5.576357E-07
2.068664E+03	1.372741E-05	5.121703E-07
2.108446E+03	1.295425E-05	4.809689E-07
2.148228E+03	1.272284E-05	4.700161E-07
2.188010E+03	1.308328E-05	4.808544E-07
2.227792E+03	1.396459E-05	5.105477E-07
2.267574E+03	1.522527E-05	5.536381E-07
2.307356E+03	1.670392E-05	6.040504E-07
2.347138E+03	1.826134E-05	6.566297E-07
2.386920E+03	1.980713E-05	7.080777E-07
2.426702E+03	2.129320E-05	7.566748E-07
2.466484E+03	2.269175E-05	8.014589E-07
2.506266E+03	2.400048E-05	8.423898E-07
2.546048E+03	2.523617E-05	8.800973E-07
2.585830E+03	2.640515E-05	9.148350E-07
2.625612E+03	2.753243E-05	9.474959E-07
2.665394E+03	2.862644E-05	9.783850E-07
2.705176E+03	2.970871E-05	1.008244E-06
2.744958E+03	3.079631E-05	1.037646E-06
2.784740E+03	3.190637E-05	1.067148E-06
2.824522E+03	3.305637E-05	1.097303E-06
2.864304E+03	3.426454E-05	1.128670E-06
2.904086E+03	3.554477E-05	1.161648E-06
2.943868E+03	3.692920E-05	1.197212E-06
2.983650E+03	3.843000E-05	1.235659E-06
2.993595E+03	3.882785E-05	1.245853E-06
3.003541E+03	3.923504E-05	1.256285E-06
3.013486E+03	3.965813E-05	1.267161E-06
3.023432E+03	4.008649E-05	1.278140E-06
3.033377E+03	4.053039E-05	1.289548E-06
3.043323E+03	4.099432E-05	1.301523E-06
3.053268E+03	4.148409E-05	1.314246E-06
3.063214E+03	4.198659E-05	1.327296E-06
3.073159E+03	4.250780E-05	1.340859E-06
3.083105E+03	4.305406E-05	1.355131E-06
3.093050E+03	4.361880E-05	1.369900E-06
3.102996E+03	4.419525E-05	1.384949E-06
3.112941E+03	4.479681E-05	1.400696E-06
3.122887E+03	4.541697E-05	1.416931E-06
3.132832E+03	4.604895E-05	1.433440E-06
3.142778E+03	4.670694E-05	1.450660E-06
3.152723E+03	4.738437E-05	1.468382E-06
3.162669E+03	4.808169E-05	1.486615E-06
3.172614E+03	4.879944E-05	1.505373E-06
3.182560E+03	4.953819E-05	1.524667E-06
3.192505E+03	5.029864E-05	1.544515E-06
3.202451E+03	5.108153E-05	1.564935E-06
3.212396E+03	5.189546E-05	1.586183E-06
3.222342E+03	5.272591E-05	1.607812E-06
3.232287E+03	5.358152E-05	1.630079E-06
3.242233E+03	5.446337E-05	1.653012E-06
3.252178E+03	5.538086E-05	1.676890E-06
3.262124E+03	5.631885E-05	1.701247E-06
3.272069E+03	5.729536E-05	1.726622E-06
3.282015E+03	5.829488E-05	1.752539E-06
3.291960E+03	5.933613E-05	1.779556E-06
3.301906E+03	6.041224E-05	1.807457E-06
3.311851E+03	6.151590E-05	1.836017E-06
3.321797E+03	6.266697E-05	1.865819E-06
3.331742E+03	6.385851E-05	1.896649E-06
3.341688E+03	6.509266E-05	1.928559E-06
3.351633E+03	6.637169E-05	1.961608E-06
3.361579E+03	6.769797E-05	1.995856E-06
3.371524E+03	6.907408E-05	2.031366E-06
3.381470E+03	7.050271E-05	2.068209E-06
3.391415E+03	7.198680E-05	2.106457E-06
3.401361E+03	7.352939E-05	2.146187E-06
3.411306E+03	7.513373E-05	2.187481E-06
3.421252E+03	7.680326E-05	2.230425E-06
3.431197E+03	7.854162E-05	2.275109E-06
3.441143E+03	8.036429E-05	2.321965E-06
3.451088E+03	8.225231E-05	2.370429E-06
3.461034E+03	8.422129E-05	2.420933E-06
3.470979E+03	8.628806E-05	2.473944E-06
3.480925E+03	8.843270E-05	2.528869E-06
3.490870E+03	9.068511E-05	2.586543E-06
3.500816E+03	9.302452E-05	2.646352E-06
3.510761E+03	9.548242E-05	2.709170E-06
3.520707E+03	9.805113E-05	2.774753E-06
3.530652E+03	1.007220E-04	2.842831E-06
3.540598E+03	1.035292E-04	2.914349E-06
3.550543E+03	1.064656E-04	2.989068E-06
3.560489E+03	1.095231E-04	3.066737E-06
3.570434E+03	1.127408E-04	3.148421E-06
3.580380E+03	1.161111E-04	3.233872E-06
3.590325E+03	1.196370E-04	3.323139E-06
3.600271E+03	1.233215E-04	3.416274E-06
3.610216E+03	1.271504E-04	3.512845E-06
3.620162E+03	1.311626E-04	3.613895E-06
3.630107E+03	1.353446E-04	3.719014E-06
3.640053E+03	1.397004E-04	3.828271E-06
3.649998E+03	1.442335E-04	3.941724E-06
3.659944E+03	1.489470E-04	4.059421E-06
3.669889E+03	1.538437E-04	4.181398E-06
3.679835E+03	1.589478E-04	4.308268E-06
3.689780E+03	1.642174E-04	4.438854E-06
3.699726E+03	1.696747E-04	4.573718E-06
3.709671E+03	1.753198E-04	4.712822E-06
3.719617E+03	1.811523E-04	4.856113E-06
3.729562E+03	1.871706E-04	5.003504E-06
3.739507E+03	1.933988E-04	5.155601E-06
3.749453E+03	1.997816E-04	5.310884E-06
3.759398E+03	2.063403E-04	5.469888E-06
3.769344E+03	2.130697E-04	5.632432E-06
3.779289E+03	2.199934E-04	5.799103E-06
3.789235E+03	2.270446E-04	5.968102E-06
3.799180E+03	2.342436E-04	6.139935E-06
3.809126E+03	2.416134E-04	6.315168E-06
3.819071E+03	2.490776E-04	6.491777E-06
3.829017E+03	2.566556E-04	6.670243E-06
3.838962E+03	2.643693E-04	6.851109E-06
3.848908E+03	2.721328E-04	7.032128E-06
3.858853E+03	2.799646E-04	7.213765E-06
3.868799E+03	2.878853E-04	7.396536E-06
3.878744E+03	2.957997E-04	7.577987E-06
3.888690E+03	3.037664E-04	7.759613E-06
3.898635E+03	3.116841E-04	7.938825E-06
3.908581E+03	3.195712E-04	8.116106E-06
3.918526E+03	3.274491E-04	8.292000E-06
3.928472E+03	3.352091E-04	8.463775E-06
3.938417E+03	3.429173E-04	8.633116E-06
