#wls	flux	fluxerr
1.600000E+03	4.930013E-17	1.751809E-18
1.640000E+03	4.907753E-17	1.734118E-18
1.680000E+03	4.885244E-17	1.716212E-18
1.720000E+03	4.863337E-17	1.698389E-18
1.760000E+03	4.842860E-17	1.680934E-18
1.800000E+03	4.821945E-17	1.663194E-18
1.840000E+03	4.803194E-17	1.646063E-18
1.880000E+03	4.783877E-17	1.628598E-18
1.920000E+03	4.766560E-17	1.611670E-18
1.960000E+03	4.750281E-17	1.594944E-18
2.000000E+03	4.735824E-17	1.578674E-18
2.040000E+03	4.721410E-17	1.562258E-18
2.080000E+03	4.709514E-17	1.546509E-18
2.120000E+03	4.699213E-17	1.531108E-18
2.160000E+03	4.690447E-17	1.516024E-18
2.200000E+03	4.684792E-17	1.501750E-18
2.240000E+03	4.680564E-17	1.487725E-18
2.280000E+03	4.678547E-17	1.474187E-18
2.320000E+03	4.680296E-17	1.461601E-18
2.360000E+03	4.685000E-17	1.449686E-18
2.400000E+03	4.693447E-17	1.438657E-18
2.440000E+03	4.705671E-17	1.428491E-18
2.480000E+03	4.722497E-17	1.419403E-18
2.520000E+03	4.744771E-17	1.411601E-18
2.560000E+03	4.772635E-17	1.405076E-18
2.600000E+03	4.807029E-17	1.400048E-18
2.640000E+03	4.849656E-17	1.396945E-18
2.680000E+03	4.900152E-17	1.395580E-18
2.720000E+03	4.960400E-17	1.396405E-18
2.760000E+03	5.032369E-17	1.399868E-18
2.800000E+03	5.116794E-17	1.406050E-18
2.840000E+03	5.215985E-17	1.415447E-18
2.880000E+03	5.332471E-17	1.428580E-18
2.920000E+03	5.468408E-17	1.445833E-18
2.960000E+03	5.626998E-17	1.467832E-18
3.000000E+03	5.812588E-17	1.495448E-18
3.010000E+03	5.864261E-17	1.503466E-18
3.020000E+03	5.916818E-17	1.511605E-18
3.030000E+03	5.972307E-17	1.520383E-18
3.040000E+03	6.030126E-17	1.529640E-18
3.050000E+03	6.089671E-17	1.539217E-18
3.060000E+03	6.151675E-17	1.549294E-18
3.070000E+03	6.216210E-17	1.559881E-18
3.080000E+03	6.283350E-17	1.570991E-18
3.090000E+03	6.353842E-17	1.582802E-18
3.100000E+03	6.426440E-17	1.594995E-18
3.110000E+03	6.501897E-17	1.607752E-18
3.120000E+03	6.580981E-17	1.621253E-18
3.130000E+03	6.663125E-17	1.635348E-18
3.140000E+03	6.748434E-17	1.650056E-18
3.150000E+03	6.837696E-17	1.665559E-18
3.160000E+03	6.930362E-17	1.681713E-18
3.170000E+03	7.026555E-17	1.698538E-18
3.180000E+03	7.127091E-17	1.716222E-18
