#wls	flux	fluxerr
1.600000E+03	3.243138E-16	3.392295E-16
1.640000E+03	3.244158E-16	3.389877E-16
1.680000E+03	3.245677E-16	3.387485E-16
1.720000E+03	3.247630E-16	3.384982E-16
1.760000E+03	3.249952E-16	3.382222E-16
1.800000E+03	3.253594E-16	3.380109E-16
1.840000E+03	3.257964E-16	3.377926E-16
1.880000E+03	3.264494E-16	3.377042E-16
1.920000E+03	3.272575E-16	3.376694E-16
1.960000E+03	3.282604E-16	3.377139E-16
2.000000E+03	3.295944E-16	3.379604E-16
2.040000E+03	3.312935E-16	3.384227E-16
2.080000E+03	3.333419E-16	3.390603E-16
2.120000E+03	3.358195E-16	3.399267E-16
2.160000E+03	3.388500E-16	3.411141E-16
2.200000E+03	3.424584E-16	3.426085E-16
2.240000E+03	3.465752E-16	3.442957E-16
2.280000E+03	3.513177E-16	3.462415E-16
2.320000E+03	3.566170E-16	3.483191E-16
2.360000E+03	3.624528E-16	3.504436E-16
2.400000E+03	3.688964E-16	3.526097E-16
2.440000E+03	3.758431E-16	3.546336E-16
2.480000E+03	3.833266E-16	3.564554E-16
2.520000E+03	3.913414E-16	3.579670E-16
2.560000E+03	3.998884E-16	3.590549E-16
2.600000E+03	4.089769E-16	3.596013E-16
2.640000E+03	4.186673E-16	3.595186E-16
2.680000E+03	4.290292E-16	3.587095E-16
2.720000E+03	4.400639E-16	3.570012E-16
2.760000E+03	4.519103E-16	3.543152E-16
2.800000E+03	4.646835E-16	3.505274E-16
2.840000E+03	4.784814E-16	3.454750E-16
2.880000E+03	4.933898E-16	3.389653E-16
2.920000E+03	5.094893E-16	3.307862E-16
2.960000E+03	5.270530E-16	3.208361E-16
3.000000E+03	5.462813E-16	3.089474E-16
3.010000E+03	5.514088E-16	3.056732E-16
3.020000E+03	5.566896E-16	3.022827E-16
3.030000E+03	5.620909E-16	2.987535E-16
3.040000E+03	5.676565E-16	2.951049E-16
3.050000E+03	5.733923E-16	2.913355E-16
3.060000E+03	5.792664E-16	2.874250E-16
3.070000E+03	5.853617E-16	2.834112E-16
3.080000E+03	5.916087E-16	2.792563E-16
3.090000E+03	5.980911E-16	2.749970E-16
3.100000E+03	6.047400E-16	2.705989E-16
3.110000E+03	6.116399E-16	2.660981E-16
3.120000E+03	6.187994E-16	2.614960E-16
3.130000E+03	6.261890E-16	2.567789E-16
3.140000E+03	6.338180E-16	2.519514E-16
3.150000E+03	6.417346E-16	2.470343E-16
3.160000E+03	6.499492E-16	2.420336E-16
3.170000E+03	6.584727E-16	2.369569E-16
3.180000E+03	6.673163E-16	2.318136E-16
3.190000E+03	6.764920E-16	2.266152E-16
3.200000E+03	6.860119E-16	2.213754E-16
3.210000E+03	6.959279E-16	2.161222E-16
3.220000E+03	7.062141E-16	2.108612E-16
3.230000E+03	7.169628E-16	2.056363E-16
