spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	sdss_g_fitflux	sdss_g_fitfluxerr	sdss_g_inrange	sdss_i_fitflux	sdss_i_fitfluxerr	sdss_i_inrange	sdss_r_fitflux	sdss_r_fitfluxerr	sdss_r_inrange	sdss_u_fitflux	sdss_u_fitfluxerr	sdss_u_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN_2004gt_2004-12-18_13-53-45_Lick-3m_KAST_UCB-SNDB_0.flm	53357.58	5.369987544541143e-15	1.1013868954258496e-16	True	5.537293716010223e-15	6.176206467074495e-17	True	5.5369266168468145e-15	1.1439090063506365e-16	True	2.999821110250967e-15	3.976325566045198e-17	True	4.768371039388107e-15	6.660192696821479e-17	True	2.6545117352983175e-15	9.384749591341756e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-01-08_12-14-24_FLWO-1.5m_FAST_CfA-Stripped.flm	53378.51	2.017354675980135e-15	6.075735986691482e-17	True	3.186300092074768e-15	4.4604103852968973e-17	True	2.485992612118878e-15	6.776333200090025e-17	True	2.6397426812829297e-15	4.1085971243687976e-17	True	3.427264229648431e-15	6.365971175697823e-17	True	3.9637981752264783e-16	1.4652683221632613e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-01-11_12-14-24_Magellan-Clay_LDSS-2_CfA-Stripped.flm	53381.51	1.6880270034331586e-15	5.5060138579541106e-17	True	2.720794369294405e-15	3.4708829385764595e-17	True	2.062319838840643e-15	5.65752118625866e-17	True	2.38732383524051e-15	3.841848721509232e-17	True	2.9996636123111996e-15	4.536956112372561e-17	True	3.596390473136281e-16	1.3596633966417564e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-01-14_11-45-36_FLWO-1.5m_FAST_CfA-Stripped.flm	53384.49	1.4741627177804607e-15	7.426808843649256e-17	True	2.3092293191674342e-15	3.305691804000434e-17	True	1.7740295366774086e-15	4.1202335879751944e-17	True	2.115763185548387e-15	3.7044498111249745e-17	True	2.607033334291407e-15	3.800048270955399e-17	True	3.4623284143892813e-16	1.3119615645134224e-17	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-02-04_09-07-12_FLWO-1.5m_FAST_CfA-Stripped.flm	53405.38	1.019296820482534e-15	2.066959091035789e-17	True	1.4253780663515748e-15	4.96923908656058e-17	True	1.1416891641286499e-15	2.8865078732468275e-17	True	1.0955109770767581e-15	4.334448708098632e-17	True	1.4292829896653337e-15	1.2523356960675797e-17	True	2.412737474344452e-16	9.881066009152446e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-02-09_10-19-12_FLWO-1.5m_FAST_CfA-Stripped.flm	53410.43	9.237688650402116e-16	2.4280456894779212e-17	True	1.2676735985286037e-15	2.9651995223623556e-17	True	1.04074868082554e-15	2.6981084278470988e-17	True	9.88879877890043e-16	2.3108234174024368e-17	True	1.3030480255680995e-15	1.6255538632447966e-17	True	2.2030925959008634e-16	9.230040952603549e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN_2004gt_2005-02-12_14-09-36_Keck1_LRIS_UCB-SNDB_0.flm	53413.59	8.695647787015922e-16	1.7742311343637166e-17	True	1.2048782276059124e-15	2.8843434998213466e-17	True	9.83755039109387e-16	2.6022828283406827e-17	True	9.203547851190062e-16	1.394112175360672e-16	True	1.2378653723223012e-15	1.0558507836315956e-17	True	2.0812762702844375e-16	8.846185872257885e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-03-03_08-38-24_FLWO-1.5m_FAST_CfA-Stripped.flm	53432.36	6.05900124288577e-16	1.6766201552449877e-17	True	8.84431691721793e-16	2.16701071549552e-17	True	7.016995258710871e-16	1.992242010699083e-17	True	5.560253035374341e-16	9.442821245817762e-16	True	8.908354525807527e-16	9.974124526546246e-18	True	1.4845648588670295e-16	6.8633410521494115e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-03-14_08-24-00_FLWO-1.5m_FAST_CfA-Stripped.flm	53443.35	4.903953105841426e-16	1.7342611129163285e-17	True	7.380650184531728e-16	2.144177887057092e-17	True	5.757589689696062e-16	1.7076243067757732e-17	True	4.0956124427529396e-16	1.1328129702368098e-15	True	7.347604706963462e-16	1.0117659657508138e-17	True	1.218111622433488e-16	5.916068044740142e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-04-02_07-12-00_FLWO-1.5m_FAST_CfA-Stripped.flm	53462.3	3.402394364797501e-16	1.741524765036317e-17	True	5.451457323621306e-16	2.2200020436034143e-17	True	4.093592018119602e-16	1.30136958819806e-17	True	2.700959907509632e-16	9.24360689441482e-16	True	5.270895782483009e-16	1.0400142229358436e-17	True	8.660626006087153e-17	4.578315576205479e-18	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-05-04_05-45-36_FLWO-1.5m_FAST_CfA-Stripped.flm	53494.24	1.8390114982161977e-16	1.5301677183344398e-17	True	3.1445319496389633e-16	2.181152818376966e-17	True	2.3036746682825264e-16	8.248063991274974e-18	True	1.8683200952264383e-16	5.946330950335075e-16	True	3.011252285036435e-16	9.939684148517355e-18	True	4.697311256661254e-17	3.1756007484494945e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-05-14_07-40-48_FLWO-1.5m_FAST_CfA-Stripped.flm	53504.32	1.5169163905741567e-16	1.4378791840456262e-17	True	2.677025671141059e-16	2.111820431369882e-17	True	1.9214256562752528e-16	6.7794828611184236e-18	True	1.668195550425383e-16	4.790908405124611e-16	True	2.523734518844229e-16	8.954026146233218e-18	True	3.6858077252464443e-17	5.819274194925925e-16	False
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2004gt/SN2004gt_2005-06-09_00-00-00_Other_Other_None.flm	53530.0	9.254034401906233e-17	1.219247326481131e-17	True	1.7450809055078384e-16	1.8705230383915426e-17	True	5.304098677409831e-17	1.068868186367128e-15	False	1.0080554661389342e-16	9.297002715445862e-16	False	1.6093871234986566e-16	9.555282735602411e-18	True	1.4849549964150288e-17	1.3760219487981918e-15	False
