#wls	flux	fluxerr
1.568627E+03	2.260113E-04	1.381684E-06
1.607843E+03	2.268702E-04	1.385445E-06
1.647059E+03	2.277890E-04	1.389523E-06
1.686275E+03	2.287728E-04	1.393945E-06
1.725490E+03	2.298267E-04	1.398742E-06
1.764706E+03	2.309971E-04	1.404192E-06
1.803922E+03	2.322906E-04	1.410330E-06
1.843137E+03	2.336328E-04	1.416702E-06
1.882353E+03	2.351126E-04	1.423845E-06
1.921569E+03	2.367386E-04	1.431804E-06
1.960784E+03	2.384788E-04	1.440382E-06
2.000000E+03	2.403425E-04	1.449630E-06
2.039216E+03	2.423825E-04	1.459861E-06
2.078431E+03	2.445684E-04	1.470887E-06
2.117647E+03	2.469128E-04	1.482776E-06
2.156863E+03	2.495150E-04	1.496118E-06
2.196078E+03	2.522622E-04	1.510229E-06
2.235294E+03	2.552571E-04	1.525715E-06
2.274510E+03	2.584746E-04	1.542417E-06
2.313725E+03	2.619791E-04	1.560710E-06
2.352941E+03	2.657937E-04	1.580718E-06
2.392157E+03	2.698980E-04	1.602310E-06
2.431373E+03	2.743185E-04	1.625629E-06
2.470588E+03	2.791309E-04	1.651110E-06
2.509804E+03	2.843213E-04	1.678654E-06
2.549020E+03	2.899732E-04	1.708736E-06
2.588235E+03	2.961276E-04	1.741577E-06
2.627451E+03	3.027293E-04	1.776832E-06
2.666667E+03	3.099763E-04	1.815638E-06
2.705882E+03	3.178214E-04	1.857693E-06
2.745098E+03	3.263218E-04	1.903301E-06
2.784314E+03	3.355950E-04	1.953117E-06
2.823529E+03	3.457140E-04	2.007526E-06
2.862745E+03	3.567006E-04	2.066617E-06
2.901961E+03	3.686379E-04	2.130826E-06
2.941176E+03	3.816777E-04	2.200984E-06
2.950980E+03	3.851278E-04	2.219550E-06
2.960784E+03	3.886512E-04	2.238508E-06
2.970588E+03	3.922497E-04	2.257868E-06
2.980392E+03	3.959247E-04	2.277638E-06
2.990196E+03	3.996781E-04	2.297827E-06
3.000000E+03	4.035117E-04	2.318445E-06
3.009804E+03	4.074272E-04	2.339500E-06
3.019608E+03	4.114266E-04	2.361003E-06
3.029412E+03	4.155117E-04	2.382963E-06
3.039216E+03	4.196843E-04	2.405389E-06
3.049020E+03	4.239464E-04	2.428292E-06
3.058824E+03	4.283001E-04	2.451683E-06
3.068627E+03	4.328164E-04	2.475966E-06
3.078431E+03	4.373598E-04	2.500365E-06
3.088235E+03	4.420009E-04	2.525283E-06
3.098039E+03	4.467418E-04	2.550731E-06
3.107843E+03	4.516567E-04	2.577130E-06
3.117647E+03	4.566045E-04	2.603674E-06
3.127451E+03	4.616587E-04	2.630782E-06
3.137255E+03	4.668958E-04	2.658887E-06
3.147059E+03	4.721706E-04	2.687161E-06
3.156863E+03	4.776344E-04	2.716465E-06
3.166667E+03	4.831391E-04	2.745953E-06
3.176471E+03	4.887621E-04	2.776064E-06
3.186275E+03	4.945839E-04	2.807255E-06
3.196078E+03	5.005306E-04	2.839104E-06
3.205882E+03	5.065250E-04	2.871170E-06
3.215686E+03	5.127285E-04	2.904368E-06
3.225490E+03	5.189833E-04	2.937803E-06
3.235294E+03	5.254542E-04	2.972404E-06
3.245098E+03	5.320633E-04	3.007730E-06
3.254902E+03	5.387292E-04	3.043318E-06
3.264706E+03	5.456224E-04	3.080131E-06
3.274510E+03	5.526624E-04	3.117711E-06
3.284314E+03	5.598521E-04	3.156072E-06
3.294118E+03	5.671060E-04	3.194732E-06
3.303922E+03	5.746030E-04	3.234695E-06
3.313725E+03	5.822588E-04	3.275485E-06
3.323529E+03	5.900765E-04	3.317116E-06
3.333333E+03	5.980591E-04	3.359605E-06
3.343137E+03	6.062100E-04	3.402967E-06
3.352941E+03	6.145322E-04	3.447218E-06
3.362745E+03	6.229327E-04	3.491833E-06
3.372549E+03	6.316065E-04	3.537903E-06
3.382353E+03	6.404617E-04	3.584911E-06
3.392157E+03	6.495019E-04	3.632874E-06
3.401961E+03	6.587303E-04	3.681808E-06
3.411765E+03	6.681505E-04	3.731730E-06
3.421569E+03	6.778704E-04	3.783240E-06
3.431373E+03	6.876864E-04	3.835198E-06
3.441176E+03	6.977051E-04	3.888198E-06
3.450980E+03	7.079302E-04	3.942256E-06
3.460784E+03	7.183653E-04	3.997391E-06
3.470588E+03	7.290141E-04	4.053619E-06
3.480392E+03	7.398805E-04	4.110960E-06
3.490196E+03	7.509680E-04	4.169430E-06
3.500000E+03	7.623969E-04	4.229693E-06
3.509804E+03	7.739399E-04	4.290485E-06
3.519608E+03	7.857153E-04	4.352460E-06
3.529412E+03	7.977269E-04	4.415635E-06
3.539216E+03	8.099786E-04	4.480028E-06
3.549020E+03	8.225980E-04	4.546342E-06
3.558824E+03	8.353420E-04	4.613230E-06
3.568627E+03	8.483365E-04	4.681383E-06
3.578431E+03	8.617152E-04	4.751537E-06
3.588235E+03	8.752234E-04	4.822281E-06
3.598039E+03	8.889923E-04	4.894338E-06
3.607843E+03	9.031612E-04	4.968469E-06
3.617647E+03	9.174643E-04	5.043208E-06
3.627451E+03	9.320378E-04	5.119302E-06
3.637255E+03	9.470270E-04	5.197544E-06
3.647059E+03	9.621538E-04	5.276402E-06
3.656863E+03	9.775596E-04	5.356652E-06
3.666667E+03	9.933970E-04	5.439124E-06
3.676471E+03	1.009374E-03	5.522212E-06
3.686275E+03	1.025792E-03	5.607566E-06
3.696078E+03	1.042349E-03	5.693531E-06
3.705882E+03	1.059199E-03	5.780942E-06
3.715686E+03	1.076504E-03	5.870682E-06
3.725490E+03	1.093949E-03	5.961021E-06
3.735294E+03	1.111857E-03	6.053723E-06
3.745098E+03	1.129903E-03	6.147014E-06
3.754902E+03	1.148251E-03	6.241781E-06
3.764706E+03	1.167074E-03	6.338963E-06
3.774510E+03	1.186031E-03	6.436695E-06
3.784314E+03	1.205471E-03	6.536873E-06
3.794118E+03	1.225040E-03	6.637574E-06
3.803922E+03	1.245097E-03	6.740738E-06
3.813725E+03	1.265278E-03	6.844392E-06
3.823529E+03	1.285762E-03	6.949498E-06
3.833333E+03	1.306741E-03	7.057092E-06
3.843137E+03	1.327832E-03	7.165097E-06
3.852941E+03	1.349420E-03	7.275592E-06
3.862745E+03	1.371110E-03	7.386442E-06
3.872549E+03	1.393298E-03	7.499774E-06
3.882353E+03	1.415578E-03	7.613395E-06
3.892157E+03	1.438143E-03	7.728357E-06
3.901961E+03	1.461205E-03	7.845777E-06
3.911765E+03	1.484335E-03	7.963355E-06
3.921569E+03	1.507957E-03	8.083365E-06
3.931373E+03	1.531631E-03	8.203438E-06
