#wls	flux	fluxerr
1.568627E+03	1.976023E-03	5.459892E-05
1.607843E+03	2.000440E-03	5.490215E-05
1.647059E+03	2.023871E-03	5.516110E-05
1.686275E+03	2.045872E-03	5.536382E-05
1.725490E+03	2.066659E-03	5.551662E-05
1.764706E+03	2.085222E-03	5.559286E-05
1.803922E+03	2.101344E-03	5.558780E-05
1.843137E+03	2.113828E-03	5.547122E-05
1.882353E+03	2.121649E-03	5.521845E-05
1.921569E+03	2.124062E-03	5.481310E-05
1.960784E+03	2.121629E-03	5.427297E-05
2.000000E+03	2.117440E-03	5.367958E-05
2.039216E+03	2.117323E-03	5.318052E-05
2.078431E+03	2.131209E-03	5.301983E-05
2.117647E+03	2.168260E-03	5.341293E-05
2.156863E+03	2.233200E-03	5.445744E-05
2.196078E+03	2.324700E-03	5.609947E-05
2.235294E+03	2.437336E-03	5.818795E-05
2.274510E+03	2.565411E-03	6.057023E-05
2.313725E+03	2.705285E-03	6.314725E-05
2.352941E+03	2.854130E-03	6.584215E-05
2.392157E+03	3.011847E-03	6.864305E-05
2.431373E+03	3.178189E-03	7.153470E-05
2.470588E+03	3.354589E-03	7.453907E-05
2.509804E+03	3.541846E-03	7.766241E-05
2.549020E+03	3.741616E-03	8.092827E-05
2.588235E+03	3.955453E-03	8.435576E-05
2.627451E+03	4.185516E-03	8.797446E-05
2.666667E+03	4.432969E-03	9.179026E-05
2.705882E+03	4.700596E-03	9.584034E-05
2.745098E+03	4.990770E-03	1.001495E-04
2.784314E+03	5.306457E-03	1.047509E-04
2.823529E+03	5.651318E-03	1.096866E-04
2.862745E+03	6.030797E-03	1.150274E-04
2.901961E+03	6.451600E-03	1.208597E-04
2.941176E+03	6.922146E-03	1.272917E-04
2.950980E+03	7.048947E-03	1.290124E-04
2.960784E+03	7.179640E-03	1.307801E-04
2.970588E+03	7.314331E-03	1.325957E-04
2.980392E+03	7.453696E-03	1.344704E-04
2.990196E+03	7.597777E-03	1.364036E-04
3.000000E+03	7.747145E-03	1.384041E-04
3.009804E+03	7.901656E-03	1.404679E-04
3.019608E+03	8.062203E-03	1.426093E-04
3.029412E+03	8.228419E-03	1.448202E-04
3.039216E+03	8.400712E-03	1.471062E-04
3.049020E+03	8.579507E-03	1.494730E-04
3.058824E+03	8.764983E-03	1.519218E-04
3.068627E+03	8.957607E-03	1.544588E-04
3.078431E+03	9.157313E-03	1.570808E-04
3.088235E+03	9.364870E-03	1.597991E-04
3.098039E+03	9.580517E-03	1.626154E-04
3.107843E+03	9.804798E-03	1.655366E-04
3.117647E+03	1.003771E-02	1.685603E-04
3.127451E+03	1.027985E-02	1.716939E-04
3.137255E+03	1.053178E-02	1.749444E-04
3.147059E+03	1.079387E-02	1.783149E-04
3.156863E+03	1.106677E-02	1.818132E-04
