#wls	flux	fluxerr
1.600000E+03	8.781539E-18	3.429006E-19
1.640000E+03	8.725581E-18	3.393628E-19
1.680000E+03	8.672816E-18	3.359351E-19
1.720000E+03	8.623279E-18	3.326174E-19
1.760000E+03	8.577011E-18	3.294100E-19
1.800000E+03	8.532425E-18	3.262505E-19
1.840000E+03	8.494521E-18	3.233285E-19
1.880000E+03	8.460071E-18	3.205183E-19
1.920000E+03	8.432405E-18	3.179437E-19
1.960000E+03	8.409975E-18	3.155427E-19
2.000000E+03	8.394485E-18	3.133760E-19
2.040000E+03	8.387633E-18	3.115025E-19
2.080000E+03	8.387932E-18	3.098622E-19
2.120000E+03	8.397119E-18	3.085143E-19
2.160000E+03	8.415360E-18	3.074591E-19
2.200000E+03	8.442857E-18	3.066979E-19
2.240000E+03	8.481420E-18	3.062897E-19
2.280000E+03	8.529773E-18	3.061809E-19
2.320000E+03	8.589818E-18	3.064323E-19
2.360000E+03	8.661957E-18	3.070493E-19
2.400000E+03	8.745128E-18	3.079854E-19
2.440000E+03	8.841431E-18	3.093053E-19
2.480000E+03	8.951516E-18	3.110211E-19
2.520000E+03	9.076134E-18	3.131475E-19
2.560000E+03	9.214615E-18	3.156494E-19
2.600000E+03	9.369471E-18	3.186004E-19
2.640000E+03	9.541822E-18	3.220242E-19
2.680000E+03	9.731401E-18	3.258965E-19
2.720000E+03	9.942687E-18	3.303508E-19
2.760000E+03	1.017573E-17	3.353693E-19
2.800000E+03	1.043228E-17	3.409893E-19
2.840000E+03	1.071581E-17	3.473021E-19
2.880000E+03	1.102843E-17	3.543502E-19
2.920000E+03	1.137556E-17	3.622791E-19
2.960000E+03	1.176126E-17	3.711849E-19
3.000000E+03	1.218971E-17	3.811617E-19
3.010000E+03	1.230427E-17	3.838425E-19
3.020000E+03	1.242221E-17	3.866091E-19
3.030000E+03	1.254360E-17	3.894627E-19
3.040000E+03	1.266846E-17	3.924032E-19
3.050000E+03	1.279684E-17	3.954314E-19
3.060000E+03	1.292879E-17	3.985477E-19
3.070000E+03	1.306433E-17	4.017521E-19
3.080000E+03	1.320352E-17	4.050457E-19
3.090000E+03	1.334808E-17	4.084798E-19
3.100000E+03	1.349466E-17	4.119514E-19
3.110000E+03	1.364839E-17	4.156162E-19
3.120000E+03	1.380422E-17	4.193185E-19
3.130000E+03	1.396557E-17	4.231622E-19
3.140000E+03	1.413250E-17	4.271472E-19
3.150000E+03	1.430332E-17	4.312216E-19
3.160000E+03	1.447804E-17	4.353843E-19
3.170000E+03	1.466017E-17	4.397401E-19
3.180000E+03	1.484626E-17	4.441838E-19
3.190000E+03	1.503806E-17	4.487669E-19
3.200000E+03	1.523561E-17	4.534887E-19
3.210000E+03	1.544071E-17	4.584017E-19
3.220000E+03	1.564980E-17	4.633986E-19
3.230000E+03	1.586469E-17	4.685317E-19
3.240000E+03	1.608716E-17	4.738522E-19
3.250000E+03	1.631544E-17	4.793063E-19
3.260000E+03	1.655135E-17	4.849454E-19
3.270000E+03	1.679307E-17	4.907154E-19
3.280000E+03	1.704427E-17	4.967212E-19
3.290000E+03	1.729945E-17	5.028006E-19
3.300000E+03	1.756415E-17	5.091135E-19
3.310000E+03	1.783653E-17	5.156046E-19
3.320000E+03	1.811664E-17	5.222728E-19
3.330000E+03	1.840450E-17	5.291173E-19
3.340000E+03	1.870204E-17	5.361916E-19
3.350000E+03	1.900746E-17	5.434418E-19
3.360000E+03	1.932084E-17	5.508681E-19
3.370000E+03	1.964615E-17	5.585813E-19
3.380000E+03	1.997972E-17	5.664751E-19
3.390000E+03	2.032565E-17	5.746628E-19
3.400000E+03	2.068228E-17	5.830952E-19
3.410000E+03	2.105000E-17	5.917799E-19
3.420000E+03	2.142923E-17	6.007267E-19
3.430000E+03	2.182250E-17	6.100032E-19
3.440000E+03	2.223053E-17	6.196262E-19
3.450000E+03	2.265414E-17	6.296149E-19
