#wls	flux	fluxerr
1.570321E+03	4.831231E-18	1.538582E-19
1.609579E+03	4.967319E-18	1.572497E-19
1.648837E+03	5.093996E-18	1.602712E-19
1.688095E+03	5.210084E-18	1.628893E-19
1.727353E+03	5.313702E-18	1.650499E-19
1.766611E+03	5.401347E-18	1.666507E-19
1.805869E+03	5.465652E-18	1.674745E-19
1.845127E+03	5.499814E-18	1.673278E-19
1.884385E+03	5.495684E-18	1.659834E-19
1.923643E+03	5.447105E-18	1.632817E-19
1.962901E+03	5.354793E-18	1.592747E-19
2.002159E+03	5.234360E-18	1.544545E-19
2.041417E+03	5.120340E-18	1.498533E-19
2.080675E+03	5.064495E-18	1.469698E-19
2.119933E+03	5.120084E-18	1.472938E-19
2.159191E+03	5.321622E-18	1.517240E-19
2.198449E+03	5.671848E-18	1.602219E-19
2.237707E+03	6.147231E-18	1.720061E-19
2.276965E+03	6.713319E-18	1.860138E-19
2.316223E+03	7.336597E-18	2.012420E-19
2.355481E+03	7.993729E-18	2.169990E-19
2.394739E+03	8.670323E-18	2.328584E-19
2.433997E+03	9.361037E-18	2.486501E-19
2.473255E+03	1.006277E-17	2.642685E-19
2.512513E+03	1.078072E-17	2.798267E-19
2.551772E+03	1.151397E-17	2.952739E-19
2.591030E+03	1.226932E-17	3.107561E-19
2.630288E+03	1.304862E-17	3.262856E-19
2.669546E+03	1.385267E-17	3.418457E-19
2.708804E+03	1.468468E-17	3.574770E-19
2.748062E+03	1.554476E-17	3.731404E-19
2.787320E+03	1.642932E-17	3.887084E-19
2.826578E+03	1.733653E-17	4.040987E-19
2.865836E+03	1.826024E-17	4.191322E-19
2.905094E+03	1.919157E-17	4.335765E-19
2.944352E+03	2.012308E-17	4.472440E-19
2.954166E+03	2.035348E-17	4.504825E-19
2.963981E+03	2.058191E-17	4.536280E-19
2.973795E+03	2.081023E-17	4.567219E-19
2.983610E+03	2.103620E-17	4.597152E-19
2.993424E+03	2.126254E-17	4.626672E-19
3.003239E+03	2.148760E-17	4.655422E-19
3.013053E+03	2.171304E-17	4.683758E-19
3.022868E+03	2.193608E-17	4.711084E-19
3.032682E+03	2.215872E-17	4.737832E-19
3.042497E+03	2.237746E-17	4.763253E-19
3.052311E+03	2.259543E-17	4.788024E-19
3.062126E+03	2.281205E-17	4.812019E-19
3.071940E+03	2.302450E-17	4.834652E-19
3.081755E+03	2.323446E-17	4.856281E-19
3.091569E+03	2.344140E-17	4.876804E-19
3.101384E+03	2.364483E-17	4.896127E-19
3.111198E+03	2.384205E-17	4.913703E-19
3.121013E+03	2.403486E-17	4.929915E-19
3.130827E+03	2.422287E-17	4.944696E-19
3.140642E+03	2.440790E-17	4.958432E-19
3.150456E+03	2.458521E-17	4.970168E-19
3.160271E+03	2.475670E-17	4.980309E-19
3.170085E+03	2.492211E-17	4.988822E-19
3.179900E+03	2.508119E-17	4.995674E-19
3.189714E+03	2.523377E-17	5.000846E-19
3.199529E+03	2.538183E-17	5.004752E-19
3.209343E+03	2.552089E-17	5.006522E-19
3.219158E+03	2.565519E-17	5.007011E-19
3.228972E+03	2.578245E-17	5.005793E-19
3.238787E+03	2.590476E-17	5.003290E-19
3.248601E+03	2.601781E-17	4.998690E-19
3.258416E+03	2.612792E-17	4.993230E-19
3.268230E+03	2.622876E-17	4.985712E-19
3.278045E+03	2.632658E-17	4.977349E-19
3.287859E+03	2.641513E-17	4.966975E-19
3.297674E+03	2.650060E-17	4.955774E-19
3.307488E+03	2.657885E-17	4.942988E-19
3.317303E+03	2.665189E-17	4.929011E-19
3.327117E+03	2.671766E-17	4.913481E-19
3.336932E+03	2.677812E-17	4.896780E-19
3.346746E+03	2.683319E-17	4.878908E-19
3.356561E+03	2.688469E-17	4.860214E-19
3.366376E+03	2.692669E-17	4.839642E-19
3.376190E+03	2.696486E-17	4.818239E-19
3.386005E+03	2.699714E-17	4.795648E-19
3.395819E+03	2.702524E-17	4.772191E-19
3.405634E+03	2.704529E-17	4.747206E-19
3.415448E+03	2.705908E-17	4.721029E-19
3.425263E+03	2.706837E-17	4.693988E-19
3.435077E+03	2.707136E-17	4.665787E-19
3.444892E+03	2.706996E-17	4.636773E-19
3.454706E+03	2.706266E-17	4.606706E-19
3.464521E+03	2.704994E-17	4.575689E-19
3.474335E+03	2.703422E-17	4.544142E-19
3.484150E+03	2.701640E-17	4.512233E-19
3.493964E+03	2.699608E-17	4.479899E-19
3.503779E+03	2.697652E-17	4.447689E-19
3.513593E+03	2.695967E-17	4.415920E-19
3.523408E+03	2.694782E-17	4.384960E-19
3.533222E+03	2.694127E-17	4.354841E-19
3.543037E+03	2.694362E-17	4.326125E-19
3.552851E+03	2.695239E-17	4.298388E-19
3.562666E+03	2.697165E-17	4.272257E-19
3.572480E+03	2.700123E-17	4.247670E-19
3.582295E+03	2.704284E-17	4.224861E-19
3.592109E+03	2.709851E-17	4.204104E-19
3.601924E+03	2.717198E-17	4.185928E-19
3.611738E+03	2.726430E-17	4.170439E-19
3.621553E+03	2.737822E-17	4.157991E-19
3.631367E+03	2.751807E-17	4.149164E-19
3.641182E+03	2.768689E-17	4.144329E-19
3.650996E+03	2.788650E-17	4.143663E-19
3.660811E+03	2.812166E-17	4.147761E-19
3.670625E+03	2.839447E-17	4.156818E-19
3.680440E+03	2.870994E-17	4.171434E-19
3.690254E+03	2.907183E-17	4.192010E-19
3.700069E+03	2.948406E-17	4.218951E-19
3.709883E+03	2.995067E-17	4.252667E-19
3.719698E+03	3.047587E-17	4.293566E-19
3.729512E+03	3.106402E-17	4.342063E-19
3.739327E+03	3.171959E-17	4.398567E-19
3.749141E+03	3.244579E-17	4.463294E-19
3.758956E+03	3.325007E-17	4.537024E-19
3.768770E+03	3.413722E-17	4.620140E-19
3.778585E+03	3.510909E-17	4.712616E-19
3.788399E+03	3.617319E-17	4.815164E-19
3.798214E+03	3.733103E-17	4.927673E-19
3.808028E+03	3.859124E-17	5.050957E-19
3.817843E+03	3.995301E-17	5.184564E-19
3.827657E+03	4.142251E-17	5.328945E-19
3.837472E+03	4.300048E-17	5.483831E-19
3.847286E+03	4.468820E-17	5.649016E-19
3.857101E+03	4.648743E-17	5.824349E-19
3.866915E+03	4.839334E-17	6.008854E-19
3.876730E+03	5.040816E-17	6.202443E-19
3.886544E+03	5.252163E-17	6.403495E-19
3.896359E+03	5.473042E-17	6.611275E-19
3.906173E+03	5.702360E-17	6.824153E-19
3.915988E+03	5.938991E-17	7.040507E-19
3.925802E+03	6.181800E-17	7.258758E-19
3.935617E+03	6.428854E-17	7.476450E-19
3.945431E+03	6.678884E-17	7.691980E-19
3.955246E+03	6.929859E-17	7.902934E-19
3.965060E+03	7.179654E-17	8.106883E-19
3.974875E+03	7.426814E-17	8.302247E-19
3.984689E+03	7.668991E-17	8.486521E-19
3.994504E+03	7.904626E-17	8.658173E-19
4.004318E+03	8.132089E-17	8.815667E-19
4.014133E+03	8.349709E-17	8.957494E-19
4.023947E+03	8.556528E-17	9.082984E-19
4.033762E+03	8.751128E-17	9.191022E-19
4.043576E+03	8.933379E-17	9.281899E-19
4.053391E+03	9.102929E-17	9.355686E-19
4.063205E+03	9.258940E-17	9.411975E-19
4.073020E+03	9.402352E-17	9.452183E-19
4.082834E+03	9.533037E-17	9.476626E-19
4.092649E+03	9.651836E-17	9.486577E-19
4.102463E+03	9.759185E-17	9.482878E-19
4.112278E+03	9.855633E-17	9.466462E-19
4.122092E+03	9.942551E-17	9.439017E-19
4.131907E+03	1.002029E-16	9.401210E-19
4.141721E+03	1.008996E-16	9.354413E-19
4.151536E+03	1.015190E-16	9.299211E-19
4.161350E+03	1.020738E-16	9.237039E-19
4.171165E+03	1.025660E-16	9.168323E-19
4.180979E+03	1.030044E-16	9.094075E-19
4.190794E+03	1.033922E-16	9.014773E-19
4.200608E+03	1.037341E-16	8.931015E-19
4.210423E+03	1.040315E-16	8.843098E-19
4.220238E+03	1.042895E-16	8.751636E-19
4.230052E+03	1.045074E-16	8.656724E-19
4.239867E+03	1.046835E-16	8.558380E-19
4.249681E+03	1.048216E-16	8.457080E-19
4.259496E+03	1.049123E-16	8.352241E-19
4.269310E+03	1.049563E-16	8.244097E-19
4.279125E+03	1.049436E-16	8.132051E-19
4.288939E+03	1.048686E-16	8.015901E-19
4.298754E+03	1.047195E-16	7.894977E-19
4.308568E+03	1.044856E-16	7.768761E-19
4.318383E+03	1.041793E-16	7.638465E-19
4.328197E+03	1.038409E-16	7.507246E-19
4.338012E+03	1.035013E-16	7.377454E-19
4.347826E+03	1.031963E-16	7.251634E-19
4.357641E+03	1.029492E-16	7.131344E-19
4.367455E+03	1.027839E-16	7.018074E-19
4.377270E+03	1.027203E-16	6.912953E-19
4.387084E+03	1.027761E-16	6.816901E-19
4.396899E+03	1.029580E-16	6.730033E-19
4.406713E+03	1.032790E-16	6.652866E-19
4.416528E+03	1.037434E-16	6.585316E-19
4.426342E+03	1.043544E-16	6.527238E-19
4.436157E+03	1.051130E-16	6.478346E-19
4.445971E+03	1.060161E-16	6.438115E-19
4.455786E+03	1.070625E-16	6.406157E-19
4.465600E+03	1.082455E-16	6.381784E-19
4.475415E+03	1.095568E-16	6.364259E-19
4.485229E+03	1.109925E-16	6.353123E-19
4.495044E+03	1.125409E-16	6.347529E-19
4.504858E+03	1.141891E-16	6.346599E-19
4.514673E+03	1.159258E-16	6.349615E-19
4.524487E+03	1.177341E-16	6.355601E-19
4.534302E+03	1.195966E-16	6.363626E-19
4.544116E+03	1.214960E-16	6.372825E-19
4.553931E+03	1.234080E-16	6.382055E-19
4.563745E+03	1.253103E-16	6.390337E-19
4.573560E+03	1.271715E-16	6.396313E-19
4.583374E+03	1.289656E-16	6.398985E-19
4.593189E+03	1.306548E-16	6.396846E-19
4.603003E+03	1.322057E-16	6.388711E-19
4.612818E+03	1.335742E-16	6.372940E-19
4.622632E+03	1.347109E-16	6.347748E-19
4.632447E+03	1.355676E-16	6.311487E-19
4.642261E+03	1.361100E-16	6.263225E-19
4.652076E+03	1.363542E-16	6.204363E-19
4.661890E+03	1.363143E-16	6.136111E-19
4.671705E+03	1.360111E-16	6.059925E-19
4.681519E+03	1.354596E-16	5.976897E-19
4.691334E+03	1.346799E-16	5.888284E-19
4.701148E+03	1.336906E-16	5.795191E-19
4.710963E+03	1.325157E-16	5.698874E-19
4.720777E+03	1.311866E-16	5.600831E-19
4.730592E+03	1.297303E-16	5.502211E-19
4.740406E+03	1.281838E-16	5.404420E-19
4.750221E+03	1.265853E-16	5.308843E-19
4.760035E+03	1.249750E-16	5.216918E-19
4.769850E+03	1.233970E-16	5.130206E-19
4.779664E+03	1.218925E-16	5.050121E-19
4.789479E+03	1.205043E-16	4.978137E-19
4.799293E+03	1.192764E-16	4.915773E-19
4.809108E+03	1.182508E-16	4.864476E-19
4.818922E+03	1.174598E-16	4.825314E-19
4.828737E+03	1.169447E-16	4.799740E-19
4.838551E+03	1.167304E-16	4.788569E-19
4.848366E+03	1.168452E-16	4.792789E-19
4.858180E+03	1.173065E-16	4.812964E-19
4.867995E+03	1.181281E-16	4.849561E-19
4.877809E+03	1.193127E-16	4.902605E-19
4.887624E+03	1.208590E-16	4.971990E-19
4.897438E+03	1.227504E-16	5.057011E-19
4.907253E+03	1.249589E-16	5.156499E-19
4.917067E+03	1.274514E-16	5.269087E-19
4.926882E+03	1.301711E-16	5.392428E-19
4.936696E+03	1.330577E-16	5.524012E-19
4.946511E+03	1.360351E-16	5.660664E-19
4.956325E+03	1.390174E-16	5.798769E-19
4.966140E+03	1.419102E-16	5.934318E-19
4.975954E+03	1.446205E-16	6.063324E-19
4.985769E+03	1.470586E-16	6.181893E-19
4.995583E+03	1.491373E-16	6.286197E-19
5.005398E+03	1.507923E-16	6.373333E-19
5.015212E+03	1.519724E-16	6.440920E-19
5.025027E+03	1.526511E-16	6.487609E-19
5.034841E+03	1.528258E-16	6.513059E-19
5.044656E+03	1.525194E-16	6.518025E-19
5.054471E+03	1.517709E-16	6.503965E-19
5.064285E+03	1.506375E-16	6.473150E-19
5.074100E+03	1.491895E-16	6.428454E-19
5.083914E+03	1.475007E-16	6.372929E-19
5.093729E+03	1.456430E-16	6.309601E-19
5.103543E+03	1.436869E-16	6.241474E-19
5.113358E+03	1.416963E-16	6.171299E-19
5.123172E+03	1.397282E-16	6.101560E-19
5.132987E+03	1.378284E-16	6.034285E-19
5.142801E+03	1.360292E-16	5.970940E-19
5.152616E+03	1.343623E-16	5.912966E-19
5.162430E+03	1.328453E-16	5.861220E-19
5.172245E+03	1.314919E-16	5.816378E-19
5.182059E+03	1.303120E-16	5.778969E-19
5.191874E+03	1.293059E-16	5.749100E-19
5.201688E+03	1.284763E-16	5.726983E-19
5.211503E+03	1.278216E-16	5.712645E-19
5.221317E+03	1.273383E-16	5.706032E-19
5.231132E+03	1.270214E-16	5.707022E-19
5.240946E+03	1.268651E-16	5.715453E-19
5.250761E+03	1.268606E-16	5.731041E-19
5.260575E+03	1.270024E-16	5.753638E-19
5.270390E+03	1.272812E-16	5.782925E-19
5.280204E+03	1.276906E-16	5.818732E-19
5.290019E+03	1.282220E-16	5.860761E-19
5.299833E+03	1.288686E-16	5.908821E-19
5.309648E+03	1.296272E-16	5.962864E-19
5.319462E+03	1.304924E-16	6.022688E-19
5.329277E+03	1.314626E-16	6.088202E-19
5.339091E+03	1.325387E-16	6.159435E-19
5.348906E+03	1.337263E-16	6.236633E-19
5.358720E+03	1.350306E-16	6.320025E-19
5.368535E+03	1.364599E-16	6.409993E-19
5.378349E+03	1.380314E-16	6.507337E-19
5.388164E+03	1.397620E-16	6.612856E-19
5.397978E+03	1.416558E-16	6.726759E-19
5.407793E+03	1.436922E-16	6.848064E-19
5.417607E+03	1.458383E-16	6.975190E-19
5.427422E+03	1.480634E-16	7.106646E-19
5.437236E+03	1.503289E-16	7.240519E-19
5.447051E+03	1.526032E-16	7.375221E-19
5.456865E+03	1.548418E-16	7.508506E-19
5.466680E+03	1.570033E-16	7.638255E-19
5.476494E+03	1.590401E-16	7.762017E-19
5.486309E+03	1.609101E-16	7.877579E-19
5.496123E+03	1.625632E-16	7.982326E-19
5.505938E+03	1.639610E-16	8.074179E-19
5.515752E+03	1.650638E-16	8.150990E-19
5.525567E+03	1.658410E-16	8.211059E-19
5.535381E+03	1.662742E-16	8.253265E-19
5.545196E+03	1.663506E-16	8.276797E-19
5.555010E+03	1.660736E-16	8.281643E-19
5.564825E+03	1.654553E-16	8.268256E-19
5.574639E+03	1.645189E-16	8.237663E-19
5.584454E+03	1.632968E-16	8.191378E-19
5.594268E+03	1.618322E-16	8.131491E-19
5.604083E+03	1.601684E-16	8.060125E-19
5.613897E+03	1.583630E-16	7.980150E-19
5.623712E+03	1.564737E-16	7.894471E-19
5.633526E+03	1.545590E-16	7.806058E-19
5.643341E+03	1.526842E-16	7.718235E-19
5.653155E+03	1.509134E-16	7.634294E-19
5.662970E+03	1.493109E-16	7.557538E-19
5.672784E+03	1.479401E-16	7.491221E-19
5.682599E+03	1.468620E-16	7.438489E-19
5.692413E+03	1.461341E-16	7.402295E-19
5.702228E+03	1.458090E-16	7.385338E-19
5.712042E+03	1.459333E-16	7.389983E-19
5.721857E+03	1.465477E-16	7.418303E-19
5.731671E+03	1.476805E-16	7.471694E-19
5.741486E+03	1.493514E-16	7.551114E-19
5.751300E+03	1.515707E-16	7.657012E-19
5.761115E+03	1.543314E-16	7.788954E-19
5.770929E+03	1.576161E-16	7.945960E-19
5.780744E+03	1.613872E-16	8.126024E-19
5.790558E+03	1.655925E-16	8.326399E-19
5.800373E+03	1.701648E-16	8.543595E-19
5.810187E+03	1.750157E-16	8.773076E-19
5.820002E+03	1.800438E-16	9.009678E-19
5.829816E+03	1.851379E-16	9.247798E-19
5.839631E+03	1.901738E-16	9.481229E-19
5.849445E+03	1.950293E-16	9.703921E-19
5.859260E+03	1.995772E-16	9.909647E-19
5.869074E+03	2.037099E-16	1.009323E-18
5.878889E+03	2.073271E-16	1.024991E-18
5.888704E+03	2.103507E-16	1.037610E-18
5.898518E+03	2.127258E-16	1.046939E-18
5.908333E+03	2.144226E-16	1.052866E-18
5.918147E+03	2.154391E-16	1.055417E-18
5.927962E+03	2.157873E-16	1.054691E-18
5.937776E+03	2.155055E-16	1.050909E-18
5.947591E+03	2.146541E-16	1.044403E-18
5.957405E+03	2.132962E-16	1.035514E-18
5.967220E+03	2.115026E-16	1.024615E-18
5.977034E+03	2.093505E-16	1.012110E-18
5.986849E+03	2.069233E-16	9.984248E-19
5.996663E+03	2.042894E-16	9.839107E-19
6.006478E+03	2.015191E-16	9.689231E-19
6.016292E+03	1.986798E-16	9.538018E-19
6.026107E+03	1.958280E-16	9.388297E-19
6.035921E+03	1.930193E-16	9.242831E-19
6.045736E+03	1.903098E-16	9.104401E-19
6.055550E+03	1.877522E-16	8.975590E-19
6.065365E+03	1.854094E-16	8.859480E-19
6.075179E+03	1.833444E-16	8.759148E-19
6.084994E+03	1.815853E-16	8.676015E-19
6.094808E+03	1.800757E-16	8.607482E-19
6.104623E+03	1.787701E-16	8.551472E-19
6.114437E+03	1.776362E-16	8.506564E-19
6.124252E+03	1.766513E-16	8.471784E-19
6.134066E+03	1.758011E-16	8.446573E-19
6.143881E+03	1.750673E-16	8.430177E-19
6.153695E+03	1.744429E-16	8.422389E-19
6.163510E+03	1.739136E-16	8.422573E-19
6.173324E+03	1.734670E-16	8.430035E-19
6.183139E+03	1.730898E-16	8.444023E-19
6.192953E+03	1.727683E-16	8.463742E-19
6.202768E+03	1.724908E-16	8.488503E-19
6.212582E+03	1.722412E-16	8.517384E-19
6.222397E+03	1.720073E-16	8.549649E-19
6.232211E+03	1.717789E-16	8.584639E-19
6.242026E+03	1.715509E-16	8.621956E-19
6.251840E+03	1.713170E-16	8.661113E-19
6.261655E+03	1.710763E-16	8.701915E-19
6.271469E+03	1.708345E-16	8.744490E-19
6.281284E+03	1.705980E-16	8.789010E-19
6.291098E+03	1.703734E-16	8.835680E-19
6.300913E+03	1.701750E-16	8.885100E-19
6.310727E+03	1.700157E-16	8.937844E-19
6.320542E+03	1.699072E-16	8.994422E-19
6.330356E+03	1.698662E-16	9.055654E-19
6.340171E+03	1.699069E-16	9.122241E-19
6.349985E+03	1.700426E-16	9.194872E-19
