#wls	flux	fluxerr
1.600000E+03	5.594864E-17	1.774929E-21
1.640000E+03	5.825119E-17	1.847975E-21
1.680000E+03	6.076574E-17	1.927747E-21
1.720000E+03	6.350162E-17	2.014541E-21
1.760000E+03	6.649166E-17	2.109398E-21
1.800000E+03	6.976437E-17	2.213222E-21
1.840000E+03	7.335133E-17	2.327015E-21
1.880000E+03	7.728753E-17	2.451888E-21
1.920000E+03	8.160353E-17	2.588810E-21
1.960000E+03	8.635022E-17	2.739395E-21
2.000000E+03	9.158416E-17	2.905437E-21
2.040000E+03	9.735941E-17	3.088652E-21
2.080000E+03	1.037360E-16	3.290945E-21
2.120000E+03	1.108097E-16	3.515353E-21
2.160000E+03	1.186878E-16	3.765277E-21
2.200000E+03	1.274900E-16	4.044521E-21
2.240000E+03	1.374045E-16	4.359052E-21
2.280000E+03	1.486217E-16	4.714909E-21
2.320000E+03	1.613328E-16	5.118157E-21
2.360000E+03	1.757281E-16	5.574836E-21
2.400000E+03	1.919686E-16	6.090052E-21
2.440000E+03	2.103067E-16	6.671815E-21
2.480000E+03	2.309530E-16	7.326801E-21
2.520000E+03	2.542026E-16	8.064378E-21
2.560000E+03	2.803300E-16	8.893247E-21
2.600000E+03	3.096835E-16	9.824464E-21
2.640000E+03	3.425781E-16	1.086802E-20
2.680000E+03	3.793419E-16	1.203432E-20
2.720000E+03	4.202659E-16	1.333260E-20
2.760000E+03	4.656126E-16	1.477119E-20
2.800000E+03	5.154849E-16	1.635334E-20
2.840000E+03	5.699437E-16	1.808100E-20
2.880000E+03	6.288138E-16	1.994861E-20
2.920000E+03	6.918141E-16	2.194724E-20
2.960000E+03	7.583965E-16	2.405951E-20
3.000000E+03	8.277147E-16	2.625857E-20
3.010000E+03	8.453385E-16	2.681768E-20
3.020000E+03	8.630015E-16	2.737802E-20
3.030000E+03	8.806881E-16	2.793911E-20
3.040000E+03	8.983802E-16	2.850038E-20
3.050000E+03	9.160331E-16	2.906040E-20
3.060000E+03	9.335990E-16	2.961766E-20
3.070000E+03	9.510759E-16	3.017210E-20
3.080000E+03	9.683862E-16	3.072126E-20
3.090000E+03	9.854741E-16	3.126336E-20
3.100000E+03	1.002330E-15	3.179809E-20
3.110000E+03	1.018892E-15	3.232352E-20
3.120000E+03	1.035124E-15	3.283844E-20
3.130000E+03	1.050909E-15	3.333922E-20
3.140000E+03	1.066280E-15	3.382685E-20
3.150000E+03	1.081118E-15	3.429759E-20
3.160000E+03	1.095383E-15	3.475011E-20
3.170000E+03	1.109026E-15	3.518293E-20
3.180000E+03	1.121980E-15	3.559389E-20
3.190000E+03	1.134200E-15	3.598156E-20
3.200000E+03	1.145618E-15	3.634379E-20
3.210000E+03	1.156191E-15	3.667922E-20
3.220000E+03	1.165859E-15	3.698590E-20
3.230000E+03	1.174581E-15	3.726260E-20
3.240000E+03	1.182302E-15	3.750755E-20
3.250000E+03	1.188968E-15	3.771904E-20
3.260000E+03	1.194555E-15	3.789627E-20
3.270000E+03	1.199019E-15	3.803788E-20
3.280000E+03	1.202345E-15	3.814341E-20
3.290000E+03	1.204505E-15	3.821191E-20
3.300000E+03	1.205472E-15	3.824258E-20
3.310000E+03	1.205231E-15	3.823496E-20
3.320000E+03	1.203796E-15	3.818943E-20
3.330000E+03	1.201164E-15	3.810592E-20
3.340000E+03	1.197342E-15	3.798467E-20
