#wls	flux	fluxerr
1.600000E+03	4.627488E-17	8.991587E-19
1.640000E+03	4.746910E-17	9.170032E-19
1.680000E+03	4.876035E-17	9.363203E-19
1.720000E+03	5.016469E-17	9.573712E-19
1.760000E+03	5.170770E-17	9.805893E-19
1.800000E+03	5.339315E-17	1.005981E-18
1.840000E+03	5.525043E-17	1.034031E-18
1.880000E+03	5.729504E-17	1.064945E-18
1.920000E+03	5.955320E-17	1.099117E-18
1.960000E+03	6.205424E-17	1.136981E-18
2.000000E+03	6.484059E-17	1.179190E-18
2.040000E+03	6.795039E-17	1.226291E-18
2.080000E+03	7.143681E-17	1.279074E-18
2.120000E+03	7.536034E-17	1.338422E-18
2.160000E+03	7.977902E-17	1.405135E-18
2.200000E+03	8.475902E-17	1.480111E-18
2.240000E+03	9.037603E-17	1.564364E-18
2.280000E+03	9.672852E-17	1.659242E-18
2.320000E+03	1.039042E-16	1.765838E-18
2.360000E+03	1.120164E-16	1.885605E-18
2.400000E+03	1.211803E-16	2.019944E-18
2.440000E+03	1.315273E-16	2.170424E-18
2.480000E+03	1.432215E-16	2.339047E-18
2.520000E+03	1.564496E-16	2.528047E-18
2.560000E+03	1.713722E-16	2.739088E-18
2.600000E+03	1.882381E-16	2.975092E-18
2.640000E+03	2.072902E-16	3.238678E-18
2.680000E+03	2.287961E-16	3.532646E-18
2.720000E+03	2.531126E-16	3.860925E-18
2.760000E+03	2.805166E-16	4.225937E-18
2.800000E+03	3.114101E-16	4.631718E-18
2.840000E+03	3.461060E-16	5.080643E-18
2.880000E+03	3.848830E-16	5.574312E-18
2.920000E+03	4.279717E-16	6.113376E-18
2.960000E+03	4.754945E-16	6.696738E-18
3.000000E+03	5.273675E-16	7.320304E-18
3.010000E+03	5.409674E-16	7.481472E-18
3.020000E+03	5.548029E-16	7.644432E-18
3.030000E+03	5.688938E-16	7.809414E-18
3.040000E+03	5.831863E-16	7.975639E-18
3.050000E+03	5.976579E-16	8.142766E-18
3.060000E+03	6.122829E-16	8.310415E-18
3.070000E+03	6.270694E-16	8.478667E-18
3.080000E+03	6.419851E-16	8.647061E-18
3.090000E+03	6.569548E-16	8.814561E-18
3.100000E+03	6.719751E-16	8.981114E-18
3.110000E+03	6.870004E-16	9.146098E-18
3.120000E+03	7.019801E-16	9.308840E-18
3.130000E+03	7.168588E-16	9.468614E-18
3.140000E+03	7.316176E-16	9.625182E-18
3.150000E+03	7.461517E-16	9.777191E-18
3.160000E+03	7.603926E-16	9.923778E-18
3.170000E+03	7.743098E-16	1.006459E-17
3.180000E+03	7.878296E-16	1.019872E-17
3.190000E+03	8.009170E-16	1.032579E-17
3.200000E+03	8.134087E-16	1.044376E-17
3.210000E+03	8.253110E-16	1.055282E-17
3.220000E+03	8.365032E-16	1.065150E-17
3.230000E+03	8.469501E-16	1.073949E-17
3.240000E+03	8.565789E-16	1.081598E-17
3.250000E+03	8.653178E-16	1.088020E-17
3.260000E+03	8.731431E-16	1.093201E-17
3.270000E+03	8.799500E-16	1.097023E-17
3.280000E+03	8.857251E-16	1.099486E-17
3.290000E+03	8.904166E-16	1.100545E-17
3.300000E+03	8.940210E-16	1.100211E-17
3.310000E+03	8.964571E-16	1.098403E-17
3.320000E+03	8.977314E-16	1.095149E-17
3.330000E+03	8.978140E-16	1.090430E-17
3.340000E+03	8.967178E-16	1.084283E-17
3.350000E+03	8.943806E-16	1.076651E-17
3.360000E+03	8.908612E-16	1.067625E-17
3.370000E+03	8.861036E-16	1.057158E-17
3.380000E+03	8.801323E-16	1.045300E-17
3.390000E+03	8.729358E-16	1.032056E-17
3.400000E+03	8.645452E-16	1.017484E-17
3.410000E+03	8.549596E-16	1.001602E-17
3.420000E+03	8.441871E-16	9.844396E-18
3.430000E+03	8.322811E-16	9.660778E-18
3.440000E+03	8.193032E-16	9.466065E-18
3.450000E+03	8.052695E-16	9.260619E-18
3.460000E+03	7.903100E-16	9.046102E-18
3.470000E+03	7.744856E-16	8.823360E-18
3.480000E+03	7.579696E-16	8.594498E-18
3.490000E+03	7.409316E-16	8.361545E-18
3.500000E+03	7.234940E-16	8.125962E-18
3.510000E+03	7.059403E-16	7.890984E-18
3.520000E+03	6.884837E-16	7.659001E-18
3.530000E+03	6.714191E-16	7.433262E-18
3.540000E+03	6.550281E-16	7.216811E-18
3.550000E+03	6.396890E-16	7.013685E-18
3.560000E+03	6.257035E-16	6.827009E-18
3.570000E+03	6.134542E-16	6.660722E-18
3.580000E+03	6.033190E-16	6.518630E-18
3.590000E+03	5.954876E-16	6.402432E-18
3.600000E+03	5.899701E-16	6.311870E-18
3.610000E+03	5.864330E-16	6.243024E-18
3.620000E+03	5.844361E-16	6.190916E-18
3.630000E+03	5.834637E-16	6.149867E-18
3.640000E+03	5.830543E-16	6.114875E-18
3.650000E+03	5.828174E-16	6.081775E-18
3.660000E+03	5.824216E-16	6.047100E-18
3.670000E+03	5.815668E-16	6.007775E-18
3.680000E+03	5.800456E-16	5.961743E-18
3.690000E+03	5.777002E-16	5.907491E-18
3.700000E+03	5.744529E-16	5.844360E-18
3.710000E+03	5.702785E-16	5.772236E-18
3.720000E+03	5.652333E-16	5.691828E-18
3.730000E+03	5.594377E-16	5.604479E-18
3.740000E+03	5.530483E-16	5.511864E-18
3.750000E+03	5.463031E-16	5.416436E-18
3.760000E+03	5.394876E-16	5.321064E-18
3.770000E+03	5.329362E-16	5.229037E-18
3.780000E+03	5.269651E-16	5.143402E-18
3.790000E+03	5.219567E-16	5.067781E-18
3.800000E+03	5.182813E-16	5.005603E-18
3.810000E+03	5.163337E-16	4.960454E-18
3.820000E+03	5.164724E-16	4.935498E-18
3.830000E+03	5.190797E-16	4.934051E-18
3.840000E+03	5.245144E-16	4.959133E-18
3.850000E+03	5.331368E-16	5.013705E-18
3.860000E+03	5.453321E-16	5.100891E-18
3.870000E+03	5.614707E-16	5.223603E-18
3.880000E+03	5.819177E-16	5.384632E-18
3.890000E+03	6.070381E-16	5.586699E-18
3.900000E+03	6.371429E-16	5.831963E-18
3.910000E+03	6.724863E-16	6.122004E-18
3.920000E+03	7.132447E-16	6.457657E-18
3.930000E+03	7.594163E-16	6.838120E-18
3.940000E+03	8.107656E-16	7.260505E-18
3.950000E+03	8.667620E-16	7.719348E-18
3.960000E+03	9.264664E-16	8.205676E-18
3.970000E+03	9.885371E-16	8.707163E-18
3.980000E+03	1.051195E-15	9.207909E-18
3.990000E+03	1.112318E-15	9.689390E-18
4.000000E+03	1.169564E-15	1.013158E-17
4.010000E+03	1.220560E-15	1.051463E-17
4.020000E+03	1.263066E-15	1.082029E-17
4.030000E+03	1.295319E-15	1.103480E-17
4.040000E+03	1.316070E-15	1.114907E-17
4.050000E+03	1.324811E-15	1.116048E-17
4.060000E+03	1.321759E-15	1.107257E-17
4.070000E+03	1.307836E-15	1.089469E-17
4.080000E+03	1.284509E-15	1.064053E-17
4.090000E+03	1.253658E-15	1.032687E-17
4.100000E+03	1.217385E-15	9.971963E-18
4.110000E+03	1.177785E-15	9.593609E-18
4.120000E+03	1.136867E-15	9.208524E-18
4.130000E+03	1.096336E-15	8.830579E-18
4.140000E+03	1.057580E-15	8.470831E-18
4.150000E+03	1.021659E-15	8.137449E-18
4.160000E+03	9.892844E-16	7.835669E-18
4.170000E+03	9.609192E-16	7.568646E-18
4.180000E+03	9.367883E-16	7.337590E-18
4.190000E+03	9.169147E-16	7.142113E-18
4.200000E+03	9.012276E-16	6.981099E-18
4.210000E+03	8.895303E-16	6.852487E-18
4.220000E+03	8.815562E-16	6.753717E-18
4.230000E+03	8.769326E-16	6.681480E-18
4.240000E+03	8.752661E-16	6.632375E-18
4.250000E+03	8.760406E-16	6.602151E-18
4.260000E+03	8.787321E-16	6.586592E-18
4.270000E+03	8.827413E-16	6.581006E-18
4.280000E+03	8.874802E-16	6.580890E-18
4.290000E+03	8.923556E-16	6.581798E-18
4.300000E+03	8.967604E-16	6.579277E-18
4.310000E+03	9.001359E-16	6.569320E-18
4.320000E+03	9.019096E-16	6.547907E-18
4.330000E+03	9.016126E-16	6.511847E-18
4.340000E+03	8.987519E-16	6.457843E-18
4.350000E+03	8.929633E-16	6.383582E-18
4.360000E+03	8.840102E-16	6.287705E-18
4.370000E+03	8.718000E-16	6.169889E-18
4.380000E+03	8.564267E-16	6.031122E-18
4.390000E+03	8.382059E-16	5.873920E-18
4.400000E+03	8.176733E-16	5.702286E-18
4.410000E+03	7.955187E-16	5.521206E-18
4.420000E+03	7.726028E-16	5.336753E-18
4.430000E+03	7.498701E-16	5.155459E-18
4.440000E+03	7.282916E-16	4.983914E-18
4.450000E+03	7.087946E-16	4.828289E-18
4.460000E+03	6.922183E-16	4.694049E-18
4.470000E+03	6.792773E-16	4.585721E-18
4.480000E+03	6.705187E-16	4.506632E-18
4.490000E+03	6.663301E-16	4.458987E-18
4.500000E+03	6.669591E-16	4.444029E-18
4.510000E+03	6.725652E-16	4.462402E-18
4.520000E+03	6.831981E-16	4.514019E-18
4.530000E+03	6.988137E-16	4.598190E-18
4.540000E+03	7.192747E-16	4.713633E-18
4.550000E+03	7.442650E-16	4.857927E-18
4.560000E+03	7.733034E-16	5.027628E-18
4.570000E+03	8.057277E-16	5.218181E-18
4.580000E+03	8.406617E-16	5.423726E-18
4.590000E+03	8.769829E-16	5.636920E-18
4.600000E+03	9.133651E-16	5.849224E-18
4.610000E+03	9.482175E-16	6.050542E-18
4.620000E+03	9.798731E-16	6.230435E-18
4.630000E+03	1.006712E-15	6.378906E-18
4.640000E+03	1.027388E-15	6.487810E-18
4.650000E+03	1.040948E-15	6.551592E-18
4.660000E+03	1.046968E-15	6.568050E-18
4.670000E+03	1.045599E-15	6.538608E-18
4.680000E+03	1.037549E-15	6.468124E-18
4.690000E+03	1.024005E-15	6.364354E-18
4.700000E+03	1.006549E-15	6.237382E-18
4.710000E+03	9.867184E-16	6.096912E-18
4.720000E+03	9.657476E-16	5.950632E-18
4.730000E+03	9.443178E-16	5.802745E-18
4.740000E+03	9.225742E-16	5.654115E-18
4.750000E+03	9.002681E-16	5.503192E-18
4.760000E+03	8.769699E-16	5.347339E-18
4.770000E+03	8.523082E-16	5.184295E-18
4.780000E+03	8.261133E-16	5.013048E-18
4.790000E+03	7.984893E-16	4.834248E-18
4.800000E+03	7.698099E-16	4.650164E-18
4.810000E+03	7.406132E-16	4.464040E-18
4.820000E+03	7.115794E-16	4.279940E-18
4.830000E+03	6.834096E-16	4.102026E-18
4.840000E+03	6.568159E-16	3.934489E-18
4.850000E+03	6.324078E-16	3.780881E-18
4.860000E+03	6.107052E-16	3.644193E-18
4.870000E+03	5.921082E-16	3.526688E-18
4.880000E+03	5.768593E-16	3.429680E-18
4.890000E+03	5.650809E-16	3.353767E-18
4.900000E+03	5.567600E-16	3.298746E-18
4.910000E+03	5.517542E-16	3.263659E-18
4.920000E+03	5.498175E-16	3.246943E-18
