#wls	flux	fluxerr
1.600000E+03	3.556468E-17	2.774773E-17
1.640000E+03	3.718539E-17	2.887298E-17
1.680000E+03	3.895650E-17	3.009057E-17
1.720000E+03	4.089787E-17	3.141150E-17
1.760000E+03	4.302266E-17	3.284082E-17
1.800000E+03	4.536311E-17	3.439723E-17
1.840000E+03	4.793206E-17	3.608348E-17
1.880000E+03	5.076230E-17	3.791621E-17
1.920000E+03	5.388055E-17	3.990588E-17
1.960000E+03	5.732125E-17	4.206696E-17
2.000000E+03	6.111749E-17	4.441083E-17
2.040000E+03	6.531106E-17	4.695284E-17
2.080000E+03	6.994285E-17	4.970491E-17
2.120000E+03	7.506353E-17	5.268280E-17
2.160000E+03	8.071762E-17	5.589433E-17
2.200000E+03	8.696565E-17	5.935447E-17
2.240000E+03	9.386802E-17	6.307340E-17
2.280000E+03	1.015096E-16	6.707240E-17
2.320000E+03	1.099900E-16	7.137586E-17
2.360000E+03	1.194120E-16	7.600233E-17
2.400000E+03	1.299084E-16	8.098085E-17
2.440000E+03	1.416165E-16	8.633295E-17
2.480000E+03	1.546843E-16	9.207538E-17
2.520000E+03	1.692689E-16	9.821826E-17
2.560000E+03	1.855260E-16	1.047582E-16
2.600000E+03	2.036300E-16	1.116893E-16
2.640000E+03	2.237352E-16	1.189818E-16
2.680000E+03	2.459727E-16	1.265819E-16
2.720000E+03	2.704553E-16	1.344174E-16
2.760000E+03	2.972209E-16	1.423724E-16
2.800000E+03	3.262248E-16	1.502921E-16
2.840000E+03	3.572981E-16	1.579710E-16
2.880000E+03	3.901206E-16	1.651527E-16
2.920000E+03	4.242974E-16	1.715725E-16
2.960000E+03	4.593213E-16	1.769456E-16
3.000000E+03	4.945448E-16	1.809618E-16
3.010000E+03	5.032801E-16	1.817111E-16
3.020000E+03	5.119694E-16	1.823512E-16
3.030000E+03	5.205659E-16	1.828654E-16
3.040000E+03	5.290829E-16	1.832584E-16
3.050000E+03	5.374837E-16	1.835177E-16
3.060000E+03	5.457428E-16	1.836351E-16
3.070000E+03	5.538460E-16	1.836064E-16
3.080000E+03	5.617783E-16	1.834274E-16
3.090000E+03	5.694995E-16	1.830861E-16
3.100000E+03	5.770052E-16	1.825826E-16
3.110000E+03	5.842541E-16	1.819051E-16
3.120000E+03	5.912287E-16	1.810504E-16
3.130000E+03	5.979111E-16	1.800153E-16
3.140000E+03	6.042713E-16	1.787932E-16
3.150000E+03	6.102674E-16	1.773748E-16
3.160000E+03	6.159058E-16	1.757656E-16
3.170000E+03	6.211334E-16	1.739543E-16
3.180000E+03	6.259455E-16	1.719439E-16
3.190000E+03	6.303147E-16	1.697318E-16
3.200000E+03	6.342146E-16	1.673162E-16
3.210000E+03	6.376206E-16	1.646966E-16
3.220000E+03	6.405321E-16	1.618794E-16
3.230000E+03	6.429163E-16	1.588633E-16
3.240000E+03	6.447541E-16	1.556511E-16
3.250000E+03	6.460398E-16	1.522499E-16
3.260000E+03	6.467694E-16	1.486674E-16
3.270000E+03	6.469204E-16	1.449077E-16
3.280000E+03	6.464941E-16	1.409812E-16
3.290000E+03	6.454845E-16	1.368970E-16
3.300000E+03	6.438981E-16	1.326675E-16
3.310000E+03	6.417246E-16	1.283018E-16
3.320000E+03	6.389671E-16	1.238128E-16
3.330000E+03	6.356505E-16	1.192176E-16
3.340000E+03	6.317643E-16	1.145268E-16
3.350000E+03	6.273295E-16	1.097574E-16
3.360000E+03	6.223687E-16	1.049267E-16
3.370000E+03	6.168810E-16	1.000479E-16
3.380000E+03	6.109019E-16	9.514048E-17
3.390000E+03	6.044352E-16	9.021884E-17
3.400000E+03	5.975036E-16	8.530027E-17
3.410000E+03	5.901382E-16	8.040313E-17
3.420000E+03	5.823556E-16	7.554342E-17
3.430000E+03	5.741807E-16	7.073810E-17
3.440000E+03	5.656246E-16	6.600226E-17
3.450000E+03	5.567199E-16	6.135345E-17
3.460000E+03	5.474851E-16	5.680733E-17
3.470000E+03	5.379324E-16	5.237910E-17
3.480000E+03	5.280871E-16	4.808567E-17
3.490000E+03	5.179624E-16	4.394348E-17
3.500000E+03	5.075781E-16	3.997102E-17
3.510000E+03	4.969551E-16	3.618898E-17
3.520000E+03	4.861060E-16	3.262063E-17
3.530000E+03	4.750481E-16	2.929417E-17
3.540000E+03	4.638011E-16	2.624363E-17
3.550000E+03	4.523896E-16	2.350969E-17
3.560000E+03	4.408510E-16	2.113897E-17
3.570000E+03	4.292359E-16	1.917912E-17
3.580000E+03	4.176005E-16	1.766751E-17
3.590000E+03	4.059981E-16	1.661294E-17
3.600000E+03	3.944665E-16	1.597770E-17
3.610000E+03	3.830044E-16	1.567716E-17
3.620000E+03	3.716160E-16	1.560442E-17
3.630000E+03	3.603302E-16	1.565703E-17
3.640000E+03	3.491840E-16	1.575158E-17
3.650000E+03	3.382347E-16	1.582857E-17
3.660000E+03	3.275487E-16	1.585003E-17
3.670000E+03	3.172014E-16	1.579536E-17
3.680000E+03	3.072686E-16	1.565644E-17
3.690000E+03	2.978255E-16	1.543392E-17
3.700000E+03	2.889586E-16	1.513488E-17
3.710000E+03	2.807421E-16	1.476944E-17
3.720000E+03	2.732607E-16	1.435043E-17
3.730000E+03	2.665960E-16	1.389148E-17
3.740000E+03	2.608339E-16	1.340668E-17
3.750000E+03	2.560623E-16	1.290997E-17
3.760000E+03	2.523756E-16	1.241508E-17
3.770000E+03	2.498807E-16	1.193576E-17
3.780000E+03	2.486927E-16	1.148554E-17
3.790000E+03	2.489434E-16	1.107830E-17
3.800000E+03	2.507772E-16	1.072786E-17
3.810000E+03	2.543559E-16	1.044749E-17
3.820000E+03	2.598246E-16	1.024657E-17
3.830000E+03	2.673096E-16	1.012951E-17
3.840000E+03	2.769081E-16	1.009646E-17
3.850000E+03	2.886994E-16	1.014505E-17
3.860000E+03	3.027130E-16	1.026994E-17
3.870000E+03	3.189468E-16	1.046471E-17
3.880000E+03	3.373447E-16	1.072171E-17
3.890000E+03	3.577893E-16	1.103188E-17
3.900000E+03	3.800960E-16	1.138544E-17
3.910000E+03	4.040055E-16	1.177148E-17
3.920000E+03	4.291754E-16	1.217689E-17
3.930000E+03	4.551671E-16	1.258729E-17
3.940000E+03	4.814429E-16	1.298749E-17
3.950000E+03	5.073755E-16	1.336130E-17
3.960000E+03	5.322506E-16	1.369351E-17
3.970000E+03	5.552894E-16	1.397102E-17
3.980000E+03	5.757279E-16	1.418339E-17
3.990000E+03	5.928368E-16	1.432423E-17
4.000000E+03	6.060094E-16	1.439111E-17
4.010000E+03	6.148173E-16	1.438278E-17
4.020000E+03	6.190556E-16	1.430154E-17
4.030000E+03	6.187562E-16	1.415250E-17
4.040000E+03	6.141728E-16	1.394050E-17
4.050000E+03	6.057620E-16	1.367399E-17
4.060000E+03	5.941165E-16	1.336535E-17
4.070000E+03	5.799308E-16	1.302808E-17
4.080000E+03	5.639345E-16	1.267676E-17
4.090000E+03	5.468537E-16	1.232390E-17
4.100000E+03	5.293685E-16	1.197571E-17
4.110000E+03	5.120798E-16	1.163617E-17
4.120000E+03	4.954788E-16	1.130928E-17
4.130000E+03	4.799316E-16	1.099791E-17
4.140000E+03	4.656823E-16	1.070541E-17
4.150000E+03	4.528827E-16	1.043529E-17
4.160000E+03	4.415835E-16	1.018848E-17
4.170000E+03	4.317765E-16	9.965715E-18
4.180000E+03	4.234064E-16	9.767782E-18
4.190000E+03	4.163784E-16	9.594054E-18
4.200000E+03	4.105762E-16	9.444281E-18
4.210000E+03	4.058749E-16	9.318330E-18
