#wls	flux	fluxerr
1.597540E+03	5.300503E-05	3.000558E-06
1.637478E+03	4.900701E-05	2.756454E-06
1.677417E+03	4.516090E-05	2.523371E-06
1.717355E+03	4.149292E-05	2.302687E-06
1.757294E+03	3.802100E-05	2.095274E-06
1.797232E+03	3.476258E-05	1.901939E-06
1.837171E+03	3.173275E-05	1.723330E-06
1.877109E+03	2.894757E-05	1.560109E-06
1.917048E+03	2.642359E-05	1.412928E-06
1.956986E+03	2.418586E-05	1.282848E-06
1.996925E+03	2.226823E-05	1.171339E-06
2.036863E+03	2.071772E-05	1.080478E-06
2.076802E+03	1.958408E-05	1.012385E-06
2.116740E+03	1.890391E-05	9.683909E-07
2.156679E+03	1.869722E-05	9.488925E-07
2.196617E+03	1.899252E-05	9.546516E-07
2.236556E+03	1.985107E-05	9.879751E-07
2.276494E+03	2.134213E-05	1.051414E-06
2.316433E+03	2.347074E-05	1.144212E-06
2.356371E+03	2.612960E-05	1.260152E-06
2.396310E+03	2.912804E-05	1.389230E-06
2.436248E+03	3.220639E-05	1.518575E-06
2.476187E+03	3.506800E-05	1.634144E-06
2.516125E+03	3.741424E-05	1.722469E-06
2.556064E+03	3.903988E-05	1.775021E-06
2.596002E+03	3.993224E-05	1.792422E-06
2.635941E+03	4.034538E-05	1.787180E-06
2.675879E+03	4.073041E-05	1.779848E-06
2.715818E+03	4.165025E-05	1.794726E-06
2.755756E+03	4.371586E-05	1.856769E-06
2.795695E+03	4.755546E-05	1.990100E-06
2.835633E+03	5.382785E-05	2.218449E-06
2.875572E+03	6.324104E-05	2.565763E-06
2.915510E+03	7.650840E-05	3.054246E-06
2.955449E+03	9.422292E-05	3.699356E-06
2.995387E+03	1.165866E-04	4.499718E-06
3.005372E+03	1.228743E-04	4.721787E-06
3.015356E+03	1.294254E-04	4.951766E-06
3.025341E+03	1.362343E-04	5.189304E-06
3.035326E+03	1.432901E-04	5.433847E-06
3.045310E+03	1.505860E-04	5.685002E-06
3.055295E+03	1.581158E-04	5.942411E-06
3.065279E+03	1.658731E-04	6.205701E-06
3.075264E+03	1.738553E-04	6.474655E-06
3.085249E+03	1.820530E-04	6.748797E-06
3.095233E+03	1.904600E-04	7.027783E-06
3.105218E+03	1.990700E-04	7.311265E-06
3.115203E+03	2.078763E-04	7.598883E-06
3.125187E+03	2.168715E-04	7.890258E-06
3.135172E+03	2.260470E-04	8.184971E-06
3.145156E+03	2.353879E-04	8.482386E-06
3.155141E+03	2.448863E-04	8.782124E-06
3.165126E+03	2.545222E-04	9.083382E-06
3.175110E+03	2.642819E-04	9.385596E-06
3.185095E+03	2.741334E-04	9.687561E-06
3.195080E+03	2.840561E-04	9.988497E-06
3.205064E+03	2.940165E-04	1.028719E-05
3.215049E+03	3.039903E-04	1.058276E-05
3.225033E+03	3.139374E-04	1.087382E-05
3.235018E+03	3.238371E-04	1.115965E-05
3.245003E+03	3.336697E-04	1.143961E-05
3.254987E+03	3.434123E-04	1.171293E-05
3.264972E+03	3.530704E-04	1.197986E-05
3.274957E+03	3.626506E-04	1.224066E-05
3.284941E+03	3.721704E-04	1.249595E-05
3.294926E+03	3.816770E-04	1.274734E-05
3.304910E+03	3.911885E-04	1.299543E-05
3.314895E+03	4.007683E-04	1.324233E-05
3.324880E+03	4.104435E-04	1.348887E-05
3.334864E+03	4.202602E-04	1.373653E-05
3.344849E+03	4.302450E-04	1.398608E-05
3.354834E+03	4.404141E-04	1.423796E-05
3.364818E+03	4.507810E-04	1.449251E-05
3.374803E+03	4.613491E-04	1.474973E-05
3.384787E+03	4.720964E-04	1.500883E-05
3.394772E+03	4.830095E-04	1.526927E-05
3.404757E+03	4.940378E-04	1.552939E-05
3.414741E+03	5.051329E-04	1.578763E-05
3.424726E+03	5.162117E-04	1.604135E-05
3.434711E+03	5.271685E-04	1.628732E-05
3.444695E+03	5.378874E-04	1.652205E-05
3.454680E+03	5.482358E-04	1.674163E-05
3.464664E+03	5.580930E-04	1.694259E-05
3.474649E+03	5.673607E-04	1.712226E-05
3.484634E+03	5.759731E-04	1.727897E-05
3.494618E+03	5.839236E-04	1.741290E-05
3.504603E+03	5.912520E-04	1.752560E-05
3.514588E+03	5.980592E-04	1.762038E-05
3.524572E+03	6.044654E-04	1.770106E-05
3.534557E+03	6.106103E-04	1.777193E-05
3.544541E+03	6.166534E-04	1.783777E-05
3.554526E+03	6.227372E-04	1.790272E-05
3.564511E+03	6.289741E-04	1.797001E-05
3.574495E+03	6.354867E-04	1.804305E-05
3.584480E+03	6.424187E-04	1.812576E-05
3.594465E+03	6.499816E-04	1.822387E-05
3.604449E+03	6.583958E-04	1.834320E-05
3.614434E+03	6.680094E-04	1.849295E-05
3.624418E+03	6.792661E-04	1.868473E-05
3.634403E+03	6.927434E-04	1.893346E-05
3.644388E+03	7.090585E-04	1.925477E-05
3.654372E+03	7.288588E-04	1.966467E-05
3.664357E+03	7.527505E-04	2.017760E-05
3.674342E+03	7.812365E-04	2.080487E-05
3.684326E+03	8.146158E-04	2.155203E-05
3.694311E+03	8.528293E-04	2.241505E-05
