#wls	flux	fluxerr
1.597540E+03	2.005288E-18	1.633974E-19
1.637478E+03	1.770226E-18	1.434780E-19
1.677417E+03	1.563632E-18	1.260424E-19
1.717355E+03	1.383357E-18	1.108862E-19
1.757294E+03	1.227163E-18	9.780036E-20
1.797232E+03	1.092168E-18	8.652757E-20
1.837171E+03	9.770477E-19	7.693745E-20
1.877109E+03	8.790994E-19	6.879313E-20
1.917048E+03	7.963667E-19	6.192006E-20
1.956986E+03	7.275081E-19	5.619419E-20
1.996925E+03	6.710203E-19	5.148093E-20
2.036863E+03	6.270012E-19	4.777009E-20
2.076802E+03	5.954139E-19	4.504028E-20
2.116740E+03	5.778676E-19	4.339304E-20
2.156679E+03	5.761838E-19	4.294131E-20
2.196617E+03	5.915218E-19	4.374392E-20
2.236556E+03	6.245072E-19	4.581683E-20
2.276494E+03	6.758877E-19	4.918220E-20
2.316433E+03	7.474375E-19	5.393326E-20
2.356371E+03	8.429347E-19	6.030089E-20
2.396310E+03	9.678723E-19	6.862666E-20
2.436248E+03	1.131516E-18	7.950134E-20
2.476187E+03	1.345174E-18	9.363154E-20
2.516125E+03	1.627567E-18	1.122019E-19
2.556064E+03	2.003385E-18	1.367503E-19
2.596002E+03	2.508417E-18	1.694912E-19
2.635941E+03	3.194016E-18	2.135730E-19
2.675879E+03	4.135210E-18	2.735539E-19
2.715818E+03	5.440726E-18	3.559666E-19
2.755756E+03	7.262198E-18	4.697804E-19
2.795695E+03	9.825066E-18	6.282031E-19
2.835633E+03	1.343854E-17	8.490128E-19
2.875572E+03	1.852890E-17	1.156285E-18
2.915510E+03	2.567203E-17	1.581904E-18
2.955449E+03	3.558052E-17	2.164135E-18
2.995387E+03	4.909599E-17	2.946548E-18
3.005372E+03	5.314440E-17	3.178696E-18
3.015356E+03	5.749071E-17	3.426911E-18
3.025341E+03	6.213505E-17	3.691011E-18
3.035326E+03	6.710043E-17	3.972165E-18
3.045310E+03	7.238248E-17	4.269907E-18
3.055295E+03	7.800529E-17	4.585445E-18
3.065279E+03	8.397506E-17	4.918920E-18
3.075264E+03	9.027781E-17	5.269289E-18
3.085249E+03	9.692954E-17	5.637259E-18
3.095233E+03	1.039272E-16	6.022421E-18
3.105218E+03	1.112641E-16	6.424161E-18
3.115203E+03	1.189071E-16	6.840342E-18
3.125187E+03	1.268604E-16	7.271000E-18
3.135172E+03	1.351040E-16	7.714770E-18
3.145156E+03	1.436128E-16	8.170025E-18
3.155141E+03	1.523293E-16	8.633331E-18
3.165126E+03	1.612718E-16	9.105565E-18
3.175110E+03	1.703447E-16	9.581185E-18
3.185095E+03	1.795624E-16	1.006090E-17
3.195080E+03	1.888156E-16	1.053850E-17
3.205064E+03	1.981166E-16	1.101463E-17
3.215049E+03	2.073449E-16	1.148256E-17
3.225033E+03	2.165136E-16	1.194305E-17
3.235018E+03	2.255321E-16	1.239116E-17
3.245003E+03	2.343827E-16	1.282598E-17
3.254987E+03	2.429741E-16	1.324264E-17
3.264972E+03	2.512541E-16	1.363847E-17
3.274957E+03	2.591739E-16	1.401101E-17
3.284941E+03	2.667317E-16	1.436040E-17
3.294926E+03	2.738912E-16	1.468492E-17
3.304910E+03	2.806224E-16	1.498322E-17
3.314895E+03	2.868586E-16	1.525204E-17
3.324880E+03	2.926264E-16	1.549310E-17
3.334864E+03	2.978731E-16	1.570394E-17
3.344849E+03	3.026857E-16	1.588947E-17
3.354834E+03	3.070267E-16	1.604801E-17
3.364818E+03	3.109092E-16	1.618056E-17
3.374803E+03	3.143526E-16	1.628843E-17
3.384787E+03	3.173823E-16	1.637324E-17
3.394772E+03	3.200720E-16	1.643903E-17
3.404757E+03	3.224105E-16	1.648548E-17
3.414741E+03	3.244774E-16	1.651687E-17
3.424726E+03	3.262662E-16	1.653306E-17
3.434711E+03	3.278578E-16	1.653833E-17
3.444695E+03	3.292884E-16	1.653463E-17
3.454680E+03	3.305514E-16	1.652173E-17
3.464664E+03	3.317649E-16	1.650563E-17
3.474649E+03	3.329198E-16	1.648593E-17
3.484634E+03	3.340506E-16	1.646435E-17
3.494618E+03	3.351945E-16	1.644275E-17
3.504603E+03	3.364332E-16	1.642510E-17
3.514588E+03	3.378128E-16	1.641359E-17
3.524572E+03	3.393457E-16	1.640871E-17
3.534557E+03	3.411254E-16	1.641485E-17
3.544541E+03	3.432043E-16	1.643436E-17
3.554526E+03	3.456279E-16	1.646919E-17
3.564511E+03	3.484297E-16	1.652069E-17
3.574495E+03	3.516639E-16	1.659115E-17
3.584480E+03	3.552909E-16	1.667841E-17
3.594465E+03	3.592915E-16	1.678129E-17
3.604449E+03	3.636743E-16	1.689993E-17
3.614434E+03	3.684047E-16	1.703245E-17
3.624418E+03	3.734466E-16	1.717696E-17
3.634403E+03	3.788063E-16	1.733351E-17
3.644388E+03	3.843932E-16	1.749776E-17
3.654372E+03	3.902766E-16	1.767268E-17
3.664357E+03	3.964305E-16	1.785689E-17
3.674342E+03	4.028721E-16	1.805098E-17
3.684326E+03	4.096876E-16	1.825857E-17
3.694311E+03	4.168029E-16	1.847611E-17
3.704295E+03	4.242592E-16	1.870521E-17
3.714280E+03	4.319166E-16	1.893948E-17
3.724265E+03	4.397397E-16	1.917723E-17
3.734249E+03	4.475553E-16	1.941083E-17
3.744234E+03	4.552501E-16	1.963541E-17
3.754219E+03	4.626897E-16	1.984528E-17
3.764203E+03	4.697468E-16	2.003520E-17
3.774188E+03	4.764650E-16	2.020729E-17
3.784172E+03	4.828620E-16	2.036255E-17
3.794157E+03	4.890773E-16	2.050706E-17
3.804142E+03	4.953328E-16	2.065021E-17
3.814126E+03	5.019932E-16	2.080708E-17
3.824111E+03	5.093143E-16	2.098794E-17
3.834095E+03	5.178064E-16	2.121320E-17
3.844080E+03	5.278804E-16	2.149878E-17
3.854065E+03	5.400388E-16	2.186386E-17
3.864049E+03	5.546903E-16	2.232341E-17
3.874034E+03	5.724032E-16	2.289835E-17
3.884019E+03	5.935452E-16	2.360110E-17
3.894003E+03	6.184944E-16	2.444414E-17
3.903988E+03	6.476162E-16	2.543908E-17
3.913972E+03	6.810512E-16	2.658839E-17
3.923957E+03	7.188180E-16	2.788972E-17
3.933942E+03	7.607832E-16	2.933478E-17
3.943926E+03	8.065153E-16	3.090406E-17
3.953911E+03	8.554337E-16	3.257273E-17
3.963896E+03	9.066607E-16	3.430532E-17
3.973880E+03	9.592796E-16	3.606575E-17
3.983865E+03	1.012143E-15	3.781018E-17
3.993849E+03	1.064069E-15	3.949461E-17
4.003834E+03	1.114122E-15	4.108526E-17
4.013819E+03	1.161165E-15	4.254185E-17
4.023803E+03	1.204420E-15	4.383834E-17
4.033788E+03	1.243127E-15	4.495002E-17
4.043773E+03	1.276648E-15	4.585722E-17
4.053757E+03	1.304415E-15	4.654349E-17
4.063742E+03	1.326121E-15	4.700214E-17
4.073726E+03	1.341646E-15	4.723332E-17
4.083711E+03	1.350928E-15	4.723928E-17
4.093696E+03	1.354302E-15	4.703620E-17
4.103680E+03	1.352347E-15	4.664827E-17
