#wls	flux	fluxerr
1.600000E+03	4.623379E-18	4.571517E-19
1.640000E+03	4.332374E-18	4.272964E-19
1.680000E+03	4.077174E-18	4.010837E-19
1.720000E+03	3.853832E-18	3.781032E-19
1.760000E+03	3.662310E-18	3.583299E-19
1.800000E+03	3.502458E-18	3.417267E-19
1.840000E+03	3.371439E-18	3.279940E-19
1.880000E+03	3.269750E-18	3.171583E-19
1.920000E+03	3.198092E-18	3.092631E-19
1.960000E+03	3.155095E-18	3.041512E-19
2.000000E+03	3.143308E-18	3.020418E-19
2.040000E+03	3.163483E-18	3.029779E-19
2.080000E+03	3.218024E-18	3.071576E-19
2.120000E+03	3.310324E-18	3.148685E-19
2.160000E+03	3.401240E-18	3.223606E-19
2.200000E+03	3.629824E-18	3.427632E-19
2.240000E+03	3.870431E-18	3.641069E-19
2.280000E+03	4.178012E-18	3.915220E-19
2.320000E+03	4.565916E-18	4.261730E-19
2.360000E+03	5.052272E-18	4.696451E-19
2.400000E+03	5.657964E-18	5.237460E-19
2.440000E+03	6.411956E-18	5.909893E-19
2.480000E+03	7.346808E-18	6.741647E-19
2.520000E+03	8.509362E-18	7.773041E-19
2.560000E+03	9.955396E-18	9.051621E-19
2.600000E+03	1.175207E-17	1.063412E-18
2.640000E+03	1.398354E-17	1.259124E-18
2.680000E+03	1.675768E-17	1.501316E-18
2.720000E+03	2.019168E-17	1.799611E-18
2.760000E+03	2.443090E-17	2.165877E-18
2.800000E+03	2.964173E-17	2.613510E-18
2.840000E+03	3.599654E-17	3.156053E-18
2.880000E+03	4.369076E-17	3.808651E-18
2.920000E+03	5.290577E-17	4.584753E-18
2.960000E+03	6.379897E-17	5.495276E-18
3.000000E+03	7.650424E-17	6.548685E-18
3.010000E+03	7.997637E-17	6.835060E-18
3.020000E+03	8.356032E-17	7.129979E-18
3.030000E+03	8.726792E-17	7.434396E-18
3.040000E+03	9.108581E-17	7.747117E-18
3.050000E+03	9.502598E-17	8.069107E-18
3.060000E+03	9.907323E-17	8.399019E-18
3.070000E+03	1.032396E-16	8.737821E-18
3.080000E+03	1.075235E-16	9.085313E-18
3.090000E+03	1.119068E-16	9.439912E-18
3.100000E+03	1.164019E-16	9.802608E-18
3.110000E+03	1.210056E-16	1.017308E-17
3.120000E+03	1.256969E-16	1.054951E-17
3.130000E+03	1.304884E-16	1.093289E-17
3.140000E+03	1.353758E-16	1.132284E-17
3.150000E+03	1.403543E-16	1.171887E-17
3.160000E+03	1.453990E-16	1.211888E-17
3.170000E+03	1.505434E-16	1.252560E-17
3.180000E+03	1.557416E-16	1.293518E-17
3.190000E+03	1.610286E-16	1.335048E-17
