#wls	flux	fluxerr
1.600000E+03	3.625241E-18	2.684786E-18
1.640000E+03	3.155584E-18	2.278715E-18
1.680000E+03	2.747127E-18	1.933367E-18
1.720000E+03	2.396427E-18	1.643238E-18
1.760000E+03	2.095485E-18	1.399907E-18
1.800000E+03	1.841598E-18	1.198893E-18
1.840000E+03	1.627066E-18	1.032706E-18
1.880000E+03	1.448818E-18	8.972443E-19
1.920000E+03	1.303090E-18	7.882328E-19
1.960000E+03	1.185038E-18	7.010633E-19
2.000000E+03	1.092133E-18	6.328304E-19
2.040000E+03	1.022244E-18	5.810924E-19
2.080000E+03	9.729923E-19	5.434816E-19
2.120000E+03	9.434599E-19	5.186431E-19
2.160000E+03	9.326401E-19	5.053106E-19
2.200000E+03	9.413196E-19	5.032984E-19
2.240000E+03	9.700449E-19	5.123443E-19
2.280000E+03	1.021031E-18	5.330942E-19
2.320000E+03	1.096584E-18	5.662164E-19
2.360000E+03	1.202335E-18	6.140248E-19
2.400000E+03	1.344042E-18	6.787423E-19
2.440000E+03	1.531358E-18	7.643422E-19
2.480000E+03	1.776878E-18	8.759118E-19
2.520000E+03	2.099710E-18	1.021216E-18
2.560000E+03	2.527364E-18	1.211261E-18
2.600000E+03	3.098940E-18	1.461278E-18
2.640000E+03	3.871405E-18	1.792827E-18
2.680000E+03	4.929528E-18	2.236954E-18
2.720000E+03	6.396957E-18	2.836817E-18
2.760000E+03	8.459949E-18	3.654293E-18
2.800000E+03	1.138646E-17	4.771671E-18
2.840000E+03	1.557204E-17	6.300631E-18
2.880000E+03	2.159142E-17	8.386210E-18
2.920000E+03	3.023794E-17	1.119643E-17
2.960000E+03	4.261042E-17	1.491784E-17
3.000000E+03	6.009692E-17	1.969926E-17
3.010000E+03	6.546042E-17	2.107045E-17
3.020000E+03	7.127427E-17	2.251110E-17
3.030000E+03	7.755007E-17	2.401447E-17
3.040000E+03	8.434302E-17	2.558645E-17
3.050000E+03	9.164632E-17	2.721287E-17
3.060000E+03	9.951672E-17	2.889791E-17
3.070000E+03	1.079583E-16	3.062911E-17
3.080000E+03	1.169663E-16	3.239125E-17
3.090000E+03	1.265956E-16	3.418511E-17
3.100000E+03	1.368333E-16	3.599218E-17
3.110000E+03	1.476810E-16	3.779787E-17
3.120000E+03	1.591612E-16	3.959284E-17
3.130000E+03	1.712052E-16	4.134523E-17
3.140000E+03	1.838482E-16	4.304976E-17
3.150000E+03	1.970627E-16	4.468622E-17
3.160000E+03	2.107389E-16	4.621769E-17
3.170000E+03	2.248909E-16	4.763734E-17
3.180000E+03	2.394574E-16	4.892323E-17
3.190000E+03	2.543235E-16	5.004555E-17
3.200000E+03	2.693991E-16	5.098346E-17
3.210000E+03	2.846289E-16	5.172618E-17
3.220000E+03	2.999087E-16	5.225699E-17
3.230000E+03	3.150778E-16	5.255386E-17
3.240000E+03	3.301160E-16	5.262278E-17
3.250000E+03	3.448042E-16	5.244096E-17
3.260000E+03	3.590193E-16	5.200658E-17
3.270000E+03	3.727530E-16	5.133781E-17
3.280000E+03	3.858453E-16	5.043364E-17
3.290000E+03	3.981988E-16	4.930571E-17
3.300000E+03	4.097287E-16	4.797019E-17
3.310000E+03	4.203658E-16	4.644759E-17
3.320000E+03	4.300574E-16	4.476253E-17
3.330000E+03	4.388291E-16	4.294937E-17
3.340000E+03	4.466052E-16	4.103362E-17
3.350000E+03	4.534479E-16	3.905594E-17
3.360000E+03	4.593161E-16	3.704895E-17
3.370000E+03	4.643056E-16	3.505822E-17
3.380000E+03	4.684658E-16	3.312509E-17
3.390000E+03	4.717984E-16	3.128571E-17
3.400000E+03	4.744922E-16	2.958279E-17
3.410000E+03	4.765045E-16	2.803402E-17
3.420000E+03	4.780316E-16	2.666167E-17
3.430000E+03	4.790970E-16	2.546638E-17
3.440000E+03	4.798393E-16	2.444404E-17
3.450000E+03	4.802792E-16	2.357589E-17
3.460000E+03	4.804841E-16	2.284016E-17
3.470000E+03	4.806133E-16	2.221606E-17
3.480000E+03	4.805972E-16	2.167301E-17
3.490000E+03	4.805771E-16	2.119425E-17
3.500000E+03	4.804866E-16	2.075845E-17
3.510000E+03	4.804801E-16	2.035854E-17
3.520000E+03	4.805854E-16	1.998394E-17
3.530000E+03	4.809661E-16	1.962954E-17
3.540000E+03	4.817612E-16	1.929066E-17
3.550000E+03	4.830713E-16	1.896433E-17
3.560000E+03	4.851329E-16	1.865655E-17
3.570000E+03	4.879708E-16	1.836983E-17
3.580000E+03	4.917912E-16	1.811810E-17
3.590000E+03	4.964556E-16	1.790541E-17
3.600000E+03	5.020386E-16	1.774682E-17
3.610000E+03	5.083453E-16	1.764832E-17
3.620000E+03	5.152836E-16	1.761669E-17
3.630000E+03	5.227090E-16	1.765360E-17
3.640000E+03	5.305495E-16	1.775702E-17
3.650000E+03	5.387021E-16	1.791452E-17
3.660000E+03	5.472150E-16	1.811396E-17
3.670000E+03	5.561186E-16	1.834240E-17
3.680000E+03	5.655983E-16	1.859316E-17
3.690000E+03	5.758693E-16	1.886492E-17
3.700000E+03	5.869796E-16	1.915571E-17
3.710000E+03	5.990541E-16	1.946886E-17
3.720000E+03	6.120002E-16	1.980476E-17
3.730000E+03	6.255010E-16	2.015962E-17
3.740000E+03	6.391159E-16	2.052517E-17
3.750000E+03	6.522368E-16	2.088753E-17
3.760000E+03	6.642934E-16	2.123103E-17
3.770000E+03	6.749263E-16	2.153991E-17
3.780000E+03	6.838997E-16	2.180165E-17
3.790000E+03	6.912969E-16	2.201936E-17
3.800000E+03	6.974074E-16	2.220956E-17
3.810000E+03	7.026821E-16	2.240250E-17
3.820000E+03	7.078337E-16	2.264151E-17
3.830000E+03	7.135503E-16	2.296614E-17
3.840000E+03	7.206855E-16	2.341466E-17
3.850000E+03	7.300956E-16	2.401089E-17
3.860000E+03	7.428379E-16	2.476328E-17
3.870000E+03	7.598701E-16	2.566271E-17
3.880000E+03	7.822655E-16	2.669904E-17
3.890000E+03	8.110447E-16	2.785868E-17
3.900000E+03	8.470864E-16	2.912641E-17
3.910000E+03	8.912319E-16	3.049388E-17
3.920000E+03	9.440218E-16	3.195473E-17
3.930000E+03	1.005790E-15	3.351630E-17
3.940000E+03	1.076462E-15	3.520278E-17
3.950000E+03	1.155229E-15	3.705580E-17
3.960000E+03	1.240814E-15	3.915526E-17
3.970000E+03	1.331199E-15	4.160493E-17
3.980000E+03	1.423930E-15	4.451731E-17
3.990000E+03	1.516403E-15	4.799093E-17
4.000000E+03	1.605886E-15	5.205239E-17
4.010000E+03	1.690595E-15	5.663293E-17
4.020000E+03	1.769085E-15	6.155937E-17
4.030000E+03	1.840170E-15	6.659550E-17
4.040000E+03	1.902810E-15	7.147410E-17
4.050000E+03	1.955960E-15	7.592924E-17
4.060000E+03	1.998429E-15	7.972395E-17
4.070000E+03	2.029375E-15	8.268777E-17
4.080000E+03	2.048232E-15	8.472218E-17
4.090000E+03	2.054673E-15	8.579557E-17
