#wls	flux	fluxerr
1.567091E+03	1.803517E-03	4.378384E-05
1.606268E+03	1.802227E-03	4.361145E-05
1.645446E+03	1.801901E-03	4.345992E-05
1.684623E+03	1.802235E-03	4.332171E-05
1.723800E+03	1.803619E-03	4.320602E-05
1.762977E+03	1.806451E-03	4.312202E-05
1.802155E+03	1.810789E-03	4.307078E-05
1.841332E+03	1.816355E-03	4.304528E-05
1.880509E+03	1.823915E-03	4.306328E-05
1.919687E+03	1.833558E-03	4.312632E-05
1.958864E+03	1.845383E-03	4.323613E-05
1.998041E+03	1.859502E-03	4.339474E-05
2.037218E+03	1.876746E-03	4.362076E-05
2.076396E+03	1.896920E-03	4.390875E-05
2.115573E+03	1.920550E-03	4.426997E-05
2.154750E+03	1.947484E-03	4.469988E-05
2.193928E+03	1.978667E-03	4.521906E-05
2.233105E+03	2.014017E-03	4.582430E-05
2.272282E+03	2.053843E-03	4.652128E-05
2.311459E+03	2.098503E-03	4.731663E-05
2.350637E+03	2.148410E-03	4.821808E-05
2.389814E+03	2.204041E-03	4.923455E-05
2.428991E+03	2.266325E-03	5.038482E-05
2.468168E+03	2.335144E-03	5.166410E-05
2.507346E+03	2.411612E-03	5.309475E-05
2.546523E+03	2.496585E-03	5.469295E-05
2.585700E+03	2.590651E-03	5.646874E-05
2.624878E+03	2.695775E-03	5.846167E-05
2.664055E+03	2.812483E-03	6.067944E-05
2.703232E+03	2.942758E-03	6.316077E-05
2.742409E+03	3.087996E-03	6.593098E-05
2.781587E+03	3.250778E-03	6.903994E-05
2.820764E+03	3.434112E-03	7.254548E-05
2.859941E+03	3.640524E-03	7.649398E-05
2.899119E+03	3.875060E-03	8.098342E-05
2.938296E+03	4.142559E-03	8.610535E-05
2.948090E+03	4.214857E-03	8.748910E-05
2.957884E+03	4.290376E-03	8.893559E-05
2.967679E+03	4.368110E-03	9.042377E-05
2.977473E+03	4.448711E-03	9.196691E-05
2.987267E+03	4.532285E-03	9.356701E-05
2.997062E+03	4.618945E-03	9.522613E-05
3.006856E+03	4.708804E-03	9.694639E-05
3.016650E+03	4.802582E-03	9.874230E-05
3.026445E+03	4.899214E-03	1.005917E-04
3.036239E+03	4.999420E-03	1.025092E-04
3.046033E+03	5.103957E-03	1.045099E-04
3.055828E+03	5.212358E-03	1.065840E-04
3.065622E+03	5.324764E-03	1.087341E-04
3.075416E+03	5.441977E-03	1.109762E-04
3.085211E+03	5.563516E-03	1.133001E-04
3.095005E+03	5.690210E-03	1.157223E-04
3.104799E+03	5.821569E-03	1.182326E-04
3.114594E+03	5.959143E-03	1.208621E-04
3.124388E+03	6.101761E-03	1.235864E-04
3.134182E+03	6.249597E-03	1.264088E-04
3.143976E+03	6.404277E-03	1.293617E-04
3.153771E+03	6.565314E-03	1.324348E-04
3.163565E+03	6.732923E-03	1.356320E-04
3.173359E+03	6.907320E-03	1.389570E-04
3.183154E+03	7.089498E-03	1.424294E-04
3.192948E+03	7.278921E-03	1.460379E-04
3.202742E+03	7.476604E-03	1.498021E-04
3.212537E+03	7.681972E-03	1.537101E-04
3.222331E+03	7.896886E-03	1.577986E-04
3.232125E+03	8.119919E-03	1.620382E-04
3.241920E+03	8.352095E-03	1.664489E-04
3.251714E+03	8.593599E-03	1.710336E-04
3.261508E+03	8.845485E-03	1.758128E-04
3.271303E+03	9.107006E-03	1.807708E-04
3.281097E+03	9.379172E-03	1.859271E-04
3.290891E+03	9.661100E-03	1.912634E-04
3.300686E+03	9.953712E-03	1.967973E-04
3.310480E+03	1.025693E-02	2.025264E-04
3.320274E+03	1.057157E-02	2.084666E-04
3.330069E+03	1.089640E-02	2.145923E-04
3.339863E+03	1.123096E-02	2.208943E-04
3.349657E+03	1.157574E-02	2.273812E-04
3.359452E+03	1.192894E-02	2.340173E-04
3.369246E+03	1.229173E-02	2.408252E-04
3.379040E+03	1.266184E-02	2.477599E-04
3.388834E+03	1.303781E-02	2.547922E-04
3.398629E+03	1.341779E-02	2.618863E-04
3.408423E+03	1.380194E-02	2.690448E-04
3.418217E+03	1.418543E-02	2.761736E-04
3.428012E+03	1.456645E-02	2.832380E-04
3.437806E+03	1.494161E-02	2.901724E-04
3.447600E+03	1.530706E-02	2.969028E-04
3.457395E+03	1.565977E-02	3.033714E-04
3.467189E+03	1.599513E-02	3.094903E-04
3.476983E+03	1.630703E-02	3.151428E-04
3.486778E+03	1.659291E-02	3.202813E-04
3.496572E+03	1.684541E-02	3.247659E-04
3.506366E+03	1.706245E-02	3.285590E-04
3.516161E+03	1.724032E-02	3.315922E-04
3.525955E+03	1.737567E-02	3.338038E-04
3.535749E+03	1.746962E-02	3.352181E-04
3.545544E+03	1.752394E-02	3.358721E-04
3.555338E+03	1.754061E-02	3.358062E-04
3.565132E+03	1.752700E-02	3.351644E-04
3.574927E+03	1.748417E-02	3.339686E-04
3.584721E+03	1.741915E-02	3.323548E-04
3.594515E+03	1.733679E-02	3.304172E-04
3.604310E+03	1.724094E-02	3.282295E-04
3.614104E+03	1.713844E-02	3.259231E-04
3.623898E+03	1.703186E-02	3.235466E-04
3.633692E+03	1.692662E-02	3.212034E-04
3.643487E+03	1.682783E-02	3.189900E-04
3.653281E+03	1.673847E-02	3.169622E-04
3.663075E+03	1.666224E-02	3.151894E-04
3.672870E+03	1.660349E-02	3.137531E-04
3.682664E+03	1.656459E-02	3.126966E-04
3.692458E+03	1.654943E-02	3.120925E-04
3.702253E+03	1.656003E-02	3.119768E-04
3.712047E+03	1.659987E-02	3.124139E-04
3.721841E+03	1.667144E-02	3.134487E-04
3.731636E+03	1.677703E-02	3.151227E-04
3.741430E+03	1.691806E-02	3.174602E-04
3.751224E+03	1.709803E-02	3.205253E-04
3.761019E+03	1.731722E-02	3.243209E-04
3.770813E+03	1.757801E-02	3.288895E-04
3.780607E+03	1.788176E-02	3.342545E-04
3.790402E+03	1.822885E-02	3.404203E-04
3.800196E+03	1.862155E-02	3.474276E-04
3.809990E+03	1.905883E-02	3.552545E-04
3.819785E+03	1.954142E-02	3.639125E-04
3.829579E+03	2.006883E-02	3.733902E-04
3.839373E+03	2.063919E-02	3.836509E-04
3.849167E+03	2.125149E-02	3.946735E-04
3.858962E+03	2.190238E-02	4.063942E-04
3.868756E+03	2.258919E-02	4.187614E-04
3.878550E+03	2.330668E-02	4.316764E-04
3.888345E+03	2.404929E-02	4.450351E-04
3.898139E+03	2.481031E-02	4.587126E-04
3.907933E+03	2.558183E-02	4.725615E-04
3.917728E+03	2.635473E-02	4.864136E-04
3.927522E+03	2.711793E-02	5.000644E-04
3.937316E+03	2.786104E-02	5.133232E-04
3.947111E+03	2.857037E-02	5.259389E-04
3.956905E+03	2.923513E-02	5.377151E-04
3.966699E+03	2.984190E-02	5.484068E-04
3.976494E+03	3.037746E-02	5.577747E-04
3.986288E+03	3.083109E-02	5.656250E-04
3.996082E+03	3.119151E-02	5.717551E-04
4.005877E+03	3.144999E-02	5.760093E-04
4.015671E+03	3.160006E-02	5.782739E-04
4.025465E+03	3.163739E-02	5.784747E-04
4.035260E+03	3.156225E-02	5.766216E-04
4.045054E+03	3.137901E-02	5.727995E-04
4.054848E+03	3.109543E-02	5.671547E-04
4.064643E+03	3.072457E-02	5.599295E-04
4.074437E+03	3.028099E-02	5.513930E-04
4.084231E+03	2.978132E-02	5.418507E-04
4.094025E+03	2.924440E-02	5.316477E-04
4.103820E+03	2.868738E-02	5.210969E-04
4.113614E+03	2.812625E-02	5.104892E-04
4.123408E+03	2.757617E-02	5.000998E-04
4.133203E+03	2.704790E-02	4.901229E-04
4.142997E+03	2.655138E-02	4.807373E-04
4.152791E+03	2.609261E-02	4.720502E-04
4.162586E+03	2.567509E-02	4.641231E-04
4.172380E+03	2.530101E-02	4.569935E-04
4.182174E+03	2.496943E-02	4.506427E-04
4.191969E+03	2.467811E-02	4.450281E-04
4.201763E+03	2.442212E-02	4.400594E-04
4.211557E+03	2.419650E-02	4.356455E-04
4.221352E+03	2.399393E-02	4.316533E-04
4.231146E+03	2.380646E-02	4.279388E-04
4.240940E+03	2.362481E-02	4.243348E-04
4.250735E+03	2.344013E-02	4.206822E-04
4.260529E+03	2.324212E-02	4.167962E-04
4.270323E+03	2.302354E-02	4.125475E-04
4.280118E+03	2.277771E-02	4.078177E-04
4.289912E+03	2.250051E-02	4.025339E-04
4.299706E+03	2.219308E-02	3.967180E-04
4.309500E+03	2.185961E-02	3.904459E-04
4.319295E+03	2.150806E-02	3.838609E-04
4.329089E+03	2.114956E-02	3.771620E-04
4.338883E+03	2.079673E-02	3.705746E-04
4.348678E+03	2.046270E-02	3.643322E-04
4.358472E+03	2.016004E-02	3.586573E-04
4.368266E+03	1.990153E-02	3.537759E-04
4.378061E+03	1.969748E-02	3.498690E-04
4.387855E+03	1.955854E-02	3.471237E-04
4.397649E+03	1.949401E-02	3.457016E-04
4.407444E+03	1.951317E-02	3.457643E-04
4.417238E+03	1.962419E-02	3.474526E-04
4.427032E+03	1.983569E-02	3.509154E-04
4.436827E+03	2.015661E-02	3.563060E-04
4.446621E+03	2.059491E-02	3.637605E-04
4.456415E+03	2.115943E-02	3.734300E-04
4.466210E+03	2.185750E-02	3.854381E-04
4.476004E+03	2.269515E-02	3.998853E-04
4.485798E+03	2.367648E-02	4.168376E-04
4.495593E+03	2.480303E-02	4.363162E-04
4.505387E+03	2.607198E-02	4.582649E-04
4.515181E+03	2.747612E-02	4.825510E-04
4.524976E+03	2.900293E-02	5.089488E-04
4.534770E+03	3.063411E-02	5.371321E-04
4.544564E+03	3.234533E-02	5.666698E-04
4.554358E+03	3.410607E-02	5.970244E-04
4.564153E+03	3.587877E-02	6.275364E-04
4.573947E+03	3.762166E-02	6.574750E-04
4.583741E+03	3.928662E-02	6.860016E-04
4.593536E+03	4.082187E-02	7.122155E-04
4.603330E+03	4.217496E-02	7.352084E-04
4.613124E+03	4.329436E-02	7.540901E-04
