#wls	flux	fluxerr
1.567091E+03	2.035636E-19	1.906322E-21
1.606268E+03	2.066460E-19	1.934981E-21
1.645446E+03	2.081095E-19	1.948471E-21
1.684623E+03	2.078215E-19	1.945556E-21
1.723800E+03	2.057738E-19	1.926163E-21
1.762977E+03	2.016510E-19	1.887348E-21
1.802155E+03	1.952065E-19	1.826808E-21
1.841332E+03	1.861150E-19	1.741510E-21
1.880509E+03	1.742321E-19	1.630111E-21
1.919687E+03	1.597435E-19	1.494360E-21
1.958864E+03	1.434081E-19	1.341366E-21
1.998041E+03	1.267494E-19	1.185386E-21
2.037218E+03	1.118248E-19	1.045660E-21
2.076396E+03	1.008134E-19	9.425565E-22
2.115573E+03	9.515320E-20	8.895046E-22
2.154750E+03	9.528781E-20	8.906275E-22
2.193928E+03	1.007595E-19	9.416234E-22
2.233105E+03	1.104917E-19	1.032408E-21
2.272282E+03	1.230861E-19	1.149899E-21
2.311459E+03	1.371605E-19	1.281171E-21
2.350637E+03	1.515127E-19	1.414987E-21
2.389814E+03	1.654071E-19	1.544478E-21
2.428991E+03	1.783872E-19	1.665379E-21
2.468168E+03	1.902895E-19	1.776170E-21
2.507346E+03	2.011267E-19	1.876972E-21
2.546523E+03	2.110124E-19	1.968850E-21
2.585700E+03	2.201513E-19	2.053717E-21
2.624878E+03	2.286555E-19	2.132622E-21
2.664055E+03	2.367989E-19	2.208121E-21
2.703232E+03	2.447380E-19	2.281674E-21
2.742409E+03	2.526666E-19	2.355087E-21
2.781587E+03	2.607775E-19	2.430156E-21
2.820764E+03	2.692665E-19	2.508704E-21
2.859941E+03	2.783347E-19	2.592599E-21
2.899119E+03	2.882441E-19	2.684277E-21
2.938296E+03	2.991237E-19	2.784933E-21
2.948090E+03	3.020446E-19	2.811957E-21
2.957884E+03	3.050488E-19	2.839754E-21
2.967679E+03	3.081406E-19	2.868362E-21
2.977473E+03	3.113323E-19	2.897896E-21
2.987267E+03	3.146557E-19	2.928651E-21
2.997062E+03	3.181443E-19	2.960939E-21
3.006856E+03	3.217953E-19	2.994733E-21
3.016650E+03	3.256061E-19	3.030009E-21
3.026445E+03	3.295756E-19	3.066756E-21
3.036239E+03	3.337077E-19	3.105010E-21
3.046033E+03	3.380004E-19	3.144754E-21
3.055828E+03	3.424252E-19	3.185721E-21
3.065622E+03	3.470974E-19	3.228982E-21
3.075416E+03	3.519566E-19	3.273977E-21
3.085211E+03	3.570029E-19	3.320705E-21
3.095005E+03	3.622363E-19	3.369166E-21
