#wls	flux	fluxerr
1.600000E+03	1.650872E-17	7.378922E-20
1.640000E+03	1.646594E-17	7.357223E-20
1.680000E+03	1.642822E-17	7.337745E-20
1.720000E+03	1.639903E-17	7.322041E-20
1.760000E+03	1.637556E-17	7.308841E-20
1.800000E+03	1.636451E-17	7.301141E-20
1.840000E+03	1.636315E-17	7.297714E-20
1.880000E+03	1.637512E-17	7.300174E-20
1.920000E+03	1.640095E-17	7.308754E-20
1.960000E+03	1.644445E-17	7.325137E-20
2.000000E+03	1.650312E-17	7.348206E-20
2.040000E+03	1.658097E-17	7.379734E-20
2.080000E+03	1.667891E-17	7.420110E-20
2.120000E+03	1.680118E-17	7.471211E-20
2.160000E+03	1.694904E-17	7.533578E-20
2.200000E+03	1.712070E-17	7.606402E-20
2.240000E+03	1.732420E-17	7.693236E-20
2.280000E+03	1.755504E-17	7.792054E-20
2.320000E+03	1.782184E-17	7.906666E-20
2.360000E+03	1.812719E-17	8.038195E-20
2.400000E+03	1.846752E-17	8.185026E-20
2.440000E+03	1.885606E-17	8.352997E-20
2.480000E+03	1.929026E-17	8.540936E-20
2.520000E+03	1.977464E-17	8.750814E-20
2.560000E+03	2.031793E-17	8.986449E-20
2.600000E+03	2.092990E-17	9.252113E-20
2.640000E+03	2.161099E-17	9.547942E-20
2.680000E+03	2.237320E-17	9.879178E-20
2.720000E+03	2.323022E-17	1.025179E-19
2.760000E+03	2.419402E-17	1.067099E-19
2.800000E+03	2.527489E-17	1.114122E-19
2.840000E+03	2.650094E-17	1.167474E-19
2.880000E+03	2.789239E-17	1.228035E-19
2.920000E+03	2.947317E-17	1.296843E-19
2.960000E+03	3.128461E-17	1.375698E-19
3.000000E+03	3.336620E-17	1.466315E-19
3.010000E+03	3.393226E-17	1.490956E-19
3.020000E+03	3.452398E-17	1.516715E-19
3.030000E+03	3.513292E-17	1.543222E-19
3.040000E+03	3.576921E-17	1.570922E-19
3.050000E+03	3.642907E-17	1.599646E-19
3.060000E+03	3.711338E-17	1.629434E-19
3.070000E+03	3.782306E-17	1.660324E-19
3.080000E+03	3.856402E-17	1.692577E-19
3.090000E+03	3.932738E-17	1.725802E-19
3.100000E+03	4.012925E-17	1.760704E-19
3.110000E+03	4.095561E-17	1.796669E-19
3.120000E+03	4.181780E-17	1.834192E-19
3.130000E+03	4.271718E-17	1.873334E-19
3.140000E+03	4.364976E-17	1.913917E-19
3.150000E+03	4.462220E-17	1.956233E-19
3.160000E+03	4.563597E-17	2.000346E-19
3.170000E+03	4.668696E-17	2.046074E-19
3.180000E+03	4.778786E-17	2.093973E-19
3.190000E+03	4.892894E-17	2.143615E-19
3.200000E+03	5.011741E-17	2.195316E-19
3.210000E+03	5.136086E-17	2.249406E-19
3.220000E+03	5.265512E-17	2.305701E-19
3.230000E+03	5.399568E-17	2.364004E-19
3.240000E+03	5.540264E-17	2.425192E-19
3.250000E+03	5.686547E-17	2.488803E-19
3.260000E+03	5.838574E-17	2.554905E-19
3.270000E+03	5.997148E-17	2.623848E-19
3.280000E+03	6.162445E-17	2.695707E-19
3.290000E+03	6.333942E-17	2.770252E-19
3.300000E+03	6.512446E-17	2.847833E-19
3.310000E+03	6.698786E-17	2.928813E-19
3.320000E+03	6.892386E-17	3.012937E-19
3.330000E+03	7.092594E-17	3.099918E-19
3.340000E+03	7.301634E-17	3.190727E-19
3.350000E+03	7.518069E-17	3.284734E-19
3.360000E+03	7.741845E-17	3.381913E-19
3.370000E+03	7.973626E-17	3.482553E-19
3.380000E+03	8.213265E-17	3.586587E-19
3.390000E+03	8.460534E-17	3.693915E-19
3.400000E+03	8.715108E-17	3.804392E-19
3.410000E+03	8.976554E-17	3.917827E-19
3.420000E+03	9.245167E-17	4.034347E-19
3.430000E+03	9.519430E-17	4.153290E-19
3.440000E+03	9.799376E-17	4.274668E-19
3.450000E+03	1.008314E-16	4.397666E-19
3.460000E+03	1.037136E-16	4.522557E-19
3.470000E+03	1.066179E-16	4.648369E-19
3.480000E+03	1.095199E-16	4.774036E-19
3.490000E+03	1.124303E-16	4.900017E-19
3.500000E+03	1.153118E-16	5.024690E-19
3.510000E+03	1.181437E-16	5.147158E-19
3.520000E+03	1.209141E-16	5.266900E-19
3.530000E+03	1.236105E-16	5.383376E-19
3.540000E+03	1.261915E-16	5.494778E-19
3.550000E+03	1.286550E-16	5.601023E-19
3.560000E+03	1.309721E-16	5.700855E-19
3.570000E+03	1.331360E-16	5.793981E-19
3.580000E+03	1.351341E-16	5.879856E-19
3.590000E+03	1.369481E-16	5.957690E-19
3.600000E+03	1.385930E-16	6.028135E-19
3.610000E+03	1.400544E-16	6.090572E-19
3.620000E+03	1.413401E-16	6.145348E-19
3.630000E+03	1.424440E-16	6.192195E-19
3.640000E+03	1.433837E-16	6.231886E-19
3.650000E+03	1.441632E-16	6.264598E-19
3.660000E+03	1.448181E-16	6.291884E-19
3.670000E+03	1.453599E-16	6.314243E-19
